step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,758,42.3,2.3,9.4,0.8,23.9,0.2,1.18,1.7,566,345,28.94,9.06,754,0,4,0.3,1.16,1.26,1.16,5.45,6.48,6.40,31.6,1.098,0.553,6.87
5000,2,266,57.8,0.8,18.5,0.4,22.2,0.1,1.08,3.6,196,367,27.96,20.81,264,0,2,0.2,1.08,1.10,1.08,5.58,7.02,7.15,29.2,1.351,0.441,7.98
5000,5,47,29.0,2.0,1.8,0.1,16.3,0.0,1.63,7.0,24,266,14.96,6.01,47,0,0,0.1,1.51,1.78,1.64,4.00,5.34,4.60,26.0,1.321,0.726,6.72
5000,9,27,71.4,0.0,23.3,0.0,33.9,0.0,1.00,2.8,25,548,56.47,39.80,26,0,1,0.0,1.00,1.00,1.00,7.15,8.00,8.15,45.1,1.250,0.623,8.78
6000,1,731,38.5,3.2,8.4,0.3,18.6,0.4,1.50,2.9,616,374,28.50,9.86,724,0,7,0.5,1.50,1.53,1.48,4.86,5.92,5.78,28.2,1.148,0.547,6.59
6000,5,56,34.2,1.1,7.9,0.3,14.6,0.1,1.33,7.3,44,508,29.89,8.30,56,0,0,0.7,1.18,1.45,1.36,4.52,5.23,4.98,26.1,1.354,0.694,6.93
6000,2,55,40.6,1.5,10.3,0.0,15.7,0.0,1.14,8.9,46,677,37.41,35.89,55,0,0,0.1,1.12,1.19,1.14,4.60,5.18,7.11,26.9,1.382,0.455,8.36
6000,9,8,69.0,0.0,16.6,0.0,38.2,0.0,1.00,1.5,8,361,39.51,7.45,8,0,0,0.0,1.00,1.00,1.00,5.88,7.62,8.12,48.7,1.248,0.606,8.25
7000,33,629,41.8,1.4,14.7,0.2,12.1,0.2,1.30,2.7,516,251,15.07,15.74,625,0,4,0.5,1.20,1.30,1.35,4.49,5.80,5.65,31.2,1.404,0.499,6.39
7000,1,356,38.8,2.4,9.2,0.5,19.5,0.3,1.39,2.9,289,363,28.41,7.99,350,0,6,0.4,1.41,1.38,1.40,4.99,6.02,5.96,24.8,1.147,0.520,6.71
7000,5,38,32.6,1.1,7.0,0.2,13.8,0.0,1.42,6.9,38,590,36.95,9.49,38,0,0,0.2,1.33,1.52,1.48,4.24,5.55,5.00,30.0,1.412,0.687,7.00
7000,2,11,51.0,0.0,20.0,0.0,29.3,0.0,1.00,1.5,7,200,20.05,4.18,11,0,0,0.0,1.00,1.00,1.00,6.91,7.27,7.82,28.5,1.040,0.466,7.91
8000,33,249,32.7,0.3,10.8,0.2,9.1,0.0,1.06,2.2,181,274,13.34,15.20,248,0,1,0.1,1.05,1.08,1.06,3.71,4.78,4.83,25.9,1.593,0.528,5.36
8000,1,144,26.8,0.9,5.8,0.4,18.8,0.2,1.20,3.1,124,273,20.20,5.29,144,0,0,0.3,1.09,1.23,1.26,4.28,5.42,5.58,26.1,1.015,0.614,6.26
8000,5,36,24.5,1.2,3.1,0.7,10.6,0.0,1.33,9.9,32,400,24.71,5.28,36,0,0,0.1,1.19,1.48,1.32,3.47,4.36,4.36,30.1,1.493,0.692,6.83
9000,42,542,48.2,0.1,12.5,2.1,14.0,0.0,1.02,1.8,411,262,16.02,16.29,538,0,4,0.0,1.02,1.01,1.02,4.54,5.63,5.67,30.3,1.733,0.282,6.10
9000,33,284,29.1,0.0,8.0,0.1,9.3,0.0,1.00,2.1,161,214,10.75,10.70,283,0,1,0.0,1.00,1.00,1.00,3.17,4.22,4.32,32.2,1.698,0.546,4.80
9000,1,74,31.3,3.1,9.0,0.4,15.8,0.3,1.79,3.4,59,127,12.36,4.46,74,0,0,0.5,2.01,2.08,1.66,4.76,6.27,5.69,21.8,1.004,0.619,6.84
10000,42,488,37.0,0.2,10.7,0.0,9.8,0.0,1.04,2.2,333,192,9.08,15.18,485,0,3,0.1,1.04,1.04,1.04,3.61,4.76,4.79,28.6,1.788,0.266,5.32
10000,33,397,26.9,0.0,7.0,0.1,7.8,0.0,1.00,1.6,240,243,10.23,11.52,396,0,1,0.0,1.00,1.00,1.00,2.91,3.95,4.06,30.5,1.810,0.493,4.40
10000,48,28,30.8,0.0,8.0,0.0,18.4,0.0,1.00,3.4,24,124,12.60,2.06,28,0,0,0.0,1.00,1.00,1.00,4.21,5.29,5.46,17.3,1.158,0.522,6.21
10000,1,11,25.2,0.0,6.2,0.0,18.1,0.0,1.00,3.6,11,252,22.38,2.01,11,0,0,0.0,1.00,1.00,1.00,3.82,5.45,4.91,31.0,1.028,0.663,6.09
10000,5,8,12.6,0.0,2.0,0.0,6.1,0.0,1.00,14.8,7,142,7.37,0.69,8,0,0,0.0,1.00,1.00,1.00,2.50,3.00,3.38,32.2,1.544,0.623,6.88
11000,33,349,24.2,0.0,6.8,0.0,5.8,0.0,1.00,1.8,184,267,8.26,13.22,343,0,6,0.0,1.00,1.00,1.00,2.42,3.71,3.66,25.4,1.919,0.498,4.14
11000,42,292,32.7,0.0,7.6,0.0,9.5,0.0,1.01,2.2,184,177,8.51,12.09,291,0,1,0.0,1.02,1.00,1.01,3.29,4.26,4.54,27.7,1.903,0.291,4.95
11000,48,9,46.7,0.0,11.9,0.0,30.3,0.0,1.00,0.9,9,138,16.26,0.73,9,0,0,0.0,1.00,1.00,1.00,6.11,7.11,6.89,23.4,1.103,0.357,7.22
11000,1,5,27.5,11.8,2.2,0.0,2.2,1.0,5.67,7.6,5,394,20.44,15.64,5,0,0,1.0,5.88,4.72,6.14,3.20,5.20,5.00,17.1,0.984,0.604,7.00
12000,33,236,27.1,0.0,6.8,0.0,7.1,0.0,1.00,1.0,116,339,13.58,10.63,236,0,0,0.0,1.00,1.00,1.00,2.81,3.82,3.89,17.0,1.949,0.492,4.11
12000,42,186,37.5,0.3,7.3,0.0,12.0,0.0,1.07,1.1,126,250,13.52,10.19,186,0,0,0.1,1.11,1.01,1.08,3.56,4.73,4.65,24.5,1.896,0.356,4.95
12000,1,7,25.4,0.0,2.1,3.4,16.6,0.0,1.00,2.6,5,252,15.99,3.67,7,0,0,0.0,1.00,1.00,1.00,5.14,5.57,5.14,26.9,1.251,0.519,6.00
13000,94,124,33.4,5.9,7.9,0.0,12.6,1.6,2.55,4.1,102,307,15.93,10.52,123,0,1,1.9,2.78,1.44,2.98,4.59,6.11,5.88,28.9,1.035,0.644,7.02
13000,33,103,24.4,0.0,6.5,0.0,6.0,0.0,1.00,1.7,69,452,16.50,15.06,103,0,0,0.0,1.00,1.00,1.00,2.66,3.82,3.59,13.0,1.958,0.486,4.12
13000,42,89,32.0,0.3,7.1,0.0,8.9,0.1,1.08,1.6,78,381,18.09,13.07,89,0,0,0.1,1.11,1.00,1.10,3.20,4.49,4.28,23.8,1.927,0.383,4.80
14000,94,150,33.4,6.1,8.7,0.0,12.7,1.9,2.50,3.8,124,310,18.46,8.35,147,0,3,2.1,2.67,1.50,2.91,4.79,6.22,6.07,22.9,1.002,0.649,7.11
14000,42,25,30.5,1.0,8.3,0.0,5.5,0.4,1.44,0.9,19,374,10.69,14.12,25,0,0,0.4,1.46,1.18,1.58,2.64,4.12,4.16,21.5,1.938,0.504,4.36
14000,104,17,40.4,0.0,6.8,0.0,15.1,0.0,1.00,0.2,10,500,28.81,5.78,17,0,0,0.0,1.00,1.00,1.00,3.65,4.88,4.76,23.8,1.847,0.499,4.88
14000,33,14,27.6,0.0,6.6,0.0,7.6,0.0,1.00,0.9,13,808,29.44,10.53,14,0,0,0.0,1.00,1.00,1.00,2.57,4.14,4.00,14.5,1.945,0.496,4.29
15000,94,82,34.3,7.0,9.7,0.0,10.4,2.2,2.84,4.2,78,506,24.50,16.09,82,0,0,2.3,3.12,1.59,3.33,4.56,6.06,5.95,20.7,1.006,0.662,7.05
15000,123,34,25.3,0.0,8.2,0.5,4.5,0.0,1.00,1.1,23,473,14.49,16.68,34,0,0,0.0,1.00,1.00,1.00,2.24,3.62,3.88,20.7,1.957,0.744,4.03
15000,104,12,30.3,0.0,5.1,0.0,11.2,0.0,1.00,1.8,9,702,40.25,6.21,12,0,0,0.0,1.00,1.00,1.00,3.17,4.00,4.25,20.3,1.865,0.421,4.58
15000,138,8,24.0,0.0,5.5,0.0,6.9,0.0,1.00,2.8,7,754,41.26,5.26,8,0,0,0.0,1.00,1.00,1.00,2.25,3.62,3.75,16.2,1.933,0.502,4.38
15000,42,6,50.0,7.7,7.7,0.0,2.8,2.0,4.42,0.7,5,290,3.92,16.74,6,0,0,2.0,4.97,1.46,5.83,3.17,4.17,4.50,21.6,1.938,0.641,4.50
16000,104,62,34.8,0.0,4.6,0.0,14.7,0.0,1.00,0.5,29,286,17.77,1.87,61,0,1,0.0,1.00,1.00,1.00,3.52,4.45,4.52,23.6,1.813,0.501,4.61
16000,94,40,33.5,6.2,8.6,0.0,11.1,2.0,2.66,4.1,38,453,21.04,15.48,38,0,2,2.2,2.91,1.35,3.23,4.53,6.30,5.88,22.0,1.044,0.639,7.10
16000,123,24,28.0,0.0,6.2,0.2,8.0,0.0,1.00,1.2,20,696,25.00,14.79,24,0,0,0.0,1.00,1.00,1.00,2.75,3.88,3.88,22.2,1.950,0.766,4.17
17000,175,132,38.6,0.0,10.1,0.0,9.3,0.0,1.00,1.4,79,218,10.23,14.52,132,0,0,0.0,1.00,1.00,1.00,3.30,4.55,4.62,22.2,1.987,0.358,4.92
17000,172,108,26.6,0.0,6.2,0.0,7.1,0.0,1.00,1.1,49,424,15.63,12.48,108,0,0,0.0,1.00,1.00,1.00,2.44,3.76,3.77,12.0,1.992,0.409,4.03
17000,104,97,31.8,0.0,4.4,0.0,12.9,0.0,1.00,0.4,42,374,21.64,1.85,97,0,0,0.0,1.00,1.00,1.00,3.39,4.23,4.24,26.6,1.840,0.512,4.34
17000,168,56,28.4,0.0,3.6,0.0,11.1,0.0,1.00,0.7,29,273,13.15,3.78,55,0,1,0.0,1.00,1.00,1.00,2.68,3.93,3.89,24.0,1.936,0.575,4.09
17000,123,47,25.5,0.1,4.9,0.7,7.7,0.0,1.03,1.4,42,407,20.06,5.44,47,0,0,0.0,1.00,1.06,1.03,2.57,3.91,3.87,21.9,1.925,0.777,4.26
17000,170,25,26.0,0.0,3.4,0.4,9.7,0.0,1.00,0.7,19,589,27.83,3.12,25,0,0,0.0,1.00,1.00,1.00,2.40,3.92,3.80,24.7,1.954,0.669,4.04
17000,94,18,32.8,5.1,10.2,0.0,11.0,2.7,2.30,2.6,17,309,18.89,6.70,17,0,1,2.7,2.43,1.02,2.84,4.67,6.56,6.17,24.5,1.048,0.641,7.00
18000,175,311,39.0,0.0,11.5,0.1,8.0,0.0,1.00,2.1,217,248,11.93,14.57,311,0,0,0.0,1.00,1.00,1.00,3.52,4.57,4.60,26.6,1.990,0.338,5.11
18000,104,225,34.5,0.0,4.5,0.0,14.8,0.0,1.00,0.6,106,383,22.51,3.38,224,0,1,0.0,1.00,1.00,1.00,3.44,4.45,4.45,33.0,1.803,0.515,4.61
18000,185,128,31.7,0.0,4.9,0.0,11.2,0.0,1.00,1.0,76,328,16.95,4.10,121,0,7,0.0,1.00,1.00,1.00,2.92,4.12,4.10,29.1,1.966,0.278,4.35
18000,172,75,27.4,0.0,7.9,0.0,5.8,0.0,1.00,0.7,37,305,10.59,12.00,75,0,0,0.0,1.00,1.00,1.00,2.59,3.80,3.88,19.6,1.994,0.255,4.03
18000,123,33,18.7,0.0,5.1,0.0,4.4,0.0,1.00,3.2,27,220,11.73,6.53,33,0,0,0.0,1.00,1.00,1.00,2.55,3.30,3.30,37.7,1.962,0.781,4.09
18000,94,28,32.3,3.6,12.9,0.0,11.8,2.0,1.89,4.7,27,265,16.16,9.89,28,0,0,2.1,2.08,1.18,2.17,4.54,6.18,5.46,19.6,1.015,0.648,7.00
