step,event,lineage,other,size
5000,birth,3,0,994
5000,birth,4,0,10
5000,birth,5,0,2425
5000,birth,6,0,41
5000,birth,14,0,6
6000,extinct,6,0,41
7000,extinct,14,0,6
8000,extinct,4,0,5
9000,split,42,3,67
9000,split,43,5,5
9000,extinct,3,0,29
10000,split,67,3,21
10000,extinct,43,0,5
11000,split,87,5,24
11000,split,88,42,704
12000,split,126,5,116
12000,split,127,88,39
12000,extinct,42,0,40
12000,extinct,67,0,6
13000,split,188,5,45
13000,split,190,88,41
13000,split,253,5,7
14000,split,257,190,95
14000,split,283,88,15
14000,extinct,253,0,7
15000,split,307,267,68
15000,split,308,267,11
15000,extinct,126,0,9
15000,extinct,190,0,41
16000,extinct,5,0,8
16000,extinct,87,0,6
16000,extinct,127,0,12
17000,split,354,257,251
17000,split,356,88,47
17000,split,362,88,39
18000,split,288,5,25
19000,extinct,257,0,13
19000,extinct,307,0,18
20000,extinct,283,0,9
21000,split,401,354,1094
21000,split,406,88,6
21000,extinct,308,0,17
21000,extinct,356,0,23
21000,extinct,362,0,16
23000,split,411,397,35
23000,split,440,362,201
24000,split,457,440,31
24000,split,458,401,26
24000,split,462,401,5
24000,extinct,88,0,13
24000,extinct,188,0,15
24000,extinct,354,0,16
25000,split,500,401,104
25000,split,502,440,25
25000,extinct,288,0,12
25000,extinct,462,0,5
26000,split,556,440,36
26000,split,597,459,14
26000,split,600,514,58
26000,extinct,406,0,6
26000,extinct,411,0,39
26000,extinct,458,0,6
27000,split,617,440,65
27000,split,619,556,49
27000,split,623,502,40
27000,split,645,440,12
28000,split,675,401,537
28000,split,677,401,10
28000,split,678,440,8
28000,split,681,440,25
28000,split,685,401,9
28000,split,701,411,79
28000,extinct,502,0,6
28000,extinct,597,0,14
29000,split,727,556,35
29000,extinct,623,0,17
29000,extinct,677,0,10
30000,split,769,747,8
30000,split,780,457,23
30000,split,786,600,41
30000,split,795,440,17
30000,split,797,675,9
30000,extinct,457,0,27
30000,extinct,556,0,8
30000,extinct,619,0,25
30000,extinct,645,0,7
30000,extinct,678,0,8
30000,extinct,681,0,28
31000,split,836,401,7
31000,split,840,401,12
31000,split,845,623,18
31000,split,849,600,9
31000,split,852,401,22
31000,split,884,681,66
31000,extinct,440,0,11
31000,extinct,600,0,25
31000,extinct,617,0,11
32000,split,898,401,38
32000,split,899,401,164
32000,split,901,401,13
32000,split,903,701,119
32000,split,910,833,39
32000,split,917,675,12
32000,extinct,500,0,16
32000,extinct,685,0,9
32000,extinct,780,0,23
33000,split,950,401,18
33000,split,951,898,272
33000,split,952,401,23
33000,extinct,727,0,56
33000,extinct,769,0,10
33000,extinct,786,0,9
33000,extinct,795,0,26
33000,extinct,849,0,9
34000,split,999,950,5
34000,split,1002,701,34
34000,split,1021,701,17
34000,extinct,845,0,7
34000,extinct,910,0,13
35000,split,1045,898,40
35000,extinct,836,0,10
35000,extinct,840,0,12
35000,extinct,852,0,16
35000,extinct,999,0,5
36000,split,1008,901,44
36000,extinct,917,0,7
36000,extinct,952,0,9
37000,split,1094,951,53
37000,extinct,950,0,18
37000,extinct,1021,0,5
38000,split,1109,1002,10
39000,split,1120,951,157
39000,extinct,903,0,8
40000,split,1126,701,28
40000,split,1127,899,278
40000,extinct,884,0,19
40000,extinct,1109,0,10
41000,split,1123,1105,6
43000,extinct,899,0,9
43000,extinct,1123,0,6
44000,split,1160,1094,101
44000,split,1165,701,5
44000,extinct,1126,0,8
45000,split,1178,1120,28
45000,split,1179,701,24
45000,split,1181,1127,70
45000,split,1182,1002,7
45000,split,1185,1142,42
45000,extinct,675,0,6
45000,extinct,898,0,6
45000,extinct,1045,0,9
46000,split,1141,701,10
46000,split,1167,1127,16
46000,split,1211,1127,35
46000,split,1239,1002,17
46000,extinct,1165,0,5
