step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,1556,22.89,0.50,5.50,0.54,5.47,0.01,1.19,0.004,0.213,375453.8,253458.4,4,164,2.93,1.18,1.20,18.0958,742.29,20913.2,0.0465,31.5392,5462,27.7280,2251,9.9759,39885.9,148.26,2.0530,0.0,0.0000,1.000,0.7810,2.6133,2.5248
10000,1,1425,24.54,0.64,5.62,0.44,7.11,0.04,1.21,0.019,0.225,382973.9,289699.6,5,128,3.16,1.22,1.21,20.1589,552.52,23607.7,0.0570,31.8534,5461,27.7229,2078,10.3943,42036.6,93.87,10.1196,0.0,0.0000,1.000,0.3216,2.3844,2.8262
10000,2,996,25.36,0.79,5.86,0.42,7.22,0.05,1.26,0.024,0.164,317832.0,219163.2,6,180,3.15,1.26,1.26,14.2616,293.07,26006.5,0.0523,26.6074,5461,27.7229,1980,7.0916,27079.8,57.87,27.1356,0.0,0.0000,1.000,0.0291,2.3533,2.4297
20000,0,1537,25.99,1.38,5.94,0.26,8.45,0.11,1.37,0.051,0.281,230066.5,167484.9,3,166,3.23,1.36,1.36,7.4045,538.81,14734.7,0.0028,21.5781,5462,13.1290,1813,4.6479,13635.0,148.26,1.0645,0.0,0.0000,1.000,0.7810,2.0002,2.0918
20000,1,1301,24.73,0.94,6.18,0.19,8.22,0.06,1.23,0.026,0.234,135637.9,98146.0,3,160,3.13,1.22,1.23,4.3084,397.27,29111.1,0.0000,12.7224,5461,13.1266,1563,1.9657,5543.0,93.87,3.1362,0.0,0.0000,1.000,0.3216,1.7367,1.2931
20000,2,974,26.56,1.12,6.19,0.31,9.34,0.04,1.27,0.023,0.187,92726.5,65122.8,3,173,3.17,1.23,1.30,2.6490,211.73,38062.4,0.0000,8.5396,5461,13.1266,1302,1.1384,2939.2,57.87,7.2525,0.0,0.0000,1.000,0.0291,1.4511,0.9067
30000,0,1769,18.96,0.85,4.73,1.07,8.38,0.07,1.26,0.030,0.304,378300.4,354368.8,3,123,3.09,1.23,1.30,17.7121,920.88,24428.5,0.0270,34.2395,5462,28.2788,1383,9.8274,37683.9,148.26,2.1893,0.0,0.0000,1.000,0.7810,1.4227,4.0841
30000,1,1460,19.91,0.96,4.71,1.24,8.23,0.11,1.29,0.053,0.254,377164.2,357780.5,4,168,3.10,1.27,1.34,17.8970,519.21,26283.5,0.0001,34.3302,5461,28.2737,1656,9.5930,38447.4,93.87,10.5331,0.0,0.0000,1.000,0.3216,1.8097,3.9218
30000,2,1074,19.40,0.97,5.04,1.57,6.99,0.06,1.31,0.024,0.178,305282.5,300025.9,4,179,3.04,1.25,1.40,14.0480,301.24,32367.9,0.0000,28.7086,5461,28.2737,1599,6.2492,23626.3,57.87,27.9132,0.0,0.0000,1.000,0.0291,1.7701,3.5131
40000,0,1810,21.39,0.58,6.17,0.52,7.45,0.02,1.21,0.017,0.305,240010.3,187674.2,4,153,2.94,1.21,1.24,7.5296,543.07,14688.4,0.0020,23.2568,5462,13.6687,1525,2.4618,9832.0,148.26,1.0498,0.0,0.0000,1.000,0.7810,1.5641,2.8048
