step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,5419,0.00,127.60,25.42,1907,0,0,0,1.00,1.00,1.00,1,1,2,14.8,2.291,2,2.000,0.663,4,1.000,14,7.83,-7.50,0,0.0883,0.949,0.0000,3684,0.6800
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,5354,0.00,146.16,25.06,1595,0,0,0,1.00,1.00,1.00,1,1,1,21.1,1.764,1,2.000,0.604,4,1.000,11,3.40,3.25,0,0.0910,0.981,0.0000,3640,0.6800
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,5324,0.00,174.49,31.55,1595,2,0,0,1.00,1.00,1.00,1,1,1,45.9,5.308,1,2.000,0.622,4,1.000,11,29.03,14.75,0,0.0899,0.986,0.0000,3620,0.6800
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,5237,0.00,137.79,48.48,1890,0,0,0,1.00,1.00,1.00,1,1,1,12.6,9.245,1,2.000,0.739,4,1.000,14,4.26,3.25,0,0.0878,0.975,0.0000,3561,0.6800
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,5234,0.00,160.34,23.41,1890,0,1,0,1.00,1.00,1.00,1,1,1,18.8,4.411,1,2.000,0.758,4,1.000,14,20.84,-20.50,0,0.0891,0.977,0.0000,3559,0.6800
100000,3.00,16,0,1,1,0,0,1.00,10,0.333,5221,0.00,127.88,28.98,1595,1,1,0,1.00,1.00,1.00,2,2,1,30.1,4.710,2,2.000,0.557,4,1.000,12,17.69,16.25,1,0.0910,0.977,0.0000,3550,0.6800
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,5214,0.00,167.58,24.39,1595,0,1,0,1.00,1.00,1.00,1,1,1,21.7,3.375,1,2.000,0.780,4,1.000,11,5.77,0.50,0,0.0949,0.983,0.0000,3545,0.6800
100000,6.00,16,0,2,0,1,0,1.00,4,0.333,5199,0.00,142.58,43.08,1595,0,0,0,1.00,1.00,1.00,3,3,3,13.0,16.962,3,2.000,0.660,4,1.000,12,4.04,1.50,0,0.0898,0.985,0.0000,3535,0.6800
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,5181,0.00,181.33,26.80,1595,2,1,0,1.00,1.00,1.00,1,1,2,61.3,13.381,2,2.000,0.592,4,1.000,11,24.91,13.00,0,0.0908,0.975,0.0000,3523,0.6800
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,5163,0.00,162.43,37.75,1890,1,0,0,1.00,1.00,1.00,1,1,1,29.4,3.822,1,2.000,0.751,4,1.000,11,20.41,-17.50,0,0.0891,0.978,0.0000,3510,0.6800
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,5149,0.00,150.40,33.73,1595,0,0,0,1.00,1.00,1.00,1,1,1,18.5,2.065,1,2.000,0.608,4,1.000,12,16.82,-12.50,0,0.0919,0.977,0.0000,3501,0.6800
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,5140,0.00,174.17,31.49,1888,1,0,0,1.00,1.00,1.00,1,1,1,36.1,10.000,1,2.000,0.484,4,1.000,13,19.64,7.25,0,0.0941,0.970,0.0000,3495,0.6800
100000,6.00,16,0,1,0,2,0,1.00,6,0.167,5107,0.00,138.41,49.95,1595,0,0,0,1.00,1.00,1.00,2,3,2,22.6,27.609,3,2.000,0.608,4,1.000,13,17.28,1.00,0,0.0919,0.977,0.0000,3472,0.6800
100000,8.00,16,0,1,0,3,0,1.00,6,0.125,5091,0.00,116.39,26.77,1595,0,0,0,1.00,1.00,1.00,2,3,2,5.8,3.115,4,2.000,0.568,4,1.000,12,10.06,8.25,0,0.0878,0.968,0.0000,3461,0.6800
100000,8.00,16,0,0,0,4,0,1.00,4,0.000,5070,0.31,127.16,24.73,1888,0,0,0,1.00,1.00,1.00,3,2,4,18.6,18.942,4,2.000,0.523,4,1.000,10,4.01,-4.00,0,0.0935,0.972,0.0000,3447,0.6800
100000,4.00,16,0,0,0,2,0,1.00,8,0.000,5050,0.34,132.33,50.92,1595,0,0,0,1.00,1.00,1.00,2,2,2,13.0,9.248,2,2.000,0.591,4,1.000,13,10.98,7.25,0,0.0907,0.975,0.0000,3433,0.6800
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,5039,0.00,136.48,30.98,1595,0,0,0,1.00,1.00,1.00,1,1,1,11.1,1.872,1,2.000,0.584,4,1.000,12,4.10,-3.25,0,0.0919,0.978,0.0000,3426,0.6800
100000,2.00,16,0,0,2,0,0,1.00,10,0.000,5017,0.00,124.33,15.34,1595,0,0,0,1.00,1.00,1.00,1,2,1,17.8,1.756,2,2.000,0.450,4,1.000,11,26.48,-3.50,2,0.0820,0.975,0.0000,3411,0.6800
100000,8.00,16,0,1,0,3,0,1.00,6,0.125,4998,0.00,167.47,35.87,1595,0,0,0,1.00,1.00,1.00,2,3,2,11.5,21.528,4,2.000,0.585,4,1.000,9,1.90,-1.75,0,0.0867,0.969,0.0000,3398,0.6800
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4994,0.00,126.75,38.66,1891,0,0,0,1.00,1.00,1.00,1,1,1,12.5,6.425,1,2.000,0.826,4,1.000,12,11.14,11.00,0,0.0807,0.986,0.0000,3395,0.6800
100000,6.00,16,0,3,0,0,0,1.00,8,0.500,4956,0.00,128.67,33.85,1595,1,0,0,1.00,1.00,1.00,2,2,2,26.3,6.209,3,2.000,0.658,4,1.000,10,19.98,19.75,0,0.0904,0.977,0.0000,3370,0.6800
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,4941,0.00,143.90,36.29,1595,0,0,0,1.00,1.00,1.00,1,2,1,18.9,12.064,2,2.000,0.608,4,1.000,11,20.66,19.25,0,0.0919,0.977,0.0000,3359,0.6800
