step,event,lineage,other,size
5000,birth,1,0,2062
5000,birth,15,0,147
6000,birth,21,0,119
8000,split,34,1,152
8000,extinct,21,0,119
9000,split,40,1,229
10000,split,56,40,266
11000,merge,1,15,744
12000,split,112,75,20
13000,split,135,75,7
13000,split,139,56,36
13000,extinct,56,0,8
14000,extinct,40,0,22
16000,split,167,15,420
16000,extinct,135,0,7
17000,extinct,34,0,5
20000,split,172,167,74
23000,split,176,139,37
23000,extinct,112,0,28
26000,extinct,172,0,35
27000,split,188,167,102
27000,split,201,139,8
28000,split,206,187,8
28000,split,208,139,66
28000,split,211,139,36
28000,extinct,176,0,9
29000,split,222,206,11
29000,split,223,206,65
29000,extinct,15,0,15
29000,extinct,206,0,8
30000,extinct,222,0,11
32000,extinct,139,0,6
32000,extinct,201,0,14
33000,extinct,188,0,14
33000,extinct,208,0,47
33000,extinct,223,0,14
34000,split,260,167,10
36000,split,265,167,13
37000,split,267,167,142
37000,extinct,211,0,5
38000,split,268,167,273
39000,split,271,265,140
39000,extinct,260,0,12
42000,extinct,265,0,26
43000,extinct,271,0,7
44000,split,282,267,5
44000,split,284,267,9
44000,split,293,267,5
44000,split,295,267,101
45000,extinct,284,0,9
46000,split,308,268,22
46000,split,313,281,91
47000,split,317,267,13
47000,extinct,268,0,14
47000,extinct,293,0,5
48000,split,329,295,102
48000,split,333,268,17
48000,extinct,317,0,13
49000,split,340,308,76
50000,split,348,167,92
50000,split,349,330,106
50000,split,351,167,57
50000,split,352,267,13
50000,extinct,282,0,5
51000,split,360,167,11
51000,split,361,167,16
51000,split,363,267,14
51000,extinct,267,0,16
51000,extinct,295,0,5
51000,extinct,333,0,24
52000,split,368,313,19
52000,split,372,267,14
53000,split,376,167,137
53000,split,377,167,20
53000,split,378,329,20
53000,split,380,333,5
53000,extinct,308,0,14
53000,extinct,348,0,20
53000,extinct,360,0,11
53000,extinct,361,0,16
54000,extinct,363,0,22
55000,split,393,348,21
55000,extinct,352,0,5
55000,extinct,372,0,14
56000,extinct,329,0,7
56000,extinct,368,0,15
56000,extinct,377,0,8
58000,extinct,380,0,6
58000,extinct,393,0,5
60000,extinct,376,0,10
61000,extinct,351,0,17
64000,split,410,313,10
65000,split,412,313,30
65000,extinct,340,0,9
65000,extinct,349,0,6
66000,extinct,410,0,30
67000,split,429,410,6
67000,extinct,313,0,12
67000,extinct,412,0,23
69000,split,440,378,46
69000,extinct,378,0,24
69000,extinct,429,0,7
71000,split,445,440,16
71000,extinct,440,0,46
74000,extinct,445,0,6
