step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned,rich,plant_rich,plant_thin,pop_rich,hunger_rich,hunger_thin
10000,2792,1.270,2.167,9.55,122671,93980,0,26364,1001,2141274,1073938.9,1000686.5,0.094,0.748,0.065,0.093,69,33.40,17.58,3.57,4.87,7.11,6.33,0.17,1.24,11.77,10.48,1.10,1.52,0.216,0.176,2207,0.030,0.020,0.970,0.001,0.009,254422,207276,5,0.310,0.199,0.046,2555257,0.197,3.204,0.249,91.05,96174,276,0.467,0.160,0.286,13742602,2.06,2.99,0.184,0.733,0.400,11.2,31.6,56.5,131.7,63153,0.241,0.00,0.0033,0.087,734,0.612,0.000,0.542,0.527,4.03,5.07,5.14,1.12,0.409,2.40,1.39,2.35,0.648,0.00286,87.30,58.2429,1072.16,79735.8,140221.4,0.169,43.8746,207.686,0.000,1.000,0.000,66.1,79.837,102.038,5331,32023.1,18.46,96.320,6.06,24.684,1179.6,9.207,0.135,2.00,6.9860,19504.9,0.4892,0.3339,22.62,1.372,0.463,1.5308,0.0000,0.526,0.154,0.536,0.0000,5.85,0.82,7,22,36,76,72.8178,0.0005,0.5018,0.0000,0.0000,47.5972,100.00,59.3288,247.1166,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0036,0.0014,0.000003,0,0.1502,0.0197,0.0113,65,245,630,0.0000,0.0000,0.0184,0.051,9.2731,0.0121,3.4243,0.0451,0.2942,0.0797,0.0000,0.00095,0.679,0.0247,0.582,0.065,0.14,0.046,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0905,0.0000,2.2371,0.00000,0.03892,0.6800,0.6787,1.0000,2.029,0.000,1.0000,9.3980,0.0000
20000,2795,1.681,1.882,7.63,40505,36506,0,3694,302,672766,450199.9,288142.6,0.038,0.872,0.048,0.042,101,39.74,19.80,3.35,4.74,8.35,6.62,0.10,0.82,12.56,9.24,0.93,1.39,0.210,0.157,1932,0.062,0.051,0.934,0.002,0.013,57431,47069,5,0.775,0.014,0.022,286005,0.132,3.018,0.214,42.60,19239,372,0.428,0.156,0.334,5648836,2.08,3.22,0.248,0.665,0.342,11.9,40.9,60.3,174.9,68083,0.260,0.00,0.0013,0.094,728,0.535,0.000,0.486,0.339,4.13,5.16,5.34,0.97,0.351,2.24,1.35,2.56,0.556,0.00166,14.20,11.7770,1228.37,81104.3,140221.4,0.000,9.7633,93.419,0.000,1.000,0.000,57.9,39.318,40.748,4793,27451.4,34.96,34.838,5.96,6.349,871.6,2.099,0.134,2.01,7.6207,21299.9,0.4785,0.3355,24.36,1.479,0.267,0.4692,0.0000,0.512,0.117,0.368,0.0000,6.06,0.60,7,25,36,90,35.8003,0.0001,0.4222,0.0000,0.0000,13.7311,100.00,90.2485,176.7954,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0014,0.000002,0,0.1074,0.0147,0.0211,87,281,858,0.0000,0.0000,0.0160,0.032,3.3464,0.0175,1.0333,0.0200,0.3662,0.0415,0.0000,0.00008,0.277,0.0137,0.674,0.095,0.10,0.022,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7565,0.0000,1.1660,0.00000,0.05593,0.6800,0.6791,1.0000,1.754,0.000,1.0000,3.6506,0.0000
30000,3149,1.313,2.012,7.21,87735,78575,0,7678,1128,1425092,983477.8,684502.1,0.023,0.910,0.049,0.019,85,37.63,17.48,4.28,4.75,7.48,6.30,0.06,0.79,11.20,7.84,1.26,1.46,0.192,0.152,2154,0.070,0.034,0.949,0.003,0.015,147921,127802,7,0.820,0.106,0.010,284607,0.132,3.114,0.233,91.35,47184,358,0.480,0.143,0.266,17217319,2.43,3.53,0.222,0.680,0.468,12.8,37.9,57.3,111.1,72494,0.277,0.00,0.0028,0.087,823,0.671,0.000,0.584,0.424,4.03,5.08,5.23,1.28,0.475,2.68,1.47,3.00,0.688,0.00196,85.94,33.2802,1066.33,75709.0,140221.4,0.001,30.3858,204.441,0.000,1.000,0.000,77.2,84.975,104.130,5037,29819.7,33.51,82.663,5.75,24.553,971.2,9.654,0.133,2.00,7.9278,24964.8,0.5011,0.3591,23.02,1.416,0.219,1.5308,0.0000,0.505,0.133,0.299,0.0000,6.04,0.75,8,23,36,64,79.7502,0.0006,0.5062,0.0000,0.0000,48.9685,100.00,59.3844,252.7972,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0031,0.0012,0.000002,0,0.2123,0.0257,0.0212,98,318,886,0.0000,0.0000,0.0242,0.062,6.4400,0.0232,2.0049,0.0343,0.2762,0.0449,0.0000,-0.00016,0.226,0.0086,0.696,0.082,0.05,0.010,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9200,0.0000,1.8437,0.00000,0.02891,0.6800,0.6791,1.0000,1.888,0.000,1.0000,7.8575,0.0000
40000,2827,1.590,2.065,8.45,38686,35500,0,3233,275,593124,444814.8,274198.1,0.021,0.874,0.085,0.020,98,36.94,17.41,3.30,4.79,8.62,6.28,0.13,1.10,10.14,7.31,0.89,1.35,0.238,0.158,1918,0.062,0.039,0.941,0.002,0.019,50675,41015,5,0.479,0.214,0.033,172470,0.139,3.117,0.239,42.70,17463,383,0.462,0.168,0.320,5922113,2.08,2.80,0.260,0.676,0.331,12.6,37.8,57.3,117.8,62753,0.239,0.00,0.0016,0.088,732,0.543,0.000,0.549,0.290,3.93,4.95,5.15,0.92,0.344,2.26,1.39,2.50,0.561,0.00160,13.93,10.2149,1141.66,78513.2,140221.4,0.012,9.2973,93.728,0.000,1.000,0.000,59.7,39.969,41.589,5170,30490.7,21.84,34.844,5.74,6.287,922.8,2.001,0.135,2.00,7.5084,21226.3,0.5180,0.3754,22.20,1.507,0.227,0.4692,0.0000,0.523,0.113,0.459,0.0000,5.75,0.66,7,23,36,64,36.4758,0.0000,0.4224,0.0000,0.0000,13.9394,100.00,88.3231,186.7466,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0031,0.0013,0.000002,0,0.1207,0.0212,0.0242,92,298,948,0.0000,0.0000,0.0137,0.025,2.4956,0.0174,0.8034,0.0279,0.3678,0.0374,0.0000,-0.00022,0.285,0.0041,0.462,0.018,0.11,0.033,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8118,0.0000,1.2942,0.00000,0.05050,0.6800,0.6791,1.0000,1.939,0.000,1.0000,3.5500,0.0000
50000,3327,1.376,1.758,7.52,86762,77309,0,8117,835,1213907,998939.2,639333.2,0.020,0.844,0.110,0.026,86,36.77,16.48,4.17,4.72,7.24,5.93,0.04,0.63,11.04,6.54,1.16,1.41,0.188,0.137,2195,0.089,0.039,0.944,0.002,0.015,144835,123564,12,0.645,0.204,0.010,430727,0.168,2.924,0.201,93.00,46466,419,0.527,0.136,0.248,16395228,2.37,3.11,0.206,0.659,0.436,15.2,36.5,57.3,120.4,74855,0.286,0.00,0.0027,0.077,885,0.660,0.000,0.599,0.419,4.03,5.07,5.23,1.19,0.448,2.58,1.43,2.96,0.675,0.00176,89.31,30.5242,980.96,77183.0,140221.4,0.175,25.4397,208.425,0.000,1.000,0.000,78.3,87.601,106.068,4584,25871.9,19.91,83.246,5.59,20.173,744.6,8.701,0.134,2.00,8.1553,27132.8,0.5315,0.3940,22.50,1.426,0.196,1.5308,0.0000,0.511,0.125,0.359,0.0000,5.93,0.74,8,22,36,49,82.7643,0.0026,0.4842,0.0000,0.0000,48.1530,100.00,60.6746,260.5800,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0029,0.0012,0.000002,1,0.2501,0.0304,0.0237,102,326,958,0.0000,0.0000,0.0223,0.034,4.1777,0.0243,1.5381,0.0313,0.2857,0.0425,0.0000,-0.00003,0.157,0.0024,0.594,0.020,0.03,0.010,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8961,0.0000,1.6813,0.00000,0.03044,0.6800,0.6792,1.0000,1.653,0.000,1.0000,7.7309,0.0000
60000,2886,1.588,1.682,7.06,36360,33911,0,2585,300,506254,446003.0,245181.8,0.027,0.850,0.094,0.030,102,38.15,18.67,3.60,4.70,8.04,6.55,0.10,0.85,12.62,8.33,1.02,1.35,0.203,0.152,1997,0.035,0.050,0.933,0.001,0.017,46448,38333,6,0.784,0.028,0.021,112153,0.208,2.862,0.190,42.79,15600,451,0.484,0.154,0.282,5593145,2.20,3.84,0.212,0.660,0.397,13.3,38.7,60.2,116.8,70303,0.268,0.00,0.0012,0.081,680,0.533,0.000,0.525,0.278,4.25,5.31,5.41,1.04,0.406,2.29,1.35,2.87,0.549,0.00146,14.72,9.2326,1087.25,83686.2,140221.4,0.000,8.2092,94.009,0.000,1.000,0.002,66.5,40.820,41.392,4365,24504.5,24.61,34.565,5.84,5.587,671.2,1.831,0.134,2.00,7.6646,22120.1,0.4790,0.3908,24.36,1.397,0.198,0.4692,0.0000,0.471,0.080,0.236,0.0000,6.32,0.75,8,25,36,64,37.6644,0.0005,0.4383,0.0000,0.0000,13.7714,100.00,89.3794,187.5922,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0030,0.0012,0.000002,5,0.1549,0.0256,0.0302,98,306,1026,0.0000,0.0000,0.0102,0.022,1.9512,0.0165,0.6423,0.0249,0.3816,0.0337,0.0000,0.00003,0.185,0.0024,0.605,0.027,0.09,0.021,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7755,0.0000,1.1890,0.00000,0.05078,0.6800,0.6792,1.0000,1.575,0.000,1.0000,3.3911,0.0000
70000,2939,1.555,1.713,5.33,88150,81441,0,6106,549,1404836,998446.1,671622.7,0.013,0.915,0.060,0.012,90,40.65,16.14,5.47,4.16,7.74,6.00,0.04,0.42,13.12,8.09,1.50,1.28,0.179,0.143,1597,0.118,0.030,0.954,0.002,0.014,150385,138769,2,0.981,0.019,0.016,236424,0.203,2.890,0.197,93.07,37106,331,0.478,0.160,0.271,16673307,2.91,2.45,0.299,0.625,0.634,17.6,43.5,53.7,146.0,77478,0.296,0.00,0.0026,0.078,784,0.658,0.000,0.595,0.430,4.41,5.27,5.84,1.51,0.634,2.91,1.43,4.21,0.674,0.00200,89.23,32.3766,970.66,82146.4,140221.4,0.002,25.9321,207.546,0.000,1.000,0.000,72.9,87.287,106.271,4431,25176.2,16.04,83.043,5.80,20.306,714.9,8.973,0.135,2.00,7.8187,22979.1,0.4216,0.3544,26.36,1.283,0.069,1.5308,0.0000,0.454,0.044,0.072,0.0000,6.17,0.43,10,29,36,64,82.3497,0.0003,0.4624,0.0000,0.0000,48.1987,100.00,63.8583,256.7542,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0013,0.000002,1,0.2192,0.0228,0.0216,102,309,868,0.0000,0.0000,0.0115,0.030,3.7215,0.0195,1.2652,0.0180,0.2925,0.0443,0.0000,-0.00026,0.092,0.0005,0.835,0.026,0.04,0.016,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8292,0.0000,1.5490,0.00000,0.02863,0.6800,0.6791,1.0000,1.610,0.000,1.0000,8.1441,0.0000
80000,2777,1.522,1.629,5.28,36849,35299,0,1590,122,587723,449349.3,253110.8,0.005,0.941,0.050,0.005,106,39.61,17.10,4.69,4.64,7.68,6.11,0.04,0.71,13.75,8.76,1.19,1.29,0.191,0.159,1658,0.112,0.049,0.931,0.003,0.018,47585,45808,1,1.000,0.000,0.009,56765,0.198,2.824,0.183,43.01,11905,283,0.431,0.234,0.266,5899018,2.60,2.78,0.263,0.637,0.510,15.3,42.5,56.3,120.1,72656,0.277,0.00,0.0012,0.083,746,0.541,0.000,0.512,0.282,4.43,5.30,5.78,1.22,0.519,2.63,1.43,3.66,0.556,0.00152,14.47,9.3628,975.09,85616.5,140221.4,0.000,8.1943,94.151,0.000,1.000,0.008,67.6,40.792,41.654,4214,23718.7,18.49,34.854,5.96,5.627,693.9,1.890,0.135,2.00,7.7135,21420.3,0.4273,0.3478,26.16,1.289,0.061,0.4692,0.0000,0.457,0.035,0.147,0.0000,6.23,0.44,8,29,36,81,37.5844,0.0000,0.4678,0.0000,0.0000,13.7657,100.00,91.0871,186.4989,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0013,0.000002,0,0.1212,0.0274,0.0256,99,290,911,0.0000,0.0000,0.0049,0.016,1.6062,0.0122,0.5041,0.0205,0.3819,0.0328,0.0000,0.00000,0.147,0.0010,0.791,0.036,0.03,0.009,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7121,0.0000,1.0609,0.00000,0.04821,0.6800,0.6791,1.0000,1.527,0.000,1.0000,3.5299,0.0000
90000,2928,1.565,1.731,5.13,88067,82513,0,4882,521,1432760,1004037.1,669978.8,0.003,0.940,0.051,0.005,93,40.89,16.46,5.47,4.34,7.56,5.89,0.01,0.28,13.53,8.07,1.46,1.24,0.172,0.133,1617,0.128,0.036,0.949,0.002,0.013,151236,146968,1,1.000,0.000,0.001,69862,0.131,2.912,0.198,93.69,34916,278,0.468,0.199,0.250,16902655,2.89,2.43,0.275,0.647,0.633,16.6,44.8,54.5,120.1,77808,0.297,0.00,0.0025,0.081,861,0.657,0.000,0.603,0.434,4.43,5.33,5.81,1.48,0.636,2.90,1.46,4.12,0.673,0.00197,89.42,32.7069,862.73,81203.1,140221.4,0.000,25.0569,208.018,0.000,1.000,0.000,74.3,87.738,107.009,4476,25519.9,15.77,83.312,5.86,19.550,780.3,8.965,0.133,2.01,8.0632,23609.0,0.4305,0.3430,26.57,1.279,0.043,1.5308,0.0000,0.449,0.025,0.053,0.0000,6.18,0.40,10,30,36,64,82.9105,0.0000,0.4679,0.0000,0.0000,48.1551,100.00,65.2887,258.8872,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0034,0.0013,0.000002,0,0.2034,0.0260,0.0211,103,305,849,0.0000,0.0000,0.0083,0.030,3.3559,0.0189,1.1820,0.0154,0.2951,0.0428,0.0000,-0.00011,0.086,0.0005,0.837,0.026,0.01,0.001,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7817,0.0000,1.4047,0.00000,0.02771,0.6800,0.6791,1.0000,1.631,0.000,1.0000,8.2513,0.0000
100000,2669,1.583,1.697,5.34,36629,35079,0,1649,159,580579,449065.6,254201.1,0.004,0.943,0.049,0.005,107,40.06,17.65,4.76,4.55,7.74,6.63,0.03,0.64,13.80,9.24,1.21,1.29,0.184,0.161,1618,0.125,0.056,0.927,0.001,0.016,47506,45282,1,1.000,0.000,0.006,39339,0.123,2.876,0.191,43.03,12798,281,0.438,0.210,0.278,5912062,2.68,2.94,0.257,0.659,0.522,15.3,42.5,56.4,129.6,70304,0.268,0.00,0.0012,0.090,663,0.539,0.000,0.510,0.285,4.40,5.25,5.83,1.23,0.525,2.68,1.42,3.89,0.554,0.00157,14.58,9.3988,915.76,85521.7,140221.4,0.000,8.0602,94.345,0.000,1.000,0.003,65.3,40.908,41.708,4428,24832.6,17.30,34.705,5.96,5.506,731.8,1.876,0.135,2.00,7.6674,20464.3,0.4244,0.3529,26.34,1.292,0.060,0.4692,0.0000,0.456,0.040,0.114,0.0000,6.27,0.47,8,28,36,79,37.7064,0.0000,0.4608,0.0000,0.0000,13.7594,100.00,91.0763,187.3120,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0013,0.000002,1,0.1284,0.0210,0.0273,99,292,923,0.0000,0.0000,0.0051,0.020,1.5176,0.0121,0.5020,0.0187,0.3845,0.0337,0.0000,0.00018,0.165,0.0013,0.799,0.032,0.02,0.006,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7114,0.0000,1.0455,0.00000,0.04811,0.6800,0.6791,1.0000,1.597,0.000,1.0000,3.5079,0.0000
