step,measure,value,count
50000,hamming,0,725
50000,hamming,1,1836
50000,hamming,2,2646
50000,hamming,3,3366
50000,hamming,4,3993
50000,hamming,5,4390
50000,hamming,6,4792
50000,hamming,7,5297
50000,hamming,8,5732
50000,hamming,9,6142
50000,hamming,10,6507
50000,hamming,11,7355
50000,hamming,12,7893
50000,hamming,13,8910
50000,hamming,14,9806
50000,hamming,15,10747
50000,hamming,16,11418
50000,hamming,17,12297
50000,hamming,18,13319
50000,hamming,19,14394
50000,hamming,20,15478
50000,hamming,21,16060
50000,hamming,22,17128
50000,hamming,23,17824
50000,hamming,24,18324
50000,hamming,25,19438
50000,hamming,26,20086
50000,hamming,27,21188
50000,hamming,28,22402
50000,hamming,29,24039
50000,hamming,30,25635
50000,hamming,31,27561
50000,hamming,32,30585
50000,hamming,33,34244
50000,hamming,34,38358
50000,hamming,35,41956
50000,hamming,36,46342
50000,hamming,37,49989
50000,hamming,38,53930
50000,hamming,39,57587
50000,hamming,40,61054
50000,hamming,41,65005
50000,hamming,42,67999
50000,hamming,43,72024
50000,hamming,44,75131
50000,hamming,45,78008
50000,hamming,46,80611
50000,hamming,47,82810
50000,hamming,48,84822
50000,hamming,49,86061
50000,hamming,50,86502
50000,hamming,51,86239
50000,hamming,52,85126
50000,hamming,53,83256
50000,hamming,54,82081
50000,hamming,55,79406
50000,hamming,56,77444
50000,hamming,57,74750
50000,hamming,58,72764
50000,hamming,59,70643
50000,hamming,60,68646
50000,hamming,61,67006
50000,hamming,62,64932
50000,hamming,63,62505
50000,hamming,64,60779
50000,hamming,65,58136
50000,hamming,66,56725
50000,hamming,67,55086
50000,hamming,68,53644
50000,hamming,69,51869
50000,hamming,70,50597
50000,hamming,71,49574
50000,hamming,72,48514
50000,hamming,73,46956
50000,hamming,74,45734
50000,hamming,75,44670
50000,hamming,76,43587
50000,hamming,77,42724
50000,hamming,78,41183
50000,hamming,79,41134
50000,hamming,80,40645
50000,hamming,81,40456
50000,hamming,82,41322
50000,hamming,83,42529
50000,hamming,84,44250
50000,hamming,85,46434
50000,hamming,86,49613
50000,hamming,87,53057
50000,hamming,88,58558
50000,hamming,89,64653
50000,hamming,90,70177
50000,hamming,91,76934
50000,hamming,92,84516
50000,hamming,93,90872
50000,hamming,94,99503
50000,hamming,95,107470
50000,hamming,96,116033
50000,hamming,97,125042
50000,hamming,98,133080
50000,hamming,99,142650
50000,hamming,100,150993
50000,hamming,101,160365
50000,hamming,102,168888
50000,hamming,103,176445
50000,hamming,104,184188
50000,hamming,105,191427
50000,hamming,106,197603
50000,hamming,107,205115
50000,hamming,108,211398
50000,hamming,109,219050
