step,event,lineage,other,size
5000,birth,4,0,184
5000,birth,5,0,15
5000,birth,6,0,111
5000,birth,7,0,53
5000,birth,8,0,11
5000,birth,16,0,25
5000,birth,19,0,78
6000,birth,76,0,2524
6000,extinct,8,0,11
7000,extinct,5,0,15
7000,extinct,6,0,23
7000,extinct,16,0,25
8000,extinct,4,0,9
8000,extinct,7,0,6
9000,extinct,76,0,40
12000,split,232,140,50
12000,extinct,19,0,40
14000,split,350,232,10
14000,extinct,232,0,50
15000,split,434,350,27
15000,split,436,349,121
16000,split,487,350,9
16000,split,489,350,104
16000,split,521,350,57
17000,split,554,436,29
17000,split,555,436,8
17000,split,557,487,313
17000,split,571,489,42
17000,extinct,350,0,6
17000,extinct,434,0,27
18000,split,605,487,42
18000,split,616,553,6
18000,extinct,487,0,5
18000,extinct,555,0,8
19000,extinct,554,0,7
19000,extinct,571,0,22
20000,split,693,557,65
20000,split,705,557,61
20000,extinct,436,0,20
20000,extinct,605,0,42
21000,split,728,694,14
21000,extinct,521,0,20
21000,extinct,616,0,14
22000,extinct,693,0,65
22000,extinct,705,0,61
24000,split,858,557,36
24000,extinct,728,0,14
25000,split,907,557,38
25000,split,926,557,8
26000,extinct,858,0,36
26000,extinct,926,0,8
27000,split,1085,557,87
27000,split,1101,557,100
27000,split,1114,557,46
28000,split,1184,557,72
29000,split,1250,557,22
29000,split,1251,557,33
29000,split,1253,557,9
29000,split,1254,557,10
29000,split,1266,557,13
30000,split,1365,557,8
30000,split,1377,557,13
30000,split,1379,557,86
31000,split,1425,557,24
31000,split,1479,1253,5
31000,extinct,489,0,15
31000,extinct,1253,0,9
31000,extinct,1254,0,10
32000,split,1498,557,10
32000,split,1500,907,139
32000,split,1507,1254,8
32000,split,1523,1412,5
32000,split,1528,1266,10
32000,extinct,1250,0,20
33000,split,1571,557,66
33000,split,1578,557,25
33000,split,1594,557,9
33000,split,1600,557,21
33000,extinct,1085,0,32
33000,extinct,1101,0,7
33000,extinct,1266,0,13
33000,extinct,1377,0,28
34000,split,1644,557,16
34000,split,1645,557,29
34000,split,1647,557,16
34000,extinct,1114,0,19
34000,extinct,1251,0,5
34000,extinct,1365,0,5
34000,extinct,1425,0,22
34000,extinct,1498,0,10
35000,split,1738,557,9
35000,extinct,1507,0,5
35000,extinct,1600,0,21
36000,split,1751,557,11
36000,extinct,1523,0,5
37000,split,1802,557,86
37000,split,1809,1645,17
37000,extinct,1479,0,8
37000,extinct,1645,0,22
38000,split,1700,557,123
38000,split,1837,557,6
38000,split,1838,557,531
38000,split,1842,907,175
38000,extinct,1571,0,7
38000,extinct,1578,0,6
38000,extinct,1594,0,11
38000,extinct,1647,0,8
38000,extinct,1738,0,9
39000,split,1862,557,72
39000,split,1867,1500,371
39000,extinct,1379,0,6
40000,split,1881,907,9
40000,extinct,1751,0,5
40000,extinct,1837,0,6
41000,extinct,1184,0,11
41000,extinct,1644,0,6
43000,split,1878,557,22
43000,split,1952,557,5
43000,split,1953,1802,43
43000,split,1967,1842,7
44000,split,2015,1838,8
45000,split,2055,907,9
45000,extinct,1528,0,5
45000,extinct,1881,0,9
45000,extinct,1952,0,5
46000,split,2110,557,32
47000,split,2144,1867,156
47000,split,2145,557,177
47000,split,2146,1500,94
47000,split,2155,1842,12
47000,extinct,1967,0,7
48000,split,2206,557,387
48000,split,2207,1842,22
48000,split,2211,1842,19
48000,split,2212,557,13
49000,split,2256,907,135
49000,split,2260,1700,31
49000,split,2265,907,23
49000,split,2278,1500,15
49000,split,2280,907,17
49000,extinct,1809,0,7
49000,extinct,2055,0,6
49000,extinct,2155,0,12
49000,extinct,2212,0,13
50000,split,2162,907,92
50000,split,2306,1842,10
50000,split,2307,2144,14
50000,split,2308,2206,58
50000,split,2311,1953,115
50000,extinct,1878,0,16
50000,extinct,2207,0,22
51000,split,2343,557,182
51000,split,2344,907,27
51000,split,2350,1500,13
51000,split,2363,557,13
51000,split,2390,2256,5
51000,extinct,2307,0,14
52000,split,2400,2344,50
52000,split,2401,907,35
52000,split,2403,557,14
52000,split,2406,2207,23
52000,split,2409,1878,9
52000,extinct,1500,0,17
52000,extinct,2015,0,6
52000,extinct,2308,0,58
53000,split,2451,2145,158
53000,split,2452,2145,13
53000,split,2453,907,7
53000,split,2454,557,74
53000,extinct,907,0,9
53000,extinct,1838,0,6
53000,extinct,1867,0,10
53000,extinct,1953,0,24
53000,extinct,2363,0,9
54000,split,2514,2256,8
54000,extinct,2265,0,17
54000,extinct,2280,0,11
54000,extinct,2390,0,5
55000,extinct,2211,0,16
55000,extinct,2256,0,22
55000,extinct,2344,0,5
55000,extinct,2401,0,7
55000,extinct,2453,0,7
56000,split,2476,557,5
56000,split,2489,557,21
56000,split,2608,2206,18
56000,split,2609,557,23
56000,split,2610,1802,58
56000,extinct,1862,0,7
56000,extinct,2144,0,13
56000,extinct,2162,0,19
56000,extinct,2278,0,5
56000,extinct,2409,0,6
56000,extinct,2514,0,6
57000,extinct,1700,0,9
57000,extinct,1842,0,7
57000,extinct,2145,0,5
57000,extinct,2260,0,23
57000,extinct,2403,0,5
58000,split,2657,557,40
58000,extinct,2306,0,12
59000,split,2675,1802,19
59000,extinct,2406,0,22
60000,extinct,2311,0,11
61000,split,2612,2514,32
61000,extinct,2657,0,10
61000,extinct,2675,0,19
62000,split,2711,557,62
63000,split,2729,557,177
63000,split,2736,2343,16
63000,extinct,2146,0,15
63000,extinct,2452,0,16
64000,extinct,2736,0,16
65000,split,2775,2451,8
65000,extinct,2343,0,6
65000,extinct,2350,0,7
65000,extinct,2476,0,21
66000,split,2800,2610,9
66000,extinct,2206,0,8
66000,extinct,2400,0,5
66000,extinct,2612,0,33
67000,split,2825,557,17
67000,split,2828,2729,33
68000,split,2853,2610,5
68000,split,2856,557,7
69000,split,2869,557,11
69000,split,2870,2451,18
69000,split,2871,2610,16
69000,extinct,2828,0,33
70000,split,2912,2729,15
70000,extinct,2853,0,5
70000,merge,2870,2451,18
71000,split,2929,2610,30
71000,split,2930,557,8
71000,extinct,2454,0,11
71000,extinct,2489,0,8
71000,merge,2800,2610,28
71000,extinct,2856,0,7
71000,extinct,2871,0,16
72000,split,2903,557,15
72000,split,2971,557,26
72000,extinct,2825,0,5
73000,extinct,2912,0,5
73000,extinct,2930,0,8
74000,split,3005,557,10
74000,split,3013,2610,26
74000,extinct,2711,0,10
75000,split,3031,557,92
75000,split,3032,2610,5
75000,split,3034,2609,16
75000,extinct,1802,0,20
75000,extinct,2869,0,5
75000,extinct,2903,0,6
75000,extinct,2929,0,5
76000,extinct,2971,0,13
77000,split,3071,557,81
77000,split,3072,557,35
77000,split,3075,2110,18
77000,extinct,2608,0,10
77000,extinct,3005,0,9
78000,split,3094,557,25
78000,split,3095,2610,24
78000,split,3098,2610,38
78000,extinct,2609,0,6
79000,split,3111,557,48
79000,split,3112,2610,50
79000,split,3115,2610,131
79000,extinct,3094,0,25
80000,split,3129,557,10
80000,split,3130,557,28
80000,split,3136,557,16
81000,split,3139,3129,12
81000,split,3141,2110,31
81000,extinct,3031,0,6
81000,extinct,3032,0,5
82000,extinct,3072,0,75
82000,extinct,3075,0,5
83000,split,3161,557,45
83000,split,3164,3013,26
83000,split,3186,3158,55
84000,split,3193,3098,13
84000,split,3195,2610,15
84000,extinct,3013,0,7
84000,extinct,3129,0,13
85000,extinct,3139,0,9
85000,extinct,3161,0,45
85000,extinct,3186,0,55
86000,split,3233,557,20
86000,split,3234,557,17
86000,extinct,3095,0,5
87000,split,3259,3071,19
87000,extinct,2729,0,8
87000,extinct,3130,0,8
88000,split,3278,3098,72
88000,split,3283,3115,5
88000,extinct,3111,0,9
88000,extinct,3195,0,8
89000,split,3303,3136,16
89000,extinct,2451,0,10
89000,extinct,3071,0,14
89000,extinct,3193,0,5
89000,extinct,3233,0,34
90000,split,3307,557,190
90000,extinct,3112,0,7
91000,split,3322,557,24
91000,extinct,3283,0,5
92000,split,3336,557,137
92000,split,3337,3098,18
92000,split,3345,3278,15
92000,extinct,3164,0,5
92000,extinct,3259,0,11
93000,extinct,2775,0,8
94000,split,3374,557,9
94000,extinct,3098,0,16
94000,extinct,3136,0,10
94000,extinct,3234,0,7
95000,split,3393,557,35
95000,split,3394,3307,5
95000,extinct,2610,0,10
96000,split,3404,3392,81
96000,split,3409,3234,5
96000,extinct,3374,0,5
97000,split,3415,557,17
97000,split,3416,557,83
97000,extinct,3337,0,5
97000,extinct,3345,0,15
97000,extinct,3394,0,5
98000,split,3431,557,26
98000,split,3433,557,11
98000,extinct,3115,0,8
98000,extinct,3278,0,8
99000,extinct,3322,0,10
99000,extinct,3415,0,17
100000,split,3450,557,48
100000,extinct,3303,0,7
