step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,2.00,25,0,1,0,0,0,1.00,16,0.500,5945,0.00,195.92,61.49,2513,1,0,0,1.00,1.00,1.00,1,1,1,31.7,2.906,1,2.000,0.041,5,1.000,18,11.40,11.00,0,0.0951,0.759,0.0000,3722,1.0000
100000,2.00,25,0,0,0,1,0,1.00,16,0.000,5752,0.09,196.62,103.62,2028,1,0,0,1.00,1.00,1.00,1,1,1,34.6,7.962,1,2.000,0.586,5,1.000,20,27.39,2.75,0,0.0993,0.949,0.0000,3598,1.0000
100000,4.00,25,0,0,0,2,0,1.00,14,0.000,5742,0.00,203.29,131.86,2286,2,0,0,1.00,1.00,1.00,1,2,1,40.4,16.615,2,2.000,0.406,5,1.000,20,25.99,18.25,0,0.0868,0.917,0.0000,3657,1.0000
100000,16.00,25,0,5,0,3,0,1.00,2,0.312,5631,0.63,186.91,37.84,2128,0,0,0,1.00,1.00,1.00,3,5,4,25.4,48.299,8,2.000,0.253,5,1.000,16,6.54,0.75,0,0.0988,0.887,0.0000,3409,1.0000
100000,2.00,25,0,0,0,1,0,1.00,16,0.000,5584,0.00,162.14,76.05,2128,0,0,0,1.00,1.00,1.00,1,1,1,27.2,5.881,1,2.000,0.281,5,1.000,17,11.77,11.50,0,0.0987,0.884,0.0000,3590,1.0000
100000,14.00,25,0,5,0,2,0,1.00,4,0.357,5529,0.71,133.04,77.49,2524,0,0,0,1.00,1.00,1.00,4,5,3,14.9,26.750,7,2.000,0.404,5,1.000,15,12.83,-7.00,0,0.0847,0.954,0.0000,3285,1.0000
100000,6.00,25,0,0,0,3,0,1.00,12,0.000,5392,0.00,174.61,49.40,2568,0,0,0,1.00,1.00,1.00,1,1,3,16.9,8.208,3,2.000,0.393,5,1.000,17,4.37,-2.25,0,0.0839,0.914,0.0000,3357,1.0000
100000,18.00,25,0,3,0,6,0,1.00,0,0.167,5388,0.00,147.03,77.16,1168,0,0,0,1.00,1.00,1.00,4,5,5,25.5,33.019,9,2.000,0.320,5,1.000,16,7.29,2.75,0,0.0849,0.183,0.0000,3326,0.9428
100000,14.00,25,0,4,0,3,0,1.00,4,0.286,5367,0.30,194.39,38.43,2516,0,0,0,1.00,1.00,1.00,3,3,5,18.3,26.353,7,2.000,0.273,5,1.000,12,6.39,3.25,0,0.0967,0.870,0.0000,3194,1.0000
100000,12.00,25,0,2,0,4,0,1.00,8,0.167,5314,0.00,137.48,75.93,2028,0,0,0,1.00,1.00,1.00,3,3,3,21.7,22.677,6,2.000,0.444,5,1.000,16,15.42,-14.50,0,0.0988,0.946,0.0000,3241,1.0000
