step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,2182,19.55,0.13,6.15,0.22,5.85,0.00,1.05,0.000,0.308,486597.8,394722.7,2,178,2.89,1.05,1.05,25.9688,2063.94,16281.2,5.9228,36.2327,5462,34.0910,2357,20.3735,103203.7,149.79,3.6083,0.0,0.0000,1.000,0.7360,2.4674,3.8241
10000,1,1993,19.70,0.14,5.97,0.17,6.37,0.00,1.05,0.001,0.289,463732.0,355506.2,4,167,2.97,1.07,1.07,24.1393,1556.31,20576.5,2.9695,33.4018,5461,34.0848,2299,21.7659,106514.5,94.51,15.6208,0.0,0.0000,1.000,0.2913,2.5134,3.4489
10000,2,1379,21.39,0.28,6.20,0.18,6.47,0.01,1.10,0.003,0.207,417314.3,275278.2,4,206,3.07,1.10,1.11,19.4113,813.46,24834.7,1.9104,32.7576,5461,34.0848,2144,14.6452,67005.0,55.70,43.2386,0.0,0.0000,1.000,0.0101,2.4659,3.4076
20000,0,1770,25.37,0.19,8.71,0.08,6.88,0.00,1.04,0.000,0.321,336345.4,330304.4,3,192,3.29,1.02,1.07,15.3452,739.80,8574.5,6.4272,31.1671,5462,18.3683,2014,6.4278,24972.0,149.79,1.8306,0.0,0.0000,1.000,0.7360,2.1722,3.9124
20000,1,1725,23.96,0.21,7.92,0.15,6.82,0.00,1.05,0.000,0.298,218231.7,210474.0,2,182,3.21,1.05,1.11,9.1800,977.48,22548.5,0.0001,20.6091,5461,18.3650,2036,3.7669,13540.5,94.51,5.7588,0.0,0.0000,1.000,0.2913,2.2177,2.7095
20000,2,1458,24.94,0.23,8.37,0.12,7.31,0.04,1.06,0.014,0.267,155513.4,137781.2,2,271,3.33,1.11,1.08,5.8013,849.17,34684.1,0.0000,14.5163,5461,18.3650,1787,2.4369,8216.1,55.70,13.9236,0.0,0.0000,1.000,0.0101,1.9618,1.9880
30000,0,1755,26.67,0.06,8.12,0.03,8.19,0.00,1.01,0.000,0.330,515825.5,324329.9,10,163,3.38,1.01,1.01,16.5276,419.00,12379.6,9.0794,44.6221,5462,44.0020,1689,14.3471,82770.1,149.79,3.7879,0.0,0.0000,1.000,0.7360,1.8319,4.7659
30000,1,1782,25.56,0.03,7.16,0.28,9.38,0.00,1.01,0.000,0.344,518370.1,315703.3,8,168,3.42,1.01,1.02,16.5575,403.82,16462.8,2.9371,44.4074,5461,43.9939,1633,14.9615,85666.8,94.51,16.5449,0.0,0.0000,1.000,0.2913,1.7057,4.7428
30000,2,1593,25.91,0.02,7.11,0.22,9.80,0.00,1.00,0.000,0.312,452475.4,260277.1,8,213,3.47,1.00,1.00,13.0202,414.48,24549.7,0.0894,40.5949,5461,43.9939,1437,9.7015,53616.1,55.70,44.7554,0.0,0.0000,1.000,0.0101,1.5586,4.3556
40000,0,1587,31.93,0.00,7.39,0.05,10.63,0.00,1.00,0.000,0.328,311396.4,118575.6,12,148,3.64,1.00,1.00,6.7510,362.48,3439.8,11.4707,28.8374,5462,20.7863,1355,5.0541,24650.7,149.79,1.8774,0.0,0.0000,1.000,0.7360,1.3880,2.3280
