step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,2588,0.5093,22298.0,411,884,974,730,13,23,23,18618,18653,19095,0,0,0,1.000,1.000,1.000,684,206,5,0.5385,0.0640,0.5818,0.0337
2000,4453,0.4878,31545.3,350,1616,1628,1209,83,55,81,20552,19405,21094,0,0,0,1.000,1.000,1.000,1205,309,5,0.4231,0.1055,0.4953,0.0470
3000,4466,0.4666,32551.6,364,1552,1502,1412,76,77,89,19056,18577,21305,0,0,0,1.000,1.000,1.000,1180,281,8,0.4296,0.1135,0.5109,0.0458
4000,4934,0.4268,31416.4,326,1854,1699,1381,108,144,106,17530,17208,19847,0,0,0,1.000,1.000,1.000,1471,407,8,0.4769,0.1000,0.5621,0.0432
5000,5507,0.3792,34984.5,301,1972,1826,1709,154,163,117,13548,14172,17416,0,0,0,1.000,1.000,1.000,1551,372,14,0.5031,0.0936,0.5888,0.0423
6000,5766,0.3578,31638.3,266,2050,1966,1750,136,155,162,11748,12745,15934,0,0,0,1.000,1.000,1.000,1593,405,9,0.5871,0.0762,0.6636,0.0361
7000,6085,0.3395,27153.6,223,2071,2215,1799,165,222,215,11329,12405,15770,0,0,0,1.000,1.000,1.000,1598,465,18,0.6519,0.0729,0.7263,0.0300
8000,6786,0.3261,28026.0,200,2452,2367,1967,188,208,255,11889,12435,16757,0,0,0,1.000,1.000,1.000,1913,499,19,0.6303,0.0730,0.7068,0.0327
9000,6288,0.3605,28539.3,222,2403,2107,1778,178,207,238,11939,13576,18535,0,0,0,1.000,1.000,1.000,1795,426,16,0.6155,0.0680,0.6989,0.0320
10000,5249,0.4927,29084.2,308,1933,1918,1398,132,163,172,17849,20087,24355,0,0,0,1.000,1.000,1.000,1536,392,11,0.4871,0.1016,0.5914,0.0410
11000,4271,0.4638,24269.6,323,1838,1392,1041,121,110,144,19135,24212,29622,0,0,0,1.000,1.000,1.000,1433,260,2,0.4680,0.1046,0.6210,0.0448
12000,3378,0.4485,19649.8,319,1573,1034,771,100,138,150,18367,27064,33128,0,0,0,1.000,1.000,1.000,1216,224,7,0.4985,0.1165,0.6885,0.0404
13000,2505,0.4854,17462.0,390,1342,634,529,84,115,121,19914,31481,38242,0,0,0,1.000,1.000,1.000,1104,147,5,0.4073,0.1750,0.6849,0.0502
14000,1684,0.4917,11970.8,430,1176,325,183,72,97,102,21397,36297,43439,0,0,0,1.000,1.000,1.000,970,87,6,0.2826,0.2328,0.6942,0.0581
15000,1225,0.4686,10328.0,449,927,230,68,50,81,41,21057,39569,47586,0,0,0,1.000,1.000,1.000,781,73,0,0.1932,0.2333,0.6035,0.0717
16000,1270,0.4535,9779.6,415,1021,218,31,42,105,27,20141,39930,48749,0,0,0,1.000,1.000,1.000,862,71,1,0.2148,0.2132,0.7183,0.0720
17000,1484,0.4346,12256.5,396,962,355,167,52,105,98,17316,35884,45595,0,0,0,1.000,1.000,1.000,770,114,1,0.4089,0.1442,0.7502,0.0528
