step,cause,age,size,mass,n,worn
10000,hunger,0,0,0,24,0
10000,hunger,0,0,4,11,0
10000,hunger,0,4,0,23,0
10000,hunger,0,4,4,45,0
10000,hunger,0,4,8,24,0
10000,hunger,0,4,12,9,0
10000,hunger,0,4,16,1,0
10000,hunger,0,8,0,7,0
10000,hunger,0,8,4,80,0
10000,hunger,0,8,8,68,0
10000,hunger,0,8,12,34,0
10000,hunger,0,8,16,40,0
10000,hunger,0,8,20,29,0
10000,hunger,0,12,4,32,0
10000,hunger,0,12,8,114,0
10000,hunger,0,12,12,46,0
10000,hunger,0,12,16,9,0
10000,hunger,0,12,20,50,0
10000,hunger,0,12,24,75,0
10000,hunger,0,12,28,59,0
10000,hunger,0,12,32,2,0
10000,hunger,0,16,4,12,0
10000,hunger,0,16,8,55,0
10000,hunger,0,16,12,96,1
10000,hunger,0,16,16,35,0
10000,hunger,0,16,20,66,0
10000,hunger,0,16,24,320,0
10000,hunger,0,16,28,5564,5
10000,hunger,0,16,32,122,1
10000,hunger,0,16,36,20,0
10000,hunger,0,20,4,11,0
10000,hunger,0,20,8,14,0
10000,hunger,0,20,12,44,0
10000,hunger,0,20,16,31,0
10000,hunger,0,20,20,16,0
10000,hunger,0,20,24,4,0
10000,hunger,0,20,28,4,0
10000,hunger,0,20,32,20,0
10000,hunger,0,20,36,55,0
10000,hunger,0,20,40,89,0
10000,hunger,0,20,44,27,0
10000,hunger,0,24,8,22,0
10000,hunger,0,24,12,24,0
10000,hunger,0,24,16,35,0
10000,hunger,0,24,20,24,1
10000,hunger,0,24,24,57,0
10000,hunger,0,24,28,171,0
10000,hunger,0,24,32,327,0
10000,hunger,0,24,36,374,1
10000,hunger,0,24,40,396,0
10000,hunger,0,24,44,598,0
10000,hunger,0,24,48,352,0
10000,hunger,0,24,52,6,0
10000,hunger,0,24,56,2,0
10000,hunger,0,28,8,7,0
10000,hunger,0,28,12,8,0
10000,hunger,0,28,16,4,0
10000,hunger,0,28,20,8,0
10000,hunger,0,28,24,4,0
10000,hunger,0,28,28,4,0
10000,hunger,0,28,32,1,0
10000,hunger,0,28,36,1,0
10000,hunger,0,28,40,2,0
10000,hunger,0,28,52,2,0
10000,hunger,0,28,56,2,0
10000,hunger,0,32,8,5,0
10000,hunger,0,32,12,6,0
10000,hunger,0,32,16,5,0
10000,hunger,0,32,20,3,0
10000,hunger,0,32,28,1,0
10000,hunger,0,32,32,3,0
10000,hunger,0,32,36,5,0
10000,hunger,0,32,40,1,0
