step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned,rich,plant_rich,plant_thin,pop_rich,hunger_rich,hunger_thin,fouled,foul_mean,foul_p90,foul_free,covered,plant_std
10000,2599,1.800,1.969,15.27,74526,63664,0,8731,974,1126699,923420.8,559561.0,0.157,0.620,0.169,0.054,101,46.15,24.76,1.16,3.75,12.68,10.02,0.79,2.68,11.46,8.02,0.23,0.91,0.261,0.137,2129,0.008,0.033,0.955,0.000,0.012,166800,135304,8,0.306,0.633,0.149,4220843,0.202,3.098,0.227,76.53,66019,357,0.497,0.135,0.356,8775027,1.33,2.63,0.280,0.681,0.073,14.9,44.9,75.7,178.2,67809,0.259,0.00,0.0031,0.082,634,0.639,0.000,0.601,0.565,4.29,5.33,5.44,0.39,0.116,1.36,1.25,1.38,0.665,0.00216,85.13,38.5393,1195.40,78781.5,140215.1,0.174,29.4429,173.745,0.000,1.000,0.000,58.0,73.794,106.572,4879,28999.4,30.81,80.049,6.54,18.833,864.1,7.205,0.135,2.00,8.4795,22038.3,0.5118,0.3164,26.09,1.719,0.258,1.5299,0.0000,0.575,0.125,0.717,0.0000,6.05,0.91,9,25,44,98,69.1170,0.0018,0.4313,0.0000,0.0000,40.1306,100.00,65.1012,227.0403,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0032,0.0013,0.000002,1,0.1842,0.0223,0.0209,81,277,757,0.0000,0.0000,0.0226,0.073,4.2089,0.0166,1.4262,0.0219,0.2711,0.0526,0.0000,-0.00005,0.962,0.0417,0.027,0.003,0.65,0.149,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9259,0.0000,1.6514,0.00000,0.04263,0.7049,0.7039,1.0000,1.843,0.000,1.0000,6.3664,0.0000,29.8727,0.7900,1.9261,0.3478,0.5089,3.0015
20000,2256,1.728,1.780,16.77,30602,27089,0,3830,22,484524,388736.4,230748.9,0.140,0.636,0.210,0.013,106,41.94,21.99,0.35,2.10,11.99,9.06,2.40,4.36,11.10,10.30,0.07,0.44,0.274,0.148,1737,0.014,0.056,0.918,0.001,0.025,42139,29223,6,0.367,0.109,0.468,3492473,0.197,2.958,0.201,37.07,22423,485,0.476,0.133,0.374,3240994,1.10,2.58,0.334,0.641,0.030,13.9,41.7,69.6,212.9,58273,0.222,0.00,0.0016,0.090,579,0.488,0.000,0.462,0.324,4.29,5.26,5.35,0.11,0.036,1.14,1.05,1.12,0.512,0.00202,14.14,8.7253,1077.77,86157.3,140215.1,0.000,8.7842,80.582,0.000,1.000,0.001,48.7,34.675,41.735,4471,25968.3,17.76,30.338,5.78,5.655,723.8,1.541,0.136,2.00,8.4492,19061.5,0.5068,0.3927,25.83,1.718,0.416,0.4701,0.0000,0.499,0.141,0.586,0.0000,5.95,0.85,9,25,41,81,31.1307,0.0032,0.4007,0.0000,0.0000,11.6588,100.00,84.6869,172.9841,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0028,0.0012,0.000002,4,0.1290,0.0230,0.0274,95,321,1023,0.0000,0.0000,0.0030,0.006,1.2166,0.0145,0.4629,0.0182,0.3814,0.0432,0.0000,-0.00009,0.941,0.0626,0.008,0.002,1.96,0.468,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8491,0.0000,1.3347,0.00000,0.07388,0.6553,0.6545,1.0000,1.670,0.000,1.0000,2.7089,0.0000,8.4924,0.6739,1.6361,0.3504,0.4574,2.8737
30000,2705,1.217,1.467,16.79,102475,82897,0,18992,136,1607947,880575.8,739975.4,0.126,0.669,0.186,0.019,69,29.25,14.67,0.88,3.77,7.72,5.62,1.53,2.83,13.06,12.39,0.14,0.67,0.273,0.167,1938,0.028,0.023,0.941,0.009,0.027,177301,125029,11,0.188,0.545,0.420,13020009,0.182,2.691,0.162,83.05,93410,321,0.460,0.176,0.292,10525780,1.20,2.30,0.318,0.603,0.049,11.1,28.4,48.2,110.4,62716,0.239,0.00,0.0025,0.062,710,0.553,0.000,0.531,0.438,4.06,4.97,4.98,0.25,0.084,1.24,1.14,1.21,0.585,0.00292,71.77,35.4138,878.40,92277.9,140215.1,0.000,31.0299,184.396,0.000,1.000,0.003,68.8,72.759,115.431,3850,21258.4,16.52,74.902,5.50,20.122,541.7,6.752,0.135,2.00,7.0090,18959.3,0.4943,0.3556,23.19,1.434,0.478,1.5299,0.0000,0.537,0.143,0.655,0.0000,5.55,1.30,8,17,45,81,66.3372,0.0083,0.4743,0.0000,0.0000,42.8956,100.00,64.0111,234.7358,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0032,0.0013,0.000004,1,0.1560,0.0218,0.0138,66,236,704,0.0000,0.0000,0.0064,0.013,4.9487,0.0101,1.8651,0.0229,0.3330,0.0876,0.0000,0.00008,0.705,0.0428,0.019,0.002,1.38,0.420,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0883,0.0000,1.9303,0.00000,0.04715,0.7494,0.7481,1.0000,1.380,0.000,1.0000,8.2897,0.0000,32.8226,0.7192,1.7465,0.3610,0.5027,2.6268
40000,2327,1.293,1.482,16.87,39501,35477,0,4339,58,482094,412478.6,216575.1,0.123,0.605,0.241,0.032,115,27.84,13.21,0.63,2.56,8.30,5.45,1.52,2.78,11.57,11.88,0.19,0.75,0.303,0.161,1685,0.020,0.039,0.926,0.006,0.030,51014,35123,8,0.295,0.290,0.445,4807418,0.208,2.689,0.163,39.79,26566,375,0.449,0.303,0.305,3234694,1.14,2.54,0.308,0.633,0.070,10.0,28.0,45.8,81.6,51240,0.195,0.00,0.0015,0.082,574,0.447,0.000,0.408,0.285,3.96,4.90,4.86,0.24,0.090,1.20,1.08,1.15,0.473,0.00168,14.40,9.0680,859.70,95239.3,140215.1,0.000,6.5537,85.913,0.000,1.000,0.090,54.3,36.880,42.594,3870,21371.7,14.96,30.639,5.99,3.345,524.0,1.191,0.134,2.00,7.0222,16340.6,0.5069,0.3537,22.02,1.455,0.455,0.4701,0.0000,0.653,0.107,0.934,0.0000,5.52,1.35,7,16,43,81,34.1284,0.0157,0.4353,0.0000,0.0000,11.5938,100.00,94.0756,183.6184,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0032,0.0014,0.000003,5,0.1738,0.0146,0.0244,66,219,801,0.0000,0.0000,0.0093,0.022,2.1020,0.0214,0.7279,0.0348,0.3907,0.0585,0.0000,-0.00038,0.620,0.0415,0.003,0.001,1.39,0.445,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7413,0.0000,1.1904,0.00000,0.09157,0.7641,0.7629,1.0000,1.397,0.000,1.0000,3.5477,0.0000,7.8871,0.5969,1.4529,0.3317,0.4352,2.6311
50000,2875,1.228,1.440,18.77,106289,90735,0,14857,146,1545504,909955.2,687416.0,0.059,0.711,0.198,0.032,71,29.45,13.55,0.41,2.12,8.29,5.42,1.68,2.56,11.46,12.33,0.15,0.65,0.287,0.160,1884,0.052,0.031,0.924,0.011,0.033,171231,113085,7,0.449,0.093,0.539,11641545,0.158,2.668,0.159,88.22,85145,312,0.445,0.247,0.335,12992932,1.11,2.59,0.387,0.572,0.056,12.0,29.0,48.7,142.8,62780,0.239,0.00,0.0028,0.077,796,0.597,0.000,0.573,0.401,3.80,4.82,4.78,0.19,0.069,1.16,1.06,1.11,0.625,0.00258,75.21,31.7725,917.83,89999.4,140215.1,0.000,21.4077,196.342,0.000,1.000,0.000,68.7,79.170,119.967,3772,20793.9,13.67,75.850,5.81,12.884,502.6,5.534,0.135,2.00,7.4180,21326.7,0.5277,0.3353,21.84,1.532,0.443,1.5299,0.0000,0.632,0.142,0.773,0.0000,5.45,1.42,9,16,44,81,73.4799,0.0115,0.4654,0.0000,0.0000,42.2940,100.00,71.5287,234.2074,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0033,0.0013,0.000004,3,0.2097,0.0254,0.0156,64,218,714,0.0000,0.0000,0.0096,0.023,7.9202,0.0193,2.6677,0.0184,0.2916,0.0944,0.0000,0.00000,0.699,0.0478,0.031,0.005,1.55,0.539,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9482,0.0000,1.5117,0.00000,0.05080,0.7849,0.7836,1.0000,1.353,0.000,1.0000,9.0735,0.0000,32.0555,0.7322,1.7420,0.3737,0.4949,2.6006
60000,2634,1.179,1.361,18.58,36748,33627,0,3341,7,473736,415941.8,214772.4,0.054,0.736,0.175,0.035,114,29.24,12.09,0.73,2.30,7.66,4.88,1.32,2.18,11.05,9.91,0.33,0.92,0.261,0.138,1666,0.070,0.060,0.914,0.006,0.019,47464,30521,4,0.465,0.056,0.506,5774157,0.193,2.593,0.148,40.11,24242,382,0.453,0.290,0.335,4468973,1.19,2.08,0.401,0.566,0.118,13.0,30.0,44.7,90.1,54684,0.209,0.00,0.0014,0.084,694,0.485,0.000,0.472,0.283,3.71,4.81,4.67,0.36,0.127,1.30,1.08,1.19,0.505,0.00164,13.72,7.9596,584.88,90269.6,140215.1,0.000,5.8178,87.610,0.000,1.000,0.051,64.1,37.861,42.568,3640,19739.4,11.36,30.749,5.80,3.540,470.0,1.282,0.136,2.00,8.7101,22942.4,0.6115,0.3606,20.76,1.555,0.439,0.4701,0.0000,0.591,0.145,0.644,0.0000,5.26,1.29,9,16,36,63,34.9135,0.0160,0.4757,0.0000,0.0000,11.6689,100.00,92.5737,191.1082,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0029,0.0013,0.000002,14,0.3000,0.0410,0.0314,76,241,891,0.0000,0.0000,0.0046,0.007,2.0760,0.0397,0.7273,0.0258,0.3767,0.0558,0.0000,-0.00013,0.708,0.0500,0.041,0.006,1.23,0.506,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7419,0.0000,1.0770,0.00000,0.07270,0.7525,0.7515,1.0000,1.296,0.000,1.0000,3.3627,0.0000,7.9713,0.6385,1.5848,0.3206,0.4479,2.5448
70000,3012,1.121,1.274,17.05,86147,77345,0,8314,73,1069347,933428.2,544249.9,0.028,0.772,0.152,0.047,82,30.41,12.50,1.57,3.49,7.08,4.35,0.67,1.17,12.50,9.92,0.71,1.25,0.243,0.135,2144,0.060,0.052,0.931,0.005,0.012,140844,98021,5,0.562,0.075,0.350,12149595,0.173,2.532,0.140,88.44,68035,293,0.509,0.286,0.274,15123631,1.38,1.75,0.281,0.667,0.263,14.5,30.0,44.0,91.9,65703,0.251,0.00,0.0025,0.077,829,0.644,0.000,0.563,0.409,3.88,4.93,4.89,0.76,0.277,1.60,1.15,1.40,0.661,0.00200,76.86,25.4283,664.96,87809.7,140215.1,0.000,17.4645,197.907,0.000,1.000,0.000,77.6,85.100,116.222,3409,18399.5,16.46,75.258,5.55,14.372,420.6,6.411,0.134,2.00,8.7138,26245.8,0.6011,0.3616,21.81,1.475,0.444,1.5299,0.0000,0.618,0.119,0.753,0.0000,5.35,1.19,10,16,36,64,80.5294,0.0083,0.5053,0.0000,0.0000,42.1197,100.00,66.5040,247.5319,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0028,0.0012,0.000002,37,0.7073,0.0528,0.0305,78,267,886,0.0000,0.0000,0.0043,0.008,4.9224,0.0907,1.8067,0.0388,0.2747,0.0699,0.0000,-0.00024,0.664,0.0426,0.041,0.009,0.66,0.350,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8138,0.0000,1.2708,0.00000,0.04353,0.7627,0.7617,1.0000,1.208,0.000,1.0000,7.7345,0.0000,28.8792,0.7438,1.7625,0.3540,0.5289,2.4689
80000,2827,1.176,1.314,18.64,32940,30669,0,2417,18,365868,415868.9,192781.4,0.032,0.758,0.147,0.062,132,28.23,11.49,0.66,2.55,7.05,4.45,0.90,1.71,10.64,8.91,0.43,1.03,0.253,0.135,1888,0.096,0.070,0.901,0.004,0.025,41505,28066,7,0.427,0.192,0.418,3846903,0.192,2.558,0.144,40.41,20434,419,0.527,0.299,0.304,4720746,1.16,1.79,0.346,0.609,0.159,12.3,30.0,41.6,106.0,54415,0.208,0.00,0.0014,0.087,695,0.492,0.000,0.500,0.270,3.56,4.63,4.56,0.47,0.171,1.24,1.11,1.16,0.506,0.00146,14.72,7.1448,608.01,90065.2,140215.1,0.000,4.6135,88.129,0.000,1.000,0.063,66.0,38.850,40.153,3482,18961.8,17.14,28.850,5.56,2.827,438.3,1.114,0.135,2.01,8.3599,23633.5,0.6461,0.4117,19.25,1.580,0.410,0.4701,0.0000,0.576,0.162,0.646,0.0000,5.04,1.05,8,16,35,63,36.0785,0.0086,0.4560,0.0000,0.0000,11.5118,100.00,94.4462,192.7727,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0026,0.0011,0.000002,21,0.3660,0.0382,0.0418,83,269,1103,0.0000,0.0000,0.0064,0.010,1.7065,0.0535,0.7061,0.0386,0.3814,0.0498,0.0000,0.00013,0.775,0.0487,0.096,0.014,0.85,0.418,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6364,0.0000,0.8060,0.00000,0.07247,0.7551,0.7542,1.0000,1.250,0.000,1.0000,3.0669,0.0000,7.5414,0.6219,1.5535,0.3208,0.4558,2.5104
90000,2888,1.022,1.056,16.97,88823,80583,0,8078,63,1045286,944026.2,569384.6,0.024,0.771,0.123,0.082,90,28.87,12.08,0.90,2.68,6.70,3.80,0.78,1.42,12.09,9.63,0.82,1.30,0.239,0.120,1973,0.058,0.046,0.929,0.009,0.016,142222,99918,6,0.569,0.008,0.368,11077554,0.175,2.272,0.110,89.87,65013,337,0.545,0.274,0.318,15314082,1.21,1.89,0.272,0.706,0.301,12.2,30.0,42.7,134.9,59130,0.226,0.00,0.0027,0.072,773,0.626,0.000,0.584,0.398,3.73,4.80,4.67,0.88,0.314,1.34,1.11,1.20,0.642,0.00213,79.30,25.7401,644.98,92683.1,140215.1,0.000,14.7024,202.804,0.000,1.000,0.000,72.0,86.346,116.062,2993,14872.3,15.02,74.507,5.39,10.920,300.1,5.315,0.136,2.00,8.8434,25539.8,0.6429,0.3877,20.47,1.516,0.416,1.5299,0.0000,0.582,0.109,0.723,0.0000,5.21,1.07,8,16,36,77,81.7326,0.0055,0.5000,0.0000,0.0000,41.5016,100.00,69.4868,245.9474,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0028,0.0012,0.000002,38,0.6146,0.0526,0.0293,79,264,916,0.0000,0.0000,0.0115,0.015,5.9683,0.0810,2.3430,0.0429,0.2912,0.0774,0.0000,-0.00019,0.905,0.0441,0.042,0.009,0.77,0.368,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7343,0.0000,1.0438,0.00000,0.04207,0.7723,0.7713,1.0000,0.998,0.000,1.0000,8.0583,0.0000,29.0732,0.7129,1.6693,0.3851,0.4938,2.2154
100000,2638,1.224,1.031,13.66,29298,27979,0,1528,15,307388,415783.3,175280.2,0.029,0.751,0.127,0.093,148,31.42,13.58,1.39,3.52,7.34,4.21,0.53,1.35,14.14,10.03,0.99,1.40,0.242,0.124,2005,0.035,0.061,0.914,0.006,0.019,37084,27082,5,0.705,0.013,0.243,2915975,0.202,2.240,0.108,40.50,16716,532,0.570,0.297,0.243,4428894,1.33,1.85,0.268,0.696,0.349,13.6,31.0,45.1,132.0,61726,0.235,0.00,0.0011,0.076,685,0.486,0.000,0.532,0.277,4.03,5.16,5.02,1.06,0.365,1.51,1.19,1.32,0.499,0.00141,15.43,7.0320,617.77,93607.6,140215.1,0.000,4.0737,87.499,0.000,1.000,0.093,66.2,38.748,39.729,2911,14486.6,25.62,28.561,5.69,2.229,240.4,0.948,0.136,2.00,9.3894,24769.2,0.5870,0.4329,23.40,1.397,0.383,0.4701,0.0000,0.604,0.111,0.801,0.0000,5.55,1.04,9,22,36,64,36.3124,0.0074,0.4530,0.0000,0.0000,11.4675,100.00,94.8260,191.1715,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0025,0.0011,0.000002,26,0.3712,0.0489,0.0489,90,283,1255,0.0000,0.0000,0.0078,0.015,1.8896,0.0583,0.7613,0.0466,0.3937,0.0472,0.0000,-0.00020,0.868,0.0313,0.032,0.005,0.51,0.243,0.000,0.000,0.0000,0.000,0.000,0.0000,0.5655,0.0000,0.6559,0.00000,0.06644,0.7431,0.7424,1.0000,0.978,0.000,1.0000,2.7979,0.0000,7.3856,0.6998,1.6471,0.3698,0.4998,2.1882
