step,event,lineage,other,size
5000,birth,4,0,1657
6000,birth,19,0,1758
6000,birth,21,0,16
9000,extinct,21,0,8
12000,extinct,4,0,5
13000,split,111,19,682
15000,split,146,111,10
16000,split,169,111,70
16000,split,170,111,6
17000,split,180,19,33
18000,split,194,111,380
18000,split,196,111,5
18000,split,198,111,6
18000,split,202,111,17
18000,split,217,146,7
19000,split,221,111,56
19000,split,223,197,304
19000,split,224,111,58
19000,extinct,19,0,6
20000,extinct,170,0,28
20000,extinct,180,0,8
20000,extinct,198,0,7
20000,extinct,217,0,7
21000,extinct,146,0,12
21000,extinct,196,0,5
22000,extinct,111,0,18
22000,extinct,169,0,22
22000,extinct,224,0,10
23000,extinct,223,0,12
25000,split,316,194,10
25000,split,325,194,67
25000,extinct,221,0,19
26000,split,366,194,153
26000,split,367,194,39
26000,split,376,194,335
27000,split,414,194,20
27000,split,417,194,61
27000,split,424,194,44
27000,split,463,316,5
27000,extinct,202,0,59
28000,split,482,194,13
28000,split,512,316,16
28000,extinct,325,0,10
29000,split,550,194,63
29000,split,551,194,79
29000,split,561,194,12
29000,split,591,512,11
29000,extinct,316,0,10
29000,extinct,414,0,20
29000,extinct,463,0,11
29000,extinct,482,0,13
29000,extinct,512,0,16
30000,split,647,194,112
30000,split,648,194,7
30000,split,649,194,6
30000,split,666,550,33
30000,split,672,561,23
30000,extinct,367,0,32
30000,extinct,417,0,8
31000,split,730,665,10
31000,split,731,648,5
31000,split,760,551,21
31000,split,790,647,10
31000,extinct,561,0,12
31000,extinct,649,0,6
32000,extinct,424,0,8
32000,extinct,550,0,5
32000,extinct,648,0,7
32000,extinct,666,0,33
32000,extinct,730,0,10
33000,split,852,424,111
33000,split,867,649,24
33000,extinct,731,0,5
34000,split,913,194,60
34000,split,915,666,11
34000,split,931,194,21
35000,split,977,194,5
36000,extinct,551,0,18
36000,extinct,591,0,11
36000,extinct,760,0,7
37000,split,1020,672,7
37000,extinct,376,0,18
37000,extinct,867,0,24
37000,extinct,977,0,5
38000,split,1039,672,39
38000,split,1040,988,17
38000,split,1044,194,37
39000,split,998,551,11
40000,split,1063,913,135
40000,extinct,915,0,9
41000,split,1068,913,27
41000,split,1070,366,8
42000,split,1064,366,31
42000,extinct,672,0,24
42000,extinct,1020,0,5
42000,extinct,1040,0,14
43000,extinct,647,0,26
43000,extinct,1039,0,5
43000,extinct,1068,0,5
44000,extinct,1064,0,14
45000,split,1125,1063,9
45000,extinct,998,0,18
45000,extinct,1063,0,28
46000,extinct,790,0,7
46000,extinct,931,0,19
46000,extinct,1070,0,8
48000,split,1193,852,6
48000,extinct,366,0,10
48000,extinct,1125,0,6
49000,split,1172,1064,9
50000,extinct,1193,0,6
52000,extinct,1172,0,11
53000,split,1280,852,6
55000,split,1303,852,5
56000,extinct,1303,0,5
57000,split,1320,194,49
57000,split,1321,194,17
57000,split,1325,1280,14
57000,extinct,913,0,5
57000,extinct,1044,0,6
57000,extinct,1280,0,13
59000,split,1328,194,96
59000,split,1329,852,33
60000,split,1324,1280,28
60000,split,1333,194,5
61000,split,1336,852,217
61000,split,1338,194,33
62000,split,1344,1324,14
63000,split,1355,1324,16
63000,split,1361,852,37
63000,split,1364,194,10
63000,extinct,1325,0,24
64000,split,1387,194,43
64000,split,1401,852,21
64000,extinct,1324,0,7
64000,extinct,1329,0,11
64000,extinct,1338,0,11
65000,extinct,1333,0,6
66000,split,1442,194,95
66000,split,1443,194,52
66000,extinct,1328,0,12
66000,extinct,1355,0,11
67000,split,1467,852,11
67000,extinct,1364,0,7
67000,extinct,1387,0,8
68000,extinct,1344,0,7
68000,extinct,1401,0,7
69000,extinct,1361,0,33
71000,split,1526,194,53
71000,split,1539,852,25
72000,split,1543,852,20
72000,split,1546,194,29
73000,split,1561,1543,9
75000,split,1574,194,63
75000,extinct,1321,0,8
75000,extinct,1442,0,16
75000,extinct,1467,0,5
75000,extinct,1543,0,12
76000,split,1582,1336,7
77000,extinct,1320,0,34
77000,extinct,1526,0,5
77000,extinct,1539,0,5
79000,split,1599,194,105
79000,split,1600,852,71
80000,split,1605,852,477
80000,split,1608,852,27
82000,extinct,1561,0,7
89000,split,1729,852,41
91000,split,1742,194,33
91000,extinct,1608,0,8
93000,split,1752,1574,19
94000,extinct,1336,0,6
95000,split,1762,1599,37
95000,extinct,1443,0,9
95000,extinct,1752,0,7
96000,extinct,1729,0,7
97000,split,1775,1605,27
97000,extinct,852,0,19
100000,split,1780,194,8
