step,measure,value,count
50000,hamming,0,256
50000,hamming,1,553
50000,hamming,2,732
50000,hamming,3,857
50000,hamming,4,868
50000,hamming,5,924
50000,hamming,6,955
50000,hamming,7,964
50000,hamming,8,887
50000,hamming,9,864
50000,hamming,10,927
50000,hamming,11,907
50000,hamming,12,938
50000,hamming,13,941
50000,hamming,14,923
50000,hamming,15,975
50000,hamming,16,961
50000,hamming,17,994
50000,hamming,18,953
50000,hamming,19,1012
50000,hamming,20,1100
50000,hamming,21,1102
50000,hamming,22,1172
50000,hamming,23,1193
50000,hamming,24,1219
50000,hamming,25,1417
50000,hamming,26,1638
50000,hamming,27,1799
50000,hamming,28,2040
50000,hamming,29,2445
50000,hamming,30,2913
50000,hamming,31,3390
50000,hamming,32,3985
50000,hamming,33,4862
50000,hamming,34,5714
50000,hamming,35,6741
50000,hamming,36,7906
50000,hamming,37,9298
50000,hamming,38,10573
50000,hamming,39,11981
50000,hamming,40,13171
50000,hamming,41,14865
50000,hamming,42,16388
50000,hamming,43,17866
50000,hamming,44,19595
50000,hamming,45,21065
50000,hamming,46,23097
50000,hamming,47,24532
50000,hamming,48,25976
50000,hamming,49,27423
50000,hamming,50,28483
50000,hamming,51,29542
50000,hamming,52,30610
50000,hamming,53,31491
50000,hamming,54,31677
50000,hamming,55,31951
50000,hamming,56,31703
50000,hamming,57,31930
50000,hamming,58,31454
50000,hamming,59,31165
50000,hamming,60,30129
50000,hamming,61,29166
50000,hamming,62,27641
50000,hamming,63,26172
50000,hamming,64,24913
50000,hamming,65,22913
50000,hamming,66,21294
50000,hamming,67,19542
50000,hamming,68,17895
50000,hamming,69,16370
50000,hamming,70,14528
50000,hamming,71,12682
50000,hamming,72,11334
50000,hamming,73,9827
50000,hamming,74,8811
50000,hamming,75,7549
50000,hamming,76,6508
50000,hamming,77,5700
50000,hamming,78,5192
50000,hamming,79,4423
50000,hamming,80,4089
50000,hamming,81,3734
50000,hamming,82,3577
50000,hamming,83,3520
50000,hamming,84,3234
50000,hamming,85,3145
50000,hamming,86,3137
50000,hamming,87,2943
50000,hamming,88,2973
50000,hamming,89,2982
50000,hamming,90,2864
50000,hamming,91,2928
50000,hamming,92,2920
50000,hamming,93,2976
50000,hamming,94,3096
50000,hamming,95,3271
50000,hamming,96,3384
50000,hamming,97,3390
50000,hamming,98,3328
50000,hamming,99,3555
50000,hamming,100,3601
50000,hamming,101,3626
50000,hamming,102,3801
50000,hamming,103,4116
50000,hamming,104,4121
50000,hamming,105,4258
50000,hamming,106,4250
50000,hamming,107,4233
50000,hamming,108,4203
50000,hamming,109,4279
50000,hamming,110,4579
50000,hamming,111,4769
50000,hamming,112,4822
50000,hamming,113,4951
50000,hamming,114,5290
50000,hamming,115,5530
50000,hamming,116,5945
50000,hamming,117,6477
50000,hamming,118,6804
50000,hamming,119,7164
50000,hamming,120,7674
50000,hamming,121,8239
50000,hamming,122,8468
50000,hamming,123,8734
50000,hamming,124,8888
50000,hamming,125,9191
50000,hamming,126,9040
50000,hamming,127,9197
50000,hamming,128,8964
50000,hamming,129,9261
50000,hamming,130,9463
50000,hamming,131,9934
50000,hamming,132,9975
50000,hamming,133,10521
50000,hamming,134,10650
50000,hamming,135,11101
50000,hamming,136,11430
50000,hamming,137,11940
50000,hamming,138,12704
50000,hamming,139,12766
50000,hamming,140,13062
50000,hamming,141,13408
50000,hamming,142,13648
50000,hamming,143,13906
50000,hamming,144,14342
50000,hamming,145,14377
50000,hamming,146,14416
50000,hamming,147,14711
50000,hamming,148,14788
50000,hamming,149,14857
50000,hamming,150,14557
50000,hamming,151,14698
50000,hamming,152,14611
50000,hamming,153,14264
50000,hamming,154,14114
50000,hamming,155,13589
50000,hamming,156,13123
50000,hamming,157,12586
50000,hamming,158,12143
50000,hamming,159,11758
50000,hamming,160,11416
50000,hamming,161,10889
50000,hamming,162,10686
50000,hamming,163,10324
50000,hamming,164,10014
50000,hamming,165,9789
50000,hamming,166,9444
50000,hamming,167,9224
50000,hamming,168,8707
50000,hamming,169,8258
50000,hamming,170,7654
50000,hamming,171,7111
50000,hamming,172,6914
50000,hamming,173,6671
50000,hamming,174,6514
50000,hamming,175,6082
50000,hamming,176,5685
50000,hamming,177,5368
50000,hamming,178,5223
50000,hamming,179,5110
50000,hamming,180,4913
50000,hamming,181,4818
50000,hamming,182,4530
50000,hamming,183,4373
50000,hamming,184,4014
50000,hamming,185,3684
50000,hamming,186,3470
50000,hamming,187,3168
50000,hamming,188,2798
50000,hamming,189,2491
50000,hamming,190,2393
50000,hamming,191,2167
50000,hamming,192,1932
50000,hamming,193,2071
50000,hamming,194,2165
50000,hamming,195,2406
50000,hamming,196,2588
50000,hamming,197,2886
50000,hamming,198,3168
50000,hamming,199,3349
50000,hamming,200,3883
50000,hamming,201,4240
50000,hamming,202,4733
50000,hamming,203,5411
50000,hamming,204,6115
50000,hamming,205,6938
50000,hamming,206,7824
50000,hamming,207,8646
50000,hamming,208,9532
50000,hamming,209,10026
50000,hamming,210,10728
50000,hamming,211,11351
50000,hamming,212,12126
50000,hamming,213,12743
50000,hamming,214,13061
50000,hamming,215,13393
50000,hamming,216,13421
50000,hamming,217,13495
50000,hamming,218,13012
50000,hamming,219,12590
50000,hamming,220,12185
50000,hamming,221,12095
50000,hamming,222,11241
50000,hamming,223,10633
50000,hamming,224,9934
50000,hamming,225,9299
50000,hamming,226,8448
50000,hamming,227,8207
50000,hamming,228,7818
50000,hamming,229,7289
50000,hamming,230,7481
50000,hamming,231,7152
50000,hamming,232,6893
50000,hamming,233,6666
50000,hamming,234,6442
50000,hamming,235,6300
50000,hamming,236,5772
50000,hamming,237,5494
50000,hamming,238,4934
50000,hamming,239,4663
50000,hamming,240,4074
50000,hamming,241,3561
50000,hamming,242,3105
50000,hamming,243,2623
50000,hamming,244,2272
50000,hamming,245,2004
50000,hamming,246,1729
50000,hamming,247,1661
50000,hamming,248,1587
50000,hamming,249,1562
50000,hamming,250,1551
50000,hamming,251,1392
50000,hamming,252,1580
50000,hamming,253,1552
50000,hamming,254,1558
50000,hamming,255,1643
50000,hamming,256,1725
50000,hamming,257,1607
50000,hamming,258,1571
50000,hamming,259,1583
50000,hamming,260,1596
50000,hamming,261,1573
50000,hamming,262,1514
50000,hamming,263,1292
50000,hamming,264,1142
50000,hamming,265,1010
50000,hamming,266,949
50000,hamming,267,697
50000,hamming,268,559
50000,hamming,269,447
50000,hamming,270,409
50000,hamming,271,288
50000,hamming,272,278
50000,hamming,273,242
50000,hamming,274,260
50000,hamming,275,183
50000,hamming,276,197
50000,hamming,277,202
50000,hamming,278,276
50000,hamming,279,309
50000,hamming,280,418
50000,hamming,281,515
50000,hamming,282,633
50000,hamming,283,966
50000,hamming,284,1272
50000,hamming,285,1862
50000,hamming,286,2488
50000,hamming,287,3744
50000,hamming,288,5608
50000,hamming,289,7964
50000,hamming,290,11333
50000,hamming,291,15957
50000,hamming,292,22484
50000,hamming,293,30184
50000,hamming,294,39786
50000,hamming,295,50759
50000,hamming,296,61900
50000,hamming,297,72597
50000,hamming,298,84422
50000,hamming,299,94265
50000,hamming,300,101978
50000,hamming,301,106991
50000,hamming,302,107457
50000,hamming,303,106926
50000,hamming,304,104530
50000,hamming,305,100011
50000,hamming,306,94562
50000,hamming,307,88112
50000,hamming,308,80795
