step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,1646,22.04,0.32,6.17,0.04,4.23,0.01,1.14,0.003,0.202,401227.9,473038.3,2,178,2.53,1.10,1.16,21.7066,782.94,21746.3,0.0775,33.8847,5462,27.5641,2307,9.1325,33061.9,160.59,3.2844,0.0,0.0000,1.000,0.7105,2.7877,4.1063
10000,1,1513,21.84,0.25,6.30,0.03,4.16,0.00,1.11,0.001,0.186,384617.6,443900.2,2,196,2.51,1.08,1.11,20.2630,698.48,21298.1,0.1527,32.3097,5461,27.5590,2055,8.5187,31610.4,80.07,14.1994,0.0,0.0000,1.000,0.1979,2.4618,3.9236
10000,2,1253,22.51,0.23,6.77,0.00,4.08,0.01,1.10,0.005,0.159,338715.5,374496.8,1,201,2.50,1.08,1.09,16.8053,425.39,26129.5,0.0544,28.5570,5461,27.5590,1938,6.9132,23602.8,59.33,26.0886,0.0,0.0000,1.000,0.0179,2.3707,3.5109
20000,0,1607,24.13,0.05,5.74,1.11,5.68,0.00,1.02,0.000,0.231,217659.3,224250.5,3,153,2.80,1.01,1.02,6.1216,584.09,11665.9,0.0232,20.7198,5462,12.0829,2894,7.9406,16157.2,160.59,1.7154,0.0,0.0000,1.000,0.7105,3.4375,2.4561
20000,1,1005,23.89,0.02,6.10,1.16,5.25,0.00,1.01,0.000,0.144,119978.2,120982.1,3,143,2.81,1.01,1.01,3.0211,341.31,17770.7,0.0000,11.8547,5461,12.0807,2858,3.6527,7050.0,80.07,4.9049,0.0,0.0000,1.000,0.1979,3.5493,1.5485
20000,2,712,24.76,0.03,6.62,1.46,5.04,0.00,1.01,0.000,0.108,78938.4,76938.2,2,184,2.90,1.01,1.01,1.8378,198.03,26366.1,0.0000,8.1277,5461,12.0807,2767,2.4099,4197.4,59.33,7.1920,0.0,0.0000,1.000,0.0179,3.4571,1.1033
30000,0,1601,28.10,0.00,5.93,0.30,7.96,0.00,1.00,0.000,0.259,370353.2,237845.0,5,174,3.06,1.00,1.00,10.1102,178.30,17649.5,0.0532,32.7220,5462,30.9920,1822,14.4763,40473.6,160.59,3.5069,0.0,0.0000,1.000,0.7105,2.0717,3.7155
30000,1,1304,28.38,0.00,6.43,0.18,7.66,0.00,1.00,0.000,0.215,357305.4,223856.1,6,182,2.98,1.00,1.00,9.4607,157.18,18458.8,0.3912,31.3706,5461,30.9863,1784,13.4646,39013.8,80.07,15.6576,0.0,0.0000,1.000,0.1979,1.9857,3.4679
30000,2,1062,28.36,0.00,6.69,0.30,7.34,0.00,1.00,0.000,0.173,312857.6,191422.1,7,177,2.92,1.00,1.00,7.5698,132.55,24114.1,0.0727,27.7910,5461,30.9863,1706,10.9799,29975.5,59.33,28.4605,0.0,0.0000,1.000,0.0179,1.9426,3.0898
40000,0,1543,28.02,0.00,6.11,0.16,7.82,0.00,1.00,0.000,0.248,250006.1,79161.0,14,123,3.11,1.00,1.00,4.0793,296.62,8541.6,0.2882,23.6650,5462,14.8118,1757,4.1415,13705.5,160.59,1.6985,0.0,0.0000,1.000,0.7105,1.9221,1.9511
40000,1,1261,28.54,0.00,5.98,0.16,8.20,0.00,1.00,0.000,0.208,138417.7,39561.9,13,178,3.10,1.00,1.00,2.3672,147.87,18143.8,0.0000,13.2879,5461,14.8091,1729,2.0469,5640.0,80.07,4.8954,0.0,0.0000,1.000,0.1979,1.8980,1.0090
40000,2,923,28.13,0.00,5.92,0.31,7.99,0.00,1.00,0.000,0.150,92097.1,25542.0,10,167,2.93,1.00,1.00,1.4774,108.61,30738.8,0.0000,8.9726,5461,14.8091,1699,1.4503,3401.7,59.33,7.2642,0.0,0.0000,1.000,0.0179,1.9790,0.6818
50000,0,1606,28.37,0.01,6.36,0.14,7.73,0.00,1.00,0.000,0.261,401879.6,134762.5,20,179,3.23,1.00,1.01,7.8886,360.23,10245.2,1.2992,37.1772,5462,34.7043,1604,6.6643,31472.3,160.59,3.3977,0.0,0.0000,1.000,0.7105,1.6232,3.0201
50000,1,1299,28.53,0.00,6.41,0.08,7.81,0.00,1.00,0.000,0.213,389098.7,125550.8,21,127,3.27,1.00,1.00,7.4426,389.54,12655.3,0.8843,35.8765,5461,34.6979,1448,6.3785,30465.2,80.07,15.2520,0.0,0.0000,1.000,0.1979,1.5026,2.8356
50000,2,1136,28.67,0.00,6.35,0.08,7.94,0.00,1.00,0.000,0.187,339723.1,107220.2,20,143,3.21,1.00,1.00,5.8297,265.42,19995.6,0.0212,31.4425,5461,34.6979,1442,5.6668,24775.1,59.33,27.8901,0.0,0.0000,1.000,0.0179,1.4672,2.5740
60000,0,1415,28.35,0.01,5.87,0.13,8.23,0.00,1.00,0.000,0.230,254213.3,65129.8,19,115,3.26,1.00,1.00,6.7543,332.70,7366.8,0.2705,24.5572,5462,14.3361,1623,2.4300,9209.5,160.59,1.6780,0.0,0.0000,1.000,0.7105,1.6385,1.3887
60000,1,1148,28.63,0.01,5.88,0.28,8.27,0.00,1.00,0.000,0.191,139562.1,35349.2,19,189,3.29,1.00,1.01,4.2673,217.16,16993.3,0.0000,13.6371,5461,14.3334,1615,1.3521,3934.8,80.07,4.8561,0.0,0.0000,1.000,0.1979,1.6439,0.7625
60000,2,970,28.66,0.01,6.41,0.21,7.80,0.00,1.00,0.000,0.159,92398.7,25787.0,15,132,3.21,1.00,1.00,2.7409,75.34,29404.1,0.0000,9.0905,5461,14.3334,1470,1.0322,2352.9,59.33,7.1082,0.0,0.0000,1.000,0.0179,1.5347,0.5542
70000,0,1561,27.98,0.00,5.71,0.08,8.23,0.00,1.00,0.000,0.251,391991.8,106038.6,25,151,3.24,1.00,1.00,10.2436,414.50,7787.3,6.6972,36.9637,5462,32.6356,1424,3.9593,21097.3,160.59,3.4142,0.0,0.0000,1.000,0.7105,1.4209,2.2145
70000,1,1387,28.09,0.01,5.69,0.08,8.31,0.00,1.00,0.000,0.223,378294.0,100199.6,25,176,3.22,1.00,1.00,9.6149,476.43,10504.9,5.6866,35.5726,5461,32.6296,1375,4.0805,21228.6,80.07,15.2321,0.0,0.0000,1.000,0.1979,1.3780,2.1556
70000,2,1142,28.48,0.00,6.00,0.06,8.21,0.00,1.00,0.000,0.187,340502.8,88202.1,18,141,3.18,1.00,1.00,7.9155,316.97,18011.7,0.7564,32.2149,5461,32.6296,1352,3.6587,17818.9,59.33,27.5207,0.0,0.0000,1.000,0.0179,1.3652,1.9908
80000,0,1330,28.83,0.01,6.12,0.11,8.23,0.00,1.00,0.000,0.221,257406.1,65644.8,36,123,3.23,1.00,1.00,8.2442,428.67,6501.3,0.2383,25.0341,5462,14.3210,1477,1.7501,7139.4,160.59,1.6647,0.0,0.0000,1.000,0.7105,1.4462,1.2378
80000,1,1192,28.74,0.01,5.74,0.21,8.49,0.00,1.00,0.000,0.196,141137.9,34087.3,33,170,3.28,1.00,1.00,4.3883,223.85,15238.2,0.0000,13.8250,5461,14.3184,1531,1.1151,3347.3,80.07,4.8496,0.0,0.0000,1.000,0.1979,1.5029,0.7142
80000,2,930,28.60,0.01,5.77,0.28,8.38,0.00,1.00,0.000,0.154,92952.1,26268.1,20,150,3.23,1.00,1.00,3.3145,106.09,27825.0,0.0000,9.2450,5461,14.3184,1516,0.9138,2141.7,59.33,7.1625,0.0,0.0000,1.000,0.0179,1.5650,0.5253
90000,0,1576,28.04,0.02,5.57,0.02,8.40,0.00,1.01,0.000,0.252,381298.4,102965.0,29,154,3.18,1.00,1.00,12.9023,577.84,5371.9,10.7960,36.4060,5462,30.5075,1338,2.5722,14253.3,160.59,3.4781,0.0,0.0000,1.000,0.7105,1.2655,1.6708
90000,1,1393,28.11,0.01,5.59,0.03,8.42,0.00,1.00,0.000,0.224,366207.4,95216.5,31,166,3.22,1.00,1.01,11.0243,423.36,7804.3,10.8567,34.8053,5461,30.5019,1278,2.7013,14692.8,80.07,15.7749,0.0,0.0000,1.000,0.1979,1.2048,1.7109
90000,2,1201,27.74,0.01,5.58,0.05,8.23,0.00,1.00,0.000,0.192,338485.4,85829.3,21,148,3.15,1.00,1.00,9.1383,473.15,14165.3,2.9036,32.1473,5461,30.5019,1162,2.6786,13684.4,59.33,27.8297,0.0,0.0000,1.000,0.0179,1.1159,1.7140
100000,0,1476,28.53,0.06,5.06,0.02,9.08,0.00,1.02,0.000,0.240,259973.8,69358.4,20,117,3.25,1.01,1.02,9.6207,376.88,6705.9,0.2227,25.4089,5462,14.5063,1335,1.3594,5918.6,160.59,1.6972,0.0,0.0000,1.000,0.7105,1.2565,1.0822
100000,1,1195,29.07,0.05,5.21,0.03,9.21,0.00,1.02,0.000,0.199,142815.1,36320.1,16,177,3.17,1.01,1.03,5.0203,192.93,15299.0,0.0024,14.0523,5461,14.5036,1342,0.8769,2787.5,80.07,4.9042,0.0,0.0000,1.000,0.1979,1.3275,0.6624
100000,2,979,28.64,0.06,4.98,0.05,9.20,0.00,1.02,0.000,0.160,92506.9,25877.7,11,112,3.12,1.01,1.03,3.5665,127.58,28444.7,0.0000,9.2753,5461,14.5036,1359,0.8546,1808.1,59.33,7.2052,0.0,0.0000,1.000,0.0179,1.4103,0.4961
