step,event,lineage,other,size
5000,birth,2,0,498
31000,split,13,2,17
36000,split,20,2,14
41000,split,27,20,189
42000,extinct,13,0,11
44000,extinct,20,0,21
50000,split,29,2,49
51000,split,33,27,107
51000,split,34,27,19
52000,split,39,29,6
52000,split,40,27,5
54000,split,50,29,10
54000,extinct,27,0,21
54000,extinct,40,0,5
56000,extinct,39,0,7
58000,extinct,33,0,17
58000,extinct,34,0,5
62000,split,44,27,143
62000,extinct,50,0,5
70000,split,59,44,6
71000,extinct,59,0,6
72000,split,62,29,37
74000,split,66,29,10
75000,split,71,2,8
76000,extinct,66,0,10
76000,merge,71,2,8
79000,extinct,44,0,5
96000,split,79,2,7
97000,extinct,2,0,6
97000,extinct,29,0,6
