step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,283,0.8304,2887.6,781,108,86,89,7,5,7,24096,25147,27257,0,0,0,1.000,1.000,1.000,80,15,2,0.6714,0.0536,0.8973,0.0342
2000,2101,0.5650,19439.0,325,657,730,714,61,65,79,31829,31739,31955,0,0,0,1.000,1.000,1.000,508,161,21,0.2583,0.1470,0.5259,0.0714
3000,2018,0.4569,20149.3,368,695,744,579,89,73,103,30219,30233,31039,0,0,0,1.000,1.000,1.000,550,165,22,0.3293,0.1263,0.5434,0.0612
4000,1932,0.4529,19556.8,425,703,685,544,87,93,111,29759,29317,30088,0,0,0,1.000,1.000,1.000,554,189,17,0.3738,0.1149,0.5986,0.0557
5000,2320,0.3828,20833.6,377,832,835,653,107,113,115,28764,27884,28149,0,0,0,1.000,1.000,1.000,624,201,13,0.3788,0.1152,0.5995,0.0543
6000,2509,0.3834,19195.0,335,904,847,758,104,104,150,27937,27217,27844,0,0,0,1.000,1.000,1.000,698,194,25,0.4271,0.0992,0.6199,0.0486
7000,2605,0.4253,20672.6,352,879,962,764,100,138,137,27617,26591,26433,0,0,0,1.000,1.000,1.000,667,252,28,0.4448,0.0979,0.6169,0.0456
8000,2405,0.4237,19841.1,407,894,851,660,110,132,134,27965,27169,27129,0,0,0,1.000,1.000,1.000,677,195,26,0.4592,0.0903,0.6370,0.0461
9000,2089,0.4303,17283.0,436,875,715,499,106,124,122,27774,27257,27436,0,0,0,1.000,1.000,1.000,703,181,16,0.5092,0.0824,0.6750,0.0415
10000,1793,0.4473,16715.4,476,788,601,404,91,118,103,28457,28355,28345,0,0,0,1.000,1.000,1.000,642,137,11,0.5049,0.0834,0.7053,0.0421
11000,1730,0.4370,16636.4,517,700,555,475,83,95,115,29260,30284,30271,0,0,0,1.000,1.000,1.000,555,121,17,0.4417,0.0921,0.6915,0.0485
12000,1218,0.4392,12497.6,633,537,414,267,67,100,82,31247,33069,33234,0,0,0,1.000,1.000,1.000,425,95,10,0.4164,0.0922,0.7202,0.0522
13000,970,0.4948,10048.8,621,529,270,171,43,78,62,33070,35509,35764,0,0,0,1.000,1.000,1.000,450,78,6,0.2900,0.1326,0.7015,0.0576
14000,582,0.4983,6322.9,709,359,156,67,32,77,42,34512,37690,37992,0,0,0,1.000,1.000,1.000,315,41,1,0.1905,0.1525,0.6779,0.0607
15000,455,0.4747,5035.6,656,346,69,40,22,46,23,35282,38639,39161,0,0,0,1.000,1.000,1.000,274,21,1,0.1768,0.1795,0.5819,0.0653
16000,334,0.4281,4644.2,741,254,55,25,10,37,22,34682,38637,39452,0,0,0,1.000,1.000,1.000,207,8,1,0.2120,0.1548,0.5951,0.0615
17000,548,0.3832,6143.3,521,412,110,26,13,74,23,34090,37483,38615,0,0,0,1.000,1.000,1.000,342,16,0,0.2866,0.1370,0.7520,0.0627
18000,661,0.4100,7959.1,558,388,169,104,31,77,51,31828,34979,36579,0,0,0,1.000,1.000,1.000,325,41,0,0.4435,0.0950,0.8123,0.0516
19000,1073,0.4129,11776.5,499,514,292,267,52,80,100,30084,32436,34374,0,0,0,1.000,1.000,1.000,426,97,11,0.4514,0.0860,0.7350,0.0491
20000,1503,0.4198,14059.2,443,615,476,412,69,85,99,28776,30780,32791,0,0,0,1.000,1.000,1.000,469,114,23,0.4433,0.0894,0.6857,0.0483
21000,1692,0.4610,16783.3,481,702,569,421,105,87,98,28250,29417,31262,0,0,0,1.000,1.000,1.000,562,151,15,0.4510,0.0930,0.6693,0.0485
22000,2046,0.4179,19778.7,452,790,710,546,87,96,130,26198,27234,29080,0,0,0,1.000,1.000,1.000,620,145,18,0.4593,0.0879,0.6439,0.0454
23000,2139,0.4577,21781.9,487,821,720,598,92,97,132,25315,25712,28010,0,0,0,1.000,1.000,1.000,627,172,17,0.4642,0.0985,0.6375,0.0428
24000,2473,0.4258,24243.1,475,955,788,730,115,113,123,24012,24480,26474,0,0,0,1.000,1.000,1.000,742,203,23,0.4488,0.0900,0.6135,0.0447
25000,2345,0.4542,24649.3,526,883,823,639,95,96,113,23882,24728,25947,0,0,0,1.000,1.000,1.000,658,195,19,0.4755,0.0860,0.6305,0.0422
26000,2586,0.4404,27070.3,527,949,875,762,104,110,98,24518,25273,26395,0,0,0,1.000,1.000,1.000,734,202,23,0.4033,0.1148,0.5957,0.0506
27000,2438,0.4274,25625.8,558,853,849,736,101,114,123,25003,25228,26531,0,0,0,1.000,1.000,1.000,676,190,29,0.4341,0.1030,0.6226,0.0479
28000,2478,0.4257,25713.3,549,993,821,664,102,107,117,25532,25479,26624,0,0,0,1.000,1.000,1.000,766,195,17,0.4141,0.0967,0.6195,0.0496
29000,2044,0.4706,22487.6,611,843,710,491,87,101,100,27590,27996,28997,0,0,0,1.000,1.000,1.000,683,167,6,0.4130,0.1012,0.6548,0.0516
30000,1851,0.4846,19242.3,592,719,634,498,83,96,98,29266,29876,30586,0,0,0,1.000,1.000,1.000,580,153,15,0.3927,0.0981,0.6634,0.0518
31000,1487,0.4445,16140.1,627,658,482,347,73,81,76,31023,32136,32831,0,0,0,1.000,1.000,1.000,518,115,14,0.3776,0.1019,0.6944,0.0573
32000,1073,0.5051,12486.2,681,504,309,260,47,61,89,33239,35080,35448,0,0,0,1.000,1.000,1.000,408,80,15,0.3068,0.1215,0.7125,0.0632
33000,747,0.4980,9809.6,747,425,187,135,40,61,65,34157,36766,37235,0,0,0,1.000,1.000,1.000,357,35,5,0.2488,0.1418,0.7385,0.0659
34000,500,0.5420,6879.0,816,305,135,60,26,54,38,35374,38707,39194,0,0,0,1.000,1.000,1.000,249,17,0,0.1683,0.1656,0.7092,0.0705
35000,461,0.4642,5916.8,748,362,62,37,15,37,24,35965,39734,40373,0,0,0,1.000,1.000,1.000,317,24,2,0.1473,0.2104,0.6445,0.0791
36000,381,0.4409,5652.9,801,308,57,16,14,38,14,35531,39736,40714,0,0,0,1.000,1.000,1.000,254,21,1,0.1664,0.1833,0.6918,0.0766
37000,503,0.3459,6831.7,719,398,86,19,15,47,15,33869,38109,39542,0,0,0,1.000,1.000,1.000,335,28,1,0.2658,0.1270,0.8521,0.0656
38000,818,0.3778,10696.2,663,572,197,49,31,87,32,31793,35229,37271,0,0,0,1.000,1.000,1.000,484,58,2,0.3484,0.1104,0.7960,0.0594
39000,1267,0.3994,15654.3,600,587,407,273,38,111,95,28793,32261,34509,0,0,0,1.000,1.000,1.000,474,114,8,0.4097,0.0909,0.7061,0.0546
40000,1717,0.4083,18586.3,544,745,543,429,101,105,104,27820,29896,32774,0,0,0,1.000,1.000,1.000,592,151,18,0.4158,0.0894,0.6907,0.0531
