step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned,rich,plant_rich,plant_thin,pop_rich,hunger_rich,hunger_thin,fouled,foul_mean,foul_p90,foul_free,covered,plant_std
10000,710,1.390,1.567,9.92,31088,27992,0,3364,470,430515,402811.4,211844.3,0.144,0.642,0.074,0.139,112,39.06,14.24,0.11,1.24,11.07,6.49,2.26,4.09,12.15,7.05,0.00,0.00,0.281,0.134,515,0.051,0.058,0.927,0.000,0.015,63160,56018,1,0.958,0.042,0.446,2046498,0.171,2.831,0.172,28.88,21464,393,0.492,0.173,0.242,2959430,1.03,1.98,0.214,0.532,0.000,18.5,40.2,56.5,76.3,18170,0.069,0.00,0.0047,0.139,226,0.499,0.000,0.499,0.529,4.27,5.28,5.42,0.02,0.008,1.02,1.02,1.03,0.524,0.00603,6.89,13.5673,149.77,96034.0,140078.7,0.021,8.9311,76.160,0.000,1.000,0.000,9328.8,32.677,27.094,3901,23429.9,9.53,33.728,6.31,3.129,237.6,0.725,0.137,2.00,10.5659,7501.8,0.5330,0.3300,25.59,1.593,0.076,1.5122,0.0000,0.440,0.072,0.214,0.0000,5.85,0.53,12,25,36,64,30.2820,0.0025,0.4310,0.0000,0.0000,10.6409,100.00,61.0392,78.4352,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0034,0.0015,0.000006,1,0.0753,0.0352,0.0201,73,262,752,0.0000,0.0000,0.0468,0.234,0.9200,0.0043,0.3160,0.0451,0.3365,0.1659,0.0000,-0.00145,0.996,0.0413,0.023,0.002,1.82,0.446,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9594,0.0000,1.3713,0.00000,0.09376,0.7050,0.7040,1.0000,1.543,0.000,1.0000,2.7992,0.0000,0.0000,0.0000,0.0000,0.0000,0.1631,2.8260
20000,713,1.158,1.213,11.78,8200,7385,0,773,34,87606,118639.2,44959.1,0.130,0.820,0.021,0.028,124,35.17,13.08,0.02,0.39,8.57,4.66,0.58,1.65,11.14,6.47,0.00,0.00,0.244,0.104,472,0.056,0.086,0.907,0.003,0.004,8207,6180,2,0.930,0.060,0.167,718647,0.103,2.527,0.131,11.14,4029,537,0.513,0.234,0.258,739694,1.01,1.79,0.245,0.548,0.000,15.5,37.8,46.5,70.5,14477,0.055,0.00,0.0015,0.165,181,0.294,0.000,0.322,0.158,3.66,4.75,4.75,0.00,0.003,1.01,1.00,1.01,0.307,0.00286,0.70,1.3804,145.49,111382.0,140078.7,0.000,1.8465,24.122,0.000,1.000,0.000,16.8,12.011,9.485,2973,17680.2,16.96,8.572,5.51,1.183,158.1,0.163,0.140,1.98,10.4962,7483.8,0.6883,0.4493,20.30,1.761,0.091,0.4878,0.0000,0.402,0.091,0.142,0.0000,5.19,0.47,9,22,26,49,9.6951,0.0003,0.4250,0.0000,0.0000,2.9635,100.00,98.0724,48.6702,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0025,0.0011,0.000003,5,0.0755,0.0519,0.0396,82,291,1225,0.0000,0.0000,0.0323,0.119,0.1606,0.0114,0.0697,0.0407,0.5233,0.0761,0.0000,-0.00065,0.994,0.0405,0.013,0.001,0.55,0.167,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7659,0.0000,1.0151,0.00000,0.08784,0.6658,0.6651,1.0000,1.194,0.000,1.0000,0.7385,0.0000,0.0000,0.0000,0.0000,0.0000,0.1420,2.5176
30000,1016,1.267,2.023,16.81,32907,26779,0,5779,45,356795,285235.1,190238.6,0.090,0.863,0.025,0.022,89,30.54,15.12,0.30,1.62,6.56,4.81,1.65,4.29,11.30,10.98,0.00,0.03,0.229,0.145,683,0.038,0.054,0.927,0.002,0.017,37007,24919,3,0.432,0.389,0.404,3047272,0.078,3.178,0.235,28.76,20923,400,0.533,0.226,0.192,3186756,1.04,2.21,0.161,0.495,0.001,13.0,28.0,48.7,109.5,20125,0.077,0.00,0.0025,0.105,306,0.363,0.000,0.427,0.179,3.63,4.59,4.64,0.05,0.028,1.06,1.03,1.04,0.380,0.00504,3.81,4.6956,192.15,97013.4,140078.7,0.000,7.1878,61.720,0.000,1.000,0.000,23.4,25.826,27.561,4874,31203.8,16.92,21.521,4.59,5.694,316.3,1.107,0.134,2.01,7.8675,7993.4,0.6556,0.4761,19.81,1.755,0.363,1.5122,0.0000,0.374,0.190,0.301,0.0000,5.17,1.56,7,15,40,75,22.2697,0.0033,0.4616,0.0000,0.0000,11.2921,100.00,81.7139,72.1535,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0028,0.0012,0.000006,1,0.0609,0.0207,0.0156,64,235,851,0.0000,0.0000,0.0222,0.070,0.8325,0.0046,0.4013,0.0335,0.4599,0.1804,0.0000,0.00004,0.994,0.0674,0.073,0.013,1.22,0.404,0.000,0.000,0.0000,0.000,0.000,0.0000,1.2529,0.0000,1.8473,0.00000,0.07488,0.7710,0.7698,1.0000,1.992,0.000,1.0000,2.6779,0.0000,0.0000,0.0000,0.0000,0.0000,0.1827,3.1665
40000,745,1.352,1.380,17.01,7634,7332,0,527,17,46138,123697.5,29494.6,0.102,0.786,0.050,0.063,118,38.17,16.89,0.24,1.33,7.32,4.65,1.65,3.72,13.14,8.23,0.01,0.12,0.196,0.096,523,0.027,0.114,0.868,0.003,0.015,6970,5226,7,0.628,0.068,0.330,1435532,0.149,2.626,0.147,11.19,4444,472,0.639,0.345,0.102,838868,1.03,1.05,0.310,0.493,0.004,20.0,33.5,59.5,156.7,16647,0.064,0.00,0.0013,0.133,176,0.309,0.000,0.365,0.114,3.98,4.85,4.97,0.06,0.034,1.04,1.01,1.03,0.316,0.00205,0.72,1.3314,145.96,105090.5,140078.7,0.000,1.7466,24.469,0.000,1.000,0.000,15.4,11.344,9.696,3731,20387.9,34.38,9.311,5.19,1.096,177.6,0.156,0.142,1.98,14.4773,10785.6,0.8955,0.5219,22.34,1.834,0.324,0.4878,0.0000,0.269,0.143,0.067,0.0000,5.18,1.17,11,20,37,81,10.4219,0.0041,0.4336,0.0000,0.0000,2.9777,100.00,98.2682,50.1598,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0022,0.0010,0.000002,29,0.1701,0.0913,0.0577,88,290,1325,0.0000,0.0000,0.0829,0.149,0.1625,0.0269,0.0802,0.0443,0.5375,0.0662,0.0000,-0.00053,1.000,0.0742,0.004,0.000,1.29,0.330,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9293,0.0000,1.3822,0.00000,0.07741,0.7274,0.7268,1.0000,1.360,0.000,1.0000,0.7332,0.0000,0.0000,0.0000,0.0000,0.0000,0.1564,2.6061
50000,827,0.726,2.027,27.81,33805,26861,0,6741,104,296583,299985.7,189933.4,0.073,0.795,0.077,0.056,83,22.49,8.76,0.00,0.00,6.74,3.96,0.62,1.85,4.19,2.58,0.00,0.00,0.281,0.120,400,0.134,0.045,0.936,0.002,0.017,37299,25142,2,0.623,0.368,0.201,2630966,0.124,3.251,0.239,29.84,23810,413,0.640,0.290,0.330,3109384,1.00,1.74,0.224,0.478,0.000,8.0,26.0,32.0,71.0,9554,0.036,0.00,0.0087,0.163,239,0.339,0.000,0.426,0.153,2.55,3.52,3.64,0.00,0.000,1.00,1.00,1.00,0.354,0.00595,3.84,4.3007,94.14,98468.8,140078.7,0.000,5.8011,66.011,0.000,1.000,0.000,17.4,27.868,29.257,4517,31401.8,8.87,22.686,4.10,4.491,290.4,1.062,0.133,2.01,8.9586,7408.8,0.9599,0.5765,11.55,2.000,0.000,1.5122,0.0000,0.330,0.123,0.109,0.0000,4.02,0.16,4,13,16,36,24.4889,0.0030,0.4885,0.0000,0.0000,11.3844,100.00,82.7404,73.5630,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0025,0.0011,0.000006,17,0.1586,0.0278,0.0222,54,228,924,0.0000,0.0000,0.0295,0.060,0.6404,0.0219,0.3948,0.0399,0.4838,0.2325,0.0000,0.00096,1.000,0.0976,0.002,0.000,0.55,0.201,0.000,0.000,0.0000,0.000,0.000,0.0000,1.3288,0.0000,1.9163,0.00000,0.07688,0.8023,0.8012,1.0000,2.004,0.000,1.0000,2.6861,0.0000,0.0000,0.0000,0.0000,0.0000,0.1131,3.2462
60000,822,1.106,2.140,27.27,8289,6986,0,1230,50,49606,103629.4,37054.3,0.038,0.861,0.044,0.058,68,26.50,14.54,0.00,0.03,6.88,4.46,0.47,1.96,6.17,6.74,0.00,0.00,0.259,0.138,429,0.207,0.112,0.869,0.000,0.019,7914,5562,7,0.690,0.044,0.117,441860,0.129,3.218,0.245,10.32,5882,502,0.747,0.386,0.187,783016,1.00,1.70,0.350,0.464,0.000,10.0,28.0,32.0,199.8,11114,0.042,0.00,0.0020,0.155,219,0.247,0.000,0.311,0.092,2.83,3.73,3.85,0.00,0.000,1.00,1.00,1.00,0.254,0.00245,0.48,1.1124,120.60,95647.7,140078.7,0.000,2.6390,21.269,0.000,1.000,0.000,15.5,9.566,8.939,5302,33048.0,12.20,8.055,3.84,2.164,305.5,0.258,0.136,2.01,9.7426,8008.4,1.0056,0.6717,13.52,1.997,0.016,0.4878,0.0000,0.373,0.153,0.185,0.0000,4.22,0.66,6,14,16,100,8.5357,0.0032,0.4343,0.0000,0.0000,3.0170,100.00,86.7647,44.1360,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0020,0.0009,0.000002,28,0.1457,0.0450,0.0473,57,250,1302,0.0000,0.0000,0.0309,0.049,0.0992,0.0181,0.0762,0.0426,0.5492,0.0970,0.0000,-0.00074,1.000,0.0959,0.030,0.016,0.39,0.117,0.000,0.000,0.0000,0.000,0.000,0.0000,1.5585,0.0000,2.1098,0.00000,0.09723,0.8117,0.8110,1.0000,2.114,0.000,1.0000,0.6986,0.0000,0.0000,0.0000,0.0000,0.0000,0.1221,3.2109
70000,1063,0.919,1.625,30.51,23123,19257,0,3403,122,144642,301195.2,98371.5,0.024,0.884,0.044,0.048,77,28.64,8.19,0.00,0.00,5.62,3.06,0.24,1.25,8.58,4.37,0.00,0.00,0.199,0.101,484,0.198,0.071,0.920,0.001,0.008,22294,14997,3,0.777,0.050,0.059,589083,0.134,2.938,0.190,28.13,16723,345,0.680,0.316,0.047,4204336,1.00,0.61,0.578,0.370,0.000,16.0,32.0,32.0,90.0,15352,0.059,0.00,0.0033,0.160,343,0.456,0.000,0.279,0.102,2.96,3.90,3.91,0.00,0.000,1.00,1.00,1.00,0.463,0.00372,3.39,4.3313,258.67,92791.0,140078.7,0.000,7.6938,60.152,0.000,1.000,0.000,23.2,26.684,27.797,3857,24806.3,13.55,23.786,3.87,6.537,228.2,1.230,0.135,1.99,17.9186,19047.4,1.4602,0.5460,14.44,2.000,0.000,1.5122,0.0000,0.436,0.209,0.489,0.0000,4.06,0.25,8,16,16,45,24.0841,0.0044,0.4976,0.0000,0.0000,11.5000,100.00,70.7172,67.7249,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0019,0.0009,0.000002,100,0.7168,0.2004,0.0513,64,256,1130,0.0000,0.0000,0.0173,0.029,0.2319,0.1113,0.2166,0.0499,0.4104,0.1395,0.0000,0.00118,0.999,0.0924,0.004,0.001,0.23,0.059,0.000,0.000,0.0000,0.000,0.000,0.0000,1.3662,0.0000,2.2085,0.00000,0.06675,0.7811,0.7804,1.0000,1.596,0.000,1.0000,1.9257,0.0000,0.0000,0.0000,0.0000,0.0000,0.1580,2.9265
80000,833,1.020,1.622,28.89,6931,6562,0,467,21,28032,111329.5,28182.2,0.019,0.897,0.040,0.044,105,28.13,10.28,0.00,0.00,5.21,3.48,0.64,2.25,8.54,5.35,0.00,0.00,0.185,0.109,421,0.061,0.161,0.830,0.000,0.010,5717,4073,4,0.571,0.340,0.155,448734,0.114,2.858,0.179,10.98,4900,733,1.005,0.358,0.084,1103427,1.00,0.70,0.573,0.330,0.000,16.0,31.0,32.0,191.0,11980,0.046,0.00,0.0016,0.146,206,0.324,0.000,0.197,0.082,2.98,3.87,3.92,0.00,0.000,1.00,1.00,1.00,0.327,0.00176,0.48,2.3478,93.28,100671.3,140078.7,0.000,2.7849,22.666,0.000,1.000,0.000,17.8,10.481,9.833,4222,24603.3,12.70,8.508,3.95,1.497,228.0,0.195,0.135,1.99,13.8053,11499.8,1.1520,0.6916,14.38,2.000,0.000,0.4878,0.0000,0.495,0.155,0.377,0.0000,4.07,0.38,8,16,16,99,9.6276,0.0024,0.4694,0.0000,0.0000,3.0214,100.00,93.8843,49.5043,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0018,0.0008,0.000001,111,0.4665,0.0804,0.1078,88,282,2354,0.0000,0.0000,0.0055,0.009,0.0336,0.0910,0.0820,0.0384,0.5416,0.0648,0.0000,-0.00012,1.000,0.0923,0.011,0.003,0.52,0.155,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0325,0.0000,1.3843,0.00000,0.06591,0.7728,0.7722,1.0000,1.602,0.000,1.0000,0.6562,0.0000,0.0000,0.0000,0.0000,0.0000,0.1293,2.8519
90000,993,0.951,1.375,29.39,20165,18852,0,836,32,67395,320182.8,65381.7,0.013,0.911,0.034,0.042,98,26.94,7.58,0.00,0.00,4.73,2.41,0.41,1.74,8.54,3.30,0.00,0.00,0.175,0.085,475,0.206,0.097,0.895,0.000,0.008,15950,11460,2,0.882,0.026,0.109,1445434,0.118,2.685,0.153,30.64,13875,442,0.970,0.301,0.024,4522346,1.00,0.68,0.530,0.410,0.000,15.0,30.0,32.0,50.0,13584,0.052,0.00,0.0038,0.172,275,0.463,0.000,0.233,0.054,2.94,3.82,3.84,0.00,0.000,1.00,1.00,1.00,0.466,0.00283,3.13,6.0010,353.75,97816.7,140078.7,0.000,6.3619,62.521,0.000,1.000,0.000,20.7,28.200,30.909,3391,20340.0,12.26,24.629,3.92,4.204,187.3,0.943,0.134,2.00,18.3668,18238.2,1.5589,0.5472,13.68,2.000,0.000,1.5122,0.0000,0.638,0.113,0.865,0.0000,4.00,0.06,8,16,16,25,26.2602,0.0099,0.4773,0.0000,0.0000,11.5718,100.00,76.7168,76.1136,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0018,0.0009,0.000002,285,1.1781,0.2538,0.0732,94,272,1465,0.0000,0.0000,0.0107,0.022,0.0931,0.2017,0.1983,0.0634,0.4457,0.1024,0.0000,0.00067,1.000,0.0942,0.015,0.005,0.35,0.109,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9322,0.0000,1.3850,0.00000,0.04558,0.7714,0.7709,1.0000,1.342,0.000,1.0000,1.8852,0.0000,0.0000,0.0000,0.0000,0.0000,0.1497,2.6659
100000,809,1.217,1.433,29.14,5256,5164,0,78,1,12241,113779.2,19011.7,0.011,0.927,0.017,0.045,122,27.03,7.49,0.00,0.00,4.66,2.76,0.45,2.01,8.63,3.51,0.00,0.00,0.171,0.095,367,0.145,0.157,0.828,0.000,0.015,3369,2448,1,0.957,0.043,0.089,289095,0.107,2.677,0.154,11.36,3616,591,1.553,0.269,0.059,1096849,1.00,0.70,0.524,0.341,0.000,16.0,30.0,32.0,50.0,11115,0.042,0.00,0.0016,0.163,212,0.321,0.000,0.177,0.036,2.99,3.82,3.84,0.00,0.000,1.00,1.00,1.00,0.322,0.00150,0.45,3.1557,190.28,102014.3,140078.7,0.000,3.0025,21.963,0.000,1.000,0.000,14.0,9.924,10.248,3829,21255.4,18.10,8.576,3.93,1.151,194.0,0.163,0.129,2.00,16.2514,13147.4,1.4127,0.6094,13.74,2.000,0.000,0.4878,0.0000,0.678,0.124,0.937,0.0000,4.00,0.06,8,16,16,25,9.1892,0.0041,0.3745,0.0000,0.0000,3.0216,100.00,96.3153,52.2084,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0014,0.0007,0.000001,197,0.6975,0.1125,0.1605,102,310,4033,0.0000,0.0000,0.0084,0.021,0.0145,0.1369,0.1016,0.0408,0.5644,0.0561,0.0000,0.00017,0.999,0.0936,0.030,0.010,0.36,0.089,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9062,0.0000,1.0968,0.00000,0.05747,0.7763,0.7758,1.0000,1.410,0.000,1.0000,0.5164,0.0000,0.0000,0.0000,0.0000,0.0000,0.1235,2.6613
