step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,363,39.04,1.17,10.79,0.59,17.12,0.31,1.30,0.094,0.123,144109.2,62763.1,3,48,4.71,1.36,1.22,4.6278,102.17,34774.8,0.0074,10.5168,5462,10.8887,1136,1.5199,3063.7,166.47,0.6302,0.0,0.0000,1.000,0.7549,1.3236,1.0713
10000,1,295,42.85,1.27,12.28,1.03,19.26,0.36,1.30,0.098,0.113,138653.9,59640.0,3,64,5.04,1.39,1.19,4.6068,52.25,33849.7,0.0073,10.0091,5461,10.8867,1156,1.4227,2841.6,81.57,3.6515,0.0,0.0000,1.000,0.1939,1.3588,1.0104
10000,2,210,43.30,0.71,12.34,0.87,18.70,0.20,1.16,0.067,0.079,113046.9,46210.4,3,68,5.00,1.24,1.06,3.9208,31.63,32374.3,0.0068,7.4079,5461,10.8867,985,0.7942,1541.1,51.95,7.5069,0.0,0.0000,1.000,0.0059,1.0935,0.8619
20000,0,341,44.52,0.20,9.80,0.03,13.89,0.05,1.06,0.021,0.093,58137.3,26722.8,1,43,3.94,1.09,1.04,0.7613,72.49,37530.0,0.0000,5.6845,5462,3.6229,1064,0.7065,1024.2,166.47,0.2615,0.0,0.0000,1.000,0.7549,1.1968,0.3631
20000,1,257,41.25,0.09,9.41,0.00,12.77,0.05,1.03,0.019,0.066,31523.2,14563.2,1,93,3.81,1.05,1.02,0.4415,64.60,37803.4,0.0000,3.0198,5461,3.6222,1011,0.2540,373.2,81.57,0.9726,0.0,0.0000,1.000,0.1939,1.1643,0.2315
20000,2,221,44.37,0.02,9.83,0.01,14.31,0.01,1.00,0.005,0.061,20044.5,8611.3,1,103,4.08,1.01,1.00,0.2719,51.35,35500.0,0.0000,1.8902,5461,3.6222,801,0.1207,162.9,51.95,1.7926,0.0,0.0000,1.000,0.0059,0.9065,0.1698
30000,0,379,41.29,0.62,11.17,0.07,8.34,0.36,1.16,0.145,0.087,107176.7,88374.0,5,59,3.64,1.25,1.06,2.1980,112.08,33397.4,0.0000,10.8315,5462,8.2307,1578,1.9483,3790.3,166.47,0.6696,0.0,0.0000,1.000,0.7549,2.0284,0.9738
30000,1,344,43.35,0.49,10.48,0.01,10.42,0.17,1.14,0.073,0.085,101374.6,80295.6,5,56,3.74,1.19,1.10,2.0463,93.59,32336.9,0.0000,10.2730,5461,8.2292,1561,1.8644,3523.7,81.57,3.8095,0.0,0.0000,1.000,0.1939,1.9650,0.8897
30000,2,339,42.48,0.39,10.96,0.07,9.67,0.12,1.11,0.041,0.081,71753.2,53646.7,5,98,3.63,1.17,1.05,1.2430,70.25,30257.6,0.0000,7.5500,5461,8.2292,1414,1.0755,1965.5,51.95,7.7740,0.0,0.0000,1.000,0.0059,1.8272,0.6540
40000,0,372,49.26,0.20,10.83,0.09,13.58,0.07,1.06,0.027,0.105,56866.7,26491.5,3,36,4.09,1.08,1.05,0.8716,137.76,34706.6,0.0000,5.3478,5462,3.2580,1250,1.0273,1130.5,166.47,0.2696,0.0,0.0000,1.000,0.7549,1.5308,0.3320
40000,1,321,52.04,0.62,11.31,0.02,13.72,0.17,1.17,0.056,0.095,31095.9,13467.0,3,89,4.29,1.21,1.16,0.4341,114.68,35197.8,0.0000,2.8430,5461,3.2574,1306,0.4331,463.9,81.57,0.9581,0.0,0.0000,1.000,0.1939,1.5399,0.1914
40000,2,271,50.03,0.53,11.56,0.00,12.57,0.19,1.13,0.063,0.076,21238.7,11298.4,3,109,4.10,1.18,1.08,0.3584,115.00,33236.1,0.0000,1.7872,5461,3.2574,1124,0.2224,223.8,51.95,1.8151,0.0,0.0000,1.000,0.0059,1.2417,0.1613
50000,0,358,33.02,0.45,7.06,0.00,8.55,0.08,1.15,0.031,0.066,104805.5,82992.2,2,46,3.18,1.22,1.11,2.4226,104.38,32821.7,0.0000,10.6250,5462,8.1247,1873,2.0771,3925.5,166.47,0.6581,0.0,0.0000,1.000,0.7549,2.4105,0.8933
50000,1,313,32.06,0.71,6.57,0.00,8.06,0.14,1.28,0.058,0.055,100162.4,75651.1,2,64,3.15,1.36,1.25,2.2458,90.31,32127.7,0.0000,10.0453,5461,8.1232,1693,2.0371,3794.6,81.57,3.8230,0.0,0.0000,1.000,0.1939,2.1771,0.8055
50000,2,184,31.17,0.40,8.51,0.00,6.27,0.12,1.12,0.049,0.033,71332.5,51147.7,2,92,2.96,1.19,1.08,1.4402,31.86,30223.8,0.0000,7.3957,5461,8.1232,1658,1.2291,2158.0,51.95,7.7786,0.0,0.0000,1.000,0.0059,2.0071,0.6208
60000,0,282,43.62,0.72,7.28,0.00,13.09,0.10,1.21,0.035,0.068,56755.8,22888.4,6,40,3.58,1.31,1.12,0.8082,45.55,34150.3,0.0000,5.3291,5462,3.2510,1614,1.1044,1258.4,166.47,0.2784,0.0,0.0000,1.000,0.7549,1.9147,0.4196
60000,1,257,51.76,0.78,8.39,0.01,15.94,0.18,1.17,0.054,0.073,30672.7,10979.3,6,74,4.13,1.27,1.12,0.3903,47.27,34559.7,0.0000,2.7919,5461,3.2504,1548,0.4882,488.6,81.57,0.9724,0.0,0.0000,1.000,0.1939,1.7384,0.2297
60000,2,173,49.16,0.97,9.78,0.00,12.87,0.23,1.20,0.069,0.047,20329.4,6999.0,6,81,3.99,1.19,1.23,0.2798,57.48,32608.5,0.0000,1.7670,5461,3.2504,1438,0.2733,238.1,51.95,1.8308,0.0,0.0000,1.000,0.0059,1.5533,0.1571
70000,0,384,50.28,0.74,10.61,0.00,13.04,0.06,1.19,0.021,0.107,112220.8,60727.9,7,56,3.92,1.23,1.18,1.8088,62.41,33884.8,0.0000,10.8138,5462,8.8830,1393,1.9104,3797.9,166.47,0.6630,0.0,0.0000,1.000,0.7549,1.7085,0.8459
70000,1,337,48.49,0.46,10.68,0.00,12.65,0.02,1.10,0.009,0.092,104543.2,52598.5,8,75,3.98,1.12,1.06,1.6631,77.49,33106.1,0.0000,10.2588,5461,8.8813,1579,1.8975,3581.6,81.57,3.8374,0.0,0.0000,1.000,0.1939,1.8842,0.7293
70000,2,235,50.79,1.36,10.30,0.00,12.37,0.00,1.33,0.004,0.065,76630.8,37729.9,6,88,4.09,1.36,1.35,1.1393,31.66,31090.4,0.0000,7.4938,5461,8.8813,1238,1.1544,2064.4,51.95,7.8929,0.0,0.0000,1.000,0.0059,1.5020,0.5467
80000,0,334,45.95,0.64,7.08,0.00,14.62,0.00,1.18,0.000,0.086,55359.9,15763.3,3,36,3.74,1.12,1.22,0.7098,55.03,35024.2,0.0000,5.4883,5462,3.3681,1458,0.8994,1061.6,166.47,0.2736,0.0,0.0000,1.000,0.7549,1.7316,0.2847
80000,1,228,48.40,0.46,7.86,0.00,15.41,0.00,1.12,0.000,0.061,31839.3,8755.5,3,72,3.97,1.07,1.14,0.4105,25.06,35176.0,0.0000,2.9515,5461,3.3675,1325,0.3461,391.8,81.57,0.9470,0.0,0.0000,1.000,0.1939,1.5084,0.1730
80000,2,201,45.11,0.33,8.13,0.00,13.76,0.00,1.06,0.000,0.052,20253.8,5026.3,3,106,3.77,1.02,1.09,0.2580,29.35,32914.2,0.0000,1.8544,5461,3.3675,1260,0.1609,170.2,51.95,1.8172,0.0,0.0000,1.000,0.0059,1.2110,0.1180
90000,0,390,42.58,0.55,7.73,0.00,12.46,0.00,1.11,0.000,0.093,110112.1,47846.0,2,69,3.49,1.13,1.11,1.6274,85.79,32782.7,0.0000,10.7992,5462,8.8629,1596,2.0305,3936.3,166.47,0.6807,0.0,0.0000,1.000,0.7549,1.9008,0.7625
90000,1,327,42.40,0.40,8.54,0.00,11.86,0.00,1.07,0.000,0.077,105003.6,44315.4,2,68,3.59,1.04,1.11,1.4380,43.00,32108.7,0.0000,10.2984,5461,8.8613,1298,1.9674,3835.9,81.57,3.8434,0.0,0.0000,1.000,0.1939,1.6748,0.6836
90000,2,253,41.14,0.29,8.69,0.00,11.30,0.00,1.06,0.000,0.058,74894.0,31604.6,2,116,3.41,1.07,1.08,1.0109,34.07,30489.3,0.0000,7.5068,5461,8.8613,1170,1.1874,2133.4,51.95,7.8718,0.0,0.0000,1.000,0.0059,1.5023,0.5309
100000,0,386,42.06,0.53,7.13,0.00,12.83,0.00,1.14,0.000,0.091,58254.9,10554.0,5,36,3.54,1.11,1.19,0.8113,57.82,35235.3,0.0000,5.5280,5462,3.4107,1233,0.9141,1104.2,166.47,0.2722,0.0,0.0000,1.000,0.7549,1.4654,0.2869
