step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,208,0.9038,2119.4,856,95,71,42,7,1,5,18353,18369,18329,0,0,0,1.000,1.000,1.000,72,17,2,0.3398,0.1012,0.9167,0.0597
2000,163,0.3558,2096.0,384,62,69,32,16,4,13,20203,20051,20054,0,0,0,1.000,1.000,1.000,49,6,0,0.7184,0.0437,0.9335,0.0295
3000,983,0.6317,8801.1,387,397,288,298,58,54,70,24662,24157,23440,0,0,0,1.000,1.000,1.000,307,72,2,0.2631,0.1308,0.7245,0.0750
4000,1176,0.3912,8880.2,289,378,502,296,65,75,92,24410,23839,23926,0,0,0,1.000,1.000,1.000,306,114,5,0.4352,0.0812,0.7230,0.0522
5000,1007,0.4111,9221.0,387,356,338,313,49,52,79,24850,24297,24271,0,0,0,1.000,1.000,1.000,284,75,2,0.3999,0.0853,0.7432,0.0582
6000,1099,0.4813,9287.5,387,401,359,339,71,62,81,25401,24605,24466,0,0,0,1.000,1.000,1.000,310,103,2,0.3790,0.0937,0.7493,0.0612
7000,1059,0.4372,9292.8,408,436,364,259,61,50,68,26323,25368,24824,0,0,0,1.000,1.000,1.000,338,73,2,0.3979,0.0917,0.7328,0.0570
8000,1128,0.4158,10301.3,386,453,381,294,73,56,76,28060,27099,26123,0,0,0,1.000,1.000,1.000,353,96,4,0.3522,0.0943,0.7120,0.0617
9000,835,0.5066,8703.3,486,319,277,239,40,55,73,30657,29761,28787,0,0,0,1.000,1.000,1.000,249,63,2,0.3616,0.0960,0.7480,0.0616
10000,868,0.4424,7501.7,444,363,295,210,48,64,68,34775,33850,32374,0,0,0,1.000,1.000,1.000,289,73,1,0.3256,0.0970,0.7089,0.0630
11000,678,0.4587,6235.6,489,310,235,133,52,62,62,39499,38780,36771,0,0,0,1.000,1.000,1.000,243,54,2,0.2241,0.1136,0.7256,0.0749
12000,436,0.5000,4182.9,542,181,129,126,28,52,78,40354,39818,37397,0,0,0,1.000,1.000,1.000,139,29,0,0.1867,0.1089,0.7479,0.0742
13000,321,0.4455,3679.2,644,126,108,87,17,41,50,40294,40208,37503,0,0,0,1.000,1.000,1.000,101,21,1,0.1351,0.1277,0.6738,0.0743
14000,199,0.4573,2856.1,944,100,70,29,12,36,26,40448,40671,37811,0,0,0,1.000,1.000,1.000,76,19,0,0.1283,0.1493,0.6182,0.0729
15000,154,0.4610,2470.4,1103,93,35,26,11,29,25,40430,40890,37950,0,0,0,1.000,1.000,1.000,68,8,0,0.1370,0.1511,0.5457,0.0729
16000,229,0.4410,2413.1,665,162,43,24,5,33,21,40512,41055,38069,0,0,0,1.000,1.000,1.000,131,5,1,0.1348,0.1702,0.5200,0.0750
17000,227,0.4053,2569.8,712,141,65,21,6,44,19,40324,40914,37977,0,0,0,1.000,1.000,1.000,120,16,0,0.1714,0.1208,0.7043,0.0738
18000,271,0.3653,3181.0,674,153,79,39,7,53,34,39309,39928,37153,0,0,0,1.000,1.000,1.000,123,16,0,0.2587,0.0942,0.8694,0.0667
19000,624,0.3365,7094.2,521,311,201,112,17,93,61,37754,38260,35802,0,0,0,1.000,1.000,1.000,272,50,1,0.2640,0.1006,0.7858,0.0684
20000,819,0.3748,9103.6,547,341,257,221,43,93,103,37530,37803,35500,0,0,0,1.000,1.000,1.000,267,55,0,0.2839,0.0976,0.7479,0.0735
21000,970,0.3845,9635.4,531,385,309,276,61,73,99,36426,36477,34562,0,0,0,1.000,1.000,1.000,321,97,1,0.3424,0.0908,0.7411,0.0650
