step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,8,534,59.01,3.67,13.61,0.38,27.36,0.12,1.71,0.052,0.125,278034.7,89871.4,9,0,6.40,1.70,1.89,10.2807,154.86,67193.3,2.3768,19.3332,11988,16.9887,2079,4.9520,15964.6,96.19,10.5908,0.0,0.0000,1.000,0.3636,1.0670,1.3332
10000,0,11,63.98,7.55,12.45,0.00,26.45,0.00,2.60,0.000,0.007,42834.0,14947.7,4,9,6.64,1.55,3.38,2.7211,1.97,47651.7,0.0000,0.0167,4396,9.0687,366,0.0000,0.5,110.38,0.0046,0.0,0.0000,1.000,0.4238,0.5340,0.2677
20000,8,414,56.62,2.24,10.14,0.33,27.13,0.00,1.39,0.000,0.093,84214.7,19691.4,2,0,6.24,1.12,1.55,1.7718,172.91,68080.8,0.0352,8.2703,11058,5.7135,2094,1.3574,2589.3,95.30,2.5162,0.0,0.0000,1.000,0.3452,1.1457,0.4070
20000,0,12,38.07,0.33,9.33,0.00,23.25,0.00,1.06,0.000,0.004,1049.9,72.3,2,10,5.17,1.00,1.11,0.0175,0.55,50995.1,0.0000,0.0079,5326,2.3421,313,0.0000,0.0,109.75,0.0023,0.0,0.0000,1.000,0.4516,0.3580,0.0108
30000,8,676,55.24,2.11,12.25,0.07,19.08,0.03,1.46,0.016,0.121,242358.5,96791.6,8,0,5.13,1.26,1.63,5.6230,168.78,60010.4,0.8215,23.2183,11682,15.5958,2064,3.9050,13720.9,95.35,9.4050,0.0,0.0000,1.000,0.3551,1.0827,1.2841
30000,0,4,32.31,0.75,8.00,0.00,18.00,0.00,1.15,0.000,0.001,1276.0,54.3,2,4,5.25,1.00,1.29,0.0201,0.69,55375.3,0.0000,0.0162,4702,5.6068,253,0.0000,0.1,111.54,0.0042,0.0,0.0000,1.000,0.4411,0.3312,0.0204
40000,8,623,41.57,2.09,8.60,0.08,18.99,0.01,1.45,0.008,0.101,85688.4,27177.9,5,0,4.85,1.08,1.68,1.7580,118.98,72302.8,0.0109,8.0794,11464,5.6827,1598,1.4090,2628.3,91.68,2.5932,0.0,0.0000,1.000,0.3366,0.7978,0.5000
40000,0,11,41.30,0.00,15.18,0.00,22.09,0.00,1.00,0.000,0.005,803.0,27.3,3,11,5.27,1.00,1.00,0.0087,0.06,49181.0,0.0000,0.0049,4920,2.3843,258,0.0000,0.0,119.38,0.0010,0.0,0.0000,1.000,0.4803,0.3044,0.0059
50000,8,806,48.22,1.04,9.51,0.15,14.04,0.02,1.25,0.007,0.105,234074.8,125905.0,8,0,4.04,1.07,1.37,5.6979,257.30,59184.5,3.8335,23.0669,11866,14.5847,2274,3.0539,11889.6,91.83,11.3778,0.0,0.0000,1.000,0.3415,1.1990,1.5569
50000,0,1,47.20,0.00,11.00,0.00,13.00,0.00,1.00,0.000,0.001,1228.7,114.5,0,1,4.00,1.00,1.00,0.0333,0.90,55210.5,0.0000,0.0135,4518,6.1589,187,0.0000,0.2,121.45,0.0029,0.0,0.0000,1.000,0.4803,0.2291,0.0231
