step,event,lineage,other,size
5000,birth,2,0,33
6000,birth,6,0,152
6000,birth,10,0,82
6000,birth,12,0,190
7000,split,13,2,30
8000,extinct,2,0,10
15000,extinct,10,0,6
19000,extinct,6,0,12
20000,extinct,13,0,6
35000,split,37,12,5
37000,extinct,37,0,5
48000,split,48,12,95
50000,split,51,46,358
52000,extinct,48,0,9
55000,extinct,12,0,8
56000,split,69,51,34
62000,split,72,51,98
62000,split,73,51,246
62000,split,75,69,64
63000,extinct,51,0,6
65000,split,79,73,181
65000,extinct,72,0,17
67000,split,86,79,42
68000,extinct,69,0,7
69000,split,99,79,12
69000,split,106,79,65
70000,split,114,79,5
71000,extinct,73,0,5
72000,split,131,79,18
72000,extinct,79,0,13
72000,extinct,86,0,14
72000,extinct,99,0,12
73000,split,141,131,93
73000,extinct,75,0,10
74000,extinct,114,0,5
78000,extinct,131,0,6
81000,split,160,141,189
83000,split,170,106,51
83000,split,174,141,12
85000,split,182,160,480
87000,extinct,106,0,47
87000,extinct,160,0,7
88000,extinct,170,0,19
89000,extinct,141,0,19
90000,extinct,174,0,5
91000,split,226,182,8
91000,split,230,182,9
93000,extinct,226,0,8
93000,extinct,230,0,9
103000,split,276,182,249
105000,split,279,276,18
107000,split,307,276,113
107000,split,308,276,5
107000,split,309,276,23
107000,extinct,182,0,10
107000,extinct,279,0,8
108000,split,330,308,233
109000,split,339,276,110
109000,extinct,308,0,5
111000,split,352,346,5
111000,split,353,276,5
111000,split,357,346,12
111000,split,360,330,210
111000,extinct,309,0,8
112000,extinct,353,0,5
114000,extinct,352,0,5
114000,extinct,357,0,6
115000,extinct,276,0,23
117000,split,398,307,7
117000,extinct,339,0,11
118000,split,399,360,38
120000,split,393,330,34
122000,split,404,330,22
122000,split,405,307,53
123000,split,382,330,62
123000,extinct,398,0,7
124000,split,414,307,38
125000,split,424,405,6
127000,split,433,399,167
127000,split,434,330,20
127000,split,435,404,6
128000,split,438,399,227
128000,split,440,399,16
129000,split,448,433,19
129000,extinct,404,0,14
129000,extinct,424,0,7
130000,split,451,307,79
131000,extinct,360,0,15
131000,extinct,435,0,8
132000,split,463,399,8
132000,split,467,434,22
132000,split,469,307,13
134000,split,474,399,6
134000,extinct,393,0,15
135000,split,477,399,19
135000,split,480,438,12
135000,extinct,307,0,11
135000,extinct,448,0,10
135000,extinct,474,0,6
136000,extinct,414,0,10
136000,extinct,438,0,6
136000,extinct,463,0,8
136000,extinct,467,0,8
137000,extinct,440,0,8
139000,extinct,399,0,6
139000,extinct,433,0,19
139000,extinct,477,0,11
141000,split,490,330,75
141000,extinct,330,0,9
145000,split,504,490,13
146000,extinct,405,0,10
147000,split,491,451,151
148000,split,544,490,141
148000,split,545,490,169
148000,split,546,451,38
149000,split,558,544,28
150000,extinct,480,0,16
152000,split,586,558,34
152000,split,591,545,11
153000,split,593,545,13
153000,extinct,382,0,8
153000,extinct,546,0,6
154000,extinct,434,0,10
154000,extinct,504,0,5
154000,extinct,558,0,9
154000,extinct,591,0,11
157000,split,604,451,12
157000,extinct,544,0,11
157000,extinct,593,0,6
163000,split,606,545,32
163000,split,608,451,14
163000,split,612,469,13
164000,split,615,586,6
164000,split,620,586,15
166000,split,618,586,10
166000,extinct,606,0,34
166000,extinct,608,0,6
166000,extinct,612,0,13
166000,extinct,615,0,6
167000,split,660,604,10
167000,split,662,586,12
168000,extinct,490,0,6
169000,split,675,662,13
170000,split,683,451,8
170000,extinct,586,0,5
170000,extinct,618,0,9
170000,extinct,620,0,5
170000,extinct,660,0,10
171000,split,688,545,11
172000,extinct,683,0,8
173000,extinct,662,0,7
175000,extinct,675,0,5
176000,extinct,469,0,6
177000,extinct,491,0,5
179000,extinct,545,0,26
179000,extinct,604,0,6
180000,split,701,545,68
183000,split,704,451,71
189000,split,734,451,20
189000,split,735,701,21
192000,split,741,688,9
193000,split,749,741,7
194000,extinct,735,0,11
195000,extinct,688,0,5
196000,extinct,741,0,8
197000,extinct,749,0,5
199000,extinct,704,0,12
203000,split,761,701,9
204000,extinct,761,0,9
211000,split,791,734,51
212000,split,792,701,5
214000,extinct,792,0,5
220000,split,801,451,72
223000,split,800,451,16
223000,split,802,791,7
226000,split,815,791,5
227000,split,825,791,24
229000,split,828,701,29
229000,split,829,701,42
230000,split,832,791,200
230000,extinct,815,0,7
232000,split,837,791,8
232000,extinct,825,0,10
234000,extinct,800,0,7
236000,extinct,802,0,10
240000,split,847,791,68
241000,extinct,791,0,6
243000,extinct,451,0,6
243000,extinct,734,0,6
245000,split,857,701,131
245000,split,859,701,15
245000,split,861,701,7
246000,split,881,701,23
246000,extinct,801,0,12
247000,split,886,847,10
247000,extinct,701,0,9
247000,extinct,859,0,15
247000,extinct,861,0,7
250000,extinct,881,0,6
251000,extinct,886,0,8
256000,split,906,837,5
256000,extinct,857,0,21
258000,extinct,828,0,5
259000,extinct,829,0,5
261000,split,907,906,11
264000,split,910,832,59
264000,split,911,847,51
266000,split,940,837,47
269000,split,969,832,125
270000,extinct,906,0,8
271000,extinct,907,0,5
273000,extinct,910,0,8
274000,split,974,832,15
276000,extinct,969,0,5
277000,extinct,911,0,8
277000,extinct,974,0,6
278000,extinct,832,0,6
278000,extinct,940,0,13
288000,split,1012,847,12
290000,split,1020,847,35
290000,split,1021,847,13
291000,split,1029,1020,66
292000,split,1033,1029,6
293000,extinct,1021,0,13
294000,extinct,1033,0,6
295000,extinct,1012,0,5
295000,extinct,1020,0,5
