step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,2,33,53.8,1.3,13.8,0.0,32.6,0.0,1.17,1.9,20,463,22.64,7.10,33,0,0,0.0,1.43,1.00,1.13,6.00,8.24,7.33,35.0,1.113,0.482,8.27
6000,12,190,59.7,1.4,16.9,0.2,25.7,0.0,1.28,0.4,112,964,45.88,7.46,187,0,3,1.0,1.49,1.20,1.21,6.78,6.89,6.88,33.9,1.314,0.382,6.97
6000,6,152,79.0,2.5,19.8,18.2,32.2,0.0,1.29,0.9,114,757,45.84,13.21,152,0,0,0.6,1.13,1.48,1.27,8.61,8.83,8.86,38.1,1.190,0.375,9.07
6000,10,82,44.5,0.8,10.6,7.0,30.3,0.3,1.14,2.4,68,413,26.46,3.28,81,0,1,0.4,1.21,1.11,1.12,6.46,7.71,7.40,33.4,0.963,0.502,8.16
6000,2,10,50.8,3.9,12.9,0.5,24.8,0.5,1.98,1.6,10,821,33.96,13.08,10,0,0,0.5,2.39,1.27,2.12,5.20,7.40,7.60,37.6,1.105,0.461,7.90
7000,12,229,60.0,1.6,16.8,0.4,25.5,0.1,1.34,0.3,145,1012,48.57,7.57,226,0,3,0.8,1.51,1.26,1.30,7.11,6.94,6.94,33.8,1.314,0.386,7.00
7000,6,206,74.5,1.8,18.0,14.4,32.9,0.1,1.28,1.0,161,774,44.83,12.40,203,0,3,0.2,1.16,1.43,1.28,8.17,8.50,8.56,37.9,1.195,0.372,8.78
7000,10,31,43.3,0.0,11.6,5.4,30.5,0.0,1.00,2.2,26,715,41.83,5.06,31,0,0,0.0,1.00,1.00,1.00,6.52,7.97,7.32,35.8,0.966,0.483,8.19
7000,13,30,28.3,0.1,8.6,0.0,12.6,0.0,1.03,2.3,18,590,24.51,5.51,30,0,0,0.0,1.00,1.04,1.03,4.83,6.50,7.63,33.4,1.319,0.363,7.63
8000,12,225,58.1,1.1,16.6,0.4,25.3,0.1,1.26,0.2,140,1203,56.97,7.72,222,0,3,0.6,1.37,1.26,1.20,6.79,6.90,6.86,33.3,1.314,0.385,6.94
8000,6,182,80.1,2.1,21.2,16.3,31.2,0.1,1.34,0.8,144,947,54.12,13.74,180,0,2,0.3,1.21,1.48,1.34,8.11,8.86,8.85,35.8,1.225,0.369,9.07
8000,10,58,45.1,0.3,12.1,4.1,31.6,0.3,1.04,2.3,46,515,33.55,2.39,58,0,0,0.3,1.09,1.01,1.03,6.69,7.84,7.38,37.2,0.969,0.500,8.19
8000,13,55,42.6,0.5,10.1,3.7,20.0,0.0,1.05,1.7,34,422,19.92,3.76,55,0,0,0.1,1.00,1.11,1.04,6.53,7.11,7.98,32.8,1.303,0.379,7.98
9000,12,223,57.9,0.5,16.4,0.2,26.6,0.0,1.09,0.3,150,1369,64.62,8.92,222,0,1,0.4,1.18,1.04,1.08,7.13,6.92,6.90,32.1,1.314,0.389,7.00
9000,6,136,87.3,1.2,22.5,14.5,35.7,0.0,1.13,0.5,102,1109,61.76,18.86,135,0,1,0.1,1.08,1.20,1.12,8.40,9.06,9.01,36.7,1.277,0.367,9.15
9000,13,65,42.1,0.9,9.9,2.3,20.2,0.0,1.12,1.8,37,602,29.02,3.35,64,0,1,0.1,1.00,1.26,1.12,6.60,7.51,8.14,37.6,1.280,0.399,8.26
9000,10,65,45.3,1.3,10.3,4.5,28.6,0.6,1.12,2.2,52,399,27.69,2.28,65,0,0,0.7,1.26,1.07,1.08,6.88,7.54,7.17,36.4,1.033,0.545,7.89
10000,12,237,57.8,0.9,16.7,0.3,25.1,0.0,1.17,0.4,161,1550,70.67,11.06,237,0,0,0.6,1.29,1.09,1.15,7.04,6.89,6.84,31.3,1.322,0.392,6.95
10000,6,106,85.8,0.3,25.0,14.7,31.4,0.0,1.03,1.1,84,1451,76.57,26.28,99,0,7,0.1,1.03,1.04,1.04,8.16,8.95,8.79,37.5,1.325,0.392,9.14
10000,10,41,50.0,1.8,10.8,4.9,32.3,0.8,1.28,1.6,31,795,42.21,4.65,41,0,0,0.8,1.58,1.14,1.21,7.05,7.78,7.54,35.2,1.032,0.520,8.05
10000,13,37,44.9,1.0,12.0,1.9,19.4,0.0,1.14,1.2,24,1158,48.47,7.70,37,0,0,0.1,1.02,1.26,1.14,6.78,7.76,7.76,41.0,1.315,0.308,8.05
11000,12,241,57.7,0.8,16.6,0.4,25.4,0.0,1.14,0.4,172,1679,74.61,10.44,238,0,3,0.6,1.25,1.08,1.11,7.25,6.94,6.90,32.6,1.318,0.392,7.03
11000,6,58,96.2,0.9,29.0,18.6,30.3,0.0,1.09,1.0,52,1973,100.20,38.97,56,0,2,0.4,1.03,1.17,1.09,9.45,9.60,9.26,38.8,1.359,0.374,9.69
11000,10,22,48.5,1.7,13.2,3.7,31.2,1.0,1.37,1.5,20,1134,61.17,3.14,22,0,0,1.0,1.60,1.02,1.43,6.82,7.86,7.73,35.3,0.979,0.532,8.18
11000,13,18,40.8,2.2,10.3,1.2,15.7,0.0,1.27,1.4,13,1391,56.56,7.95,17,0,1,0.1,1.10,1.48,1.24,6.17,7.72,8.11,41.2,1.324,0.325,8.28
12000,12,190,56.0,0.5,16.3,0.5,25.0,0.0,1.09,0.8,140,1765,78.92,10.88,188,0,2,0.5,1.18,1.01,1.08,6.81,6.83,6.78,33.0,1.315,0.392,7.01
12000,6,39,93.5,1.5,33.2,16.1,24.9,0.1,1.14,1.1,33,2429,117.13,49.14,35,0,4,0.4,1.09,1.21,1.14,8.97,9.26,9.51,35.9,1.350,0.347,9.67
12000,13,34,38.9,1.5,8.4,0.4,17.0,0.0,1.21,0.2,16,422,18.42,3.46,33,0,1,0.4,1.00,1.36,1.24,5.50,7.59,7.68,40.9,1.366,0.295,7.68
12000,10,21,42.7,0.6,11.8,4.7,29.9,0.4,1.04,2.1,19,870,51.15,2.84,19,0,2,0.4,1.11,1.00,1.03,6.29,8.19,7.33,36.8,0.942,0.501,8.29
13000,12,127,55.3,0.8,15.9,0.4,24.3,0.0,1.16,0.7,111,2288,96.57,14.54,124,0,3,0.5,1.28,1.08,1.14,7.07,6.87,6.79,32.4,1.317,0.394,7.01
13000,13,26,39.6,1.4,10.0,1.4,15.1,0.0,1.00,0.0,10,755,28.35,7.06,26,0,0,0.0,1.00,1.00,1.01,5.54,7.77,7.77,39.8,1.383,0.287,7.77
13000,6,18,88.0,1.3,27.6,20.3,25.3,0.0,1.18,1.6,17,2801,140.58,44.45,17,0,1,0.3,1.00,1.36,1.18,9.22,9.50,9.50,43.3,1.337,0.362,9.89
13000,10,6,33.6,1.0,10.3,3.7,21.7,0.0,1.15,6.0,6,1317,69.32,6.40,6,0,0,0.3,1.00,1.28,1.15,4.83,6.83,6.50,34.7,0.937,0.483,8.17
14000,12,82,51.8,0.4,15.0,1.4,22.9,0.0,1.08,0.9,69,2470,103.88,15.45,80,0,2,0.4,1.13,1.06,1.07,6.61,6.79,6.77,31.6,1.313,0.394,7.01
14000,13,14,63.9,6.5,12.9,7.0,16.5,0.0,1.00,0.0,5,761,32.32,5.73,14,0,0,0.0,1.00,1.00,1.00,7.29,7.14,7.14,47.6,1.394,0.318,7.14
14000,6,12,90.7,4.8,25.1,14.5,25.2,0.0,1.52,3.0,12,2496,133.17,30.54,12,0,0,1.0,1.00,2.03,1.52,8.58,9.00,9.33,37.5,1.347,0.385,9.92
15000,12,48,49.7,0.3,14.4,0.9,22.2,0.1,1.07,2.3,44,3059,127.20,23.31,47,0,1,0.3,1.10,1.06,1.05,6.44,6.46,6.48,31.8,1.316,0.393,7.04
