step,cause,age,size,mass,n,worn
10000,hunger,0,0,0,3,0
10000,hunger,0,4,0,2,0
10000,hunger,0,4,4,3,0
10000,hunger,0,4,8,1,0
10000,hunger,0,8,4,1,0
10000,hunger,0,8,8,5,0
10000,hunger,0,8,12,1,0
10000,hunger,0,12,4,2,0
10000,hunger,0,12,8,2,0
10000,hunger,0,12,12,1,0
10000,hunger,0,16,4,1,0
10000,hunger,0,16,8,1,0
10000,hunger,0,16,12,2,0
10000,hunger,0,16,16,3,0
10000,hunger,0,16,20,1,0
10000,hunger,0,20,8,8,0
10000,hunger,0,20,12,1,0
10000,hunger,0,20,16,1,0
10000,hunger,0,20,20,4,0
10000,hunger,0,20,24,2,0
10000,hunger,0,20,28,1,0
10000,hunger,0,24,12,2,0
10000,hunger,0,24,16,3,0
10000,hunger,0,24,20,4,0
10000,hunger,0,24,24,3,0
10000,hunger,0,24,28,6,0
10000,hunger,0,24,32,1,0
10000,hunger,0,24,36,3,0
10000,hunger,0,24,40,2,0
10000,hunger,0,28,8,1,0
10000,hunger,0,28,12,3,0
10000,hunger,0,28,24,1,0
10000,hunger,0,28,28,4,0
10000,hunger,0,28,36,1,0
10000,hunger,0,28,40,1,0
10000,hunger,0,28,44,1,0
10000,hunger,0,28,48,1,0
10000,hunger,0,32,12,1,0
10000,hunger,0,32,16,3,0
10000,hunger,0,32,24,3,0
10000,hunger,0,32,28,3,0
10000,hunger,0,32,40,1,0
10000,hunger,0,32,48,1,0
10000,hunger,0,32,52,1,0
10000,hunger,0,36,12,4,0
10000,hunger,0,36,16,9,0
10000,hunger,0,36,20,4,0
10000,hunger,0,36,24,3,0
10000,hunger,0,36,28,5,0
10000,hunger,0,36,32,7,0
10000,hunger,0,36,36,5,0
10000,hunger,0,36,40,4,0
10000,hunger,0,36,44,2,0
10000,hunger,0,36,48,3,0
10000,hunger,0,36,52,1,0
10000,hunger,0,36,56,1,0
10000,hunger,0,40,16,3,0
10000,hunger,0,40,20,4,0
10000,hunger,0,40,24,3,0
10000,hunger,0,40,64,1,0
10000,hunger,0,44,20,2,0
10000,hunger,0,44,24,3,0
10000,hunger,0,44,36,1,0
10000,hunger,0,44,40,1,0
10000,hunger,0,44,52,2,0
10000,hunger,0,48,16,6,0
10000,hunger,0,48,20,16,0
10000,hunger,0,48,24,17,0
10000,hunger,0,48,28,3,0
10000,hunger,0,48,36,1,0
10000,hunger,0,48,44,6,0
10000,hunger,0,48,48,4,0
10000,hunger,0,48,52,5,0
10000,hunger,0,48,56,1,0
10000,hunger,0,48,60,1,0
10000,hunger,0,48,64,1,0
10000,hunger,0,48,72,2,0
10000,hunger,0,52,20,1,0
10000,hunger,0,52,24,1,0
10000,hunger,0,52,52,1,0
10000,hunger,0,56,24,4,0
10000,hunger,0,56,52,1,0
10000,hunger,0,56,68,2,0
10000,hunger,0,60,24,2,0
10000,hunger,0,60,40,1,0
10000,hunger,0,64,24,9,0
10000,hunger,0,64,28,1,0
10000,hunger,0,64,32,3,0
10000,hunger,0,64,40,1,0
10000,hunger,0,64,48,1,0
10000,hunger,0,64,56,3,0
10000,hunger,0,64,60,2,0
10000,hunger,0,64,68,1,0
10000,hunger,0,64,72,1,0
10000,hunger,0,64,76,3,0
10000,hunger,0,64,80,1,0
10000,hunger,0,72,68,1,0
10000,hunger,0,80,28,1,0
10000,hunger,0,80,44,1,0
10000,hunger,0,80,52,1,0
10000,hunger,0,80,60,1,0
10000,hunger,0,80,80,1,0
10000,hunger,0,100,88,1,0
10000,hunger,0,120,112,1,0
10000,hunger,50,0,0,151,0
10000,hunger,50,0,4,5,0
10000,hunger,50,4,0,96,0
10000,hunger,50,4,4,75,0
10000,hunger,50,4,8,11,0
10000,hunger,50,4,12,1,0
10000,hunger,50,4,16,2,0
10000,hunger,50,8,0,5,0
10000,hunger,50,8,4,37,0
10000,hunger,50,8,8,65,0
10000,hunger,50,8,12,3,0
10000,hunger,50,8,16,4,0
10000,hunger,50,8,20,1,0
10000,hunger,50,8,24,1,0
10000,hunger,50,12,4,13,0
10000,hunger,50,12,8,10,0
10000,hunger,50,12,12,15,0
10000,hunger,50,12,16,7,0
10000,hunger,50,12,20,2,0
10000,hunger,50,12,24,2,0
10000,hunger,50,12,28,1,0
10000,hunger,50,16,4,2,0
10000,hunger,50,16,8,6,0
10000,hunger,50,16,12,13,0
10000,hunger,50,16,16,21,0
10000,hunger,50,16,20,4,0
10000,hunger,50,16,24,1,0
10000,hunger,50,16,36,1,0
10000,hunger,50,20,8,5,0
10000,hunger,50,20,12,10,0
10000,hunger,50,20,16,15,0
10000,hunger,50,20,20,14,0
10000,hunger,50,20,24,9,0
10000,hunger,50,20,28,7,0
10000,hunger,50,20,32,5,0
10000,hunger,50,20,40,1,0
10000,hunger,50,24,8,5,0
10000,hunger,50,24,12,10,0
10000,hunger,50,24,16,3,0
10000,hunger,50,24,20,15,0
10000,hunger,50,24,24,33,0
10000,hunger,50,24,28,22,1
10000,hunger,50,24,32,10,0
10000,hunger,50,24,36,11,0
10000,hunger,50,24,40,5,0
10000,hunger,50,24,44,1,0
10000,hunger,50,28,12,7,0
10000,hunger,50,28,20,5,0
10000,hunger,50,28,24,8,0
10000,hunger,50,28,28,9,0
10000,hunger,50,28,32,2,0
10000,hunger,50,28,36,2,0
10000,hunger,50,28,40,2,0
10000,hunger,50,28,44,3,0
10000,hunger,50,28,48,2,0
10000,hunger,50,32,12,3,0
10000,hunger,50,32,16,4,0
10000,hunger,50,32,20,2,0
10000,hunger,50,32,24,5,0
10000,hunger,50,32,32,8,0
10000,hunger,50,32,36,6,0
10000,hunger,50,32,40,3,0
10000,hunger,50,32,44,5,0
10000,hunger,50,32,48,2,0
10000,hunger,50,32,52,3,0
10000,hunger,50,36,12,1,0
10000,hunger,50,36,16,7,0
10000,hunger,50,36,20,13,0
10000,hunger,50,36,24,10,0
10000,hunger,50,36,28,12,0
10000,hunger,50,36,32,39,0
10000,hunger,50,36,36,58,0
10000,hunger,50,36,40,18,2
10000,hunger,50,36,44,12,0
10000,hunger,50,36,48,4,0
10000,hunger,50,36,52,16,0
10000,hunger,50,36,56,4,1
10000,hunger,50,36,60,1,0
10000,hunger,50,36,64,1,0
10000,hunger,50,40,20,2,0
10000,hunger,50,40,24,2,0
10000,hunger,50,40,36,1,0
10000,hunger,50,40,40,4,0
10000,hunger,50,40,44,2,0
10000,hunger,50,40,48,2,0
10000,hunger,50,40,52,1,0
10000,hunger,50,44,24,2,1
10000,hunger,50,44,32,1,0
10000,hunger,50,44,40,4,0
10000,hunger,50,44,48,4,0
10000,hunger,50,44,52,3,0
10000,hunger,50,44,56,3,0
10000,hunger,50,48,20,1,0
10000,hunger,50,48,24,11,0
10000,hunger,50,48,28,3,0
10000,hunger,50,48,32,7,0
10000,hunger,50,48,36,7,0
10000,hunger,50,48,40,24,0
10000,hunger,50,48,44,29,0
10000,hunger,50,48,48,30,0
10000,hunger,50,48,52,19,0
10000,hunger,50,48,56,14,0
10000,hunger,50,48,60,10,0
10000,hunger,50,48,64,7,0
10000,hunger,50,48,68,4,0
10000,hunger,50,48,76,2,0
10000,hunger,50,52,36,1,0
10000,hunger,50,52,44,1,0
10000,hunger,50,52,48,2,0
10000,hunger,50,52,52,1,0
10000,hunger,50,52,64,1,0
10000,hunger,50,56,28,1,0
10000,hunger,50,56,32,2,0
10000,hunger,50,56,36,1,0
10000,hunger,50,56,48,1,0
10000,hunger,50,56,52,2,0
10000,hunger,50,56,56,1,0
10000,hunger,50,56,72,1,0
10000,hunger,50,56,76,1,0
10000,hunger,50,60,28,1,0
10000,hunger,50,60,32,3,0
10000,hunger,50,60,36,1,0
10000,hunger,50,60,40,1,0
10000,hunger,50,60,52,2,0
10000,hunger,50,60,56,1,0
10000,hunger,50,60,60,3,0
