year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,5,0.3816,NaN,17.98,11.05,7.23,9.92,3.40,35.2,83.3,0.0,0.0000,0.5131,0.4853,0.0016,8.79e-15,0.0000,0.0000,0.0000,0.1540,0.2072,0.0007,0.0764,0.0107,0.0000,0.0000,0.2551,0.0000,0.0000,0.2959,0.0000
2,5,0.2373,0.7984,18.18,14.25,6.03,9.90,3.27,33.2,40.5,0.0,0.0000,0.9374,0.0560,0.0066,5.72e-15,0.0000,0.0000,0.0000,0.3189,0.0251,0.0030,0.1020,0.0000,0.0000,0.0000,0.2551,0.0000,0.0000,0.2959,0.0000
3,4,0.2287,0.9666,18.24,16.19,5.28,9.91,3.26,44.7,38.8,0.0,0.0000,0.9710,0.0239,0.0051,2.97e-15,0.0000,0.0000,0.0000,0.3258,0.0107,0.0023,0.1102,0.0000,0.0000,0.0000,0.2551,0.0000,0.0000,0.2959,0.0000
4,5,0.2659,0.9580,18.27,17.37,4.84,9.91,3.26,58.8,47.5,0.0,0.0000,0.8999,0.0948,0.0054,2.66e-15,0.0000,0.0000,0.0000,0.2903,0.0425,0.0024,0.1138,0.0000,0.0000,0.0000,0.2549,0.0002,0.0000,0.2959,0.0000
5,5,0.2905,0.8904,18.28,18.09,4.61,9.91,3.25,70.8,58.1,0.0,0.0000,0.6867,0.2941,0.0192,1.27e-15,0.0000,0.0000,0.0000,0.2031,0.1223,0.0086,0.1052,0.0098,0.0000,0.0000,0.2513,0.0038,0.0000,0.2959,0.0000
6,8,0.3821,0.8156,18.29,18.53,4.49,9.91,3.25,80.3,67.8,0.0,0.0000,0.4243,0.5084,0.0673,4.15e-16,0.0000,0.0000,0.0000,0.1191,0.1833,0.0302,0.0714,0.0450,0.0000,0.0000,0.2277,0.0274,0.0000,0.2774,0.0184
7,9,0.3468,0.7810,18.30,18.80,4.42,9.90,3.25,87.7,76.1,0.0,0.0001,0.2509,0.6039,0.1451,1.43e-15,0.0000,0.0000,0.0000,0.0687,0.1995,0.0646,0.0439,0.0716,0.0006,0.0000,0.1864,0.0688,0.0000,0.2162,0.0797
8,9,0.3162,0.8766,18.30,18.97,4.37,9.91,3.25,93.3,82.9,0.2,0.0001,0.1590,0.6082,0.2325,1.51e-15,0.0000,0.0000,0.0000,0.0400,0.1905,0.1015,0.0314,0.0825,0.0029,0.0000,0.1690,0.0863,0.0000,0.1945,0.1014
9,9,0.3010,0.9149,18.30,19.07,4.34,9.90,3.25,97.4,88.5,0.4,0.0004,0.1098,0.5722,0.3171,1.29e-15,0.0000,0.0000,0.0000,0.0266,0.1705,0.1346,0.0227,0.0864,0.0078,0.0000,0.1591,0.0964,0.0000,0.1835,0.1123
10,7,0.2952,0.9391,18.30,19.13,4.33,9.91,3.25,100.5,92.4,0.7,0.0007,0.0791,0.5329,0.3865,6.77e-16,0.0000,0.0000,0.0000,0.0187,0.1521,0.1607,0.0168,0.0871,0.0129,0.0000,0.1536,0.1022,0.0000,0.1775,0.1184
11,7,0.2878,0.9552,18.30,19.17,4.32,9.91,3.25,102.7,95.9,0.9,0.0010,0.0584,0.4975,0.4419,4.09e-16,0.0000,0.0000,0.0000,0.0131,0.1370,0.1805,0.0131,0.0863,0.0179,0.0000,0.1508,0.1053,0.0000,0.1742,0.1217
