year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,9,51076.8,69704.9,739.3,336580.2,997410.5,1165928.2,-0.000,0.3626,0.6303,0.0071,1.077e-4,1.769e-6,6.239e-6,0.0015,49,32,9.999,10.001,-4.21,128.0,1.95e-15,9.25e-17
2,9,48348.4,33457.4,738.5,408146.5,962995.8,1167753.4,-0.000,0.4885,0.5039,0.0077,9.060e-5,9.050e-7,5.707e-6,0.0107,50,393,9.987,10.016,-4.21,128.0,4.80e-15,4.47e-16
3,9,48249.5,16455.3,739.2,438690.9,948469.8,1168835.3,-0.000,0.6562,0.3333,0.0104,8.986e-5,5.507e-7,5.713e-6,0.0064,50,583,9.979,10.026,-4.21,128.0,2.88e-14,5.82e-17
4,9,48364.1,8342.2,738.7,456157.2,938711.4,1169126.5,-0.000,0.7888,0.1987,0.0125,9.019e-5,3.472e-7,5.720e-6,0.0021,44,52,9.977,10.028,-4.21,128.0,4.97e-15,1.45e-15
5,9,48639.0,4362.7,738.4,462290.3,934967.6,1170442.0,-0.000,0.8737,0.1125,0.0138,9.075e-5,2.252e-7,5.723e-6,0.0076,61,314,9.968,10.039,-4.21,127.9,2.82e-14,1.02e-15
6,9,48581.1,2370.6,737.9,467605.8,931161.2,1170983.5,-0.000,0.9224,0.0631,0.0145,9.077e-5,1.490e-7,5.726e-6,0.0040,63,128,9.965,10.044,-4.21,127.9,1.42e-15,9.43e-17
7,9,48807.2,1342.5,737.9,468144.4,930500.7,1171907.3,-0.000,0.9491,0.0359,0.0150,9.096e-5,1.007e-7,5.728e-6,0.0095,63,360,9.958,10.052,-4.21,127.9,3.87e-14,1.91e-16
8,9,48730.5,796.2,737.9,470659.8,928193.2,1172322.4,-0.000,0.9638,0.0210,0.0152,9.108e-5,6.919e-8,5.733e-6,0.0028,47,56,9.956,10.055,-4.21,127.9,9.24e-15,4.69e-16
9,9,48758.1,493.3,737.8,471141.0,927567.0,1172742.9,-0.000,0.9718,0.0128,0.0153,9.100e-5,4.833e-8,5.737e-6,0.0032,47,90,9.953,10.059,-4.21,128.0,8.17e-15,4.95e-16
10,9,48809.9,317.9,737.8,471164.9,927099.9,1173309.7,-0.000,0.9765,0.0081,0.0154,9.121e-5,3.432e-8,5.738e-6,0.0046,45,196,9.949,10.064,-4.21,128.0,2.06e-14,1.12e-15
11,9,48798.9,212.1,737.7,471561.2,926581.1,1173549.0,-0.000,0.9792,0.0053,0.0154,9.115e-5,2.463e-8,5.738e-6,0.0018,37,27,9.947,10.066,-4.21,128.0,6.22e-15,6.76e-16
12,9,48833.8,145.6,738.0,470674.5,927006.9,1174041.2,-0.000,0.9809,0.0036,0.0154,9.125e-5,1.789e-8,5.744e-6,0.0046,54,257,9.944,10.070,-4.21,128.0,2.38e-14,4.91e-17
13,9,48861.7,102.4,738.2,470225.4,927080.0,1174432.3,-0.000,0.9820,0.0025,0.0155,9.126e-5,1.313e-8,5.748e-6,0.0024,50,73,9.941,10.074,-4.21,128.1,1.24e-15,3.34e-16
