step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall
1000,627,152,8834,12181,6806,3177,170,22089,190,0,44831,229894,79693.468,12832.824,0.0747,9483.537,0.280,0.259,0.237,0.225,0.368,0.541,184,0.1194,0.5855,0.259,17.9,34.7,81.0,43.45,1.84,16.04,1.17,24.41,6.95,0.959,0.383,0.131,0.131,7.582,0.391,0.0096,147,304,184,1094,3,0,0.000,383,123,323,181,11,37,579,11.00,21.56,71678,164913,21560,455422,148.7,-0.0,1013137,134.348,2710789.003,1.80e-14,0.00000,1.91,4078,7.439,1.402,6.030,0.006,7.439
2000,1085,283,3950,4262,2527,302,10,3364,128,0,25208,118919,39963.126,6362.074,0.1956,1431.046,0.067,0.567,0.245,0.121,0.326,0.397,446,0.1465,0.7300,0.164,16.2,27.4,57.5,34.06,1.01,13.45,0.75,18.86,6.53,0.953,0.424,0.134,0.143,7.627,0.525,0.0048,168,427,68,881,1,0,0.000,701,478,318,289,52,231,802,13.75,38.48,39777,164889,21138,433891,234.3,0.0,1062765,34.275,2710789.003,5.31e-14,0.00069,-0.81,1827,2.510,1.267,1.234,0.008,2.510
3000,261,176,1420,1503,687,81,2,2220,24,0,7482,53499,21629.029,2622.955,0.2676,620.968,0.064,0.642,0.201,0.093,0.295,0.400,75,0.5145,0.7258,0.137,21.4,36.3,68.5,38.65,0.69,16.70,0.82,20.43,6.66,1.008,0.428,0.169,0.176,14.351,0.651,0.0047,238,651,72,305,5,0,0.000,183,48,130,83,25,28,208,18.93,70.61,28913,164810,20360,407473,66.7,-0.0,1106324,26.471,2710789.003,1.84e-14,0.00145,-3.01,652,1.705,1.079,0.625,0.001,1.705
4000,315,163,571,584,215,13,0,508,9,0,2788,13342,12020.812,921.547,0.2713,165.083,0.043,0.731,0.165,0.061,0.235,0.430,4,0.2002,0.6827,0.150,20.9,34.6,74.1,43.27,0.72,19.10,0.73,22.71,6.93,0.978,0.451,0.133,0.149,17.078,0.432,0.0029,259,1195,82,51,25,0,0.000,196,2,166,147,13,53,249,22.56,86.60,33995,164836,20372,387718,58.6,-0.0,1118710,9.535,2710789.003,1.91e-14,0.00581,-0.46,249,1.345,1.084,0.261,0.001,1.345
5000,355,226,893,944,366,51,0,834,19,0,6189,24877,18225.364,2363.076,0.3110,438.505,0.037,0.721,0.177,0.065,0.196,0.416,52,0.3406,0.6826,0.137,17.2,32.9,76.7,42.25,0.77,18.71,0.82,21.95,7.03,0.988,0.463,0.251,0.268,16.043,0.538,0.0028,245,932,144,162,23,4,0.315,253,13,225,117,17,53,285,25.87,89.29,31306,164556,20163,372973,73.8,0.0,1136212,17.103,2710789.003,9.96e-15,0.00001,-1.23,376,1.501,1.058,0.443,0.001,1.501
6000,391,189,639,683,238,43,1,600,3,0,4482,21998,14480.862,1561.553,0.2736,335.465,0.055,0.761,0.127,0.058,0.247,0.399,16,0.2278,0.6716,0.120,17.4,36.8,68.3,39.63,0.87,17.71,0.96,20.09,6.91,1.020,0.446,0.230,0.235,15.207,0.450,0.0026,294,1266,120,105,25,5,0.294,251,7,188,196,14,42,335,22.90,95.81,34136,164648,20544,357064,70.6,-0.0,1148532,13.374,2710789.003,1.87e-14,0.00279,1.50,247,1.473,1.120,0.353,0.001,1.473
7000,502,262,1042,1088,453,42,4,917,13,1,4239,29423,19515.059,1805.208,0.3275,416.785,0.062,0.667,0.205,0.067,0.228,0.421,18,0.2239,0.7036,0.115,17.1,30.1,60.9,34.33,0.86,15.70,0.67,17.09,6.61,1.019,0.438,0.257,0.277,15.226,0.506,0.0028,227,913,155,134,24,5,0.297,312,51,270,181,15,66,421,18.63,92.23,33285,164538,21068,341758,94.5,-0.0,1163015,16.927,2710789.003,2.63e-14,0.00036,4.24,456,1.659,1.176,0.481,0.001,1.659
8000,424,233,852,891,364,38,1,922,7,1,4289,26252,16275.889,2077.114,0.3715,483.839,0.078,0.652,0.209,0.061,0.245,0.410,20,0.2429,0.7104,0.124,13.8,25.9,60.9,31.89,0.74,14.39,1.01,15.75,6.59,1.013,0.447,0.208,0.245,14.894,0.491,0.0029,251,1069,260,174,50,5,0.170,281,45,223,156,17,45,362,22.34,113.55,37577,164561,21061,322769,116.2,-0.0,1178999,16.761,2710789.003,8.59e-16,0.00119,4.63,373,1.686,1.225,0.460,0.001,1.686
9000,411,225,910,940,316,29,1,898,22,3,4136,21425,17406.177,1887.066,0.3338,506.422,0.057,0.691,0.199,0.053,0.173,0.467,71,0.2803,0.7407,0.119,18.3,36.5,65.4,35.31,1.09,14.89,1.36,17.96,6.77,1.061,0.402,0.260,0.273,17.472,0.406,0.0028,225,990,262,197,69,6,0.273,261,94,184,133,27,68,316,23.50,101.89,44169,164906,21783,305147,67.0,-0.0,1188502,15.484,2710789.003,3.26e-14,0.00334,9.96,390,1.650,1.194,0.456,0.001,1.650
10000,744,349,1642,1821,910,177,2,1265,44,0,10647,62651,26339.871,3970.737,0.2788,1002.703,0.071,0.673,0.180,0.076,0.278,0.430,30,0.1694,0.6960,0.134,17.9,29.2,56.7,33.26,1.17,13.78,1.15,17.17,6.68,1.026,0.404,0.320,0.345,13.105,0.555,0.0028,212,764,274,313,85,6,0.366,458,19,465,260,23,105,616,18.50,77.76,39595,164785,22029,290496,158.3,-0.0,1204855,21.939,2710789.003,2.68e-14,0.00108,8.54,677,1.758,1.063,0.692,0.002,1.759
11000,354,215,614,654,246,37,3,986,12,6,3218,28838,15560.300,2030.095,0.4453,597.274,0.070,0.710,0.158,0.063,0.228,0.448,16,0.2938,0.6981,0.120,17.7,40.8,65.4,36.83,0.97,15.56,2.33,17.98,6.85,1.105,0.392,0.172,0.184,19.374,0.452,0.0031,293,1248,336,109,113,6,0.328,213,17,253,84,16,37,301,23.37,110.45,45502,164826,22197,278297,112.6,-0.0,1214403,17.671,2710789.003,2.10e-14,0.00004,7.55,244,1.681,1.186,0.494,0.001,1.682
12000,477,278,963,1025,423,59,3,819,17,4,4927,26821,19135.853,2484.591,0.3751,636.681,0.071,0.714,0.163,0.053,0.171,0.478,58,0.2499,0.7065,0.115,16.6,31.7,56.7,32.87,0.57,14.11,1.93,16.26,6.63,1.082,0.416,0.115,0.126,18.018,0.537,0.0024,225,1188,291,159,85,6,0.352,289,24,339,114,21,63,393,23.55,102.28,44704,164714,22381,272884,121.4,-0.0,1219013,16.202,2710789.003,3.99e-14,0.00023,7.22,408,1.774,1.235,0.538,0.001,1.774
13000,479,300,901,944,388,41,2,874,24,1,3954,29052,19372.353,2064.898,0.3636,627.297,0.075,0.734,0.146,0.046,0.209,0.453,88,0.2662,0.7128,0.106,18.5,45.8,59.0,36.17,0.43,14.80,2.55,18.39,6.72,1.115,0.389,0.111,0.125,17.478,0.507,0.0024,239,1245,359,132,95,6,0.557,248,18,320,141,42,89,348,22.68,98.48,39178,164605,21750,269694,148.5,-0.0,1227887,18.232,2710789.003,3.62e-14,0.00018,2.46,352,1.747,1.183,0.563,0.001,1.747
14000,429,249,749,804,348,53,2,773,20,6,3974,29552,16578.259,2188.437,0.4069,571.297,0.095,0.754,0.118,0.034,0.248,0.442,44,0.2373,0.6839,0.100,16.8,30.8,56.7,33.06,0.54,13.92,2.13,16.46,6.62,1.079,0.415,0.098,0.103,17.891,0.455,0.0025,297,1381,330,149,104,4,0.438,250,5,293,131,17,51,361,27.25,104.03,35541,164914,21632,267598,87.0,-0.0,1234251,16.293,2710789.003,1.98e-14,0.00136,2.57,311,1.563,1.046,0.516,0.002,1.563
15000,379,251,1207,1347,737,139,1,1223,32,2,5124,23090,19844.033,2632.352,0.3592,791.787,0.068,0.635,0.245,0.051,0.200,0.448,23,0.3368,0.7321,0.108,17.6,37.5,58.5,34.61,0.67,15.09,2.19,16.65,6.65,1.075,0.418,0.103,0.100,18.225,0.562,0.0031,228,856,307,300,77,4,0.391,247,6,237,136,30,56,293,25.00,106.58,26935,164787,21152,266075,158.1,-0.0,1245388,19.349,2710789.003,1.44e-14,0.00001,-0.78,618,1.738,1.135,0.602,0.001,1.738
16000,413,228,694,747,359,53,0,645,14,1,3105,19262,14021.027,2137.094,0.4759,659.385,0.081,0.736,0.145,0.038,0.224,0.451,28,0.2165,0.7042,0.110,17.0,31.0,57.9,32.54,0.39,14.14,1.77,16.24,6.64,1.086,0.413,0.082,0.090,15.605,0.462,0.0025,265,1261,376,89,105,4,0.397,236,9,257,147,30,60,323,26.00,114.48,25233,164628,20479,264324,180.0,-0.0,1249320,13.254,2710789.003,1.55e-15,0.00051,-2.70,274,1.614,1.196,0.417,0.001,1.614
17000,402,254,668,700,301,29,3,657,19,3,3150,18029,15616.673,1652.620,0.3663,498.770,0.076,0.748,0.150,0.027,0.213,0.456,11,0.2487,0.7121,0.103,16.8,39.7,57.8,34.88,0.19,14.76,2.48,17.46,6.72,1.101,0.405,0.052,0.055,17.845,0.498,0.0023,257,1276,332,81,90,4,0.485,219,5,233,164,22,53,327,25.46,107.46,22929,164376,20421,263278,90.2,-0.0,1252290,13.966,2710789.003,8.59e-15,0.00012,-0.80,281,1.510,1.070,0.440,0.001,1.510
18000,257,176,407,434,164,27,0,540,7,5,2374,15815,11956.920,1312.148,0.3939,377.011,0.079,0.759,0.135,0.027,0.206,0.459,5,0.3362,0.7019,0.120,16.7,40.1,66.4,36.31,0.39,15.45,2.30,18.18,6.82,1.101,0.407,0.035,0.031,20.678,0.482,0.0023,363,1698,273,53,98,4,0.529,162,7,133,117,13,29,215,29.25,128.68,23827,163920,20069,261600,47.2,-0.0,1255719,13.183,2710789.003,1.99e-14,0.00002,-1.66,172,1.418,1.041,0.377,0.000,1.418
19000,323,208,765,842,378,75,2,686,13,0,3136,16628,14105.772,1768.184,0.4087,486.610,0.052,0.715,0.196,0.037,0.228,0.455,12,0.2549,0.7155,0.093,14.6,31.1,56.9,31.79,0.40,13.79,1.59,16.01,6.72,1.073,0.409,0.062,0.065,18.204,0.489,0.0026,213,1147,278,162,66,4,0.387,207,14,179,130,23,55,245,26.63,115.43,25784,163827,20536,259185,175.8,-0.0,1255431,12.591,2710789.003,3.97e-14,0.00011,1.81,359,1.442,1.043,0.398,0.001,1.442
20000,368,214,761,806,266,43,2,698,17,1,3040,14922,15065.040,1847.385,0.4031,622.028,0.042,0.738,0.190,0.029,0.170,0.479,8,0.2796,0.7414,0.073,17.1,31.7,58.2,34.44,0.28,15.07,1.59,17.50,6.70,1.057,0.427,0.082,0.082,17.821,0.557,0.0025,214,1237,300,91,126,4,0.410,226,37,251,80,16,73,279,30.48,102.97,27972,163406,21014,255887,125.7,-0.0,1256264,13.168,2710789.003,9.62e-15,0.00001,3.66,348,1.468,1.060,0.407,0.001,1.469
21000,429,193,718,769,298,46,5,640,15,2,2385,14951,14408.723,1526.861,0.4423,472.010,0.060,0.706,0.201,0.032,0.191,0.459,12,0.2031,0.7109,0.088,18.7,35.8,62.7,36.23,0.52,15.83,1.82,18.06,6.74,1.066,0.418,0.077,0.077,16.842,0.427,0.0026,240,1257,230,81,65,4,0.429,243,50,222,157,14,54,361,29.05,101.94,32448,163154,21063,250268,152.3,-0.0,1256638,12.649,2710789.003,4.52e-14,0.00014,4.37,316,1.442,1.046,0.394,0.001,1.442
22000,436,258,850,926,386,71,5,827,15,1,3579,21692,18390.894,1925.620,0.3579,644.616,0.070,0.690,0.213,0.028,0.208,0.448,11,0.2443,0.6874,0.095,19.0,37.0,58.1,35.69,0.33,15.97,1.77,17.63,6.74,1.080,0.431,0.076,0.076,18.903,0.498,0.0026,246,889,267,136,59,4,0.486,260,78,201,157,16,63,357,27.00,96.16,35948,163077,21757,243663,122.0,-0.0,1258872,16.504,2710789.003,3.99e-14,0.00000,9.76,396,1.593,1.069,0.523,0.001,1.593
23000,409,285,935,1011,403,73,3,937,22,3,4897,25017,19930.820,2609.901,0.3944,678.437,0.073,0.720,0.176,0.032,0.195,0.474,29,0.2939,0.6988,0.101,19.0,37.1,59.6,36.13,0.28,16.05,1.98,17.82,6.84,1.083,0.418,0.071,0.078,20.588,0.496,0.0026,245,909,333,223,96,5,0.526,277,18,274,117,32,47,330,28.01,104.25,36259,162697,21900,237101,121.5,-0.0,1265314,18.457,2710789.003,4.50e-14,0.00009,8.19,407,1.663,1.095,0.567,0.001,1.663
24000,330,214,592,646,264,52,2,654,14,3,2979,21493,13986.713,2079.299,0.5048,575.367,0.079,0.783,0.119,0.019,0.211,0.467,3,0.2957,0.7091,0.101,17.7,32.2,63.2,33.88,0.31,14.24,2.08,17.25,6.84,1.090,0.396,0.042,0.042,21.458,0.461,0.0023,281,1669,350,164,64,5,0.521,209,8,226,96,16,57,257,30.83,127.16,42887,162538,22240,232811,95.7,0.0,1264606,14.530,2710789.003,3.01e-14,0.00073,8.40,249,1.458,1.039,0.418,0.001,1.458
25000,700,266,2034,2543,1907,499,10,1634,27,3,5284,39011,26647.892,3893.525,0.3807,1881.796,0.062,0.583,0.272,0.083,0.237,0.465,18,0.1589,0.7095,0.111,17.1,36.2,57.7,34.80,1.19,13.15,1.31,19.15,6.85,1.056,0.371,0.059,0.059,13.199,0.434,0.0036,186,559,413,106,127,5,0.383,399,59,530,111,26,102,572,25.56,103.65,34298,162001,22422,232273,219.2,-0.0,1271122,21.658,2710789.003,1.03e-14,0.00023,7.17,1104,1.946,1.191,0.752,0.003,1.946
26000,510,287,1895,2232,1433,318,19,2037,46,2,7429,63063,26434.654,3896.137,0.3270,1467.144,0.074,0.680,0.201,0.045,0.267,0.431,100,0.3118,0.7324,0.112,13.5,27.2,62.6,32.95,0.71,13.30,1.34,17.60,6.90,1.037,0.412,0.057,0.053,14.193,0.569,0.0037,202,696,338,322,154,4,0.441,358,24,317,169,32,102,376,29.02,100.59,22229,161586,21808,227876,198.0,-0.0,1290816,27.336,2710789.003,4.05e-14,0.00012,2.56,940,1.906,1.081,0.822,0.002,1.906
27000,372,220,650,711,248,58,3,762,24,2,2930,19912,14367.347,1924.107,0.4874,495.920,0.059,0.800,0.126,0.016,0.220,0.453,14,0.2872,0.7358,0.091,17.7,35.7,57.5,33.34,0.54,14.23,1.88,16.69,6.70,1.095,0.400,0.056,0.051,17.040,0.476,0.0026,284,1384,254,140,91,4,0.575,244,10,225,137,32,42,298,28.80,105.13,23206,161514,21707,224617,52.6,-0.0,1294249,14.374,2710789.003,4.11e-14,0.00001,3.04,287,1.511,1.101,0.409,0.001,1.511
