step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall
1000,293,94,6854,9631,5853,2644,133,14871,128,0,36546,174285,68743.892,11222.909,0.0825,8208.061,0.272,0.262,0.241,0.226,0.382,0.523,149,0.2000,0.5865,0.244,26.8,43.9,72.9,47.56,2.13,17.62,1.00,26.81,7.46,0.972,0.365,0.119,0.123,9.929,0.495,0.0088,161,332,140,967,4,0,0.000,185,83,162,48,32,111,150,16.06,29.62,74834,50.2983,66715,38444,548971,96.9,-0.0,453530,99.601,2674865.198,4.00e-15,0.00092,30.00,3165,5.388,1.125,4.260,0.002,5.388
2000,430,198,1714,1890,1098,176,0,1497,80,0,18558,77705,23580.192,4464.985,0.1981,788.321,0.090,0.751,0.052,0.107,0.353,0.371,152,0.2255,0.6357,0.246,29.0,50.6,72.9,51.83,1.72,22.76,0.25,27.10,7.67,0.936,0.444,0.128,0.126,11.730,0.519,0.0046,192,488,49,268,0,0,0.000,223,124,112,194,126,196,108,21.00,40.72,62664,46.1296,66814,38323,527127,145.9,-0.0,484824,19.699,2674865.198,1.74e-15,0.00005,25.34,687,1.674,1.105,0.568,0.001,1.674
3000,486,163,1347,1461,896,112,2,1220,71,0,12458,53474,20177.300,3050.289,0.2033,517.602,0.096,0.771,0.085,0.047,0.363,0.385,126,0.1544,0.5939,0.149,27.0,47.9,62.9,44.16,1.76,17.99,0.12,24.29,7.27,1.026,0.379,0.230,0.259,10.228,0.465,0.0043,241,732,38,219,0,0,0.000,263,20,110,356,59,277,150,21.96,47.50,50893,37.0267,66736,39614,506752,120.5,-0.0,516836,18.877,2674865.198,1.11e-14,0.00311,14.43,377,1.577,1.133,0.444,0.001,1.577
4000,432,183,1216,1344,705,127,1,1164,106,0,13450,40713,18086.567,3616.310,0.2250,589.775,0.109,0.786,0.068,0.037,0.273,0.420,90,0.2171,0.6191,0.221,27.0,42.3,60.2,41.25,1.05,19.57,0.21,20.43,7.21,1.036,0.455,0.141,0.157,11.733,0.488,0.0041,205,711,45,528,0,0,0.000,231,1,36,395,79,209,144,33.75,55.10,44131,35.6353,66689,39600,482422,126.3,-0.0,547740,17.145,2674865.198,1.18e-14,0.00799,37.93,398,1.562,1.138,0.424,0.001,1.563
5000,399,177,1232,1398,858,164,2,1189,76,0,11850,38451,17928.105,3579.675,0.2478,642.850,0.073,0.777,0.064,0.086,0.270,0.432,70,0.2438,0.6392,0.159,21.0,41.3,67.5,36.65,0.49,16.24,0.63,19.29,6.94,1.135,0.386,0.058,0.068,11.513,0.549,0.0038,223,790,69,516,8,3,0.366,220,9,22,368,85,173,141,31.50,58.28,40319,34.8972,66677,40248,459922,120.1,-0.0,574642,17.381,2674865.198,1.39e-15,0.00039,12.68,494,1.578,1.142,0.436,0.001,1.578
6000,476,199,963,1018,450,48,7,837,49,0,6033,37063,15233.763,1721.979,0.2230,376.415,0.059,0.859,0.052,0.030,0.294,0.401,38,0.1883,0.6695,0.209,21.9,36.9,52.3,34.65,0.36,16.15,0.39,17.75,7.13,1.026,0.473,0.032,0.036,11.795,0.481,0.0034,215,864,67,543,23,3,0.866,227,28,92,356,131,195,150,38.10,66.96,43890,40.3697,66682,40011,434353,139.2,-0.0,595421,13.303,2674865.198,1.91e-14,0.00089,23.20,289,1.492,1.147,0.345,0.001,1.492
7000,371,182,1152,1268,705,112,4,1154,103,0,10090,48613,17292.205,3279.700,0.2673,582.227,0.062,0.870,0.054,0.013,0.323,0.368,46,0.3296,0.6927,0.173,20.8,31.2,52.7,34.09,0.26,16.82,0.32,16.68,7.17,1.028,0.484,0.016,0.022,12.634,0.504,0.0036,207,787,94,812,39,3,0.911,187,27,26,318,85,117,169,42.77,80.04,44995,40.4403,66743,38016,409803,88.7,-0.0,620014,17.426,2674865.198,2.75e-14,0.00079,24.47,368,1.523,1.123,0.400,0.000,1.523
8000,392,159,755,788,339,32,1,707,27,0,3756,25463,12958.204,1513.946,0.3047,369.342,0.051,0.889,0.051,0.009,0.296,0.375,16,0.2442,0.7036,0.140,22.8,31.1,52.3,36.04,0.25,14.78,2.58,18.43,7.33,1.021,0.433,0.008,0.008,11.254,0.469,0.0030,241,1060,107,619,64,3,0.832,182,75,59,258,101,159,132,48.19,89.27,48199,39.8224,66630,37219,393274,103.7,-0.0,633549,12.336,2674865.198,8.18e-15,0.00072,7.77,245,1.395,1.114,0.281,0.000,1.395
9000,657,250,1269,1354,729,79,6,984,20,0,5335,48549,21600.964,1976.799,0.2650,563.288,0.057,0.872,0.038,0.033,0.302,0.382,42,0.1948,0.6924,0.247,26.2,38.9,52.3,43.16,0.49,16.53,5.21,20.93,7.32,0.959,0.443,0.005,0.003,10.344,0.486,0.0030,220,822,110,706,104,2,0.572,261,6,29,622,171,278,208,34.00,71.08,39325,35.4180,66603,36166,381162,142.1,0.0,651478,17.540,2674865.198,9.75e-15,0.00041,30.68,346,1.747,1.131,0.616,0.001,1.747
10000,391,177,1006,1102,584,89,7,1252,20,0,4853,47495,18563.023,1774.991,0.2408,606.287,0.078,0.813,0.033,0.076,0.359,0.353,18,0.2783,0.6843,0.263,26.1,34.2,52.3,39.34,0.17,14.05,3.96,21.16,7.35,1.001,0.395,0.003,0.003,13.270,0.517,0.0039,250,854,98,449,34,2,0.642,163,10,27,354,111,200,80,41.31,85.97,33480,30.3817,66600,36368,364669,107.5,-0.0,675996,19.729,2674865.198,2.04e-14,0.00259,11.37,275,1.803,1.120,0.683,0.000,1.804
