step,event,lineage,other,size
5000,birth,1,0,4514
5000,birth,5,0,354
5000,birth,6,0,450
5000,birth,61,0,14
5000,birth,62,0,15
5000,birth,77,0,17
5000,birth,81,0,16
5000,birth,97,0,14
5000,birth,99,0,11
5000,birth,103,0,343
5000,birth,114,0,48
5000,birth,116,0,18
5000,birth,127,0,20
5000,birth,134,0,9
5000,birth,145,0,20
5000,birth,148,0,5
5000,birth,149,0,7
5000,birth,156,0,6
5000,birth,162,0,7
5000,birth,172,0,41
5000,birth,177,0,10
5000,birth,186,0,35
5000,birth,188,0,5
5000,birth,204,0,15
5000,birth,206,0,13
5000,birth,214,0,11
5000,birth,228,0,10
5000,birth,235,0,26
5000,birth,255,0,9
5000,birth,273,0,5
5000,birth,278,0,6
5000,birth,282,0,8
5000,birth,291,0,23
5000,birth,305,0,9
5000,birth,306,0,15
5000,birth,315,0,11
5000,birth,320,0,5
5000,birth,350,0,14
5000,birth,363,0,9
5000,birth,386,0,24
5000,birth,501,0,38
5000,birth,542,0,23
5000,birth,548,0,23
5000,birth,571,0,6
5000,birth,577,0,26
5000,birth,598,0,164
5000,birth,632,0,13
5000,birth,638,0,9
5000,birth,683,0,7
5000,birth,700,0,7
5000,birth,716,0,8
5000,birth,726,0,27
5000,birth,729,0,18
5000,birth,741,0,6
5000,birth,742,0,18
5000,birth,786,0,6
5000,birth,788,0,6
5000,birth,789,0,23
5000,birth,804,0,5
6000,split,849,1,10
6000,birth,857,0,73
6000,birth,865,0,17
6000,split,875,1,5
6000,birth,880,0,10
6000,birth,915,0,28
6000,merge,214,1,11
6000,merge,255,1,9
6000,merge,501,1,38
7000,birth,313,0,35
7000,birth,558,0,7
7000,birth,922,0,7
7000,split,925,1,9
7000,split,933,1,10
7000,birth,934,0,5
7000,birth,939,0,7
7000,birth,943,0,8
7000,birth,954,0,8
7000,birth,965,0,9
7000,birth,971,0,16
7000,birth,979,0,5
7000,extinct,188,0,5
7000,extinct,273,0,5
7000,extinct,282,0,8
7000,merge,571,1,6
8000,birth,584,0,5
8000,birth,866,0,19
8000,split,992,1,9
8000,split,993,6,660
8000,split,1000,6,133
8000,split,1002,6,27
8000,birth,1005,0,7
8000,birth,1020,0,6
8000,extinct,61,0,7
8000,extinct,62,0,6
8000,extinct,77,0,9
8000,extinct,99,0,11
8000,extinct,116,0,18
8000,extinct,149,0,7
8000,extinct,177,0,5
8000,extinct,320,0,5
8000,merge,542,1,32
8000,extinct,741,0,5
8000,merge,925,1,9
9000,birth,153,0,8
9000,birth,776,0,9
9000,split,1026,1,36
9000,extinct,134,0,9
9000,extinct,156,0,15
9000,extinct,313,0,35
9000,extinct,386,0,7
9000,extinct,584,0,5
9000,extinct,700,0,7
9000,extinct,786,0,5
9000,extinct,804,0,5
10000,birth,327,0,8
10000,split,1056,5,13
10000,birth,1066,0,5
10000,extinct,114,0,48
10000,extinct,145,0,5
10000,extinct,148,0,5
10000,extinct,235,0,6
10000,extinct,683,0,5
10000,extinct,849,0,10
10000,extinct,865,0,6
10000,extinct,875,0,5
10000,extinct,922,0,5
11000,split,1074,6,139
11000,split,1077,993,66
11000,extinct,81,0,8
11000,extinct,172,0,6
11000,extinct,206,0,6
11000,extinct,306,0,15
11000,extinct,577,0,11
11000,extinct,598,0,14
11000,extinct,776,0,6
11000,extinct,954,0,5
11000,extinct,1026,0,36
12000,split,1045,923,9
12000,split,1090,103,59
12000,extinct,97,0,7
12000,extinct,186,0,8
12000,extinct,204,0,5
12000,extinct,315,0,5
12000,extinct,350,0,8
12000,extinct,363,0,6
12000,extinct,548,0,6
12000,extinct,632,0,7
12000,extinct,638,0,6
12000,extinct,742,0,8
12000,extinct,1056,0,13
13000,split,1103,1,5
13000,split,1105,1,15
13000,split,1107,1,12
13000,split,1108,1,5
13000,split,1110,1089,36
13000,split,1111,1089,6
13000,extinct,278,0,6
13000,extinct,305,0,5
13000,extinct,729,0,10
13000,extinct,788,0,9
13000,extinct,934,0,6
13000,extinct,979,0,5
13000,extinct,1002,0,5
13000,extinct,1005,0,6
13000,extinct,1020,0,6
14000,split,1122,6,53
14000,split,1127,127,6
14000,extinct,127,0,6
14000,extinct,716,0,5
14000,extinct,933,0,8
14000,extinct,939,0,7
14000,extinct,1103,0,5
14000,extinct,1108,0,5
15000,extinct,153,0,6
15000,extinct,327,0,8
15000,merge,866,1,7
15000,extinct,915,0,5
15000,extinct,971,0,12
15000,extinct,1111,0,6
16000,split,1139,993,26
16000,extinct,228,0,5
16000,extinct,992,0,6
16000,extinct,1066,0,7
17000,split,1142,6,18
17000,split,1143,993,7
17000,extinct,162,0,6
17000,extinct,1107,0,5
18000,split,1150,1074,45
18000,split,1151,993,6
18000,split,1154,1074,22
18000,extinct,291,0,12
18000,extinct,943,0,7
18000,extinct,1045,0,11
19000,extinct,558,0,5
19000,extinct,965,0,5
19000,extinct,1074,0,13
19000,extinct,1090,0,10
19000,extinct,1127,0,7
19000,extinct,1139,0,26
20000,split,1065,598,28
20000,split,1165,1157,94
20000,split,1167,1,16
20000,extinct,726,0,5
20000,extinct,1077,0,11
21000,split,1179,6,91
21000,extinct,1142,0,15
21000,extinct,1143,0,7
22000,split,1183,6,73
22000,split,1185,1,267
22000,extinct,1150,0,12
23000,split,1189,1,833
23000,split,1190,1,73
23000,split,1194,993,9
23000,split,1196,993,8
23000,extinct,1105,0,6
23000,extinct,1151,0,6
24000,split,1205,1,6
24000,split,1206,6,110
24000,split,1209,1179,6
25000,split,1216,1206,108
25000,extinct,1122,0,14
25000,extinct,1196,0,8
26000,split,1231,993,31
26000,split,1234,1216,11
26000,extinct,880,0,5
26000,extinct,1205,0,6
27000,split,1243,993,22
27000,split,1245,6,8
27000,split,1246,1183,36
27000,split,1248,1183,40
28000,split,1253,993,46
28000,split,1254,993,63
28000,split,1256,1216,13
29000,split,1262,993,55
29000,split,1264,993,98
29000,extinct,857,0,13
29000,extinct,1154,0,5
29000,extinct,1185,0,11
30000,split,1271,1,11
30000,split,1274,1,119
30000,split,1275,1,82
30000,split,1276,1,5
30000,split,1277,1179,68
30000,split,1278,1,5
30000,split,1279,1262,64
30000,extinct,1234,0,5
30000,extinct,1243,0,42
31000,split,1269,1216,8
31000,split,1289,1271,166
