step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share
1000,21781,20528,101570,833538,803864,712885,19083,102558,1205,2,155357,7801180,184332.913,52666.872,0.2029,50696.465,0.254,0.249,0.259,0.238,0.694,0.293,577,0.0073,0.7555,0.269,5.4,39.0,80.1,38.63,3.56,4.02,2.70,28.35,7.74,1.017,0.083,0.043,0.044,21.757,0.874,0.0027,245,670,2701,4899,115,0,0.000,10773,6655,5009,10117,2102,7419,12260,0.00,0.45,9075,31.7479,66724,8229,537925,231.8,-0.0,465345,84.684,2631002.543,1.77e-16,0.00093,30.00,239730,114.903,1.374,110.426,3.103,114.904,16556,1987,3238,0.4678,0.819,1.010,1.218,1.012,0.902,1.115,37089.066,12523.957,174244.708,37624.071,23160.599,1341.186,439.179,190.041,0.749,0.591,0.529,0.905,0.747,0.744,6626,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6470,0.5448,0.5882,0.0909,0.1392,0.0684,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246
2000,13980,7815,25847,54781,50043,28629,305,33221,426,1,97978,1967514,32719.916,5363.120,0.2298,3955.646,0.246,0.315,0.231,0.208,0.572,0.370,675,0.0182,0.6331,0.249,20.2,49.0,85.1,48.44,3.42,8.54,2.17,34.31,7.70,1.021,0.178,0.064,0.067,19.081,0.656,0.0033,515,1418,2599,2407,101,0,0.000,7511,1112,2077,10791,538,1121,12321,0.00,3.18,9106,9.0544,66825,5722,489900,393.0,-0.0,533131,41.440,2631002.543,3.49e-14,0.00068,25.34,17870,31.186,1.354,28.753,1.079,31.187,2882,4803,6295,0.4362,0.852,1.014,1.186,1.035,0.912,1.098,15262.136,12697.086,5617.458,15175.749,15882.355,247.984,886.457,273.033,0.567,0.596,0.546,0.611,0.512,0.532,6912,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5326,0.5981,0.6174,0.1560,0.0599,0.0388,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248
3000,10884,5521,20195,44785,40705,24331,259,22984,304,3,82217,1484042,26207.488,4661.190,0.2490,3381.657,0.206,0.385,0.217,0.191,0.542,0.366,482,0.0298,0.6106,0.212,18.0,47.0,80.9,46.34,3.03,9.30,2.05,31.96,7.61,1.013,0.201,0.076,0.079,20.922,0.567,0.0035,286,1712,3456,2429,290,0,0.000,6222,60,1498,9326,569,1506,8809,0.00,6.42,13183,14.1254,66748,5885,453010,449.9,-0.0,567211,25.401,2631002.543,1.49e-14,0.00102,14.43,14297,21.549,1.370,19.590,0.590,21.550,2662,4053,4169,0.4955,0.858,1.000,1.184,1.019,0.917,1.103,11540.882,10167.105,5606.121,11478.088,12504.937,214.399,703.533,361.601,0.585,0.549,0.511,0.594,0.523,0.552,5822,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5904,0.6331,0.6431,0.1069,0.0592,0.0444,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249
4000,13948,7619,28771,78512,72464,49420,321,25003,672,32,147292,2317261,36535.610,8990.989,0.2609,6588.832,0.196,0.446,0.193,0.166,0.592,0.312,767,0.0339,0.6260,0.227,21.0,46.6,76.0,46.27,1.97,10.20,2.16,31.95,7.48,1.023,0.227,0.061,0.063,19.695,0.578,0.0031,256,822,6138,4715,817,0,0.000,7794,27,1828,12093,1488,2582,9878,0.25,7.65,7582,15.3202,66790,5350,421719,576.9,-0.0,601442,27.093,2631002.543,4.42e-15,0.00039,37.93,24986,27.334,1.375,25.107,0.852,27.334,5756,4037,4155,0.4902,0.881,1.001,1.192,1.026,0.933,1.106,11858.223,9489.328,19785.713,11701.096,11637.632,1030.003,901.509,470.645,0.702,0.552,0.485,0.740,0.446,0.516,4878,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6236,0.6502,0.6597,0.0474,0.0432,0.0356,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250
5000,11120,6085,21931,46601,40618,24485,185,24093,602,64,128851,2069416,27984.476,6820.265,0.2958,4438.323,0.183,0.473,0.187,0.156,0.553,0.331,713,0.0496,0.6231,0.231,20.4,46.0,72.7,44.55,1.97,11.20,2.07,29.31,7.37,1.026,0.252,0.079,0.085,21.876,0.563,0.0033,286,974,9162,4167,1742,59,0.411,6482,80,1666,9374,608,1594,8918,1.50,12.84,7189,10.1762,66769,5020,389319,360.4,0.0,637330,26.555,2631002.543,8.85e-16,0.00099,12.68,14923,24.149,1.368,22.276,0.506,24.150,3095,3969,4056,0.4723,0.905,1.004,1.172,1.043,0.945,1.093,11727.277,9047.389,9417.338,11586.766,11418.695,744.861,1062.825,574.257,0.649,0.539,0.472,0.649,0.424,0.527,4066,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6335,0.6612,0.6913,0.0497,0.0437,0.0408,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249
6000,10734,5839,22320,45126,38977,22647,159,22013,587,106,130780,2019457,27224.922,6912.199,0.2935,4513.005,0.167,0.509,0.182,0.142,0.535,0.337,757,0.0579,0.6281,0.234,21.9,45.6,73.6,45.09,1.83,12.11,1.90,29.24,7.42,1.021,0.272,0.080,0.086,21.308,0.524,0.0032,258,1014,11379,4057,3407,62,0.614,6335,58,1236,9440,872,1494,8368,2.50,16.48,7633,12.2559,66779,4883,356394,469.6,-0.0,670370,23.966,2631002.543,2.55e-14,0.00002,23.20,13834,22.545,1.367,20.760,0.419,22.546,3466,3684,3584,0.4878,0.889,1.001,1.170,1.023,0.945,1.097,10919.317,8147.107,10362.198,10769.852,10605.877,807.786,975.315,616.093,0.636,0.526,0.431,0.573,0.390,0.553,3596,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6383,0.6675,0.6933,0.0449,0.0371,0.0399,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248
7000,10036,5841,22303,48107,41967,25622,182,22207,651,143,145800,2176931,27452.851,7568.178,0.3032,4805.163,0.159,0.527,0.175,0.139,0.540,0.327,928,0.0679,0.6320,0.240,20.7,44.9,70.2,43.53,1.75,11.99,2.23,27.56,7.38,1.028,0.278,0.070,0.074,20.888,0.567,0.0031,260,971,10982,4678,3912,70,0.652,6077,640,1316,8080,682,1497,7857,2.80,19.77,5763,11.0236,66850,4197,324201,363.5,-0.0,705387,24.474,2631002.543,1.27e-14,0.00036,24.47,14351,23.384,1.382,21.645,0.358,23.385,3392,3291,3353,0.4794,0.914,1.005,1.172,1.023,0.960,1.101,10427.588,7276.418,12266.150,10278.310,9713.554,1095.194,914.662,753.159,0.634,0.508,0.439,0.608,0.401,0.568,3219,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6705,0.6926,0.7182,0.0467,0.0350,0.0385,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243
8000,9969,5192,19903,37095,31001,17061,131,19308,536,126,126271,1865320,23496.690,5893.906,0.3075,3467.523,0.159,0.535,0.173,0.133,0.513,0.339,687,0.0683,0.6415,0.233,19.4,43.4,68.9,42.87,1.49,12.76,2.07,26.55,7.31,1.020,0.304,0.087,0.092,18.553,0.531,0.0030,264,1141,9816,5026,3106,67,0.669,6099,637,991,8341,903,1474,7592,4.03,23.10,5061,9.9306,66751,3890,298361,345.7,-0.0,733450,21.651,2631002.543,5.31e-15,0.00013,7.77,11369,20.449,1.371,18.722,0.356,20.450,3681,3341,2947,0.5090,0.907,1.000,1.154,1.016,0.960,1.094,9573.429,6093.880,9716.531,9398.809,7848.873,955.108,956.851,514.424,0.591,0.506,0.413,0.531,0.351,0.512,3244,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6670,0.7096,0.7367,0.0402,0.0276,0.0354,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249
9000,8512,4713,18174,31905,25772,13670,61,18920,607,104,127899,1857679,21348.225,5550.370,0.3267,2938.960,0.150,0.565,0.162,0.123,0.512,0.334,886,0.0841,0.6512,0.235,18.6,42.0,68.4,41.56,1.53,13.18,2.13,24.72,7.21,1.020,0.323,0.088,0.094,18.763,0.546,0.0031,263,1084,8771,4856,3109,62,0.614,5420,47,932,7533,606,1314,6592,5.00,26.00,4145,8.1227,66743,3693,275181,289.2,-0.0,758920,20.252,2631002.543,6.90e-15,0.00456,30.68,9846,19.217,1.382,17.565,0.270,19.218,2825,3069,2618,0.4999,0.918,1.000,1.151,1.017,0.962,1.093,8951.612,5612.985,8294.404,8777.049,7215.732,992.050,938.254,681.106,0.606,0.507,0.387,0.495,0.335,0.478,3010,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6574,0.7535,0.7348,0.0460,0.0275,0.0360,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248
10000,7867,4572,18253,29597,23488,11259,85,18182,644,72,119984,1750099,20356.595,4881.088,0.3203,2478.915,0.145,0.567,0.168,0.120,0.493,0.344,774,0.0942,0.6635,0.237,17.5,39.9,67.0,39.83,1.45,12.85,1.85,23.68,7.15,1.027,0.326,0.101,0.108,18.062,0.550,0.0031,250,999,7447,5152,2395,56,0.629,5029,45,908,6914,650,1362,5855,5.64,28.82,3484,7.4182,66740,3095,255463,231.9,-0.0,780177,19.175,2631002.543,1.49e-14,0.00159,11.37,9246,18.070,1.377,16.470,0.223,18.089,2793,2786,2288,0.4802,0.931,1.004,1.149,1.031,0.968,1.094,9048.549,5121.525,7567.189,8885.521,6382.801,874.300,976.007,551.866,0.575,0.490,0.388,0.465,0.299,0.401,2564,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7044,0.7689,0.7511,0.0417,0.0262,0.0407,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245
