step,event,lineage,other,size
5000,birth,1,0,6794
5000,birth,4,0,23
5000,birth,22,0,17
5000,birth,34,0,8
5000,birth,54,0,8
5000,birth,65,0,13
5000,birth,70,0,6
5000,birth,71,0,5
5000,birth,80,0,12
5000,birth,95,0,11
5000,birth,108,0,5
5000,birth,111,0,14
5000,birth,116,0,8
5000,birth,125,0,18
5000,birth,132,0,52
5000,birth,150,0,6
5000,birth,154,0,26
5000,birth,155,0,5
5000,birth,177,0,37
5000,birth,188,0,941
5000,birth,192,0,19
5000,birth,213,0,5
5000,birth,231,0,126
5000,birth,248,0,16
5000,birth,252,0,6
5000,birth,253,0,17
5000,birth,257,0,29
5000,birth,260,0,14
5000,birth,282,0,15
5000,birth,287,0,12
5000,birth,289,0,56
5000,birth,292,0,5
5000,birth,312,0,7
5000,birth,333,0,5
5000,birth,338,0,8
5000,birth,349,0,9
5000,birth,388,0,16
5000,birth,393,0,19
5000,birth,435,0,18
5000,birth,452,0,16
5000,birth,461,0,5
5000,birth,526,0,11
5000,birth,539,0,17
5000,birth,575,0,8
5000,birth,635,0,6
5000,birth,657,0,7
6000,birth,753,0,9
6000,birth,755,0,8
6000,birth,757,0,27
6000,birth,759,0,17
6000,birth,760,0,5
6000,split,761,1,196
6000,birth,763,0,8
6000,birth,771,0,12
6000,birth,772,0,15
6000,birth,773,0,12
6000,birth,776,0,80
6000,birth,777,0,18
6000,split,779,1,7
6000,birth,781,0,20
6000,birth,807,0,15
6000,split,813,65,9
6000,merge,231,1,126
7000,birth,160,0,8
7000,birth,699,0,6
7000,birth,732,0,5
7000,split,821,304,8
7000,split,826,1,9
7000,birth,827,0,5
7000,birth,834,0,7
7000,split,835,1,12
7000,birth,836,0,23
7000,birth,845,0,6
7000,birth,853,0,17
7000,extinct,34,0,8
7000,extinct,65,0,5
7000,extinct,155,0,5
7000,extinct,635,0,6
8000,birth,284,0,11
8000,birth,301,0,17
8000,birth,767,0,10
8000,birth,803,0,7
8000,split,864,761,194
8000,birth,871,0,18
8000,birth,873,0,8
8000,birth,883,0,11
8000,extinct,111,0,14
8000,extinct,252,0,6
8000,extinct,287,0,10
8000,extinct,338,0,8
8000,extinct,657,0,6
8000,extinct,732,0,5
8000,extinct,760,0,5
8000,extinct,763,0,9
8000,extinct,779,0,7
8000,extinct,813,0,9
9000,birth,634,0,7
9000,birth,749,0,16
9000,birth,908,0,12
9000,extinct,116,0,8
9000,extinct,125,0,18
9000,merge,150,1,11
9000,extinct,160,0,8
9000,extinct,289,0,56
9000,extinct,292,0,7
9000,merge,388,1,9
9000,extinct,393,0,9
9000,extinct,526,0,11
9000,extinct,575,0,8
9000,extinct,761,0,19
9000,extinct,777,0,7
9000,extinct,807,0,8
9000,extinct,834,0,5
9000,extinct,845,0,6
9000,extinct,873,0,8
10000,birth,808,0,140
10000,split,928,1,93
10000,split,929,1,34
10000,extinct,54,0,8
10000,extinct,80,0,16
10000,extinct,108,0,5
10000,extinct,253,0,17
10000,extinct,282,0,5
10000,extinct,301,0,5
10000,extinct,333,0,5
10000,extinct,349,0,9
10000,extinct,699,0,6
10000,extinct,755,0,6
10000,extinct,771,0,8
10000,extinct,772,0,10
11000,birth,258,0,5
11000,extinct,4,0,17
11000,extinct,213,0,13
11000,extinct,452,0,5
11000,extinct,767,0,17
11000,extinct,827,0,7
11000,extinct,871,0,8
12000,split,960,1,63
12000,split,962,188,198
12000,extinct,70,0,22
12000,extinct,95,0,11
12000,extinct,177,0,10
12000,extinct,188,0,10
12000,extinct,192,0,14
12000,extinct,258,0,5
12000,extinct,461,0,6
12000,extinct,759,0,5
12000,extinct,808,0,70
12000,extinct,821,0,8
12000,extinct,826,0,5
13000,split,990,1,15
13000,split,991,1,8
13000,extinct,260,0,5
13000,merge,284,1,15
13000,extinct,435,0,18
13000,extinct,757,0,6
13000,extinct,836,0,11
14000,extinct,312,0,5
14000,extinct,773,0,15
14000,extinct,853,0,6
15000,split,961,1,59
15000,split,1009,808,8
15000,split,1014,864,77
15000,split,1017,998,14
15000,extinct,257,0,5
15000,extinct,539,0,8
15000,extinct,634,0,10
15000,extinct,803,0,8
15000,extinct,835,0,48
16000,extinct,71,0,8
16000,extinct,864,0,10
17000,split,1023,1,9
17000,split,1025,776,194
17000,extinct,154,0,12
17000,extinct,991,0,7
18000,split,1041,1026,51
18000,extinct,22,0,6
18000,extinct,883,0,7
19000,split,1048,1,1524
19000,split,1050,776,18
19000,split,1052,776,22
19000,split,1053,776,8
19000,extinct,908,0,14
20000,split,1069,962,36
20000,extinct,248,0,5
20000,extinct,961,0,9
21000,split,1070,776,137
21000,split,1071,1,34
21000,split,1074,962,9
21000,extinct,132,0,9
22000,split,1016,132,11
22000,split,1079,1048,37
22000,split,1080,1,607
22000,split,1081,962,7
22000,split,1082,1070,295
22000,extinct,928,0,7
22000,extinct,990,0,11
22000,extinct,1014,0,5
22000,extinct,1017,0,8
22000,extinct,1023,0,9
22000,extinct,1069,0,36
23000,split,1091,1,885
23000,split,1092,1,35
23000,split,1093,1,7
23000,split,1094,776,10
23000,extinct,753,0,7
23000,extinct,962,0,10
23000,extinct,1016,0,11
23000,extinct,1053,0,6
24000,split,1108,1,12
24000,split,1111,1092,21
24000,extinct,929,0,5
24000,extinct,1081,0,7
25000,split,1119,1048,6
25000,split,1120,1070,58
25000,split,1125,1070,12
25000,extinct,960,0,13
25000,extinct,1050,0,6
25000,merge,1091,1,819
25000,extinct,1093,0,7
26000,split,1135,1048,13
26000,split,1136,1082,20
26000,split,1138,1025,10
26000,extinct,749,0,8
26000,extinct,1052,0,8
26000,extinct,1080,0,8
27000,split,1146,1048,13
27000,split,1147,1082,30
27000,split,1148,1120,58
27000,extinct,776,0,8
27000,extinct,1071,0,11
27000,extinct,1094,0,6
28000,split,1101,781,7
28000,split,1157,1048,11
28000,split,1158,1041,54
28000,extinct,1009,0,5
28000,extinct,1074,0,80
29000,split,1170,1048,10
30000,split,1181,1,598
30000,extinct,1041,0,228
30000,extinct,1070,0,23
31000,extinct,1082,0,5
31000,extinct,1170,0,10
32000,split,1197,1,6
32000,extinct,1048,0,9
32000,extinct,1125,0,5
33000,extinct,1025,0,6
33000,extinct,1092,0,15
33000,extinct,1119,0,12
33000,extinct,1147,0,10
33000,extinct,1148,0,6
33000,extinct,1157,0,11
34000,split,1216,1,5
34000,split,1217,1,5
34000,extinct,1136,0,6
35000,split,1201,781,7
35000,split,1220,1,584
35000,extinct,1135,0,5
37000,split,1230,1,11
37000,extinct,1216,0,5
38000,split,1237,1158,26
38000,extinct,1111,0,10
39000,extinct,1108,0,204
39000,extinct,1201,0,5
39000,extinct,1217,0,9
40000,extinct,1230,0,18
42000,split,1254,1,82
42000,split,1257,1146,32
42000,split,1259,1,11
42000,extinct,1197,0,5
43000,split,1265,1146,147
43000,split,1266,1,92
43000,split,1268,1257,46
45000,split,1280,1146,11
45000,extinct,1257,0,20
46000,split,1291,1257,102
47000,split,1300,1181,11
48000,extinct,1237,0,5
49000,split,1318,1297,24
49000,split,1319,1138,28
49000,split,1321,1297,31
49000,merge,1300,1181,25
50000,extinct,1146,0,9
50000,extinct,1280,0,15
51000,split,1333,1138,27
52000,split,1313,1291,6
53000,split,1347,1138,23
53000,extinct,1101,0,5
54000,split,1349,1,216
54000,split,1350,1181,57
55000,split,1352,1,21
55000,split,1353,1120,13
55000,split,1355,1158,6
55000,split,1358,1158,26
55000,extinct,1259,0,7
56000,split,1360,1138,32
56000,extinct,1254,0,20
57000,split,1364,1,64
57000,extinct,781,0,5
57000,merge,1181,1350,25
57000,extinct,1266,0,30
57000,extinct,1313,0,7
57000,extinct,1355,0,6
58000,extinct,1079,0,6
58000,extinct,1318,0,5
58000,merge,1364,1,64
59000,split,1375,1158,13
59000,split,1379,1158,35
59000,extinct,1220,0,13
59000,extinct,1265,0,5
59000,extinct,1268,0,8
59000,merge,1352,1,6
60000,split,1384,1,1465
61000,merge,1349,1,564
62000,split,1395,1120,10
62000,extinct,1358,0,8
62000,extinct,1384,0,1465
63000,split,1397,1,7
63000,extinct,1291,0,6
63000,extinct,1333,0,6
64000,extinct,1120,0,19
64000,extinct,1375,0,9
65000,split,1402,1350,20
65000,extinct,1395,0,10
66000,extinct,1353,0,10
66000,merge,1397,1,8
67000,extinct,1350,0,40
69000,split,1420,1158,6
69000,split,1422,1321,5
69000,merge,1379,1158,35
70000,split,1424,1,165
70000,split,1427,1347,24
70000,extinct,1422,0,5
71000,split,1428,1347,7
71000,extinct,1360,0,8
71000,extinct,1420,0,6
72000,split,1433,1,15
73000,split,1439,1158,24
73000,extinct,1138,0,8
74000,extinct,1428,0,7
75000,extinct,1427,0,7
75000,extinct,1433,0,9
77000,extinct,1321,0,14
77000,extinct,1347,0,9
80000,split,1454,1439,7
80000,extinct,1439,0,9
84000,split,1463,1,47
84000,merge,1424,1,358
86000,split,1470,1,25
87000,extinct,1463,0,6
89000,split,1475,1,20
89000,extinct,1454,0,7
92000,split,1481,1,32
92000,extinct,1475,0,5
96000,extinct,1319,0,6
96000,extinct,1470,0,10
97000,extinct,1481,0,61
98000,split,1495,1,755
