step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,6336,30.20,0.91,6.22,1.06,21.65,0.07,0.017,510,26.53,10.04,2931
5000,270,643,44.65,0.14,16.22,0.10,15.97,0.05,0.017,518,20.15,18.82,444
5000,351,181,61.06,0.78,3.55,0.34,56.44,0.04,0.011,337,27.12,5.17,84
5000,525,147,56.47,2.23,4.80,5.70,36.40,0.53,0.109,314,28.30,7.51,77
5000,18,121,26.99,0.19,8.20,0.00,13.32,0.15,0.050,383,16.27,3.97,80
5000,128,112,31.05,0.19,11.02,1.71,13.93,0.19,0.062,197,11.14,3.31,57
5000,481,59,25.86,0.22,0.29,0.31,22.32,0.00,0.000,932,28.00,26.43,43
5000,198,54,42.67,0.30,9.44,0.76,30.46,0.00,0.000,823,46.64,11.92,38
5000,308,39,35.34,3.72,4.18,8.00,20.26,0.26,0.077,827,51.82,25.41,25
5000,54,36,37.15,0.92,2.83,0.00,31.97,0.06,0.028,775,41.07,40.43,19
5000,506,35,35.68,1.34,8.54,0.00,18.51,0.31,0.086,201,12.10,4.40,22
5000,34,26,46.87,5.31,9.77,0.00,28.23,1.08,0.269,1123,54.52,9.27,13
5000,2,24,55.93,0.92,0.92,0.00,50.88,0.00,0.000,632,36.22,19.41,15
5000,91,21,23.64,0.00,0.00,0.00,18.71,0.00,0.000,1482,38.90,35.85,15
5000,210,21,76.14,4.00,27.05,4.10,19.05,1.62,0.429,447,19.37,12.41,15
5000,10,19,40.10,2.21,0.00,0.00,26.79,0.00,0.000,2256,87.19,69.99,16
5000,150,19,40.93,0.00,0.05,0.00,38.16,0.00,0.000,1942,72.73,40.68,17
5000,433,18,54.74,0.00,0.00,0.39,45.17,0.00,0.000,941,58.01,25.71,13
5000,299,18,24.99,0.83,0.00,0.00,21.67,0.00,0.000,1264,56.55,30.87,15
5000,530,17,21.77,0.00,2.71,1.41,13.18,0.00,0.000,2200,76.42,37.39,16
5000,165,16,45.83,1.00,1.94,0.06,34.38,0.19,0.062,1871,81.63,63.46,13
5000,32,13,7.82,0.23,0.00,0.00,7.15,0.00,0.000,1268,35.62,20.02,10
5000,116,12,49.00,0.00,0.75,0.00,39.33,0.00,0.000,1291,56.91,18.27,7
5000,480,9,33.82,2.22,3.22,1.33,19.89,0.00,0.000,1897,58.77,44.47,8
5000,115,8,23.72,0.50,5.00,0.00,11.38,0.12,0.000,1988,58.83,36.80,7
5000,624,5,68.52,24.20,1.40,0.00,21.60,1.20,0.400,4183,219.11,27.82,5
