step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
1000,15907,13408,139117,921888,885792,764863,17908,75614,1235,2,140603,6442745,182072.569,73948.504,0.2335,71896.951,0.276,0.250,0.208,0.266,0.678,0.309,597,0.0088,0.7465,0.252,12.4,42.0,78.3,43.49,3.63,3.88,4.13,31.85,7.88,1.008,0.085,0.044,0.044,25.396,0.774,0.0024,153,464,2228,6352,150,0,0.000,7924,4750,3479,7678,1377,4874,9656,0.00,0.45,11843,33.3228,66724,8851,538890,1878.5,-0.0,461697,56.431,2630837.750,1.19e-14,0.00093,30.00,273018,119.191,1.430,116.116,1.645,119.192,11608,1465,2834,0.4902,0.825,1.003,1.198,0.993,0.903,1.124,37377.856,11626.958,185946.742,38063.943,29958.835,1364.014,378.739,308.801,0.733,0.569,0.562,0.882,0.728,0.677,7133,53885,0.5303,1.0000,1.0000,0.0409,0.9999,1.0000,0.5526,0.8017,0.9281,0.0961,0.0395,0.0246,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,16605,1.0000,0.7668,0.7732,0.9988,0.0623,0.0480,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1339
2000,14841,6353,48296,109166,102138,59613,1257,35337,1650,0,172758,2582706,37564.799,12850.077,0.2578,10066.483,0.247,0.369,0.198,0.187,0.547,0.374,967,0.0307,0.7040,0.221,11.6,31.2,71.0,35.46,1.98,4.77,2.05,26.67,7.76,1.041,0.140,0.029,0.028,12.751,0.566,0.0031,212,1201,1967,14018,162,0,0.000,7453,1015,2406,11420,556,1270,13015,0.00,4.73,13833,13.7219,66825,6012,490909,1416.5,-0.0,525989,36.475,2630837.750,3.54e-16,0.00068,25.34,35668,37.488,1.392,35.074,1.021,37.489,2948,3804,8089,0.3510,0.891,1.032,1.200,1.018,0.923,1.104,16664.172,15239.479,7706.297,16618.982,23306.003,362.565,1057.993,1363.036,0.542,0.526,0.564,0.636,0.536,0.554,5807,3804,0.6094,0.9998,1.0000,0.1007,1.0000,1.0000,0.5339,0.8718,0.9424,0.1532,0.0223,0.0129,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,8571,0.9993,0.7430,0.7663,0.9993,0.0511,0.0422,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0800
3000,14275,5364,47378,112381,101996,64018,985,35193,3044,0,309999,3234441,36125.528,15214.256,0.2705,9973.124,0.189,0.515,0.145,0.152,0.539,0.345,2161,0.0605,0.7386,0.194,10.9,29.6,64.3,33.37,1.26,6.46,1.74,23.92,7.40,1.048,0.210,0.027,0.026,11.903,0.489,0.0034,190,583,2398,22956,400,0,0.000,7771,63,2024,12188,1039,2053,11183,0.00,10.86,12984,17.3740,66747,5726,453980,1382.3,0.0,563018,25.810,2630837.750,2.44e-14,0.00237,14.43,36659,31.776,1.380,29.576,0.820,31.776,4235,4143,5897,0.4327,0.885,1.019,1.252,1.025,0.944,1.138,13307.381,11760.376,15493.821,13166.857,17437.974,1158.528,1584.102,2498.502,0.616,0.518,0.527,0.703,0.472,0.536,3936,4298,0.5096,1.0000,0.9998,0.1368,1.0000,1.0000,0.6228,1.0391,1.0300,0.0682,0.0146,0.0160,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,5409,0.9999,0.8343,0.8319,0.9981,0.0501,0.0547,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0847
4000,12647,5045,50138,109091,96155,58016,937,36935,5262,34,385302,3979755,34511.062,16741.113,0.3157,9138.108,0.151,0.603,0.123,0.123,0.546,0.325,3283,0.0932,0.7597,0.194,9.0,28.4,55.0,29.36,0.99,7.95,1.36,19.06,7.24,1.086,0.265,0.030,0.031,11.659,0.488,0.0034,173,574,3156,33774,772,0,0.000,7101,76,1808,10763,604,1368,10675,1.00,12.87,9557,13.8833,66710,5979,419667,939.3,-0.0,603037,24.961,2630837.750,8.32e-15,0.00787,37.93,33664,32.199,1.455,30.214,0.530,32.199,3453,3887,5307,0.4317,0.907,1.030,1.336,1.061,0.971,1.186,13062.305,9606.392,17136.944,12891.965,13620.261,1256.419,2622.682,3723.903,0.632,0.539,0.515,0.702,0.396,0.449,3766,6870,0.6369,1.0000,1.0000,0.1310,0.9999,0.9999,0.7225,1.1776,1.1015,0.0654,0.0149,0.0149,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2665,0.9996,0.9268,0.8901,0.9966,0.0450,0.0673,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0889
5000,14208,5225,53091,106791,91374,52891,809,34493,6742,29,523609,4631685,33501.758,18937.245,0.3155,8611.648,0.104,0.696,0.105,0.096,0.549,0.311,5148,0.1036,0.7676,0.175,9.5,28.4,54.2,28.39,0.72,9.27,1.30,17.10,7.08,1.127,0.297,0.032,0.033,10.180,0.449,0.0031,163,567,3123,45078,970,12,0.496,8143,128,2542,11538,570,1823,11815,3.58,16.86,9102,13.5580,66705,6329,389468,1154.2,-0.0,635638,22.939,2630837.750,2.55e-14,0.00024,12.68,32947,30.136,1.404,28.098,0.634,30.136,3399,4700,6109,0.3909,0.950,1.053,1.406,1.136,0.972,1.241,13658.954,10513.613,13703.303,13462.351,14947.753,2326.274,2960.219,5039.103,0.593,0.550,0.529,0.609,0.392,0.486,3615,7729,0.5415,0.9998,1.0000,0.1390,1.0000,0.9999,0.7124,1.1426,1.0881,0.0440,0.0150,0.0168,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2537,0.9994,0.9367,0.8770,0.9971,0.0406,0.0710,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0814
6000,14640,5441,48998,99009,84640,49320,691,33652,6271,30,503982,4926181,32927.624,18309.104,0.3241,8101.480,0.098,0.721,0.083,0.098,0.569,0.303,4607,0.0933,0.7585,0.184,10.8,31.1,53.7,29.37,0.68,9.45,1.02,18.22,7.11,1.153,0.298,0.032,0.034,9.977,0.442,0.0031,175,599,3225,42123,1291,16,0.761,8254,209,1767,12664,1128,1670,11842,3.91,16.29,9545,14.9289,66716,6491,357693,1161.5,-0.0,668758,22.575,2630837.750,4.25e-15,0.00089,23.20,30499,30.479,1.430,28.372,0.677,30.480,4057,4369,6214,0.3856,0.961,1.069,1.444,1.145,0.979,1.281,13036.062,10208.906,13941.437,12831.345,14256.322,2691.677,2506.533,5009.414,0.621,0.578,0.538,0.608,0.409,0.470,3863,6485,0.4936,1.0000,1.0000,0.1455,0.9999,1.0000,0.7531,1.1372,1.1080,0.0382,0.0151,0.0137,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2128,0.9999,0.9431,0.8875,0.9970,0.0420,0.0746,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0786
7000,12939,4997,48264,96719,81988,47925,530,33912,6120,52,508654,4804153,32473.047,18094.374,0.3235,7811.357,0.097,0.721,0.087,0.095,0.559,0.310,4465,0.1074,0.7503,0.196,10.7,29.8,50.5,27.08,0.49,9.73,0.91,15.94,7.02,1.182,0.306,0.026,0.031,9.740,0.452,0.0031,178,617,3105,41183,1148,16,0.401,7624,487,1192,11260,931,1194,10814,4.70,18.15,9940,15.4697,66787,6108,327242,1046.8,-0.0,701487,23.108,2630837.750,2.66e-15,0.00052,24.47,30371,30.367,1.422,28.359,0.586,30.368,3647,3758,5534,0.3576,0.965,1.076,1.522,1.184,0.978,1.318,12272.022,9806.617,14768.758,12027.900,13487.746,2736.262,2070.227,5476.528,0.595,0.582,0.527,0.593,0.411,0.459,4078,7846,0.4924,1.0000,0.9998,0.1341,1.0000,1.0000,0.8447,1.1633,1.1376,0.0310,0.0097,0.0134,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2035,0.9995,0.9464,0.9044,0.9960,0.0460,0.0692,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0790
8000,13195,4927,53275,101344,84871,47450,619,34180,7256,17,556818,5040454,32529.710,18969.910,0.3222,7757.149,0.080,0.764,0.078,0.078,0.549,0.315,4387,0.1143,0.7604,0.166,10.8,29.7,47.7,25.80,0.40,9.49,0.94,14.97,6.88,1.235,0.309,0.025,0.027,8.739,0.468,0.0031,162,585,2335,44767,884,12,0.641,7683,742,1273,11180,942,1516,10737,6.00,19.40,10001,15.8677,66687,5531,302561,1287.4,-0.0,727409,21.968,2630837.750,3.10e-14,0.00062,7.77,32337,30.112,1.429,27.987,0.696,30.113,4139,3608,5448,0.3284,0.981,1.135,1.628,1.260,0.983,1.384,12029.330,9902.225,15189.945,11767.728,13329.186,3282.802,2109.671,5820.288,0.564,0.594,0.511,0.539,0.406,0.438,3521,10000,0.4689,1.0000,0.9999,0.1313,1.0000,0.9999,0.8547,1.1869,1.1809,0.0248,0.0098,0.0107,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1566,0.9995,0.9584,0.9032,0.9934,0.0444,0.0622,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0710
9000,13423,4477,47180,86613,72048,38761,672,30348,6543,18,492200,4719608,28989.096,15967.123,0.3214,6081.198,0.073,0.802,0.058,0.067,0.550,0.316,3880,0.1036,0.7652,0.153,10.4,29.2,46.3,25.78,0.20,9.80,0.72,15.05,7.13,1.258,0.309,0.012,0.015,8.033,0.425,0.0031,159,595,2091,45176,857,10,0.360,7376,65,1268,12090,873,1745,10805,6.75,19.59,11096,15.5455,66680,5856,284264,1118.2,-0.0,747656,19.250,2630837.750,1.35e-14,0.00083,30.68,28693,26.607,1.478,24.435,0.694,26.608,4087,3980,5356,0.3666,0.970,1.095,1.700,1.280,0.981,1.447,11199.800,8649.392,12917.162,10950.847,11202.284,3104.348,1572.688,5208.889,0.521,0.636,0.504,0.512,0.389,0.424,4279,9112,0.5055,1.0000,0.9998,0.1308,0.9999,1.0000,0.9310,1.1657,1.1891,0.0139,0.0019,0.0083,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,931,0.9994,0.9754,0.9211,0.9939,0.0484,0.0629,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0674
10000,13848,4881,54622,106647,90712,51062,963,32543,7312,12,533930,5369337,33890.315,19113.110,0.3217,8377.978,0.065,0.810,0.055,0.070,0.560,0.316,3993,0.1016,0.7583,0.146,9.2,28.8,47.3,25.14,0.29,9.26,0.75,14.85,7.26,1.294,0.293,0.013,0.016,8.362,0.441,0.0030,150,543,1719,45317,795,5,0.404,7835,42,1818,11988,785,1606,11457,5.75,18.81,6906,13.2364,66625,6100,264844,1030.7,0.0,773519,20.543,2630837.750,1.42e-15,0.00657,11.37,35859,30.036,1.434,27.811,0.790,30.074,3807,4175,5866,0.3641,0.975,1.095,1.765,1.345,0.979,1.485,11407.566,9411.004,19091.658,11156.187,12020.447,3660.477,1548.568,5526.087,0.551,0.651,0.505,0.550,0.410,0.422,4540,13633,0.5102,0.9999,1.0000,0.0940,1.0000,0.9999,0.9180,1.1808,1.2097,0.0274,0.0010,0.0090,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,697,0.9998,0.9776,0.9360,0.9939,0.0464,0.0582,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0702
