step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
1000,16217,13626,139121,940804,904373,784593,17090,74964,1383,5,154741,6411676,181878.553,73489.175,0.2524,71048.417,0.279,0.251,0.208,0.262,0.683,0.303,466,0.0092,0.7415,0.249,11.7,42.8,78.5,43.31,3.82,3.76,4.25,31.48,7.89,1.009,0.081,0.047,0.047,25.359,0.762,0.0024,151,456,2233,6844,148,0,0.000,8066,5112,3585,7520,1481,5147,9589,0.00,0.42,11807,33.6127,66725,9172,539352,1960.7,-0.0,460639,55.439,2630837.750,2.30e-15,0.00093,30.00,279213,118.741,1.418,115.626,1.697,118.741,12338,1218,2661,0.4929,0.826,1.002,1.200,0.994,0.904,1.128,37190.269,11589.002,185479.493,37810.248,29637.229,1574.798,412.699,453.261,0.736,0.582,0.554,0.883,0.734,0.690,7324,54078,0.5294,1.0000,1.0000,0.0402,1.0000,1.0000,0.5525,0.8450,0.9540,0.0997,0.0480,0.0231,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,16605,0.9999,0.8180,0.7860,0.9989,0.0658,0.0532,0.1011,0.1015,0.1010,0.4932,0.5140,0.4821,5.0149,4.9671,5.0524,0.1388
2000,17768,6920,51741,123079,116128,69956,1382,34033,872,0,109420,2276002,39567.769,13953.920,0.2961,11928.860,0.257,0.311,0.220,0.212,0.565,0.375,658,0.0168,0.7008,0.231,11.2,31.5,69.7,34.53,1.95,3.89,2.10,26.59,7.81,1.056,0.114,0.026,0.027,12.124,0.594,0.0029,200,1195,1965,6145,153,0,0.000,8508,961,3039,13768,558,1085,16125,0.00,3.24,13561,13.2409,66826,6468,491432,1554.8,-0.0,526088,36.159,2630837.750,4.07e-15,0.00068,25.34,41696,40.646,1.410,37.545,1.691,40.646,2800,4413,10555,0.3241,0.897,1.044,1.236,1.019,0.925,1.121,17257.440,16801.751,7600.808,17191.115,26704.706,376.213,508.573,1140.274,0.560,0.542,0.580,0.643,0.550,0.585,6161,4202,0.6129,1.0000,1.0000,0.1012,1.0000,1.0000,0.5112,0.8691,0.9730,0.1670,0.0311,0.0150,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,11083,0.9987,0.7122,0.7375,0.9988,0.0561,0.0378,0.1009,0.1019,0.0994,0.4879,0.4984,0.4867,5.0675,4.8863,5.0439,0.0781
3000,12307,4473,40314,94270,86753,52930,1026,34592,1886,0,161892,2549694,30642.781,11591.953,0.3031,8524.851,0.227,0.420,0.195,0.159,0.565,0.343,755,0.0423,0.7434,0.203,10.4,29.0,63.9,32.38,1.71,5.75,1.55,23.36,7.42,1.041,0.191,0.042,0.043,12.420,0.505,0.0035,206,614,2429,10023,454,0,0.000,6504,81,1587,10639,291,1627,10389,0.00,7.35,18011,19.1593,66749,7061,457265,1144.3,0.0,558167,25.211,2630837.750,3.54e-16,0.00202,14.43,32185,30.174,1.416,28.018,0.740,30.174,2937,3902,5468,0.4350,0.861,1.018,1.237,1.003,0.938,1.136,12675.837,11342.125,9198.410,12554.028,17415.194,454.253,775.556,1837.294,0.633,0.575,0.539,0.660,0.511,0.569,6065,2873,0.5415,1.0000,1.0000,0.1837,1.0000,1.0000,0.6182,0.9214,0.9821,0.1181,0.0217,0.0201,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,6424,0.9997,0.7100,0.7921,0.9984,0.0469,0.0517,0.1018,0.1051,0.0995,0.4852,0.4712,0.4601,5.0141,4.6416,4.9997,0.0884
4000,14034,5884,64548,168346,154418,102423,1375,40600,5548,27,370531,4234649,44897.888,20187.600,0.2986,13273.038,0.170,0.556,0.146,0.129,0.564,0.311,2343,0.0837,0.7583,0.209,9.7,27.0,58.6,30.43,1.26,7.02,1.67,20.48,7.11,1.060,0.252,0.032,0.034,11.583,0.538,0.0033,151,481,3492,23016,877,0,0.000,7538,98,2433,11503,1131,1729,11174,0.50,12.40,7759,15.3232,66718,4882,422670,1259.9,-0.0,601336,27.026,2630837.750,3.42e-14,0.00585,37.93,56387,40.826,1.464,38.489,0.873,40.826,4092,4143,5799,0.4416,0.873,1.017,1.321,1.000,0.966,1.169,14402.670,11208.388,27927.357,14245.375,15998.193,1852.482,1854.336,3207.744,0.695,0.535,0.513,0.744,0.448,0.501,4112,12288,0.4971,1.0000,0.9999,0.1009,1.0000,1.0000,0.6216,1.1147,1.0511,0.0748,0.0149,0.0183,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,4358,0.9999,0.8335,0.8547,0.9988,0.0406,0.0612,0.0979,0.1063,0.1008,0.4545,0.4586,0.4419,4.8930,4.8406,5.0376,0.0868
5000,12331,4110,44670,85773,73953,40210,893,34721,4466,43,298013,3676556,27700.252,12130.631,0.3257,6064.424,0.139,0.656,0.112,0.093,0.530,0.328,2251,0.1010,0.7783,0.195,8.5,24.6,51.1,26.42,0.89,7.52,1.02,16.99,6.93,1.087,0.283,0.023,0.024,10.038,0.463,0.0036,169,619,3605,21877,1099,13,0.727,6489,68,2342,9921,508,1301,10522,3.55,19.37,8601,11.4132,66712,4619,391094,737.0,-0.0,635605,22.210,2630837.750,5.49e-15,0.00048,12.68,27506,27.526,1.432,25.571,0.523,27.527,2644,4640,5047,0.4576,0.945,1.017,1.359,1.095,0.974,1.187,12434.148,8388.692,10156.916,12253.036,11354.724,1328.425,1915.134,2822.648,0.623,0.527,0.496,0.617,0.382,0.444,3799,4969,0.5843,1.0000,0.9999,0.1661,1.0000,0.9999,0.7804,1.1456,1.0878,0.0714,0.0124,0.0248,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2174,0.9993,0.8846,0.9000,0.9977,0.0480,0.0797,0.1032,0.1047,0.1019,0.4616,0.4593,0.4332,5.0471,4.8856,5.0026,0.0845
6000,11589,3708,43844,80670,68338,36125,701,31663,4377,39,342905,3675160,26754.243,12220.030,0.3063,5654.676,0.117,0.705,0.097,0.081,0.524,0.326,3068,0.1141,0.7770,0.173,10.1,27.5,52.2,27.50,0.97,8.13,0.99,17.42,6.84,1.103,0.292,0.028,0.030,9.600,0.429,0.0035,157,550,3207,24317,1129,16,0.772,6238,144,1832,9613,742,1335,9512,5.62,22.75,11161,16.3243,66698,5197,358963,1021.6,-0.0,665893,19.473,2630837.750,1.66e-14,0.00116,23.20,24429,25.615,1.448,23.714,0.454,25.616,3495,3891,4203,0.4291,0.955,1.024,1.387,1.115,0.978,1.209,10722.771,7322.997,12158.557,10542.980,9707.383,1942.190,2226.351,2396.813,0.598,0.518,0.488,0.578,0.311,0.430,3623,6936,0.4841,1.0000,0.9997,0.1454,1.0000,0.9999,0.8280,1.1404,1.0547,0.0562,0.0205,0.0246,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1571,0.9997,0.8484,0.8777,0.9976,0.0496,0.0898,0.1010,0.1057,0.0994,0.4569,0.4652,0.4410,5.1709,4.8344,5.1171,0.0776
7000,13492,4375,53894,114704,99977,59966,844,32789,4754,36,403948,4366075,33189.576,16027.097,0.2977,8511.007,0.114,0.730,0.086,0.069,0.543,0.320,2839,0.1010,0.7706,0.159,9.3,28.0,52.7,27.97,0.91,7.92,1.24,17.90,6.77,1.114,0.276,0.023,0.024,8.766,0.444,0.0032,144,505,2721,27548,1008,14,0.753,7077,754,1466,11272,1516,2072,9904,4.75,19.44,9945,18.3092,66764,4455,328934,1305.4,-0.0,697261,20.225,2630837.750,9.20e-15,0.00035,24.47,34551,28.774,1.430,26.758,0.586,28.775,5092,3926,4474,0.4022,0.967,1.035,1.431,1.107,0.981,1.238,11474.816,7943.925,19927.177,11261.461,10511.945,2669.826,2251.997,2594.267,0.625,0.532,0.496,0.654,0.335,0.429,3245,12492,0.4258,1.0000,0.9996,0.1152,1.0000,1.0000,0.7920,1.1343,1.0868,0.0532,0.0129,0.0155,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1920,0.9995,0.8690,0.8938,0.9980,0.0495,0.0831,0.0989,0.1049,0.0983,0.4541,0.4621,0.4304,5.0148,4.8947,5.2192,0.0723
8000,9943,3437,44993,87418,75521,41751,674,31234,4054,21,348234,3672220,28136.749,13551.983,0.2948,7135.679,0.114,0.732,0.086,0.068,0.511,0.347,2503,0.1265,0.7559,0.165,10.2,28.5,53.8,28.37,0.81,8.46,0.98,18.12,6.81,1.110,0.279,0.014,0.015,8.952,0.445,0.0035,158,548,2358,22973,785,14,0.731,5384,478,946,8519,794,1289,7860,6.00,23.28,7878,13.7875,66649,4406,303734,824.6,0.0,728116,19.557,2630837.750,6.37e-15,0.00061,7.77,25097,25.585,1.442,23.810,0.334,25.585,3158,3428,3357,0.4572,0.962,1.014,1.441,1.113,0.982,1.237,9941.903,6606.664,16960.427,9736.133,8575.868,2171.480,2000.088,2244.736,0.595,0.506,0.456,0.607,0.313,0.412,3268,11699,0.4106,1.0000,1.0000,0.1152,1.0000,1.0000,0.7612,1.2277,1.0614,0.0503,0.0106,0.0155,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1534,0.9997,0.9134,0.8835,0.9984,0.0545,0.0837,0.1005,0.1047,0.0986,0.4727,0.4677,0.4354,5.0917,4.9765,5.3025,0.0716
9000,9964,3308,40341,69810,58440,28918,551,27455,3746,17,335815,3396470,23986.840,10628.142,0.2863,4620.002,0.090,0.788,0.068,0.054,0.505,0.348,2051,0.1221,0.7661,0.139,10.2,28.0,53.7,27.64,0.64,8.93,1.01,17.06,6.76,1.133,0.293,0.019,0.020,8.355,0.447,0.0035,150,533,1591,22236,592,13,0.720,5395,82,1300,8582,575,1405,7984,6.50,23.92,9928,14.4360,66642,4352,282684,936.1,0.0,748699,16.644,2630837.750,2.83e-15,0.00406,30.68,20191,21.475,1.482,19.679,0.313,21.475,3181,3340,3443,0.4109,0.981,1.033,1.466,1.184,0.984,1.230,9829.662,6422.604,10743.917,9590.822,8272.102,1921.685,2077.387,2009.068,0.555,0.507,0.470,0.512,0.323,0.415,3239,7698,0.5156,1.0000,1.0000,0.1518,1.0000,0.9999,0.8371,1.1830,1.0724,0.0346,0.0152,0.0157,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1404,0.9995,0.8976,0.8834,0.9963,0.0545,0.0760,0.1005,0.1070,0.0988,0.4673,0.4723,0.4492,5.1278,4.9394,5.2553,0.0674
10000,11610,3823,43464,88627,76617,44522,641,27152,3702,6,347852,3723089,28820.995,13060.439,0.2870,6820.605,0.082,0.785,0.078,0.056,0.530,0.332,2101,0.1035,0.7514,0.119,10.1,26.2,52.3,26.39,0.63,8.57,0.80,16.40,6.75,1.132,0.291,0.020,0.020,8.436,0.443,0.0033,151,513,1517,21602,469,15,0.797,6142,44,1538,10028,558,1531,9521,5.20,21.35,7599,13.7552,66658,4600,265516,1211.8,-0.0,769718,17.090,2630837.750,2.07e-14,0.00122,11.37,24428,23.926,1.455,22.043,0.427,23.960,3172,4147,4291,0.4335,0.974,1.032,1.501,1.187,0.980,1.239,10192.955,7101.549,16432.208,9992.965,9216.428,2100.543,2036.578,2102.714,0.600,0.525,0.483,0.621,0.365,0.465,3468,9677,0.5004,0.9998,0.9999,0.1171,1.0000,1.0000,0.8308,1.2694,1.1044,0.0445,0.0103,0.0154,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1281,0.9994,0.9114,0.8816,0.9972,0.0522,0.0734,0.1013,0.1045,0.0983,0.4542,0.4666,0.4447,5.2526,4.9464,5.3111,0.0692
