step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right
1000,16962,13607,139160,917116,876503,761390,16566,75063,2215,2,230790,7527187,182864.958,75547.861,0.2830,71465.384,0.219,0.295,0.193,0.293,0.671,0.309,854,0.0145,0.7440,0.198,11.9,41.0,77.0,41.59,3.58,4.30,3.81,29.89,7.78,1.020,0.100,0.048,0.050,23.642,0.730,0.0024,156,467,2258,12226,156,0,0.000,8710,5048,3824,8090,1563,5188,10211,0.00,0.75,11573,33.3470,66718,8533,538395,2147.7,-0.0,461986,56.377,2630837.750,5.49e-15,0.00092,30.00,270503,114.907,1.363,111.754,1.790,114.908,12353,1538,3071,0.4712,0.831,1.010,1.224,1.006,0.914,1.127,37573.570,11913.026,186142.841,38168.388,30019.113,2896.608,632.088,553.780,0.732,0.572,0.581,0.881,0.723,0.677,6618,52763,0.5248,0.9998,0.9997,0.0413,0.9999,0.9999,0.5645,0.8426,0.9321,0.0997,0.0493,0.0202,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,16286,0.9999,0.8068,0.7400,0.9983,0.0634,0.0541,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1290,0.2597,0.2329,0.537,0.633,0.594,0.566
2000,15424,5334,60194,113545,96136,52402,949,41726,5940,0,517099,4459434,35992.625,18765.603,0.2788,9756.451,0.111,0.594,0.121,0.174,0.538,0.339,3155,0.0818,0.7169,0.178,9.3,28.7,61.5,29.92,2.10,8.02,1.25,18.55,7.06,1.077,0.259,0.037,0.040,10.693,0.477,0.0033,180,1113,1780,30442,122,0,0.000,9638,1420,2541,11463,1004,1953,12467,0.00,10.25,11651,12.8180,66820,4980,489521,1260.5,-0.0,528000,36.415,2630837.750,2.48e-15,0.00005,25.34,38903,41.429,1.363,38.722,1.344,41.430,4453,3572,7399,0.3502,0.898,1.056,1.286,1.069,0.934,1.150,15777.270,13143.057,10096.913,15690.467,19961.695,2598.691,2895.112,3515.349,0.550,0.493,0.570,0.568,0.426,0.464,4371,5636,0.5890,1.0000,0.9998,0.0911,1.0000,1.0000,0.6087,0.9483,1.0291,0.1506,0.0207,0.0177,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,8430,0.9984,0.7628,0.7915,0.9990,0.0461,0.0483,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0717,0.1093,0.0927,0.208,0.193,0.213,0.181
3000,12756,3913,58081,110871,89170,52005,785,39012,8173,0,709970,4613480,31414.110,21837.713,0.2952,8740.846,0.068,0.779,0.060,0.093,0.489,0.345,4848,0.1500,0.7571,0.155,8.6,28.6,57.2,27.08,1.64,9.20,0.57,15.68,6.83,1.140,0.299,0.036,0.042,8.205,0.426,0.0036,154,524,1384,37511,166,0,0.000,8097,133,1650,10973,801,2078,9877,5.00,18.50,9018,12.9499,66732,4834,451925,1055.5,-0.0,571155,23.598,2630837.750,4.78e-15,0.00488,14.43,39040,33.766,1.379,31.530,0.857,33.767,4482,3589,4685,0.3640,0.926,1.085,1.419,1.188,0.955,1.235,12042.170,9008.009,14678.664,11875.257,13601.035,4759.197,2777.628,5560.043,0.519,0.463,0.487,0.534,0.401,0.477,3352,8681,0.5329,0.9997,0.9997,0.1069,1.0000,1.0000,0.7082,1.0385,0.9737,0.1143,0.0244,0.0166,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4883,0.9991,0.7940,0.7778,0.9978,0.0467,0.0609,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0641,0.0793,0.0680,0.097,0.112,0.115,0.091
4000,12838,3458,55256,94792,74195,38979,557,36875,8182,0,640823,4515473,28152.479,17893.832,0.2902,6269.765,0.048,0.862,0.039,0.050,0.476,0.354,5332,0.1535,0.7659,0.134,8.0,26.5,52.1,24.48,1.08,8.62,0.43,14.34,6.57,1.153,0.295,0.028,0.034,7.029,0.414,0.0037,149,502,1137,31955,233,0,0.000,7482,87,2291,10460,706,1828,10304,10.75,21.99,6707,10.1865,66784,4582,419764,765.7,-0.0,609417,20.134,2630837.750,5.13e-15,0.00127,37.93,33189,29.564,1.382,27.327,0.854,29.564,3827,4693,4318,0.4182,0.938,1.038,1.489,1.285,0.965,1.241,11970.151,7439.709,12280.152,11756.337,10385.755,4936.401,3034.304,3653.362,0.486,0.456,0.488,0.488,0.341,0.428,3675,7220,0.5882,1.0000,0.9997,0.1046,0.9999,1.0000,0.7708,1.1264,0.9997,0.0924,0.0162,0.0203,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2897,0.9989,0.8850,0.7940,0.9963,0.0392,0.0701,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0613,0.0704,0.0550,0.085,0.077,0.088,0.058
5000,10673,3210,46451,73771,57637,26807,513,34129,5429,5,441013,3879587,24765.908,12367.463,0.2858,4488.747,0.039,0.877,0.038,0.046,0.451,0.388,4730,0.1585,0.7759,0.124,9.4,28.5,52.2,25.82,0.84,8.63,0.52,15.83,6.57,1.171,0.279,0.023,0.028,7.240,0.426,0.0038,153,501,971,25640,158,14,0.209,6080,146,1907,8620,838,1765,8070,13.25,24.46,6768,10.1625,66765,4477,388325,827.3,-0.0,642961,19.075,2630837.750,7.97e-15,0.00093,12.68,26172,25.233,1.366,23.256,0.612,25.234,3593,3609,3471,0.4225,0.929,1.039,1.566,1.269,0.962,1.287,11179.004,7018.342,8923.811,10946.398,9384.446,3033.793,2235.467,2609.457,0.401,0.477,0.460,0.386,0.326,0.408,3430,6496,0.4945,1.0000,0.9996,0.1290,1.0000,0.9999,0.7594,1.1387,1.0104,0.0585,0.0128,0.0180,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2557,0.9985,0.9116,0.8041,0.9978,0.0412,0.0735,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0605,0.0780,0.0615,0.097,0.102,0.107,0.073
6000,10779,3306,46527,73847,57956,26799,521,32869,5498,8,420879,3829489,24518.526,12051.295,0.2932,4338.811,0.038,0.893,0.033,0.037,0.449,0.394,3792,0.1509,0.7761,0.130,10.3,28.0,48.8,24.46,0.58,8.19,0.40,15.29,6.32,1.206,0.274,0.022,0.026,6.915,0.447,0.0037,154,492,995,24414,230,16,0.174,6118,164,1232,9383,830,1358,8591,14.25,25.34,7539,10.8217,66775,4482,355989,601.3,-0.0,677478,18.123,2630837.750,1.96e-14,0.00019,23.20,26232,24.593,1.390,22.576,0.627,24.593,3380,3686,3713,0.4061,0.941,1.043,1.682,1.350,0.962,1.317,11241.966,6784.855,8879.849,11011.891,8965.597,2866.172,2033.194,2813.119,0.389,0.498,0.440,0.387,0.334,0.392,3542,6318,0.5272,1.0000,0.9998,0.1267,1.0000,1.0000,0.8500,1.2297,1.0403,0.0470,0.0102,0.0123,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1728,0.9993,0.9385,0.8323,0.9958,0.0435,0.0693,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0586,0.0642,0.0479,0.064,0.082,0.080,0.054
7000,11550,3089,48515,79884,63637,30717,652,31972,5145,2,424152,3885353,25516.859,12652.095,0.2883,5008.108,0.028,0.906,0.032,0.034,0.443,0.397,3725,0.1458,0.7760,0.129,10.1,26.6,46.1,23.25,0.45,7.55,0.29,14.96,6.19,1.236,0.268,0.012,0.015,6.277,0.423,0.0036,152,492,1020,25600,274,14,0.364,6294,408,1430,9712,863,1882,8805,16.25,26.77,6666,11.2806,66846,4366,324936,764.7,0.0,711601,17.895,2630837.750,1.43e-14,0.00040,24.47,28610,25.304,1.363,23.184,0.757,25.305,3986,3618,3946,0.3967,0.944,1.046,1.790,1.355,0.970,1.358,10368.695,6591.776,11908.600,10118.269,8498.098,3311.322,1839.772,2492.893,0.407,0.499,0.419,0.441,0.335,0.376,3751,9156,0.4613,1.0000,0.9993,0.0990,1.0000,1.0000,0.8624,1.2572,1.0973,0.0364,0.0070,0.0103,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1469,0.9998,0.9577,0.8735,0.9974,0.0489,0.0667,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0544,0.0542,0.0416,0.053,0.068,0.070,0.048
8000,10399,2746,43810,73125,58278,28728,587,30333,5248,2,358647,3463278,22825.177,11113.000,0.2949,4502.279,0.033,0.903,0.033,0.031,0.432,0.403,4089,0.1538,0.7875,0.128,10.2,26.7,45.8,23.78,0.35,7.91,0.47,15.05,6.20,1.210,0.282,0.014,0.015,6.313,0.421,0.0037,149,490,887,21650,268,12,0.448,5642,415,1139,8845,831,1256,8312,16.25,27.32,7016,10.3267,66746,4552,299261,721.8,-0.0,739974,16.420,2630837.750,5.84e-15,0.00152,7.77,26400,22.536,1.368,20.553,0.614,22.537,3311,3504,3584,0.4215,0.946,1.028,1.862,1.326,0.968,1.341,9853.833,6378.019,9405.386,9640.195,8281.874,2259.753,1857.761,2493.207,0.366,0.496,0.421,0.437,0.352,0.408,4021,8476,0.5090,0.9997,0.9997,0.1140,1.0000,1.0000,0.8436,1.2157,1.1121,0.0257,0.0054,0.0108,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,902,0.9998,0.9488,0.8988,0.9968,0.0472,0.0624,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0551,0.0819,0.0614,0.073,0.100,0.063,0.101
9000,9667,2592,47154,76840,60626,28966,720,31736,5494,1,406313,3664948,23657.428,12201.948,0.2958,4689.133,0.032,0.908,0.036,0.024,0.429,0.406,3337,0.1752,0.7906,0.126,10.0,26.4,45.6,22.63,0.36,7.79,0.43,14.05,6.14,1.251,0.280,0.022,0.025,6.253,0.438,0.0036,146,465,865,21988,301,12,0.357,5325,84,859,8724,564,1478,7625,20.25,30.14,6536,10.3959,66739,4188,277803,631.9,-0.0,764420,16.963,2630837.750,3.36e-15,0.00255,30.68,28321,23.918,1.369,21.971,0.578,23.919,2834,3404,3429,0.4205,0.946,1.030,1.906,1.436,0.969,1.379,9863.105,6201.228,10726.541,9648.336,7971.684,3574.108,1677.136,2261.572,0.361,0.496,0.427,0.415,0.334,0.391,3739,9831,0.5555,0.9999,0.9994,0.0944,1.0000,1.0000,0.9253,1.1852,1.0804,0.0275,0.0101,0.0113,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,824,0.9991,0.9379,0.8892,0.9959,0.0439,0.0624,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0574,0.0655,0.0501,0.078,0.088,0.091,0.062
10000,9570,2664,43707,73148,57939,28804,637,29029,5274,4,382830,3417987,22171.708,11410.264,0.2944,4365.009,0.035,0.899,0.039,0.027,0.435,0.402,2332,0.1600,0.7905,0.119,10.5,26.7,44.5,22.39,0.25,7.88,0.33,13.93,6.00,1.281,0.281,0.015,0.016,6.131,0.450,0.0036,145,479,697,20546,152,14,0.278,5049,57,1023,8490,610,1285,7675,18.75,28.06,7258,10.6992,66758,4076,260487,610.6,-0.0,783410,15.763,2630837.750,9.38e-15,0.00007,11.37,27223,22.003,1.357,20.084,0.563,22.029,2877,3243,3450,0.4024,0.954,1.036,1.943,1.497,0.974,1.390,9818.440,5805.053,9426.697,9598.666,7511.355,3127.217,1554.815,2363.222,0.358,0.515,0.416,0.469,0.340,0.363,3910,8378,0.5647,0.9997,0.9997,0.0990,1.0000,1.0000,0.9278,1.1993,1.1112,0.0190,0.0074,0.0087,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1119,0.9994,0.9329,0.9068,0.9970,0.0473,0.0580,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0561,0.0633,0.0414,0.049,0.073,0.053,0.053
