run,seed,arm,medium,bodies,open,hard,fat_fill,blocks,born_blocks,temp,cold_share
control9,9,control,land,4877,0.866437135511857,0.05367692226022463,0.07017000000000001,27.03772811154398,32.11195407012508,16.7,0.0
control9,9,control,surface,4280,1.346595693969969,0.003161992531977437,0.12769285714285714,14.70443925233645,15.591355140186916,32.0,0.0
control9,9,control,bottom,5324,1.144167376231602,0.008449904715565828,0.08199192051719567,23.162096168294514,27.549211119459052,31.1,0.0
cold9,9,cold,land,4993,0.7491309420528316,0.06839381338438986,0.055835023664638266,33.47386340877228,39.61325856198678,24.6,0.16601074315601547
cold9,9,cold,surface,4426,1.4045374150564518,0.04175698498610317,0.10683157894736842,16.989832806145504,20.51536375960235,32.6,0.01288157026542888
cold9,9,cold,bottom,5888,1.1788403005742965,0.015963616170278572,0.07338918801487501,24.16117527173913,29.18648097826087,31.6,0.027193981766775552
control10,10,control,land,4239,0.8342298152225411,0.03925011380210511,0.06982083333333335,25.393489030431706,29.739797121962727,17.1,0.0
control10,10,control,surface,4696,1.130954348406453,0.00026696838331574733,0.11170189531572228,16.75063884156729,17.801959114139695,31.7,0.0
control10,10,control,bottom,5515,1.0643161494431541,0.001938445220635298,0.08524093123984841,19.83064369900272,23.928558476881232,31.5,0.0
cold10,10,cold,land,4385,0.792145789297577,0.052173700146083093,0.07084637964774951,27.943671607753707,32.18107183580388,21.3,0.15041608617422625
cold10,10,cold,surface,5060,1.407730109439537,0.007145225964002532,0.14868571428571428,13.110276679841897,14.069762845849802,32.3,0.01087187102034127
cold10,10,cold,bottom,4672,1.121985261277356,0.009021884769986601,0.09628112327582916,19.169520547945204,22.934931506849313,31.4,0.03198782054254139
control11,11,control,land,4611,0.906560261919378,0.01827706159197872,0.067912,26.496421600520495,31.859900238559966,19.3,0.0
control11,11,control,surface,4005,1.1989975263637547,0.0010880279725482174,0.07789333333333333,26.849937578027465,29.137328339575532,32.4,0.0
control11,11,control,bottom,7031,1.1541804188345848,0.0055705288038856784,0.08102689486552568,19.736310624377754,24.828047219456693,32.0,0.0
cold11,11,cold,land,3537,0.7756682666340559,0.04731623304493157,0.06716772151898734,27.74300254452926,31.93327678823862,18.1,0.15319324365025297
cold11,11,cold,surface,3019,1.1098957333845072,0.0027292692807949,0.11734285714285715,15.53461411063266,16.92315336204041,32.0,0.013174138587167619
cold11,11,cold,bottom,3254,0.9749143705018513,0.01026167265264238,0.08374834405084058,22.161339889366932,25.429932390903502,31.9,0.030531590344782197
