step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,6962,48.06,4.43,10.38,0.67,25.98,1.24,0.288,640,48.17,11.69,3572
5000,14,805,48.89,2.00,11.66,0.50,31.87,0.65,0.158,229,16.31,6.39,482
5000,66,474,65.20,3.65,12.49,0.01,22.91,2.63,0.692,651,49.51,24.73,402
5000,62,312,28.48,0.76,1.96,0.13,24.93,0.11,0.035,90,10.69,2.14,139
5000,87,159,68.05,8.47,14.48,0.98,36.50,4.13,0.899,2292,216.70,65.17,114
5000,344,145,62.01,4.92,26.68,0.00,15.17,5.47,0.986,2506,187.36,45.88,74
5000,2,112,53.11,7.21,18.20,2.65,11.46,3.79,0.920,1711,117.25,37.07,106
5000,321,72,43.76,12.53,7.62,0.00,12.24,3.04,0.958,2360,155.70,42.97,61
5000,76,58,29.83,0.16,7.91,0.45,14.83,0.10,0.034,753,25.00,18.44,39
5000,274,55,46.79,4.07,20.25,1.16,21.09,3.07,0.673,880,72.83,11.50,46
5000,222,38,71.41,3.63,33.21,0.00,32.32,6.76,1.000,3039,406.31,61.72,34
5000,345,23,106.34,0.00,11.35,0.00,94.91,0.00,0.000,689,73.58,15.35,16
5000,176,21,41.69,0.43,0.00,11.52,31.81,0.00,0.000,1601,87.04,32.88,16
5000,425,15,73.54,14.80,10.87,0.00,16.20,3.13,0.867,1911,86.27,9.45,12
5000,128,14,37.41,7.36,16.86,0.00,7.93,2.64,0.929,3057,190.87,14.39,12
5000,444,13,79.02,32.77,2.31,1.46,11.85,1.23,0.385,2260,108.85,16.52,13
5000,452,6,29.70,1.67,0.00,0.00,20.17,0.00,0.000,2243,95.96,25.63,6
5000,93,5,75.51,0.00,0.00,0.00,60.40,0.00,0.000,2965,89.11,150.62,2
5000,63,5,76.85,10.00,0.00,2.80,45.60,0.00,0.000,4300,240.61,70.93,5
6000,1,5909,52.65,4.90,10.62,0.77,28.41,1.29,0.297,829,55.45,14.82,3485
6000,66,1066,67.31,3.51,11.93,0.06,26.32,1.99,0.548,525,35.83,20.00,850
6000,87,151,57.69,6.74,12.00,0.60,32.14,3.14,0.695,2358,188.60,51.72,123
6000,344,125,58.14,4.51,25.36,0.00,14.13,5.07,0.952,3208,204.98,51.28,96
6000,479,112,94.97,16.71,6.78,0.16,33.38,2.99,0.938,3254,290.68,100.18,71
6000,2,102,48.01,7.81,15.39,1.98,9.41,3.52,0.863,2127,127.99,45.98,97
6000,321,86,40.94,12.22,6.92,0.00,10.45,2.79,0.919,2405,136.73,37.09,74
6000,76,79,35.64,0.14,8.78,0.00,17.91,0.08,0.025,634,25.68,11.68,45
6000,477,77,77.97,23.09,6.49,0.44,27.57,2.94,0.870,3355,276.84,68.08,65
6000,473,68,37.28,0.00,11.06,7.71,22.13,0.00,0.000,650,39.30,8.10,35
6000,274,42,48.30,6.05,13.98,0.71,24.02,2.43,0.524,1308,102.10,23.40,37
6000,222,40,65.79,3.40,30.10,0.00,29.93,6.40,0.975,3617,393.40,66.02,40
6000,491,38,76.06,25.50,23.39,0.00,17.11,4.74,1.000,3456,292.99,16.93,31
6000,452,29,23.77,0.69,0.00,0.00,17.93,0.00,0.000,716,26.07,13.51,15
6000,478,25,49.74,5.80,8.72,5.16,19.04,3.40,0.800,3029,191.63,47.19,25
6000,176,24,43.05,0.38,0.08,7.04,35.71,0.00,0.000,1521,88.61,29.06,18
6000,425,13,74.15,15.69,11.00,0.00,14.54,3.23,0.923,2977,124.29,17.13,13
6000,62,13,30.34,0.92,7.38,0.31,13.38,0.46,0.231,877,21.01,23.19,13
6000,128,12,31.73,6.33,14.42,0.00,6.42,2.33,0.833,3977,217.37,23.33,12
6000,474,11,20.64,0.00,0.00,0.00,16.73,0.00,0.000,1349,36.40,23.27,9
6000,488,9,100.45,24.44,33.89,0.00,15.67,4.00,0.889,4512,298.91,35.32,9
6000,498,9,43.30,1.22,34.78,0.00,12.33,4.33,1.000,3616,225.83,12.43,9
6000,93,8,75.39,1.38,0.00,0.00,58.25,0.00,0.000,1784,71.04,56.90,3
6000,63,8,84.24,9.25,0.00,1.38,55.25,0.00,0.000,2986,168.51,54.72,6
6000,345,7,108.28,0.00,41.43,0.00,61.00,0.00,0.000,1601,134.16,17.73,7
6000,472,6,13.74,0.00,0.00,0.00,11.17,0.00,0.000,1239,32.24,18.98,4
6000,444,5,79.00,31.80,3.00,1.60,13.00,1.60,0.600,3943,186.73,24.79,5
7000,1,7710,49.82,3.13,8.71,0.58,30.30,0.92,0.215,609,40.41,11.57,3853
7000,66,1014,63.63,3.48,13.19,0.08,21.45,2.27,0.602,575,35.92,22.29,883
7000,478,179,57.79,2.89,11.88,0.94,33.13,0.30,0.078,416,43.08,17.58,142
7000,87,169,55.15,5.74,7.54,0.73,36.96,1.57,0.379,1322,104.76,24.79,136
7000,2,120,46.73,7.31,16.12,0.94,8.99,2.78,0.708,1460,80.97,35.21,112
7000,479,99,93.74,16.87,6.63,0.11,32.24,3.00,0.970,4042,311.00,100.05,83
7000,344,84,54.55,5.06,22.96,0.00,12.46,4.86,0.964,3959,228.42,58.40,75
7000,506,79,24.72,0.28,0.00,0.00,24.80,0.00,0.000,267,16.47,6.69,33
7000,76,65,43.59,0.55,9.57,1.74,23.08,0.29,0.077,397,15.65,11.40,46
7000,321,59,39.35,11.86,6.24,0.00,9.95,2.66,0.915,2597,137.15,34.93,55
7000,473,43,36.79,0.14,10.30,8.23,22.21,0.05,0.023,539,36.41,3.13,18
7000,222,37,58.38,2.76,26.86,0.00,26.78,5.49,0.865,4346,411.78,77.55,37
7000,274,37,49.64,4.14,19.46,0.70,23.73,2.97,0.676,800,60.01,18.10,32
7000,491,35,71.30,24.69,20.86,0.00,15.51,4.29,0.943,4360,321.12,22.34,34
7000,63,32,62.25,8.38,0.44,4.84,43.78,0.00,0.000,747,53.79,14.09,20
