step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea
1000,11332,9096,117200,734817,702957,608066,9551,51884,1417,0,205951,4138099,182131.578,65924.673,0.2077,63251.656,0.237,0.240,0.300,0.223,0.645,0.327,539,0.0176,0.6752,0.103,15.4,50.2,95.1,49.31,4.07,5.48,3.19,36.57,8.06,1.047,0.102,0.055,0.056,26.241,0.681,0.0023,143,451,1896,8661,52,0,0.000,5681,3611,2810,4911,820,3833,6679,0.00,0.49,13096,35.4938,65977,9582,540390,3106.4,-0.0,464236,55.642,2631075.518,1.35e-14,0.00093,30.00,217987,85.795,1.484,83.476,0.835,85.796,9110,683,1539,0.4095,0.847,1.032,1.264,1.042,0.914,1.140,37338.123,11570.193,174896.011,37968.574,32518.649,1532.967,797.755,342.296,0.708,0.570,0.525,0.882,0.740,0.649,7228,51679,0.7058,0.6255,0.5435,0.9999,0.0557,0.0520,0.5295,0.7534,0.7336,0.0927,0.0398,0.0244,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17244,0.9999,0.7660,0.6849,0.9992,0.0557,0.0520,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1596,5.1085,5.1313,0.1238,0.2287,0.1944,0.432,0.480,0.517,0.387,7908,0.1666,0.0097,0.0127,0.00237,0.00165,0.00146,23.30,28.31,28.47,750.4067,0.0163,69.5743,33.9471,21.6945,1078930,1531753,0.6745,0.0070
2000,10529,3286,36113,88239,83357,51493,633,13262,741,0,125421,1196528,31490.124,11901.870,0.2917,9615.488,0.214,0.328,0.275,0.184,0.568,0.352,333,0.0195,0.6196,0.085,15.5,45.0,84.8,43.63,3.58,6.87,1.88,31.29,8.06,1.043,0.139,0.140,0.143,14.070,0.387,0.0023,140,1158,1089,5461,30,0,0.000,4613,1165,3050,6314,478,1057,8994,0.00,2.53,14504,14.8619,61855,14270,505550,2815.7,-0.0,526624,20.087,2631075.518,1.91e-14,0.00068,25.34,25808,18.829,1.486,16.951,0.392,18.829,3375,2784,4370,0.3885,0.893,1.026,1.223,1.058,0.929,1.105,11453.444,8882.283,14919.626,11440.395,14745.592,1547.793,452.768,285.821,0.563,0.576,0.565,0.678,0.563,0.545,18835,15916,0.6761,0.5667,0.5277,0.9998,0.0627,0.0652,0.4867,0.8523,0.8018,0.1609,0.0317,0.0252,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,5581,0.9998,0.7574,0.7175,0.9991,0.0627,0.0652,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1922,5.2549,5.2678,0.0682,0.1665,0.1501,0.355,0.220,0.322,0.269,1416,0.0981,0.0026,0.0017,0.00231,0.00082,0.00060,27.20,26.89,26.84,4240.9196,0.0263,26.3316,14.2022,5.8850,1091016,1528524,1.4547,0.0571
3000,10693,4566,61514,195666,188706,132720,1432,18832,1221,0,191853,1978092,57867.556,24821.912,0.2649,21645.579,0.218,0.358,0.274,0.150,0.610,0.313,368,0.0277,0.6365,0.086,15.7,44.8,85.4,41.85,4.55,8.37,1.28,27.65,7.97,1.063,0.159,0.280,0.287,19.423,0.367,0.0023,107,394,1391,9156,138,0,0.000,5011,54,1854,8785,243,1335,9115,0.00,2.89,14067,16.3866,48013,11826,467380,2549.9,-0.0,573464,17.837,2631075.518,1.91e-14,0.00240,14.43,58238,27.637,1.489,25.775,0.373,27.637,4537,2066,4090,0.3237,0.903,1.043,1.229,1.088,0.926,1.105,16193.181,18064.372,31486.829,16109.624,31916.681,1694.526,540.631,941.177,0.653,0.584,0.594,0.776,0.616,0.651,16386,30288,0.7558,0.4639,0.4095,0.9993,0.0453,0.0478,0.4760,0.8113,0.9057,0.1767,0.0381,0.0240,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,10022,0.9994,0.7094,0.7613,0.9988,0.0453,0.0478,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2087,5.2287,5.2466,0.0839,0.1190,0.1043,0.231,0.143,0.295,0.098,987,0.0735,0.0015,0.0013,0.00224,0.00129,0.00106,23.51,26.79,27.36,13887.9802,0.0313,48.4356,6.7766,11.0608,1088004,1527658,2.1059,0.1103
4000,10718,4982,46516,130828,123854,83415,897,14187,998,3,173056,2432430,46366.808,17158.298,0.2812,14117.283,0.165,0.517,0.193,0.126,0.636,0.282,514,0.0350,0.6185,0.093,18.3,49.0,86.4,43.80,5.03,9.94,1.18,27.66,7.97,1.095,0.200,0.337,0.351,26.968,0.371,0.0021,96,404,1923,11146,230,0,0.000,5560,69,2307,8342,272,1478,8968,0.00,3.92,15586,17.6357,35043,13281,437329,2650.4,0.0,613763,14.339,2631075.518,1.63e-14,0.00788,37.93,40612,22.357,1.491,20.541,0.325,22.358,4883,2167,3668,0.3107,0.911,1.062,1.339,1.138,0.924,1.138,12698.187,12226.458,28313.976,12597.345,19572.771,1592.786,622.701,825.527,0.725,0.581,0.590,0.758,0.560,0.570,19630,26550,0.7518,0.3724,0.4224,0.9990,0.0504,0.0639,0.4842,0.8033,0.8300,0.1881,0.0341,0.0291,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,3890,0.9993,0.7545,0.7879,0.9988,0.0504,0.0640,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2079,5.1404,5.2091,0.1021,0.1085,0.0936,0.207,0.095,0.271,0.099,863,0.0514,0.0036,0.0027,0.00211,0.00079,0.00070,27.43,26.73,26.19,13088.7631,0.0366,32.5890,6.1551,8.1842,1083817,1526697,2.3833,0.1313
5000,11105,5056,51477,118181,109621,66052,652,14837,1196,11,231573,2775993,44557.396,16157.556,0.2555,12459.429,0.163,0.568,0.149,0.120,0.624,0.276,1257,0.0490,0.6093,0.073,18.7,46.5,84.3,41.99,4.79,10.49,0.98,25.74,7.91,1.086,0.217,0.342,0.358,27.853,0.433,0.0021,97,388,3053,16151,467,19,0.629,6316,103,2285,8717,519,1876,8710,0.00,5.16,18518,19.7676,27509,13045,411243,2622.5,-0.0,647247,17.260,2631075.518,2.71e-14,0.00039,12.68,36458,23.398,1.494,21.561,0.342,23.398,5520,2422,3163,0.3612,0.917,1.050,1.292,1.121,0.942,1.136,14518.158,14133.330,20699.370,14408.378,21909.076,1746.247,1131.092,820.789,0.727,0.545,0.584,0.669,0.479,0.551,21356,27131,0.6849,0.2952,0.3665,0.9996,0.0478,0.0631,0.5166,0.9005,0.8607,0.1759,0.0233,0.0306,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,7184,0.9993,0.8096,0.7899,0.9992,0.0478,0.0631,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2168,5.1192,5.2308,0.1052,0.1053,0.0900,0.183,0.079,0.243,0.070,731,0.0398,0.0035,0.0023,0.00226,0.00100,0.00080,26.64,26.49,26.34,7630.8349,0.0432,36.7513,8.2561,9.0038,1084397,1525153,1.7649,0.0969
6000,9879,4972,49842,124604,117227,74146,616,15402,907,17,217955,2810141,47460.127,16689.465,0.2871,12778.851,0.164,0.587,0.144,0.106,0.635,0.281,517,0.0450,0.5956,0.077,22.0,52.7,90.4,45.44,5.06,10.66,1.11,28.61,7.93,1.126,0.202,0.363,0.390,27.566,0.436,0.0022,90,415,5160,12032,1137,28,0.602,6372,314,1502,8063,824,1893,7162,0.00,5.64,15785,21.2987,23081,13420,381177,2094.0,0.0,687829,19.098,2631075.518,1.63e-14,0.00089,23.20,38718,24.028,1.504,22.192,0.332,24.028,5872,1544,2463,0.2798,0.932,1.084,1.447,1.175,0.940,1.124,13933.761,13378.075,26930.471,13768.866,19539.642,2786.951,575.163,548.500,0.723,0.545,0.567,0.664,0.516,0.580,21861,27652,0.6451,0.3900,0.3919,0.9998,0.0506,0.0764,0.5370,0.7272,0.8391,0.1557,0.0371,0.0333,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,6279,0.9995,0.7503,0.7901,0.9996,0.0507,0.0764,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1630,5.4406,5.3446,0.1048,0.1158,0.0970,0.194,0.111,0.261,0.086,811,0.0394,0.0030,0.0032,0.00229,0.00092,0.00074,23.68,26.97,26.95,4525.5427,0.0517,33.8240,10.6637,8.4343,1087216,1524732,1.0125,0.0326
7000,11721,4717,49197,114618,106178,64810,611,13834,942,30,228240,3078873,42934.438,16949.645,0.3215,12363.016,0.127,0.653,0.138,0.083,0.634,0.284,592,0.0404,0.5962,0.073,20.3,47.8,85.0,42.42,3.66,9.25,0.82,28.70,7.81,1.140,0.191,0.280,0.308,20.210,0.379,0.0020,94,492,7380,14320,1451,29,0.661,6845,922,1509,9290,904,1798,9019,0.00,6.04,14744,21.4923,19536,14379,354552,3378.2,0.0,726017,17.605,2631075.518,7.08e-15,0.00028,24.47,35908,23.638,1.496,21.710,0.432,23.639,5789,2165,3767,0.2576,0.934,1.107,1.465,1.199,0.940,1.163,11578.841,12834.703,24449.108,11448.407,19399.940,3160.531,566.049,860.049,0.698,0.530,0.598,0.641,0.495,0.544,25370,27192,0.6115,0.3483,0.2814,0.9994,0.0541,0.0777,0.5645,0.8195,0.8324,0.1406,0.0152,0.0250,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,4355,0.9995,0.6364,0.6847,0.9992,0.0541,0.0778,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0895,5.0225,5.0999,0.0844,0.0921,0.0834,0.167,0.087,0.191,0.092,1002,0.0443,0.0029,0.0036,0.00233,0.00091,0.00074,27.75,27.35,27.45,3651.0516,0.0591,31.3385,10.6968,6.9081,1091264,1522425,0.8835,0.0164
8000,8307,3479,54156,135994,127545,80792,1046,14498,1086,30,232123,2946121,44273.380,19550.436,0.3416,14594.778,0.147,0.659,0.126,0.068,0.613,0.294,674,0.0634,0.6143,0.071,19.9,48.2,80.1,40.35,3.82,9.91,1.02,25.60,7.69,1.148,0.210,0.302,0.342,18.584,0.392,0.0022,87,436,7130,13572,1731,24,0.644,5212,507,826,6974,784,1154,6369,1.25,7.93,15665,20.8004,16960,12244,327144,2809.5,-0.0,758189,15.847,2631075.518,8.32e-15,0.00020,7.77,39785,22.112,1.492,20.364,0.255,22.112,4337,1664,2306,0.2771,0.950,1.095,1.478,1.219,0.956,1.153,13540.699,15592.185,21427.679,13404.846,24035.633,3230.277,639.392,1085.988,0.675,0.559,0.566,0.603,0.556,0.623,22454,37252,0.6445,0.2369,0.2518,0.9999,0.0451,0.0682,0.5769,0.8498,0.8108,0.1527,0.0071,0.0280,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,3683,0.9986,0.7166,0.7231,0.9990,0.0451,0.0682,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0916,5.0721,5.1289,0.0827,0.1139,0.0971,0.159,0.201,0.165,0.150,1021,0.0549,0.0027,0.0034,0.00241,0.00113,0.00099,24.43,27.50,27.34,2656.0212,0.0613,38.0119,8.3060,7.5408,1096821,1522890,1.5866,0.1102
9000,9734,3550,54043,144432,135911,89211,1178,12598,791,34,196855,2693214,44622.190,17331.575,0.3306,13263.889,0.121,0.645,0.108,0.125,0.625,0.290,420,0.0449,0.6255,0.065,18.5,45.3,76.0,38.01,3.26,8.14,0.93,25.68,7.72,1.148,0.181,0.251,0.290,14.784,0.316,0.0020,78,381,5167,11905,1468,21,0.514,5580,22,1336,8376,803,1898,7033,1.00,6.52,16847,23.7746,14343,11856,304464,3643.8,0.0,780301,13.424,2631075.518,1.01e-14,0.00307,30.68,46142,21.633,1.496,19.778,0.359,21.633,5465,1537,2732,0.2721,0.965,1.097,1.488,1.199,0.958,1.153,12215.131,15499.659,23300.390,12084.148,22501.540,2821.462,430.261,815.963,0.691,0.539,0.574,0.674,0.533,0.628,19537,33117,0.6316,0.3191,0.2840,0.9996,0.0485,0.0692,0.6000,0.8365,0.8707,0.1322,0.0093,0.0239,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,4861,0.9995,0.7501,0.7794,0.9986,0.0485,0.0692,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0339,4.8338,5.0588,0.0716,0.1057,0.0897,0.123,0.199,0.184,0.119,1215,0.0788,0.0019,0.0033,0.00234,0.00108,0.00116,26.16,27.02,27.58,2725.6076,0.0516,35.1419,7.1303,6.2941,1098173,1521758,2.8974,0.2015
10000,8972,3414,43910,98738,90232,54277,551,12836,886,32,207266,2843062,34472.429,14380.054,0.3177,10264.309,0.098,0.708,0.108,0.086,0.623,0.289,540,0.0525,0.6367,0.071,18.6,47.3,78.2,37.95,3.04,9.47,0.85,24.59,7.45,1.202,0.205,0.261,0.304,14.526,0.351,0.0022,90,451,3683,12044,1641,24,0.414,5610,30,1176,7766,171,1490,7311,1.50,6.87,21508,25.4164,12077,14920,292579,2784.1,-0.0,797008,12.774,2631075.518,2.83e-15,0.00259,11.37,31699,18.564,1.495,16.683,0.386,18.589,4391,1767,2814,0.2409,0.968,1.149,1.570,1.310,0.959,1.188,9088.445,11663.935,19042.285,8998.270,16696.183,2748.693,529.549,837.503,0.698,0.536,0.568,0.645,0.462,0.520,23695,27189,0.7278,0.3251,0.3529,0.9998,0.0398,0.0745,0.6034,0.7745,0.7868,0.1341,0.0136,0.0360,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,2655,0.9984,0.6331,0.6971,0.9982,0.0398,0.0745,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0030,5.1408,5.1735,0.0699,0.1292,0.1087,0.213,0.127,0.191,0.093,1074,0.0659,0.0019,0.0040,0.00243,0.00080,0.00101,26.90,27.64,27.74,2369.6093,0.0486,26.2753,6.8160,5.9580,1100714,1520253,3.5643,0.2094
