step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea
1000,19589,14730,130625,841515,804990,695190,15700,80481,6394,0,358750,8213613,185002.905,70588.064,0.3344,63089.441,0.218,0.321,0.250,0.211,0.669,0.295,2264,0.0254,0.7306,0.050,6.0,35.2,75.8,35.42,3.18,4.51,2.30,25.42,7.61,1.063,0.141,0.044,0.047,20.636,0.696,0.0025,172,533,2189,25920,111,0,0.000,9760,5809,5196,8584,1971,7300,10318,0.00,0.97,10695,33.1753,65819,8406,538584,1677.6,-0.0,463590,69.836,2631002.543,1.22e-14,0.00093,30.00,247104,145.377,2.236,140.160,2.981,145.377,15544,1374,2671,0.3963,0.851,1.043,1.293,1.061,0.932,1.139,37894.456,12530.639,175483.910,38459.735,34148.700,5504.601,1358.129,635.894,0.722,0.550,0.578,0.884,0.716,0.688,6487,21346,0.8755,0.6779,0.6189,0.9999,0.0553,0.0539,0.6264,0.7950,0.7934,0.1025,0.0513,0.0357,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18006,0.9999,0.6632,0.6989,0.9992,0.0553,0.0539,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0807,5.0352,5.1181,0.1335,0.1798,0.1628,0.357,0.372,0.357,0.378,8785,0.0966,0.0068,0.0082,0.00163,0.00113,0.00109,24.72,27.61,28.35,910.4205,0.0248,71.6777,44.9177,24.9185,1073270,1530427,3.9087,0.0405
2000,16027,5764,57114,127800,115746,69521,1165,29725,2609,0,274053,3282802,41087.496,18895.485,0.3200,13414.290,0.203,0.499,0.157,0.140,0.565,0.331,1357,0.0483,0.6691,0.046,11.0,37.0,81.3,37.52,3.22,7.43,1.59,25.29,7.59,1.083,0.207,0.138,0.146,13.282,0.425,0.0028,145,1131,1692,21323,61,0,0.000,8331,1692,3572,10763,940,2420,12667,0.00,5.61,9130,10.0096,61188,7752,492176,2860.0,-0.0,533291,32.098,2631002.543,7.26e-15,0.00068,25.34,39244,46.654,2.334,42.948,1.371,46.655,5827,3361,6839,0.3420,0.909,1.057,1.308,1.087,0.949,1.146,15793.079,13653.682,15112.964,15746.971,23641.850,2809.436,1353.359,1318.401,0.609,0.503,0.561,0.623,0.510,0.540,8174,15722,0.8178,0.3933,0.5309,0.9993,0.0517,0.0645,0.5417,0.7954,0.8075,0.1632,0.0361,0.0233,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,10164,0.9997,0.6248,0.6767,0.9988,0.0517,0.0645,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0768,4.9239,4.9275,0.0756,0.1431,0.1307,0.238,0.261,0.237,0.282,2456,0.0645,0.0028,0.0011,0.00182,0.00078,0.00074,27.40,27.75,27.97,4750.7219,0.0418,39.7817,22.2269,9.8706,1088620,1526221,8.4355,0.3228
3000,15450,6595,60837,153629,140373,91599,1193,26963,2837,0,332797,4411105,52227.428,21271.553,0.3028,14973.963,0.122,0.661,0.122,0.095,0.595,0.295,1504,0.0665,0.6722,0.041,11.0,39.2,82.9,38.13,4.42,9.36,1.23,23.12,7.46,1.079,0.229,0.305,0.323,17.018,0.380,0.0026,125,480,1716,22278,107,0,0.000,8798,112,2411,12927,818,3155,11477,0.00,6.64,7897,10.6296,42531,9248,454257,3026.1,-0.0,586586,22.163,2631002.543,6.37e-15,0.00210,14.43,44982,46.128,2.256,42.734,1.138,46.129,7464,3099,4887,0.3693,0.909,1.050,1.317,1.088,0.961,1.141,13143.836,12915.203,32452.795,13030.905,21717.691,2877.767,1371.084,2048.739,0.718,0.505,0.538,0.780,0.433,0.477,8235,22581,0.8553,0.3266,0.4366,0.9984,0.0374,0.0641,0.5125,0.8252,0.8883,0.1807,0.0302,0.0229,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,7937,0.9989,0.6900,0.7848,0.9976,0.0374,0.0641,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0115,5.0095,4.8970,0.0858,0.1283,0.1098,0.200,0.201,0.167,0.198,1096,0.0381,0.0030,0.0017,0.00180,0.00069,0.00085,24.49,27.04,27.52,18707.4862,0.0635,35.2873,10.6134,11.5495,1084720,1526707,11.7784,0.5844
4000,16118,6514,62237,148869,135270,85124,1508,26633,2589,5,319296,5137380,50504.438,21010.132,0.3074,14876.212,0.102,0.704,0.094,0.100,0.619,0.285,1511,0.0615,0.6697,0.038,10.1,34.6,80.6,34.91,3.83,8.68,0.99,21.41,7.58,1.100,0.234,0.276,0.293,20.072,0.413,0.0025,126,469,2439,21587,302,0,0.000,9223,63,2126,13929,465,2502,13151,0.50,7.19,7846,10.3798,28805,7615,416916,2357.0,-0.0,634886,23.106,2631002.543,1.63e-14,0.00579,37.93,44684,47.430,2.150,44.177,1.104,47.431,6499,4047,5572,0.3858,0.900,1.049,1.391,1.118,0.949,1.188,15534.678,14527.599,26163.993,15405.486,23811.170,2509.642,1305.109,2319.170,0.764,0.505,0.562,0.787,0.434,0.512,6600,24354,0.8771,0.2714,0.3438,0.9993,0.0364,0.0586,0.5281,0.8692,0.8845,0.1919,0.0259,0.0267,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,6954,0.9991,0.7385,0.8042,0.9986,0.0364,0.0587,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0681,5.0364,4.9284,0.0966,0.1151,0.0991,0.179,0.181,0.135,0.182,1034,0.0320,0.0027,0.0021,0.00170,0.00073,0.00087,27.94,27.70,28.29,13840.7055,0.0607,39.8170,11.0457,12.0600,1082785,1525205,13.0180,0.6575
5000,13299,5989,52986,112555,99623,58662,907,25061,2510,14,277250,4769411,40113.899,17562.401,0.3265,11904.967,0.078,0.749,0.088,0.085,0.609,0.289,1478,0.0753,0.6671,0.035,11.5,41.4,83.4,38.15,4.40,9.51,0.94,23.30,7.34,1.108,0.228,0.310,0.337,23.227,0.442,0.0026,129,466,3269,21414,482,28,0.554,8011,81,1853,11365,788,2529,9982,1.00,8.00,8467,12.6459,21551,9136,386449,2034.0,-0.0,674837,22.183,2631002.543,1.24e-15,0.00043,12.68,35058,41.836,2.217,38.768,0.850,41.836,6402,2700,4197,0.3595,0.917,1.057,1.402,1.111,0.963,1.195,13412.597,11341.939,19745.573,13283.893,18989.400,2515.525,1300.261,1841.648,0.752,0.499,0.540,0.670,0.434,0.488,7820,21816,0.8591,0.2987,0.3709,0.9990,0.0399,0.0622,0.5381,0.8411,0.8405,0.1813,0.0361,0.0241,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,5535,0.9992,0.7386,0.7684,0.9990,0.0399,0.0624,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1399,4.9781,4.9300,0.1038,0.1102,0.0933,0.191,0.161,0.141,0.153,869,0.0217,0.0035,0.0022,0.00178,0.00062,0.00078,27.48,27.78,28.00,7382.6879,0.0606,32.8170,11.3405,10.8424,1084290,1524990,9.2234,0.4683
6000,15094,6258,56574,122416,108897,64876,966,23434,2232,18,317789,4778469,43958.607,19808.102,0.3206,13441.152,0.098,0.739,0.100,0.063,0.613,0.286,1916,0.0641,0.6497,0.034,13.8,39.7,79.6,36.17,3.81,9.35,0.91,22.10,7.39,1.132,0.220,0.268,0.298,20.379,0.419,0.0024,131,484,4564,19446,643,34,0.394,9404,407,2224,12463,1129,2461,11504,1.50,8.30,9130,15.0006,17021,8711,353071,2383.1,-0.0,714409,22.356,2631002.543,3.86e-14,0.00087,23.20,38199,43.954,2.179,40.627,1.148,43.955,6984,3265,4845,0.3311,0.913,1.065,1.452,1.152,0.946,1.228,15287.790,14177.660,18493.973,15091.362,23814.424,3127.221,1171.047,2068.682,0.727,0.505,0.548,0.637,0.454,0.535,7677,20789,0.8729,0.3399,0.4376,0.9990,0.0413,0.0650,0.5858,0.9006,0.8617,0.1661,0.0399,0.0332,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,7487,0.9996,0.7925,0.7798,0.9990,0.0413,0.0652,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1343,4.9502,4.8796,0.0932,0.1063,0.0904,0.178,0.156,0.112,0.173,819,0.0212,0.0028,0.0021,0.00168,0.00072,0.00082,25.38,27.46,27.44,4638.1699,0.0838,39.6689,12.4445,9.9120,1086712,1522427,4.9470,0.1590
7000,14135,5938,53983,112441,97991,57613,845,24719,2874,22,364670,5071682,39958.647,20564.701,0.3401,12812.349,0.079,0.785,0.084,0.052,0.606,0.293,1306,0.0727,0.6535,0.032,14.5,39.4,81.7,35.53,3.68,10.23,0.69,20.92,7.34,1.192,0.248,0.257,0.292,20.006,0.394,0.0025,139,530,6323,21651,977,35,0.480,9490,759,1636,11740,752,2441,10942,2.75,9.78,10496,16.6466,14189,9011,322087,1968.0,-0.0,750631,22.434,2631002.543,2.80e-14,0.00059,24.47,37444,44.997,2.242,41.636,1.118,44.997,6670,2885,4580,0.3001,0.919,1.121,1.539,1.209,0.940,1.328,13331.870,13231.118,17155.608,13169.876,22445.512,3424.878,864.354,3463.121,0.702,0.500,0.560,0.614,0.445,0.510,8283,19744,0.8647,0.3024,0.4378,0.9990,0.0460,0.0636,0.6185,0.8503,0.8714,0.1736,0.0224,0.0306,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,6607,0.9991,0.7216,0.7849,0.9984,0.0461,0.0637,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1373,4.9366,4.9247,0.0901,0.0805,0.0681,0.152,0.103,0.117,0.105,976,0.0287,0.0030,0.0021,0.00177,0.00075,0.00084,27.89,27.99,28.08,2957.5995,0.0916,36.4380,12.3007,10.1333,1089858,1520963,3.9782,0.0945
8000,12839,5444,51868,104102,89149,51576,658,24477,2713,38,369645,5003460,38310.013,18908.470,0.3502,10818.036,0.067,0.820,0.073,0.041,0.591,0.302,1545,0.0853,0.6600,0.032,12.4,38.6,79.3,33.01,3.76,9.45,0.51,19.29,7.30,1.246,0.232,0.234,0.270,19.459,0.407,0.0025,141,554,8189,26139,1679,36,0.199,8590,687,1371,10781,970,1994,9875,3.00,10.54,10773,17.1348,12061,9599,298124,1961.4,-0.0,780243,21.098,2631002.543,1.24e-14,0.00052,7.77,35930,42.653,2.329,39.326,0.998,42.656,6563,2156,4120,0.2572,0.933,1.203,1.658,1.269,0.952,1.363,12383.133,12234.791,17718.101,12233.325,19176.624,3929.644,866.548,3294.241,0.670,0.527,0.530,0.596,0.433,0.473,9409,19128,0.8503,0.2977,0.3767,0.9995,0.0490,0.0712,0.6489,0.9258,0.8907,0.1754,0.0392,0.0318,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,5498,0.9990,0.7048,0.8108,0.9988,0.0490,0.0712,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2058,5.0253,4.8853,0.0925,0.0696,0.0622,0.136,0.095,0.117,0.098,1310,0.0433,0.0024,0.0025,0.00184,0.00075,0.00092,25.29,27.57,28.22,2208.4829,0.1047,32.1137,11.4841,9.6138,1092780,1520344,7.1095,0.6197
9000,12624,5035,56926,116797,103072,59014,857,21147,2255,65,300926,4670202,39964.110,19216.602,0.3530,12578.090,0.075,0.795,0.065,0.065,0.596,0.307,1265,0.0711,0.6698,0.034,12.5,36.7,78.7,32.03,3.32,8.78,0.48,19.45,7.31,1.246,0.218,0.210,0.245,17.939,0.365,0.0023,117,490,9446,21189,2563,35,0.261,7877,33,1516,11075,406,2642,9576,2.25,8.92,11426,17.8827,10547,9274,277286,2530.5,0.0,804010,17.958,2631002.543,1.01e-14,0.00188,30.68,41251,38.627,2.153,35.501,0.973,38.628,6109,2556,3959,0.2850,0.932,1.167,1.675,1.301,0.948,1.353,12719.827,13951.208,17783.871,12563.493,22194.836,3452.710,764.994,2420.807,0.673,0.540,0.532,0.610,0.425,0.498,9126,26485,0.8587,0.2774,0.3431,0.9996,0.0440,0.0616,0.6746,0.9783,0.9046,0.1816,0.0275,0.0219,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,5860,0.9988,0.8598,0.8233,0.9986,0.0440,0.0616,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2685,5.0946,5.1227,0.0899,0.0671,0.0595,0.118,0.101,0.098,0.090,1329,0.0507,0.0021,0.0027,0.00194,0.00082,0.00103,26.12,27.75,28.09,1608.9141,0.0826,35.4261,9.7831,8.1746,1095212,1519359,13.1049,1.0477
10000,12465,5197,54151,112927,99025,57694,1082,21830,2748,80,308090,4864424,36964.022,18384.056,0.3532,11583.606,0.062,0.815,0.059,0.064,0.600,0.306,1025,0.0718,0.6864,0.033,11.2,34.6,75.4,30.05,2.96,8.14,0.48,18.46,7.29,1.278,0.216,0.174,0.209,16.577,0.406,0.0024,119,479,8326,20570,3667,31,0.233,7687,42,1324,11099,606,2425,9434,2.00,8.99,11736,18.7534,9382,9847,262325,1849.9,0.0,824015,17.754,2631002.543,2.14e-14,0.00049,11.37,38843,36.709,2.133,33.708,0.867,36.768,6540,2278,3647,0.2692,0.944,1.216,1.738,1.324,0.958,1.395,11886.439,11112.573,18625.637,11719.990,18202.001,3358.475,654.284,2787.691,0.681,0.560,0.508,0.622,0.427,0.490,11505,24822,0.8427,0.2538,0.3404,0.9997,0.0392,0.0652,0.6830,1.0211,0.9612,0.1551,0.0261,0.0223,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,3608,0.9998,0.8767,0.8460,0.9984,0.0392,0.0652,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3099,5.1702,4.9755,0.0920,0.0623,0.0544,0.103,0.101,0.085,0.096,1222,0.0463,0.0013,0.0021,0.00196,0.00084,0.00104,27.12,28.02,28.23,1263.3721,0.0819,30.4871,9.4549,8.2993,1096971,1519065,16.9318,1.0003
11000,16583,5716,56656,120693,105921,62910,1127,22119,2644,89,310590,5104085,40122.645,17314.338,0.3530,10462.649,0.061,0.831,0.048,0.061,0.596,0.313,1049,0.0556,0.6900,0.033,10.8,33.7,70.0,28.76,2.19,7.42,0.56,18.59,7.04,1.293,0.202,0.130,0.154,13.369,0.368,0.0023,120,503,5741,20245,2677,34,0.524,9536,79,1908,14596,929,3015,12639,2.25,9.00,11508,19.9469,8394,12027,247714,3117.1,-0.0,843298,17.962,2631002.543,1.40e-14,0.00087,16.93,42646,38.169,2.100,34.186,1.883,38.170,7623,3588,5372,0.2688,0.945,1.229,1.754,1.399,0.957,1.368,10965.177,13765.445,19787.774,10869.088,19928.432,3734.012,597.309,2520.369,0.656,0.568,0.518,0.609,0.425,0.526,13981,23464,0.8687,0.2978,0.3357,0.9995,0.0403,0.0627,0.7077,1.0721,0.9392,0.1385,0.0148,0.0178,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,3032,0.9998,0.8256,0.7548,0.9991,0.0403,0.0627,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2998,5.2798,5.3355,0.0758,0.0726,0.0627,0.094,0.136,0.066,0.135,1190,0.0395,0.0022,0.0024,0.00185,0.00076,0.00101,23.74,28.32,28.62,1075.6531,0.0869,31.2646,10.2729,7.6892,1097861,1516427,17.2386,0.5675
12000,15207,6307,83478,176311,154593,90698,2135,33692,6236,69,505897,7132265,50972.482,27361.968,0.3481,16355.601,0.067,0.840,0.037,0.056,0.588,0.315,2189,0.0910,0.7156,0.032,10.8,34.2,73.6,28.09,2.43,8.38,0.37,16.91,7.00,1.362,0.225,0.149,0.176,14.531,0.408,0.0025,114,421,4224,35925,1423,37,0.256,9443,211,1692,13304,1428,2502,11277,2.50,10.08,11486,20.6094,7409,9210,225353,2655.8,-0.0,863227,23.237,2631002.543,4.42e-15,0.00033,31.67,64084,50.392,2.145,46.391,1.856,50.393,8190,2521,4496,0.2235,0.971,1.372,1.836,1.444,0.969,1.434,14961.137,20065.018,20916.750,14826.891,31584.442,5188.954,773.411,5044.003,0.636,0.566,0.542,0.551,0.466,0.531,8739,36792,0.8179,0.3029,0.3205,0.9995,0.0402,0.0480,0.7121,1.0360,0.9746,0.1386,0.0207,0.0193,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,6595,0.9999,0.8439,0.8510,0.9984,0.0402,0.0480,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2979,4.9433,5.1954,0.0821,0.0479,0.0431,0.070,0.077,0.066,0.058,1470,0.0352,0.0016,0.0022,0.00183,0.00087,0.00116,27.69,28.00,28.44,1090.4466,0.1191,47.1861,11.9512,11.2857,1099561,1515186,15.3807,0.1839
13000,14982,6095,61629,131076,112542,68340,1107,28527,3904,48,418917,5979879,41221.016,21358.892,0.3577,11994.574,0.057,0.844,0.043,0.057,0.585,0.316,1408,0.0781,0.6956,0.039,11.6,33.1,70.9,26.66,2.13,7.66,0.42,16.44,6.91,1.407,0.219,0.126,0.152,14.339,0.409,0.0026,132,528,3998,27263,1030,39,0.150,9303,446,2098,12438,1401,2124,11457,2.25,9.59,11041,18.8288,6508,10375,211119,2160.9,-0.0,881942,21.393,2631002.543,1.42e-15,0.00012,10.33,48827,43.986,2.061,40.059,1.865,43.987,7734,2542,4706,0.2135,0.984,1.455,1.879,1.504,0.970,1.483,12250.845,14301.849,19108.013,12096.413,22011.163,5298.272,514.301,3551.744,0.630,0.578,0.516,0.550,0.449,0.554,9181,24601,0.8598,0.3089,0.3868,0.9997,0.0451,0.0675,0.7570,1.1020,0.9326,0.1349,0.0201,0.0212,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,3248,0.9996,0.9300,0.8354,0.9988,0.0451,0.0675,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2192,5.1776,5.0833,0.0798,0.0583,0.0554,0.083,0.124,0.086,0.099,1526,0.0432,0.0026,0.0039,0.00177,0.00072,0.00102,24.80,27.60,28.18,977.6865,0.1185,34.8594,12.4175,8.9756,1102245,1512927,17.3292,0.2397
