step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land
1000,14535,12035,128908,858067,825369,712724,16435,64664,1948,0,206374,6342572,183752.618,73446.228,0.2519,70197.536,0.235,0.275,0.270,0.220,0.670,0.309,498,0.0155,0.7200,0.099,7.7,40.8,81.5,41.04,3.25,4.45,2.79,30.55,7.80,1.031,0.092,0.044,0.045,22.625,0.756,0.0022,158,510,2102,10280,45,0,0.000,7140,5027,3961,5547,994,5222,8319,0.00,0.52,10151,33.0675,66710,9651,539128,2481.1,-0.0,464898,58.892,2631002.543,1.17e-14,0.00093,30.00,250912,137.811,2.305,133.971,1.535,137.812,12011,862,1662,0.4580,0.827,1.017,1.250,1.025,0.915,1.132,37216.191,12063.440,181556.602,37826.279,34567.273,2156.088,794.578,298.026,0.724,0.575,0.555,0.890,0.723,0.666,7307,48859,0.8027,0.6292,0.5808,0.9999,0.0532,0.0554,0.6045,0.7363,0.8004,0.0868,0.0547,0.0360,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17781,0.9999,0.6616,0.7128,0.9984,0.0532,0.0554,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0805,5.0727,5.1294,0.1381,0.2050,0.1845,0.385,0.478,0.387,0.441,5097,0.0543,0.0092,0.0117,0.00118,0.00167,0.00151,26.54,26.30,27.91,53.8168,0.0171,71.5738,36.7503,22.1420,1077319,1531526,0.6901,0.0078,1746.5,53.8168,21.62
2000,10096,3212,41821,96860,90784,54131,908,21059,1216,0,151831,2033865,30790.129,13137.954,0.3035,10257.537,0.170,0.429,0.194,0.208,0.578,0.342,656,0.0344,0.6678,0.101,13.7,35.5,73.3,37.19,2.02,6.69,0.95,27.53,7.71,1.055,0.171,0.046,0.047,10.791,0.421,0.0028,159,1176,1275,10248,80,0,0.000,4773,704,2543,6849,357,1011,8728,0.00,5.67,11161,11.6000,66811,11406,499389,3228.6,0.0,528018,24.738,2631002.543,1.52e-14,0.00042,25.34,32118,31.898,2.220,29.121,0.558,31.899,2544,2722,4830,0.3728,0.879,1.032,1.259,1.074,0.928,1.116,13968.924,11164.523,8592.586,13906.610,18548.470,1713.224,740.583,426.610,0.570,0.579,0.587,0.561,0.548,0.580,14884,16290,0.6599,0.5115,0.4730,1.0000,0.0551,0.0563,0.5824,0.8616,0.9058,0.1108,0.0290,0.0271,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,6839,0.9988,0.6761,0.7487,0.9995,0.0551,0.0563,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9736,4.8578,4.8559,0.0650,0.0799,0.0668,0.139,0.157,0.145,0.139,856,0.0583,0.0037,0.0023,0.00140,0.00092,0.00083,27.97,26.98,27.32,133.2463,0.0296,32.7599,16.7502,7.9874,1094289,1528215,1.4595,0.0552,3078.6,133.2463,26.00
3000,9008,2915,53886,123442,114898,68328,1228,19915,1687,0,209712,2661776,37451.341,15273.621,0.2646,11805.801,0.092,0.606,0.198,0.104,0.567,0.325,1132,0.0710,0.6883,0.070,14.1,36.6,72.8,35.91,1.85,9.11,0.39,24.56,7.50,1.098,0.238,0.086,0.091,10.282,0.398,0.0028,108,413,1105,17549,178,0,0.000,4908,47,1760,7201,315,1655,7038,0.00,10.86,12016,14.8899,66736,11069,464196,2775.0,-0.0,562791,16.255,2631002.543,4.42e-15,0.00013,14.43,36735,30.643,2.196,28.107,0.341,30.644,3369,2040,3599,0.3452,0.906,1.062,1.405,1.124,0.953,1.156,13747.034,15012.985,12121.269,13711.756,23424.117,1112.307,1151.388,1204.124,0.579,0.524,0.591,0.549,0.517,0.591,14506,28314,0.6856,0.5900,0.4880,0.9992,0.0469,0.0578,0.6450,0.9685,0.9251,0.0787,0.0354,0.0279,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4600,0.9992,0.7709,0.8332,0.9989,0.0469,0.0578,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8897,4.9160,4.8529,0.0650,0.0473,0.0412,0.059,0.078,0.061,0.072,458,0.0284,0.0047,0.0032,0.00144,0.00088,0.00083,26.53,26.34,27.05,731.8758,0.0530,37.4196,5.1052,11.1502,1095819,1527830,1.9811,0.1105,3617.2,731.8758,22.38
4000,11378,3321,56977,118492,106047,60633,882,18882,3415,3,369032,3532462,38263.753,17571.602,0.2826,11053.045,0.067,0.756,0.099,0.077,0.575,0.307,2155,0.0775,0.6796,0.052,15.4,37.5,69.1,34.49,1.59,9.75,0.37,22.78,7.29,1.155,0.252,0.086,0.093,9.396,0.358,0.0025,104,418,1284,26187,214,0,0.000,6387,38,1750,9590,436,1596,9346,2.75,10.88,12511,14.4958,66788,11633,433531,2274.2,-0.0,595121,15.300,2631002.543,2.30e-15,0.00157,37.93,36304,35.486,2.467,32.441,0.578,35.487,3403,2758,5217,0.3208,0.944,1.071,1.508,1.210,0.965,1.220,13561.288,15412.905,13019.440,13452.954,22844.403,2253.908,1573.529,2691.120,0.614,0.531,0.572,0.545,0.452,0.544,14498,27713,0.6995,0.4038,0.3595,0.9988,0.0416,0.0695,0.6758,0.9659,0.9369,0.0736,0.0271,0.0343,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,4026,0.9992,0.8222,0.7687,0.9980,0.0417,0.0695,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9868,4.8050,4.7714,0.0581,0.0475,0.0389,0.065,0.064,0.050,0.080,568,0.0304,0.0040,0.0026,0.00126,0.00096,0.00110,27.33,27.22,28.37,1326.9235,0.0802,36.8409,6.2792,9.0205,1097744,1524556,2.0640,0.1297,3550.9,1326.9235,25.42
5000,10905,2969,55322,118656,106454,62277,1057,17350,2859,7,321868,3314179,36747.608,16402.992,0.2962,10444.475,0.062,0.782,0.075,0.081,0.559,0.318,1264,0.0812,0.6868,0.064,13.0,36.2,68.2,33.94,1.91,10.02,0.59,21.42,7.31,1.144,0.261,0.127,0.139,8.679,0.344,0.0025,96,412,1249,21900,275,10,0.389,6344,74,2160,8671,548,1581,8776,4.00,13.39,11778,14.2475,66780,14359,408071,2074.5,-0.0,626856,13.781,2631002.543,1.24e-14,0.00145,12.68,38912,35.245,2.601,32.045,0.599,35.246,3819,2672,4414,0.3539,0.881,1.065,1.530,1.182,0.954,1.226,11998.034,13999.559,14746.212,11858.726,20587.145,2444.323,1217.151,2297.043,0.593,0.528,0.552,0.584,0.458,0.539,17973,31318,0.6350,0.3990,0.3574,0.9984,0.0410,0.0694,0.6575,0.9770,0.9666,0.0927,0.0284,0.0332,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,3929,0.9996,0.7866,0.8280,0.9983,0.0413,0.0695,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0821,4.9464,4.8233,0.0567,0.0815,0.0694,0.108,0.107,0.091,0.084,332,0.0142,0.0045,0.0028,0.00138,0.00084,0.00102,28.07,27.24,27.43,1874.9732,0.0810,32.9241,5.7315,8.0499,1099369,1523727,1.4635,0.0934,3031.0,1874.9732,23.03
6000,9527,2941,59489,125822,112299,65310,1023,21328,3194,8,369720,3675112,39099.090,17066.379,0.2781,10640.892,0.070,0.786,0.086,0.058,0.558,0.316,1990,0.1057,0.6924,0.059,15.4,37.8,71.6,34.52,1.73,9.88,0.58,22.33,7.13,1.178,0.256,0.137,0.149,9.211,0.346,0.0028,96,415,1229,21445,316,10,0.363,5621,356,1529,7642,1161,1967,6399,5.50,14.32,10590,15.0020,66788,15186,381063,2926.6,-0.0,659958,15.929,2631002.543,6.37e-15,0.00042,23.20,41932,34.916,2.324,32.095,0.497,34.917,4691,1841,2995,0.3265,0.913,1.108,1.549,1.202,0.967,1.271,12244.438,15051.195,15704.681,12096.568,21938.733,2923.911,1156.618,2344.958,0.576,0.522,0.566,0.550,0.423,0.564,21790,32815,0.5508,0.3193,0.3446,0.9986,0.0407,0.0654,0.6605,1.1360,0.9235,0.0727,0.0206,0.0260,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,3188,0.9996,0.8908,0.7762,0.9985,0.0407,0.0654,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1376,4.8925,4.6723,0.0566,0.0631,0.0528,0.054,0.125,0.067,0.072,334,0.0125,0.0046,0.0030,0.00113,0.00077,0.00097,27.23,26.65,27.67,1571.8619,0.0915,34.5601,6.5814,9.3478,1100759,1522954,0.7784,0.0299,2909.7,1571.8619,19.40
7000,8360,2714,58442,138590,124763,78964,1184,19115,2600,7,331764,3769668,39976.380,17560.639,0.2896,11554.691,0.081,0.809,0.060,0.050,0.576,0.313,1666,0.1051,0.6823,0.053,15.2,38.3,71.1,33.42,1.78,10.52,0.50,20.62,7.08,1.223,0.261,0.162,0.178,9.181,0.355,0.0026,98,419,1075,20297,316,15,0.336,5153,813,1262,6285,1323,1127,5910,7.00,15.22,9225,14.0153,66859,13313,351251,2193.1,-0.0,694692,15.107,2631002.543,1.49e-14,0.00063,24.47,47018,34.830,2.241,32.151,0.439,34.831,4100,1366,2894,0.2757,0.919,1.157,1.612,1.268,0.956,1.286,12878.249,14864.423,16806.645,12725.068,21999.358,3383.269,885.350,1737.329,0.589,0.560,0.570,0.546,0.531,0.620,23011,35182,0.5800,0.3224,0.3172,0.9996,0.0427,0.0623,0.6819,0.9769,0.9498,0.0791,0.0224,0.0234,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2426,0.9997,0.8388,0.8266,0.9991,0.0427,0.0623,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2615,5.0193,4.8179,0.0551,0.0799,0.0642,0.093,0.079,0.091,0.070,279,0.0093,0.0026,0.0032,0.00118,0.00118,0.00112,28.19,26.53,27.39,1732.6074,0.0938,35.2259,7.4794,7.6279,1102723,1521961,0.6049,0.0143,2671.7,1732.6074,21.78
8000,6972,2474,47767,100147,88408,51666,714,14733,1982,5,278846,2820571,32049.570,13483.117,0.2773,8650.541,0.057,0.848,0.051,0.044,0.530,0.343,1194,0.1169,0.6711,0.044,16.9,39.0,69.3,33.82,1.74,9.34,0.33,22.41,7.10,1.210,0.236,0.160,0.173,9.464,0.378,0.0025,89,413,934,15638,291,12,0.282,4216,602,762,5608,716,883,5373,6.75,15.08,9989,13.5257,66760,14383,329435,2097.8,-0.0,721081,12.003,2631002.543,1.91e-14,0.00041,7.77,34984,29.436,2.350,26.783,0.303,29.437,2868,1440,2664,0.2953,0.919,1.144,1.600,1.266,0.954,1.288,10340.591,12273.495,13322.073,10199.316,17178.721,2552.393,750.767,1529.416,0.560,0.501,0.518,0.562,0.437,0.539,26074,30049,0.5926,0.2904,0.2907,0.9996,0.0511,0.0709,0.7026,0.9590,0.9258,0.0848,0.0297,0.0225,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2017,0.9986,0.8208,0.8100,0.9990,0.0511,0.0709,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3647,4.8213,4.9729,0.0550,0.0548,0.0482,0.075,0.059,0.081,0.042,369,0.0162,0.0038,0.0038,0.00135,0.00085,0.00089,28.13,27.36,27.71,1409.4729,0.0803,27.8873,5.8523,6.1510,1104919,1520732,1.0779,0.1048,2780.7,1409.4729,16.84
9000,9932,2722,49974,121013,110332,70346,693,13098,1786,4,257552,2870310,41306.335,14155.362,0.2588,9988.827,0.060,0.835,0.056,0.049,0.552,0.333,1114,0.0722,0.6533,0.065,15.8,41.8,70.2,36.76,1.82,8.92,0.57,25.45,7.25,1.154,0.216,0.149,0.160,9.147,0.340,0.0023,92,383,800,12496,184,16,0.441,5401,24,1565,8343,806,1350,7776,4.00,12.63,10301,14.0512,66753,10698,305076,2593.7,0.0,742231,11.288,2631002.543,1.72e-14,0.00278,30.68,42083,32.052,2.465,28.976,0.611,32.052,3533,2735,3664,0.3978,0.871,1.056,1.593,1.236,0.931,1.240,14471.088,16613.516,13896.990,14312.282,23085.889,1759.670,959.424,1447.441,0.582,0.517,0.551,0.556,0.550,0.621,22098,27329,0.5857,0.2738,0.2908,0.9995,0.0508,0.0651,0.6222,0.8183,0.9240,0.0843,0.0265,0.0252,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,4332,0.9992,0.7439,0.8035,0.9991,0.0508,0.0651,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1983,5.2273,5.1397,0.0539,0.0674,0.0599,0.086,0.083,0.094,0.085,465,0.0278,0.0027,0.0037,0.00184,0.00109,0.00106,27.68,27.83,27.45,1605.8634,0.0657,37.9342,5.0540,6.2340,1105860,1517528,1.9673,0.1916,2690.8,1605.8634,18.95
10000,8872,2348,47040,95459,85307,47703,716,14484,1862,1,237683,2821533,30935.119,12598.309,0.2793,8448.882,0.068,0.813,0.061,0.057,0.549,0.333,1098,0.0825,0.6784,0.057,12.4,35.7,68.0,31.82,1.69,9.03,0.52,20.57,7.22,1.178,0.233,0.140,0.148,8.654,0.330,0.0025,98,403,791,12658,164,16,0.173,5049,26,1270,7576,280,1240,7352,5.75,14.39,12644,14.6292,66772,12745,287094,2157.1,-0.0,759148,11.961,2631002.543,2.21e-14,0.00298,11.37,33620,28.410,2.344,25.578,0.487,28.444,2990,2101,3781,0.3449,0.929,1.072,1.591,1.246,0.962,1.245,9894.077,12808.955,11160.186,9775.375,18448.439,1692.462,806.655,1650.309,0.572,0.531,0.542,0.486,0.472,0.529,21382,28640,0.6309,0.2418,0.2665,0.9989,0.0401,0.0646,0.6754,0.9735,0.9396,0.0965,0.0333,0.0182,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,2653,0.9984,0.7828,0.7770,0.9983,0.0401,0.0646,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2005,4.8149,5.0445,0.0579,0.0564,0.0525,0.049,0.112,0.076,0.074,460,0.0348,0.0023,0.0036,0.00164,0.00091,0.00109,27.88,27.64,28.31,1506.5218,0.0661,28.6982,5.0083,6.9523,1107846,1516765,2.4197,0.1983,2718.0,1506.5218,19.36
