step,event,lineage,other,size
5000,birth,1,0,2219
5000,birth,2,0,181
5000,birth,3,0,36
5000,birth,4,0,27
5000,birth,12,0,638
5000,birth,15,0,32
5000,birth,21,0,9
5000,birth,173,0,31
5000,birth,219,0,5
5000,birth,262,0,72
6000,split,388,1,132
6000,split,391,1,165
6000,split,395,1,80
6000,split,397,1,15
6000,split,408,1,16
6000,split,412,1,393
6000,extinct,173,0,31
7000,split,439,1,42
7000,split,445,1,24
7000,split,457,386,30
7000,extinct,4,0,27
7000,extinct,15,0,32
7000,extinct,219,0,5
7000,extinct,397,0,15
8000,split,490,391,63
8000,split,492,1,82
8000,split,504,2,241
8000,split,519,440,129
8000,extinct,2,0,63
8000,extinct,445,0,24
9000,split,528,2,7
9000,split,529,504,27
9000,extinct,408,0,10
10000,split,557,504,370
10000,extinct,3,0,301
10000,extinct,21,0,75
10000,extinct,519,0,12
11000,split,603,1,219
11000,split,605,492,16
11000,split,606,504,25
11000,extinct,391,0,8
11000,extinct,439,0,42
11000,extinct,504,0,18
11000,extinct,528,0,7
12000,split,657,12,91
12000,split,661,3,1109
12000,split,667,490,374
12000,split,679,262,5
12000,extinct,529,0,12
13000,split,696,1,433
13000,split,700,388,12
13000,split,708,660,5
13000,split,725,395,76
14000,split,742,696,51
14000,split,748,395,40
14000,split,768,657,165
14000,extinct,457,0,25
14000,extinct,603,0,10
14000,extinct,708,0,5
15000,split,782,657,900
15000,split,801,606,63
15000,extinct,679,0,5
15000,merge,696,605,1229
16000,split,839,492,28
16000,split,856,667,132
16000,split,870,667,11
16000,extinct,557,0,7
16000,extinct,606,0,19
16000,extinct,657,0,14
16000,extinct,667,0,10
17000,split,917,661,37
17000,split,920,492,65
17000,split,938,12,158
17000,split,939,661,86
17000,extinct,12,0,117
18000,split,800,388,41
18000,split,977,840,89
18000,split,980,661,171
18000,extinct,700,0,15
18000,extinct,748,0,31
18000,extinct,768,0,10
18000,extinct,856,0,132
19000,split,1010,1,294
19000,split,1015,412,5
19000,split,1024,839,88
19000,split,1031,936,7
19000,split,1062,388,264
19000,extinct,262,0,8
19000,extinct,388,0,162
19000,extinct,800,0,41
19000,extinct,801,0,18
19000,extinct,977,0,89
20000,split,1093,492,5
20000,split,1096,939,147
20000,split,1107,725,8
20000,split,1111,388,6
20000,split,1118,1070,50
20000,extinct,492,0,75
20000,extinct,782,0,13
20000,extinct,870,0,9
20000,extinct,938,0,158
20000,extinct,939,0,15
20000,extinct,1015,0,5
20000,extinct,1031,0,7
21000,split,1146,1093,160
21000,split,1147,938,581
21000,extinct,725,0,12
21000,extinct,917,0,25
21000,extinct,980,0,42
21000,extinct,1093,0,5
22000,split,1194,980,163
22000,split,1198,490,68
22000,split,1201,1111,6
22000,extinct,395,0,15
22000,extinct,920,0,28
22000,extinct,1111,0,6
23000,split,1279,1111,428
23000,split,1291,1111,7
23000,merge,605,839,17
23000,extinct,1024,0,13
23000,extinct,1062,0,41
23000,extinct,1107,0,5
24000,split,1348,661,87
24000,split,1410,1201,106
24000,extinct,490,0,8
25000,split,1426,1381,16
25000,extinct,1118,0,29
25000,extinct,1194,0,16
25000,extinct,1201,0,6
25000,extinct,1291,0,5
26000,split,1475,1194,46
26000,split,1493,1362,25
27000,extinct,1348,0,52
27000,extinct,1410,0,106
27000,extinct,1475,0,46
28000,split,1652,1426,237
28000,split,1656,1279,28
28000,split,1690,1426,5
28000,split,1702,412,304
28000,extinct,661,0,8
28000,extinct,1096,0,71
29000,split,1801,839,35
29000,split,1808,839,6
29000,merge,839,1,125
29000,extinct,1690,0,5
30000,split,1858,1652,1355
30000,split,1862,1147,193
30000,extinct,1010,0,12
30000,extinct,1146,0,11
30000,extinct,1426,0,17
30000,extinct,1808,0,6
31000,split,1953,1493,30
31000,extinct,412,0,30
31000,extinct,1198,0,6
31000,extinct,1493,0,7
32000,split,1989,1858,6
32000,extinct,1801,0,9
32000,extinct,1862,0,209
33000,split,1807,1652,527
33000,split,2040,1652,25
34000,split,2081,1,163
34000,split,2084,1,16
34000,split,2101,1656,505
34000,extinct,1279,0,16
34000,extinct,1989,0,6
35000,split,1996,1279,6
35000,split,2215,1279,56
35000,split,2221,1953,142
35000,extinct,1652,0,22
35000,extinct,2081,0,163
36000,split,1708,1490,118
36000,split,2105,2056,20
36000,split,2242,1147,55
36000,extinct,1656,0,13
36000,extinct,1953,0,12
36000,extinct,2084,0,16
36000,extinct,2101,0,6
37000,split,2307,1858,288
37000,extinct,2215,0,56
38000,split,2397,1858,16
38000,split,2402,2221,13
38000,split,2424,1702,7
38000,extinct,1702,0,42
38000,extinct,1996,0,14
38000,extinct,2105,0,20
38000,extinct,2221,0,11
38000,extinct,2242,0,8
39000,split,2474,1,600
39000,split,2475,1,10
39000,split,2476,1858,1196
39000,split,2480,1,159
39000,split,2484,2221,83
39000,split,2485,1,258
39000,split,2487,742,33
39000,extinct,2040,0,51
39000,extinct,2424,0,7
40000,split,2179,742,43
40000,split,2442,2307,395
40000,split,2545,2424,9
40000,split,2547,2425,37
40000,split,2574,2307,5
40000,extinct,1708,0,32
40000,extinct,1807,0,89
40000,extinct,2402,0,13
41000,split,2601,1,12
41000,split,2612,1708,16
41000,extinct,1147,0,131
41000,extinct,2545,0,9
42000,split,2656,1,47
42000,split,2659,2492,39
42000,extinct,2397,0,5
42000,extinct,2475,0,10
42000,extinct,2487,0,6
43000,split,2694,1147,332
43000,extinct,2484,0,33
43000,extinct,2485,0,18
43000,extinct,2547,0,126
43000,extinct,2574,0,5
43000,extinct,2601,0,16
43000,extinct,2612,0,101
44000,split,2748,2547,432
44000,split,2754,2547,5
44000,split,2761,2659,100
44000,extinct,2179,0,6
44000,extinct,2307,0,50
44000,extinct,2480,0,6
44000,extinct,2656,0,12
44000,extinct,2659,0,12
45000,split,2779,1,419
45000,split,2792,2307,19
45000,split,2796,2649,385
46000,split,2760,2649,13
46000,split,2877,2748,5
46000,split,2885,2718,9
46000,split,2889,2748,9
46000,split,2891,2748,5
46000,extinct,2754,0,5
47000,split,2964,2748,10
47000,split,2967,2796,286
47000,extinct,1858,0,36
47000,extinct,2442,0,7
47000,extinct,2877,0,5
47000,extinct,2891,0,5
48000,extinct,2694,0,18
48000,extinct,2761,0,151
48000,extinct,2796,0,345
48000,extinct,2885,0,8
48000,extinct,2964,0,10
49000,split,3109,2748,8
49000,extinct,2792,0,19
49000,extinct,2889,0,9
50000,split,3262,742,856
50000,split,3267,2748,441
50000,split,3271,2748,8
50000,split,3295,2885,9
50000,extinct,2967,0,7
51000,split,3323,2476,113
51000,split,3325,3109,43
51000,split,3344,2760,51
52000,split,3387,2779,34
52000,split,3392,2476,11
52000,split,3397,3325,179
52000,extinct,2748,0,5
52000,extinct,3271,0,8
52000,extinct,3325,0,43
53000,split,3294,2885,65
53000,split,3301,2476,5
53000,split,3444,1,3033
53000,split,3445,1,13
53000,split,3448,742,295
53000,extinct,3109,0,7
53000,extinct,3295,0,9
53000,extinct,3344,0,51
54000,split,3361,2967,311
54000,split,3526,3267,37
54000,split,3542,3109,11
54000,split,3543,3448,28
54000,merge,1,3444,711
54000,extinct,742,0,8
54000,extinct,3267,0,5
54000,extinct,3294,0,65
54000,extinct,3301,0,5
54000,extinct,3387,0,6
55000,split,3585,3267,98
55000,extinct,2760,0,23
56000,split,3695,3585,1304
56000,extinct,2779,0,139
56000,extinct,3392,0,8
56000,extinct,3397,0,66
56000,extinct,3445,0,15
