step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept
1000,14584,8977,155499,862705,823722,691998,15208,74357,1179,0,277368,7244690,184385.266,91166.380,1.1271,71627.644,0.222,0.327,0.235,0.215,0.685,0.272,1069,0.0368,0.7164,0.098,4.1,37.9,81.2,36.78,3.26,5.20,2.05,26.27,7.73,1.084,0.169,0.049,0.052,16.939,0.624,0.0026,134,452,1906,17290,67,0,0.000,6208,4298,4267,6019,876,4540,9168,0.00,1.06,10810,34.0392,66712,9355,538857,3550.0,-0.0,467842,57.224,2631002.543,4.07e-15,0.00093,30.00,251142,145.011,3.035,140.752,1.224,145.017,11725,866,1993,0.2949,0.875,1.055,1.325,1.083,0.938,1.149,37612.814,12368.212,182430.101,38189.328,35393.480,13862.787,3229.695,2446.254,0.746,0.573,0.551,0.858,0.706,0.657,6666,55139,0.7419,0.5268,0.5513,1.0000,0.0487,0.0528,0.6036,0.7315,0.8036,0.1016,0.0548,0.0299,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17149,0.9999,0.6901,0.7184,0.9983,0.0487,0.0528,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0592,5.2212,4.9622,0.1105,0.1673,0.1434,0.296,0.323,0.316,0.305,7295,0.1154,0.0092,0.0113,0.00179,0.00165,0.00149,26.54,27.42,27.62,70.5419,0.0361,72.7865,35.0927,22.1315,1082179,1531462,0.6859,0.0077,1730.9,70.5419,21.62,0,0,0,0,0,0,9772,19538.736,17352.842,0.9609
2000,11421,2456,58571,114125,102530,54508,1046,28588,307,1,238891,2427808,29885.692,27290.605,1.0799,11166.690,0.141,0.573,0.140,0.146,0.531,0.334,349,0.0671,0.6615,0.079,14.0,37.6,68.4,33.40,1.91,8.40,0.58,22.52,7.22,1.173,0.218,0.092,0.093,7.541,0.322,0.0040,106,898,834,8215,47,0,0.000,5313,1024,2783,7614,502,1041,9878,0.00,8.38,11155,12.1373,66814,14132,499946,2104.4,-0.0,529495,18.725,2631002.543,1.40e-14,0.00068,25.34,37186,35.591,3.172,31.804,0.615,35.595,2935,2765,5721,0.2790,0.927,1.136,1.541,1.299,0.937,1.223,11291.792,11451.669,11813.030,11277.677,17961.676,10535.517,1528.616,4059.782,0.544,0.529,0.516,0.499,0.472,0.476,15326,18775,0.6781,0.2652,0.4907,0.9998,0.0427,0.0578,0.6134,0.9101,0.9135,0.1314,0.0387,0.0218,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,6036,0.9978,0.7358,0.8069,0.9982,0.0427,0.0578,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0019,4.8385,4.7093,0.0489,0.0714,0.0610,0.110,0.104,0.094,0.106,1351,0.0788,0.0037,0.0045,0.00177,0.00070,0.00059,26.73,27.45,27.38,466.7852,0.0866,29.5032,11.7926,6.9326,1095576,1527931,1.4810,0.0580,2760.1,466.7852,26.00,0,0,0,0,0,0,6676,16123.915,14483.329,0.9613
3000,9524,2157,80128,189379,176101,107655,1596,28715,231,0,292679,3068849,46107.213,35072.567,0.9863,17031.034,0.076,0.659,0.168,0.097,0.540,0.328,306,0.0962,0.6631,0.075,19.8,41.6,65.3,32.94,2.38,9.91,0.46,20.19,6.82,1.267,0.237,0.215,0.221,6.964,0.292,0.0037,82,331,653,16827,51,0,0.000,5050,38,1741,7745,345,1765,7414,2.25,10.39,11619,14.3024,66738,12646,462305,2637.6,-0.0,566291,13.797,2631002.543,2.39e-14,0.00103,14.43,56621,37.066,2.856,33.688,0.522,37.070,3935,1424,4165,0.1800,0.975,1.267,1.625,1.312,0.924,1.342,16058.975,20453.222,14071.245,15973.210,33093.792,7559.697,1678.463,8803.372,0.514,0.577,0.543,0.472,0.605,0.597,13321,38107,0.7180,0.2548,0.3792,0.9989,0.0410,0.0470,0.6050,0.8788,0.9262,0.1316,0.0178,0.0312,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,5431,0.9992,0.7660,0.8027,0.9972,0.0410,0.0470,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0137,5.1194,4.8394,0.0400,0.0549,0.0480,0.106,0.071,0.099,0.076,1084,0.0585,0.0023,0.0033,0.00184,0.00107,0.00109,26.07,26.28,27.14,1601.1361,0.0907,49.5277,4.7810,9.0160,1097071,1527919,2.0317,0.1157,2592.9,1601.1361,22.38,0,0,0,0,0,0,8457,18041.532,16123.507,0.9491
4000,10809,3095,76747,174936,161761,96388,1801,27909,174,0,284221,3630808,44732.779,34680.632,1.0246,16480.467,0.067,0.738,0.105,0.090,0.557,0.332,265,0.0792,0.6566,0.076,18.0,42.5,70.0,33.29,2.48,8.41,0.55,21.85,7.02,1.267,0.204,0.210,0.214,8.251,0.330,0.0034,88,339,724,15636,96,0,0.000,5417,55,2330,8424,240,1410,9159,1.25,8.01,10779,13.8084,66782,12125,432706,3397.9,-0.0,599305,13.154,2631002.543,2.30e-15,0.00039,37.93,55249,37.615,2.845,34.218,0.553,37.619,3484,2254,5071,0.2345,0.958,1.244,1.693,1.305,0.950,1.381,15226.008,18634.378,15870.572,15127.799,30214.875,8642.493,2211.360,7346.312,0.522,0.546,0.587,0.511,0.548,0.585,13862,32327,0.6907,0.2880,0.3106,0.9988,0.0351,0.0503,0.5654,0.8344,0.9577,0.1608,0.0316,0.0296,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,6786,0.9989,0.6906,0.8024,0.9979,0.0351,0.0503,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2412,5.3801,4.9897,0.0505,0.0642,0.0518,0.062,0.110,0.098,0.109,878,0.0417,0.0030,0.0038,0.00183,0.00080,0.00090,28.02,26.47,27.16,2070.8994,0.0966,45.8530,4.9160,8.2383,1099146,1524175,2.1021,0.1345,2098.0,2070.8994,25.42,0,0,0,0,0,0,7388,18200.165,16280.106,0.9516
5000,9064,2232,56437,100713,90404,43436,840,22819,122,0,209810,2828757,27862.857,24096.025,1.1347,9217.060,0.053,0.806,0.080,0.060,0.519,0.362,186,0.0851,0.6591,0.065,21.4,41.4,66.3,30.99,3.13,9.97,0.33,17.56,6.65,1.328,0.238,0.312,0.316,7.039,0.294,0.0036,88,400,569,10918,70,6,0.179,4898,76,1935,7053,410,1465,7189,5.50,10.98,14343,14.8921,66738,17397,412931,1936.6,-0.0,627142,11.160,2631002.543,6.55e-15,0.00121,12.68,33165,30.322,3.067,26.797,0.457,30.329,3594,1585,3885,0.1953,0.995,1.269,1.801,1.310,0.970,1.490,9373.629,11472.656,10120.958,9307.136,17651.823,7383.922,1739.307,5755.736,0.486,0.525,0.542,0.380,0.442,0.461,22908,25800,0.6813,0.2440,0.3149,0.9991,0.0398,0.0598,0.5359,0.9647,0.9468,0.1921,0.0324,0.0309,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,3324,0.9983,0.7805,0.8234,0.9980,0.0398,0.0599,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2600,5.2440,5.1710,0.0394,0.0506,0.0429,0.039,0.071,0.067,0.081,588,0.0316,0.0054,0.0038,0.00209,0.00055,0.00075,27.25,26.20,27.39,1995.9095,0.0847,27.3404,4.0489,7.1114,1100934,1524301,1.4843,0.0975,1786.9,1995.9095,23.03,0,0,0,0,0,0,5529,14878.965,13264.806,0.9488
6000,9347,2486,73027,135438,120960,61254,1157,27434,173,0,295640,3061014,35214.599,30481.178,1.0362,11335.055,0.081,0.790,0.067,0.063,0.498,0.369,172,0.1036,0.6566,0.070,20.4,42.7,68.9,31.55,3.42,9.56,0.51,18.07,6.57,1.336,0.223,0.286,0.289,7.061,0.319,0.0038,78,341,710,11278,278,8,0.591,4985,375,1871,7101,1076,1729,6542,4.75,11.56,15321,18.0197,66750,18433,393139,2211.1,-0.0,656066,12.235,2631002.543,2.85e-14,0.00002,23.20,47706,36.821,2.962,33.289,0.570,36.824,4611,1439,3297,0.1973,0.979,1.267,1.841,1.336,0.962,1.500,11173.585,12845.376,15228.621,11083.151,20237.882,9830.436,1627.542,7688.146,0.483,0.516,0.504,0.430,0.448,0.478,32045,29915,0.6082,0.1640,0.3131,0.9994,0.0389,0.0547,0.5589,0.9359,0.9467,0.1685,0.0424,0.0311,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,4962,0.9993,0.8061,0.7525,0.9985,0.0389,0.0550,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3918,5.0533,5.1053,0.0377,0.0626,0.0505,0.090,0.082,0.078,0.108,964,0.0454,0.0045,0.0042,0.00190,0.00060,0.00086,25.51,26.27,26.91,1747.1301,0.1157,31.7536,5.6947,6.5405,1101998,1523096,0.7851,0.0313,1757.7,1747.1301,19.40,0,0,0,0,0,0,9296,19146.123,16916.831,0.9480
7000,9083,2039,62575,132232,119287,68984,673,25024,210,0,278218,2653745,32544.671,28520.466,1.0198,10786.892,0.097,0.788,0.064,0.051,0.484,0.380,251,0.0967,0.6502,0.071,14.4,39.7,68.9,29.30,2.45,9.13,0.44,17.28,6.51,1.330,0.238,0.220,0.224,6.354,0.289,0.0039,82,376,581,8639,112,10,0.223,4693,913,1268,6902,982,1168,6933,4.00,12.10,12401,16.1692,66818,21298,374212,1854.1,-0.0,690042,11.493,2631002.543,1.24e-14,0.00025,24.47,44042,29.188,2.767,25.902,0.519,29.191,3795,1821,3467,0.2396,0.979,1.267,1.884,1.355,0.971,1.492,7019.041,11411.784,20233.984,6934.712,16162.867,11001.929,1315.810,5415.834,0.467,0.520,0.487,0.595,0.425,0.477,42369,26189,0.5830,0.2201,0.2718,0.9999,0.0412,0.0627,0.5844,0.9652,0.9284,0.1398,0.0323,0.0259,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2302,0.9992,0.9079,0.8088,0.9989,0.0412,0.0628,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4567,4.9862,5.2752,0.0363,0.0448,0.0341,0.060,0.083,0.043,0.080,1178,0.0457,0.0046,0.0052,0.00197,0.00043,0.00063,27.06,26.71,27.56,1606.2918,0.1153,23.5045,6.2503,5.2430,1103867,1521804,0.6124,0.0146,1846.9,1606.2918,21.78,0,0,0,0,0,0,7936,17733.574,15751.134,0.9501
8000,8744,1758,83887,173438,157202,88117,1434,26409,337,0,312153,3092727,41889.018,31910.872,0.9456,13461.841,0.092,0.775,0.093,0.040,0.503,0.360,328,0.1143,0.6797,0.071,13.0,37.3,63.9,27.47,2.29,8.45,0.37,16.35,6.22,1.360,0.232,0.202,0.205,6.032,0.282,0.0037,66,293,496,12851,117,14,0.300,4455,571,1071,7102,737,1029,6978,6.00,13.92,14692,16.5504,66719,17695,348324,2493.6,-0.0,713153,11.098,2631002.543,5.66e-15,0.00001,7.77,63586,34.337,2.711,31.106,0.520,34.345,3114,1574,4056,0.2107,0.994,1.267,1.909,1.345,0.968,1.523,12089.998,20711.767,12787.060,12020.780,30543.019,7711.664,2063.781,8673.587,0.445,0.527,0.532,0.464,0.441,0.559,39707,41559,0.5714,0.1650,0.2148,0.9999,0.0291,0.0450,0.5811,0.9895,0.9180,0.1531,0.0388,0.0287,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,3964,0.9987,0.8896,0.8258,0.9983,0.0291,0.0450,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5396,4.8962,5.1123,0.0385,0.0445,0.0329,0.057,0.057,0.060,0.057,1008,0.0489,0.0032,0.0037,0.00203,0.00088,0.00101,26.87,27.22,27.76,1456.4726,0.1008,43.1161,4.5592,6.5392,1106190,1519919,1.0801,0.1063,2045.1,1456.4726,16.84,0,0,0,0,0,0,10949,18449.031,16212.186,0.9458
9000,10731,1724,83534,185553,171024,99736,2283,23594,257,0,290382,2920248,44071.715,30500.577,0.9666,12958.518,0.075,0.783,0.082,0.061,0.497,0.367,270,0.0869,0.6801,0.083,13.0,37.9,64.2,28.94,1.91,8.33,0.49,18.22,6.34,1.350,0.227,0.179,0.181,5.405,0.247,0.0035,62,283,418,16424,28,11,0.301,5113,32,1501,9198,441,1936,8354,7.25,14.98,16452,18.9061,66713,14964,324307,3926.3,-0.0,729489,10.111,2631002.543,3.01e-15,0.00057,30.68,62247,29.204,2.507,26.050,0.647,29.207,3887,2128,4716,0.2328,0.971,1.220,1.899,1.390,0.965,1.490,12125.322,21173.790,14924.661,12084.050,30021.522,8848.371,1545.392,7148.296,0.446,0.568,0.502,0.459,0.531,0.587,32781,44267,0.6028,0.2252,0.2595,0.9999,0.0311,0.0448,0.6071,0.9256,0.8969,0.1311,0.0152,0.0260,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2423,0.9982,0.8315,0.8028,0.9986,0.0311,0.0448,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.8668,4.9380,5.5200,0.0352,0.0411,0.0371,0.081,0.075,0.092,0.083,1018,0.0539,0.0025,0.0034,0.00208,0.00103,0.00126,27.41,27.46,28.03,1683.7803,0.0961,42.4912,4.2272,5.8840,1107392,1517875,1.9630,0.1928,2007.0,1683.7803,18.95,0,0,0,0,0,0,9988,17542.059,15396.445,0.9523
10000,7993,1741,70752,144308,129683,72850,706,25242,195,0,293372,3103218,35341.615,27568.301,0.9593,9978.418,0.071,0.830,0.062,0.037,0.508,0.355,220,0.1236,0.6986,0.060,14.2,38.2,61.8,29.10,2.64,8.68,0.24,17.54,6.08,1.330,0.229,0.254,0.258,5.889,0.282,0.0038,72,306,427,8833,44,9,0.344,4026,52,1483,6458,187,1418,6388,8.00,15.02,19284,19.1326,66732,15515,308676,3221.7,-0.0,742477,10.766,2631002.543,1.58e-14,0.00020,11.37,49886,23.095,2.288,20.410,0.397,23.097,3125,1625,3243,0.2483,0.953,1.250,1.913,1.347,0.953,1.503,10305.344,16005.663,12553.375,10206.222,22560.436,8364.629,1679.988,7545.266,0.441,0.579,0.520,0.426,0.465,0.565,30836,32938,0.6306,0.1336,0.2475,0.9995,0.0273,0.0542,0.5560,0.8681,0.8893,0.1713,0.0184,0.0297,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,4447,0.9979,0.8239,0.8122,0.9981,0.0273,0.0542,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6399,4.7253,6.1264,0.0368,0.0330,0.0288,0.044,0.046,0.037,0.053,1085,0.0708,0.0022,0.0032,0.00217,0.00071,0.00107,26.66,26.82,27.90,1713.4792,0.1016,33.1949,4.3537,6.4121,1109315,1517233,2.3832,0.1986,1964.5,1713.4792,19.36,0,0,0,0,0,0,9583,17589.883,15457.532,0.9470
