step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,2481,263.3654,172.66,48.41,-0.78,26,2.70,0.234,14.755,0.3411,22.152
1000,-60,1,2566,700.3316,339.54,1002.63,4.47,146,0.88,0.122,16.005,0.6370,29.397
1000,-60,2,2687,865.5514,381.12,5059.66,0.89,157,-3.52,0.021,19.467,0.9709,30.070
1000,-50,0,4557,634.1347,367.34,77.18,16.82,124,12.16,2.301,10.053,0.2899,43.541
1000,-50,1,2277,784.5252,321.87,982.29,13.43,225,9.99,1.750,11.233,0.5433,65.013
1000,-50,2,1864,833.6021,346.03,4342.15,11.98,196,4.09,0.757,14.962,0.8882,69.647
1000,-40,0,4874,714.0016,316.93,77.04,27.13,223,21.26,6.361,6.846,0.2773,97.362
1000,-40,1,1583,502.5175,199.05,581.90,23.98,169,19.33,5.668,7.743,0.4478,137.537
1000,-40,2,1624,739.6786,255.29,4126.62,23.23,190,11.60,3.278,11.777,0.8051,154.321
1000,-30,0,2492,509.7310,228.00,43.63,43.65,159,27.96,10.260,5.116,0.3163,209.952
1000,-30,1,2085,730.0810,282.11,829.85,31.09,233,26.07,9.456,5.898,0.4095,250.865
1000,-30,2,3600,1595.4413,545.48,12366.03,24.50,466,16.58,5.932,10.371,0.7936,284.558
1000,-20,0,1121,143.4289,74.92,16.92,67.28,12,33.62,13.969,3.966,0.2168,253.716
1000,-20,1,1320,403.3525,134.46,617.35,38.94,110,30.21,12.245,5.137,0.3588,360.538
1000,-20,2,5778,2407.7957,601.92,25253.26,30.95,792,18.95,7.526,9.994,0.8444,423.188
1000,-10,0,1599,195.2414,84.01,30.48,68.37,13,36.98,16.296,3.364,0.2223,349.084
1000,-10,1,932,247.6304,58.66,416.66,41.78,27,33.40,14.371,4.455,0.2921,435.841
1000,-10,2,5693,2457.9975,727.11,26782.00,34.03,863,20.58,8.674,9.756,0.8244,535.137
1000,0,0,1642,166.3867,114.56,26.00,74.67,11,38.88,17.533,2.976,0.1459,287.884
1000,0,1,964,276.8417,66.40,448.24,51.12,56,35.23,15.515,4.028,0.2569,453.171
1000,0,2,5761,2331.8763,605.14,27040.93,37.01,877,21.20,9.124,9.678,0.7887,561.205
1000,10,0,2825,449.5577,153.33,42.19,77.56,53,37.67,16.735,3.231,0.1724,297.553
1000,10,1,1343,436.8059,160.96,606.26,52.20,64,34.36,14.906,4.210,0.2768,425.092
1000,10,2,5277,2151.9789,635.48,20907.24,26.92,800,20.40,8.727,9.981,0.7404,487.910
1000,20,0,3260,356.6787,173.96,43.15,70.20,71,33.05,13.872,4.368,0.1382,148.229
1000,20,1,1565,518.2485,181.98,723.75,42.23,132,29.09,11.912,5.754,0.3365,316.394
1000,20,2,3620,1575.5716,485.50,11970.21,22.84,528,19.31,7.848,10.040,0.7237,382.535
1000,30,0,4677,565.2106,228.87,75.21,47.24,152,26.17,9.785,6.183,0.1839,114.143
1000,30,1,2088,769.4728,266.74,849.59,21.92,262,25.11,9.261,6.511,0.4316,243.044
1000,30,2,2509,1181.8214,333.25,7288.05,39.59,357,18.94,6.780,9.278,0.7520,283.010
1000,40,0,4962,429.7729,222.52,61.46,30.03,108,18.74,5.719,8.351,0.1796,57.087
