step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,5237,1151.5047,525.00,88.00,1.83,270,2.52,0.215,14.848,0.5008,28.032
1000,-60,1,2495,1161.4815,503.10,644.03,0.93,304,0.37,0.101,16.332,0.9432,38.508
1000,-60,2,2,0.7069,0.00,2.51,22.54,0,9.05,0.490,9.940,0.9826,61.702
1000,-50,0,7092,1479.9831,513.94,95.54,15.06,360,11.86,2.200,10.184,0.3831,52.782
1000,-50,1,1601,927.2805,291.19,498.83,14.14,299,10.58,1.967,10.966,0.7454,91.245
1000,-50,2,5,2.2600,0.10,7.80,29.42,0,12.87,1.481,8.306,0.9488,86.788
1000,-40,0,6338,1215.3772,474.15,63.06,26.41,440,21.32,6.386,6.819,0.3172,111.036
1000,-40,1,1741,898.1986,188.04,635.55,23.27,299,19.29,5.709,7.777,0.6257,185.623
1000,-40,2,2,0.7378,0.00,2.39,13.17,1,21.68,5.175,5.171,0.4576,120.834
1000,-30,0,4323,1015.9168,329.79,88.01,33.45,337,27.92,10.259,5.139,0.3251,219.547
1000,-30,1,3255,1488.0576,514.82,1520.49,29.61,501,27.20,10.104,5.560,0.4805,310.876
1000,-30,2,599,292.2327,106.04,844.86,34.76,95,28.97,11.020,4.986,0.5966,435.377
1000,-20,0,1820,469.7283,171.41,41.41,55.87,52,33.35,13.796,4.023,0.2970,341.886
1000,-20,1,2521,1194.3584,438.59,1071.13,30.03,227,32.56,13.429,4.305,0.4403,492.341
1000,-20,2,3878,2131.5467,754.83,11057.24,33.07,763,31.74,13.095,4.630,0.7286,739.804
1000,-10,0,1808,368.5999,158.68,24.36,65.26,13,36.98,16.284,3.358,0.2791,453.839
1000,-10,1,2073,984.0846,316.57,921.12,35.06,30,36.81,16.186,3.393,0.3882,669.096
1000,-10,2,4343,2196.1348,705.19,15832.52,34.84,775,34.16,14.829,4.250,0.7502,991.709
1000,0,0,1825,368.2496,194.07,31.20,72.11,9,38.85,17.518,2.984,0.2176,429.821
1000,0,1,1739,908.7881,387.12,841.79,40.68,15,38.58,17.318,3.015,0.3683,748.718
1000,0,2,4803,2631.5180,865.36,15259.30,38.05,697,35.21,15.594,4.113,0.6876,1022.555
1000,10,0,3014,804.3873,257.12,51.73,74.60,60,37.73,16.756,3.207,0.2426,419.276
1000,10,1,2709,1651.1609,608.03,1338.68,44.81,120,37.15,16.386,3.346,0.4104,699.023
1000,10,2,3722,2100.1030,467.48,9756.87,22.85,607,32.18,13.944,5.047,0.6875,819.885
