step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err
1000,7752,5188,164108,615600,586981,444426,7066,46666,1902,0,182277,3133590,154536.339,65550.350,0.9375,54869.763,0.229,0.287,0.253,0.231,0.582,0.368,790,0.0421,0.6455,0.097,26.4,57.2,108.1,53.36,5.56,7.39,2.35,38.06,7.92,1.107,0.129,0.075,0.078,21.250,0.539,0.0028,60,314,1308,8945,43,0,0.000,3798,2288,2312,3152,568,2235,4949,0.00,1.08,37375,42.5024,66311,10750,558433,2758.3,-0.0,429487,38.339,2631002.543,3.72e-15,0.00063,30.00,186400,79.764,2.367,77.005,0.392,79.768,5782,494,1476,0.3016,0.877,1.089,1.346,1.094,0.913,1.223,36506.117,12031.826,138151.061,37167.113,34087.929,5727.507,2704.685,2248.394,0.631,0.554,0.534,0.765,0.683,0.619,7915,105571,0.2770,0.6169,0.5332,0.9997,0.0447,0.0540,0.4833,0.6676,0.7988,0.1180,0.0683,0.0364,0.0000,0.7061,0.9588,0.2013,0.6741,0.9565,0.00226,16503,0.9998,0.6790,0.7049,0.9985,0.0448,0.0540,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0631,4.9914,5.0460,0.0812,0.1744,0.1469,0.311,0.325,0.313,0.309,4751,0.1851,0.0095,0.0121,0.00178,0.00168,0.00151,22.46,27.49,27.53,90.1755,0.0268,70.0322,17.3806,20.9586,1087722,1531307,0.7714,0.0148,1728.0,90.1755,21.62,0,0,0,0,0,0,4939,10680.586,9626.482,0.9792,6123.9498,3138.1511,9617.5017,17443.9835,17359.3897,724.1297,14010,1174133.4,3.41e-14
2000,14532,3152,88239,180810,165929,90546,2025,29044,323,0,272320,2690927,44633.366,32018.326,0.9353,16098.678,0.131,0.576,0.123,0.169,0.519,0.341,729,0.0616,0.6655,0.078,9.0,34.4,78.5,33.43,1.61,6.17,0.79,24.86,7.69,1.176,0.182,0.053,0.055,7.389,0.351,0.0036,64,344,702,19708,42,0,0.000,6376,880,3089,10563,664,1176,12692,0.00,5.88,34984,27.6835,66198,10020,528793,3957.4,-0.0,474474,18.188,2631002.543,3.54e-15,0.00014,25.34,63915,35.173,2.314,31.905,0.953,35.176,2797,3610,8125,0.2799,0.943,1.100,1.510,1.256,0.950,1.248,16405.987,15907.584,17538.567,16416.251,26777.226,7446.490,3002.860,5470.297,0.469,0.467,0.573,0.451,0.517,0.529,12261,32926,0.2591,0.3895,0.4666,0.9997,0.0338,0.0354,0.5296,0.9048,0.9325,0.0959,0.0304,0.0259,0.0000,0.3886,0.9300,0.2248,0.6883,0.9774,0.00246,7016,0.9982,0.7668,0.7783,0.9985,0.0338,0.0355,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9137,4.8943,4.8692,0.0493,0.0762,0.0672,0.112,0.180,0.163,0.107,1809,0.1110,0.0023,0.0023,0.00197,0.00101,0.00076,26.00,28.10,27.24,309.9737,0.0620,43.3260,9.1024,9.0854,1096490,1525191,2.6479,0.0491,2922.2,309.9737,26.00,0,0,0,0,0,0,10341,15919.648,14176.577,0.9693,2326.4855,917.9949,2844.7471,6421.2128,9334.4877,950.8965,5537,1700255.3,3.64e-14
3000,11408,2069,69621,126950,113274,55770,1559,24595,262,0,219255,2614814,33417.597,25048.402,0.9812,11603.122,0.075,0.753,0.080,0.092,0.484,0.374,489,0.0824,0.6875,0.080,10.2,32.6,71.6,29.50,1.63,7.57,0.42,19.87,7.16,1.289,0.224,0.101,0.105,6.644,0.269,0.0037,68,333,540,20743,46,0,0.000,5451,35,2495,8878,255,875,10278,1.00,9.43,36509,26.5691,65944,14407,505324,2274.5,0.0,502942,12.137,2631002.543,3.54e-16,0.00418,14.43,44918,26.772,2.317,23.880,0.575,26.775,2262,3191,5955,0.2923,0.956,1.228,1.816,1.370,0.959,1.436,11187.196,13543.246,11769.201,11171.959,22079.559,4746.562,2011.401,6687.317,0.429,0.463,0.513,0.361,0.478,0.459,15590,34824,0.3765,0.2986,0.3737,0.9983,0.0300,0.0406,0.5810,0.9077,1.0116,0.1284,0.0322,0.0225,0.0000,0.0000,0.9019,0.0619,0.6504,0.9896,0.00255,3858,0.9973,0.7404,0.8629,0.9970,0.0300,0.0407,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8135,4.6475,4.5778,0.0483,0.0590,0.0549,0.060,0.142,0.083,0.045,1116,0.0809,0.0031,0.0033,0.00208,0.00092,0.00083,22.49,27.26,27.19,1349.5478,0.0643,33.4833,4.0599,8.0768,1098911,1525222,3.1163,0.1165,2973.0,1349.5478,22.38,0,0,0,0,0,0,8090,13445.280,11865.964,0.9574,1390.4712,502.6993,2034.3012,3415.5728,4545.5684,683.2459,5547,1000475.7,4.40e-14
4000,7801,2126,73293,139390,125880,64140,1957,27596,698,1,221654,3168776,33423.210,26528.797,1.0635,11796.013,0.073,0.746,0.083,0.098,0.505,0.370,365,0.1210,0.7156,0.082,8.0,34.2,73.2,29.09,2.39,6.81,0.53,19.35,7.11,1.344,0.201,0.177,0.180,7.613,0.366,0.0036,76,334,569,23756,51,0,0.000,3778,27,1984,5790,221,1042,6538,1.50,10.12,39482,28.0133,65798,14635,490138,2541.0,-0.0,523547,13.319,2631002.543,5.49e-15,0.00193,37.93,49651,29.310,2.331,26.687,0.293,29.313,2440,1705,3656,0.2533,0.944,1.298,1.944,1.351,0.952,1.521,12901.611,12973.381,10308.867,12913.991,21996.365,4998.340,1989.919,7744.525,0.476,0.510,0.514,0.334,0.508,0.488,21732,32929,0.4102,0.3195,0.3472,0.9974,0.0368,0.0382,0.5886,0.9838,0.9898,0.1607,0.0184,0.0331,0.0000,0.8284,0.9650,0.1255,0.6824,0.9927,0.00258,3937,0.9983,0.7966,0.8396,0.9963,0.0370,0.0384,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.7580,4.6952,4.4241,0.0558,0.0485,0.0390,0.063,0.106,0.076,0.058,1397,0.1182,0.0035,0.0034,0.00196,0.00081,0.00064,26.61,26.63,26.90,1572.2660,0.0661,35.1301,4.0734,9.2458,1101005,1525020,2.9504,0.1229,2868.9,1572.2660,25.42,0,0,0,0,0,0,10342,14732.784,12691.756,0.9496,1359.6989,515.4050,2016.3214,3315.7625,4867.4066,681.5918,8033,698500.6,3.87e-14
5000,10583,2108,68085,127112,114401,57566,1461,21962,329,0,197104,2630890,32717.363,21565.107,1.0237,8954.131,0.073,0.764,0.098,0.065,0.486,0.389,261,0.0763,0.7171,0.077,10.7,31.6,73.8,28.38,1.89,6.59,0.43,19.46,7.14,1.365,0.187,0.150,0.154,6.586,0.259,0.0034,67,312,567,17796,71,11,0.356,5069,83,2699,7801,409,1590,8584,2.25,10.47,40945,29.4948,65623,17559,477029,3291.6,-0.0,543224,10.366,2631002.543,2.62e-14,0.00023,12.68,47241,25.953,2.291,23.079,0.582,25.956,3083,2114,5386,0.2183,0.963,1.364,1.815,1.360,0.941,1.534,10579.388,12922.514,12257.390,10531.177,18882.927,4797.698,1807.280,6005.998,0.466,0.514,0.483,0.433,0.455,0.472,28851,30282,0.2758,0.2722,0.3357,0.9991,0.0328,0.0402,0.6243,0.9092,1.0141,0.1349,0.0188,0.0248,0.0000,0.0000,0.7570,0.2044,0.6620,0.9662,0.00255,3010,0.9988,0.6908,0.8728,0.9976,0.0328,0.0403,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.5582,4.8767,4.0442,0.0553,0.0554,0.0508,0.072,0.093,0.100,0.092,862,0.0664,0.0040,0.0035,0.00245,0.00063,0.00062,24.95,26.03,27.21,1499.2702,0.0647,29.7654,3.3257,7.0402,1102204,1522405,2.5774,0.1225,2871.0,1499.2702,23.03,0,0,0,0,0,0,8858,12610.975,10920.422,0.9546,1357.9517,482.4090,1809.0711,2252.1055,3776.8269,552.4821,4860,737211.5,3.29e-14
6000,10380,2442,88090,179666,162478,89934,1642,25369,549,0,277831,3074457,46813.972,32086.912,1.0182,14405.999,0.074,0.749,0.116,0.062,0.489,0.381,344,0.0935,0.6914,0.094,17.9,40.5,97.3,38.72,2.83,7.33,1.07,27.49,7.51,1.311,0.183,0.179,0.184,7.871,0.263,0.0033,63,288,743,23106,69,14,0.483,5208,269,1724,8387,1352,2205,6823,2.00,9.94,33407,30.3915,65495,16993,456359,4344.3,-0.0,573593,11.812,2631002.543,3.12e-14,0.00099,23.20,68408,33.479,2.308,30.561,0.610,33.483,4934,1749,3697,0.1990,0.966,1.250,1.863,1.347,0.938,1.441,12406.088,14715.162,25578.166,12347.565,23294.241,7844.494,1959.088,7877.331,0.467,0.500,0.499,0.537,0.474,0.496,32856,43046,0.1824,0.2098,0.2486,0.9996,0.0310,0.0367,0.5370,0.8591,0.9336,0.1033,0.0236,0.0313,0.0000,0.5262,0.9415,0.1089,0.6462,0.9515,0.00250,5143,0.9989,0.6842,0.8338,0.9986,0.0311,0.0368,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.5427,4.9133,4.3532,0.0423,0.1039,0.0867,0.091,0.269,0.205,0.054,1213,0.0756,0.0032,0.0032,0.00203,0.00081,0.00088,22.49,26.99,27.18,1486.9828,0.0820,35.9624,4.3609,7.4509,1101546,1521774,1.8269,0.0703,2878.8,1486.9828,19.40,0,0,0,0,0,0,12973,17680.913,15287.366,0.9583,1940.1342,857.1672,2412.6664,2661.6944,4469.0537,559.4873,4959,655384.1,2.71e-14
7000,9781,2438,68854,136086,122958,66091,1141,21277,193,0,200031,2548626,39581.388,26747.166,1.0935,13076.425,0.078,0.763,0.071,0.088,0.482,0.390,249,0.0822,0.6411,0.076,15.4,36.6,88.8,33.35,2.62,7.48,0.56,22.70,7.36,1.339,0.206,0.171,0.176,7.501,0.291,0.0033,66,342,692,16086,120,14,0.199,4952,735,1193,7853,873,1422,7486,0.75,9.85,29368,26.5686,65442,17617,433115,3100.0,-0.0,609437,12.054,2631002.543,2.00e-14,0.00040,24.47,50845,30.360,2.311,27.510,0.539,30.364,3496,2106,4179,0.2309,0.970,1.339,1.902,1.437,0.956,1.448,9813.153,13133.562,23189.007,9696.281,19772.526,7769.785,1371.765,4529.191,0.474,0.504,0.477,0.506,0.421,0.509,37515,36902,0.2629,0.2159,0.1952,0.9996,0.0377,0.0540,0.5538,0.9626,0.9327,0.1369,0.0243,0.0276,0.0000,0.4726,0.9137,0.3139,0.6992,0.9469,0.00231,3126,0.9990,0.8801,0.8642,0.9991,0.0378,0.0540,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.4827,4.8563,4.3189,0.0442,0.0553,0.0499,0.057,0.140,0.107,0.066,1528,0.0757,0.0043,0.0043,0.00164,0.00080,0.00071,26.10,27.40,27.24,1293.9229,0.0747,29.8898,5.9889,6.0654,1104445,1519976,1.5099,0.0370,3046.4,1293.9229,21.78,0,0,0,0,0,0,6427,13670.740,12146.600,0.9569,2096.7987,999.5107,2107.5293,1822.1032,3209.4552,391.4076,4557,641087.1,5.24e-14
8000,6304,1527,73393,124768,110400,50094,1281,23043,282,0,233877,2453280,33457.016,24223.766,0.9696,10050.936,0.079,0.812,0.047,0.062,0.446,0.402,247,0.1574,0.6886,0.096,14.7,34.3,96.3,31.82,2.53,7.74,0.43,21.12,7.42,1.325,0.214,0.195,0.198,6.669,0.262,0.0038,56,302,508,18187,45,12,0.192,3117,150,753,5401,664,809,4831,5.25,15.04,31260,26.8563,65231,17784,412264,2298.2,0.0,634100,10.890,2631002.543,1.49e-14,0.00113,7.77,49207,26.857,2.319,24.295,0.243,26.860,2371,1301,2632,0.2216,0.991,1.297,1.883,1.437,0.969,1.400,9378.100,12747.155,15578.077,9301.288,18628.587,5783.565,2162.648,6226.617,0.435,0.465,0.443,0.422,0.371,0.413,39879,40789,0.3199,0.2385,0.2004,0.9994,0.0321,0.0474,0.6052,1.1118,0.9108,0.1431,0.0190,0.0277,0.0000,0.0000,0.8851,0.1277,0.6351,0.9410,0.00238,1084,0.9999,0.9740,0.8904,0.9983,0.0322,0.0475,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.3446,4.9183,4.6601,0.0418,0.0384,0.0328,0.030,0.102,0.069,0.045,1560,0.1020,0.0043,0.0047,0.00186,0.00059,0.00055,24.01,27.10,27.72,1269.0486,0.0709,28.3310,4.5539,6.3359,1107293,1519711,2.0921,0.0976,3208.1,1269.0486,16.84,0,0,0,0,0,0,10112,14172.830,12252.176,0.9596,1555.0048,627.3545,1629.7013,1665.4904,2574.5709,430.0486,4434,418067.9,6.87e-14
9000,7246,1710,63334,108389,95536,44271,784,17557,163,1,193672,2056597,30850.650,19013.221,0.9071,8033.020,0.083,0.828,0.038,0.051,0.445,0.401,163,0.1198,0.7022,0.066,16.0,33.5,71.8,29.39,1.90,7.98,0.68,18.83,6.92,1.374,0.230,0.173,0.176,6.798,0.306,0.0035,51,267,351,14216,40,12,0.154,3589,25,1323,5898,101,969,6176,2.75,12.65,37429,30.6842,65097,18933,398405,2371.4,-0.0,646123,8.647,2631002.543,1.03e-14,0.00001,30.68,43106,22.687,2.292,20.035,0.360,22.690,2208,1377,3661,0.2045,0.991,1.337,1.951,1.419,0.968,1.499,7659.806,14407.365,11790.397,7603.264,19490.010,4120.318,2077.310,4782.572,0.407,0.442,0.471,0.360,0.349,0.465,42244,35026,0.4049,0.2448,0.2787,0.9994,0.0331,0.0641,0.6191,0.9616,0.9354,0.1523,0.0046,0.0185,0.0000,0.7528,0.9488,0.1259,0.7185,0.9542,0.00239,395,0.9998,0.9349,0.8821,0.9971,0.0333,0.0642,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.3199,5.1299,4.6569,0.0441,0.0755,0.0639,0.067,0.150,0.154,0.061,1687,0.1582,0.0046,0.0047,0.00207,0.00051,0.00071,24.29,27.17,27.44,1259.2229,0.0645,27.4347,3.6872,4.9594,1109171,1517359,2.7356,0.1721,3353.7,1259.2229,18.95,0,0,0,0,0,0,7563,10980.200,9536.716,0.9582,1246.2711,427.0089,1449.2690,1434.8984,2641.3153,426.1697,4722,568308.5,9.55e-14
10000,7599,1797,72848,139871,125185,65896,1127,20333,145,0,242214,2382158,37000.985,24173.925,0.9441,9881.490,0.115,0.777,0.060,0.048,0.459,0.390,325,0.1231,0.6913,0.063,16.0,33.3,67.2,27.88,2.17,8.38,0.34,16.98,6.98,1.360,0.253,0.226,0.232,6.210,0.306,0.0034,58,284,380,16499,55,12,0.233,3923,62,1691,5846,107,1213,6279,3.75,12.12,43162,33.6936,64950,17713,385310,2640.8,-0.0,653582,10.041,2631002.543,7.26e-15,0.00153,11.37,55795,27.447,2.272,24.810,0.365,27.450,2651,1534,3414,0.2220,0.996,1.295,1.937,1.445,0.975,1.468,11185.834,16523.003,11889.395,11128.619,23864.461,5424.993,2220.682,6646.760,0.408,0.467,0.487,0.376,0.426,0.540,40728,39407,0.3592,0.1715,0.1928,0.9991,0.0318,0.0519,0.6634,1.0022,0.9544,0.1663,0.0041,0.0307,0.0000,0.0000,0.7465,0.2004,0.6819,0.9466,0.00233,961,0.9991,0.9627,0.8457,0.9969,0.0319,0.0520,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.2598,4.8413,4.5685,0.0425,0.0392,0.0341,0.030,0.078,0.067,0.028,1840,0.1505,0.0029,0.0037,0.00217,0.00071,0.00090,26.07,26.82,27.16,1457.6674,0.0745,35.3037,3.9303,6.1103,1110621,1516082,3.2507,0.1947,3292.9,1457.6674,19.36,0,0,0,0,0,0,9809,14292.434,12431.832,0.9493,1349.1638,455.4058,2037.5407,1550.0651,3050.0371,477.8539,5063,446643.9,7.37e-14
