year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,9,157428.5,102373.6,82398.2,237851.7,767208.7,1274179.4,-0.000,0.4800,0.3224,0.1976,3.577e-4,2.431e-5,5.599e-4,0.5247,59,9066,9.664,10.336,28.85,1920.1,1.78e-14,2.54e-15
2,9,134405.9,134841.4,81431.0,214051.1,752810.5,1303900.1,-0.000,0.4540,0.3375,0.2085,3.106e-4,3.036e-5,5.645e-4,0.2908,40,16230,9.445,10.555,28.85,1919.5,6.93e-15,9.12e-16
3,9,117786.4,165152.9,82511.4,204778.6,729137.7,1322073.0,-0.000,0.3780,0.4178,0.2042,2.634e-4,3.518e-5,5.655e-4,0.2237,55,5472,9.299,10.701,28.85,1922.3,3.55e-15,8.19e-16
4,9,108732.7,186055.1,81627.6,188995.3,717035.4,1338994.0,-0.000,0.3267,0.4745,0.1988,2.346e-4,3.808e-5,5.656e-4,0.2515,26,16687,9.177,10.823,28.85,1920.8,1.60e-14,8.46e-16
5,9,102849.7,199173.6,82577.9,192690.2,698454.7,1345693.9,-0.000,0.2943,0.5102,0.1955,2.140e-4,3.962e-5,5.665e-4,0.1725,42,6267,9.119,10.881,28.85,1924.2,2.03e-14,1.02e-16
6,9,99576.8,207108.8,81887.1,181376.8,695945.8,1355544.6,-0.000,0.2782,0.5292,0.1926,2.058e-4,4.059e-5,5.666e-4,0.1792,46,4900,9.050,10.950,28.86,1921.9,1.71e-14,4.57e-16
7,9,97666.7,211768.8,82601.0,188249.1,682911.0,1358243.5,-0.000,0.2655,0.5426,0.1919,1.967e-4,4.105e-5,5.673e-4,0.0935,32,5693,9.024,10.976,28.85,1925.7,1.19e-14,7.45e-17
8,9,96752.2,214608.5,82171.1,186429.6,678756.2,1362722.4,-0.000,0.2604,0.5487,0.1909,1.943e-4,4.137e-5,5.675e-4,0.1038,42,4651,8.994,11.006,28.86,1923.2,5.51e-15,6.88e-17
9,9,95584.3,216162.3,82624.5,180215.0,680537.3,1366316.7,-0.000,0.2561,0.5532,0.1907,1.916e-4,4.153e-5,5.681e-4,0.1034,38,4112,8.963,11.037,28.85,1927.6,2.49e-15,1.01e-16
10,9,95005.4,216944.3,82495.2,181065.0,676359.8,1369570.2,0.000,0.2538,0.5556,0.1906,1.897e-4,4.162e-5,5.684e-4,0.0764,45,3815,8.940,11.060,28.86,1925.2,2.49e-15,1.84e-16
11,9,94609.8,217482.5,82608.4,182050.1,672965.2,1371723.9,-0.000,0.2515,0.5576,0.1909,1.876e-4,4.164e-5,5.688e-4,0.0598,29,1499,8.923,11.077,28.85,1928.8,6.04e-15,1.76e-16
