gx,gy,land,dry,temp,predicted,region
15,0,30,0.6229,-8.56,0.0,0
16,0,64,0.8165,-9.89,0.00236,0
17,0,64,0.6852,-10.65,0.01417,0
18,0,64,0.6788,-10.23,0.01417,0
19,0,64,0.5709,-10.6,0.02325,0
20,0,64,0.4615,-10.58,0.03522,1
21,0,64,0.3525,-10.12,0.05643,1
22,0,64,0.1527,-10.54,0.05643,1
23,0,64,0.0745,-11.13,0.05643,1
24,0,64,0.069,-11.57,0.05643,1
25,0,64,0.0748,-11.68,0.05643,1
26,0,64,0.0851,-11.07,0.05643,1
27,0,64,0.072,-10.76,0.05643,1
28,0,64,0.0759,-10.69,0.05643,1
29,0,64,0.0897,-9.67,0.05643,1
30,0,5,0.0815,-8.46,0.0,0
35,0,38,0.6053,-8.9,0.01831,0
36,0,64,0.5744,-10.74,0.02325,0
37,0,64,0.4551,-11.29,0.03522,2
38,0,64,0.4303,-11.51,0.03522,2
39,0,64,0.4514,-11.12,0.03522,2
40,0,64,0.4678,-10.49,0.03522,2
41,0,64,0.4569,-9.94,0.03522,2
42,0,64,0.4053,-9.65,0.03522,2
43,0,64,0.2846,-9.81,0.05643,2
44,0,64,0.1556,-10.69,0.05643,2
45,0,64,0.091,-11.26,0.05643,2
46,0,64,0.0671,-12.42,0.05643,2
47,0,64,0.0687,-12.96,0.05643,2
48,0,64,0.0791,-12.72,0.05643,2
49,0,64,0.1237,-11.68,0.05643,2
50,0,58,0.2251,-9.36,0.05643,2
15,1,4,0.3782,-2.69,0.0,0
16,1,58,0.7244,-4.31,0.0093,0
17,1,64,0.7367,-5.32,0.0093,0
18,1,64,0.5628,-5.97,0.02325,0
19,1,64,0.4779,-6.04,0.03522,1
20,1,64,0.3739,-5.74,0.05643,1
21,1,64,0.3035,-5.53,0.05643,1
22,1,64,0.2774,-5.38,0.05643,1
23,1,64,0.1933,-6.34,0.05643,1
24,1,64,0.1403,-7.06,0.05643,1
25,1,64,0.1382,-6.86,0.05643,1
26,1,64,0.1485,-6.36,0.05643,1
27,1,64,0.13,-6.39,0.05643,1
28,1,64,0.1279,-6.2,0.05643,1
29,1,61,0.178,-4.59,0.05643,1
30,1,3,0.1026,0.17,0.0,0
34,1,17,0.4974,-1.92,0.0,0
35,1,61,0.6633,-4.28,0.01417,0
36,1,64,0.5812,-5.3,0.02325,0
