year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,6,0.2384,NaN,4.74,-1.14,33.72,30.11,8.49,221.3,215.8,0.2,0.0000,0.1332,0.7679,0.0989,4.66e-15,0.0066,0.0915,0.0113,0.0309,0.1396,0.0191,0.0033,0.0047,0.0000,0.0096,0.0314,0.0000,0.4507,0.2012,0.0000
2,8,0.1747,0.8152,5.03,0.98,34.13,30.08,8.60,269.0,246.0,6.8,0.0001,0.2088,0.4544,0.3365,1.64e-15,0.0179,0.0591,0.0313,0.0421,0.0751,0.0713,0.0041,0.0053,0.0008,0.0068,0.0344,0.0000,0.3936,0.2584,0.0000
3,9,0.1359,0.9043,5.07,2.24,34.27,30.10,8.63,304.1,274.6,17.1,0.0005,0.2122,0.3036,0.4828,8.78e-16,0.0228,0.0434,0.0421,0.0386,0.0461,0.1021,0.0037,0.0037,0.0040,0.0063,0.0351,0.0001,0.3654,0.2865,0.0000
4,9,0.1218,0.9494,5.10,3.00,34.35,30.12,8.54,322.2,289.1,24.2,0.0008,0.2066,0.2351,0.5556,3.75e-16,0.0245,0.0352,0.0484,0.0353,0.0347,0.1162,0.0037,0.0024,0.0059,0.0062,0.0347,0.0010,0.3504,0.3015,0.0000
5,9,0.1239,0.9613,5.11,3.45,34.39,30.13,8.39,332.3,297.5,27.2,0.0012,0.1993,0.2019,0.5950,4.85e-16,0.0252,0.0300,0.0523,0.0322,0.0303,0.1234,0.0038,0.0017,0.0070,0.0061,0.0315,0.0046,0.3411,0.3058,0.0050
6,9,0.1136,0.9719,5.12,3.73,34.43,30.13,8.26,338.7,302.9,28.9,0.0014,0.1926,0.1840,0.6187,1.14e-16,0.0256,0.0265,0.0550,0.0298,0.0285,0.1274,0.0038,0.0015,0.0076,0.0060,0.0293,0.0072,0.3373,0.3019,0.0128
7,9,0.1105,0.9810,5.12,3.89,34.44,30.13,8.20,342.8,306.6,30.4,0.0016,0.1876,0.1722,0.6349,6.88e-16,0.0256,0.0239,0.0571,0.0283,0.0276,0.1296,0.0037,0.0014,0.0082,0.0060,0.0284,0.0083,0.3344,0.3001,0.0175
8,10,0.1113,0.9871,5.12,3.99,34.45,30.13,8.23,345.5,308.7,31.3,0.0017,0.1841,0.1646,0.6457,3.86e-16,0.0255,0.0220,0.0589,0.0275,0.0271,0.1308,0.0035,0.0014,0.0085,0.0060,0.0281,0.0087,0.3323,0.2995,0.0202
9,10,0.1105,0.9909,5.11,4.05,34.45,30.12,8.33,347.4,309.9,31.7,0.0019,0.1816,0.1588,0.6535,2.02e-16,0.0254,0.0203,0.0609,0.0271,0.0270,0.1312,0.0033,0.0014,0.0086,0.0060,0.0279,0.0090,0.3315,0.2983,0.0221
10,9,0.1125,0.9931,5.10,4.08,34.45,30.10,8.47,348.6,310.6,32.0,0.0020,0.1801,0.1538,0.6596,3.77e-16,0.0252,0.0189,0.0629,0.0269,0.0269,0.1313,0.0032,0.0015,0.0084,0.0060,0.0278,0.0092,0.3313,0.2975,0.0231
