year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,14,78063.2,109590.4,27732.9,22388.8,896038.6,1487626.0,0.000,0.3351,0.5525,0.1124,2.719e-4,1.604e-5,2.488e-4,0.0000,0,0,10.000,10.000,21.27,217.2,0.00e0,3.39e-15
2,14,97410.6,108827.2,33990.8,49057.5,850717.4,1481436.5,-0.000,0.3834,0.4770,0.1396,2.899e-4,1.604e-5,2.827e-4,0.0002,4,14,10.000,10.000,21.27,217.2,5.51e-15,1.21e-15
3,14,112836.2,108098.0,36368.7,78448.4,806607.4,1479081.3,-0.000,0.4210,0.4347,0.1443,2.979e-4,1.605e-5,2.895e-4,0.0000,0,0,10.000,10.000,21.26,217.2,5.15e-15,2.22e-16
4,14,124856.5,107390.2,37224.6,109200.6,764533.1,1478234.9,-0.000,0.4496,0.4082,0.1422,3.024e-4,1.607e-5,2.916e-4,0.0001,1,6,10.000,10.000,21.25,217.3,2.52e-14,7.96e-16
5,14,134107.0,106708.2,37526.3,140285.2,724876.7,1477936.5,-0.000,0.4711,0.3902,0.1388,3.050e-4,1.608e-5,2.922e-4,0.0000,1,1,10.000,10.000,21.24,217.4,1.40e-14,3.30e-16
6,14,141125.5,106044.4,37637.9,170952.8,687852.1,1477827.4,-0.000,0.4871,0.3773,0.1357,3.063e-4,1.608e-5,2.925e-4,0.0000,2,3,10.000,10.000,21.23,217.5,3.38e-15,1.55e-15
7,14,146405.2,105395.3,37689.1,200686.2,653486.1,1477778.2,-0.000,0.4991,0.3677,0.1332,3.071e-4,1.609e-5,2.925e-4,0.0001,2,15,10.000,10.000,21.22,217.6,3.34e-14,6.34e-16
8,14,150351.5,104753.1,37727.2,229108.7,621754.5,1477745.0,-0.000,0.5082,0.3604,0.1314,3.077e-4,1.611e-5,2.925e-4,0.0004,4,17,10.000,10.000,21.21,217.8,7.11e-16,2.57e-16
9,14,153322.4,104148.3,37766.0,256075.0,592416.3,1477712.0,-0.000,0.5152,0.3547,0.1301,3.082e-4,1.614e-5,2.926e-4,0.0001,1,11,10.000,10.000,21.20,217.9,6.39e-15,1.02e-15
10,14,155472.3,103528.2,37811.1,281383.1,565561.3,1477684.0,-0.000,0.5205,0.3503,0.1292,3.083e-4,1.615e-5,2.926e-4,0.0006,2,67,10.000,10.000,21.19,218.0,6.57e-15,1.34e-15
11,14,157044.3,102969.8,37863.3,305224.5,540706.5,1477631.5,-0.000,0.5247,0.3467,0.1286,3.080e-4,1.614e-5,2.926e-4,0.0000,0,0,10.000,10.000,21.18,218.0,6.57e-15,7.49e-16
12,14,158090.6,102422.4,37920.7,327453.3,517978.9,1477573.9,-0.000,0.5279,0.3438,0.1282,3.074e-4,1.612e-5,2.926e-4,0.0000,3,1,10.000,10.000,21.17,218.2,8.35e-15,5.74e-16
