step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
1000,-60,0,5237,403398.6455,6087.25,89.27,1.83,0,2.52,0.215,14.848,0.5008,28.032,1502.63,41265.0207
1000,-60,1,2495,379113.2536,5667.94,643.96,0.93,0,0.37,0.101,16.332,0.9432,38.508,764.81,39402.8350
1000,-60,2,2,392.0770,5.28,2.47,22.54,0,9.05,0.490,9.940,0.9826,61.702,0.51,41.0249
1000,-50,0,7072,534782.4037,7285.53,101.81,15.14,0,11.84,2.194,10.196,0.3826,52.342,2048.94,54648.2994
1000,-50,1,1621,250756.3032,3494.94,504.12,13.80,0,10.69,1.995,10.902,0.7431,92.692,521.07,26045.7956
1000,-50,2,5,1000.6943,12.88,7.74,29.42,0,12.87,1.481,8.306,0.9488,86.788,1.21,104.7828
1000,-40,0,6238,511443.5806,5577.91,69.89,25.75,0,21.20,6.345,6.870,0.3169,109.098,1800.19,52414.6012
1000,-40,1,1838,291382.5234,3521.72,666.41,25.67,0,19.77,5.881,7.556,0.6100,187.909,610.88,30259.8933
1000,-40,2,5,974.7099,8.59,5.92,23.75,0,24.53,6.788,4.454,0.5891,246.294,1.32,101.9175
1000,-30,0,4446,459224.9177,4532.54,105.00,32.50,0,28.05,10.349,5.107,0.3241,225.054,1330.04,47336.5357
1000,-30,1,3173,513890.2415,5482.19,1442.46,30.39,0,27.04,9.996,5.602,0.4881,308.118,1090.31,53353.8662
1000,-30,2,558,105864.4352,1011.62,780.10,37.47,0,28.82,10.953,5.047,0.6041,436.461,159.29,11054.1759
1000,-20,0,1963,191805.9659,1913.71,42.68,53.24,0,33.30,13.766,4.035,0.3049,351.124,595.79,19732.4235
1000,-20,1,2444,394935.1082,4236.21,1053.58,30.61,0,32.64,13.482,4.293,0.4395,494.220,863.66,40977.9136
1000,-20,2,3812,774888.6024,7540.95,10422.56,33.14,0,31.68,13.057,4.648,0.7354,743.771,902.72,81165.9952
1000,-10,0,1734,153021.4711,1573.92,29.77,67.00,0,36.99,16.299,3.358,0.2755,446.651,549.13,15671.5292
1000,-10,1,2153,346589.5183,3813.26,948.34,34.99,0,36.81,16.180,3.394,0.3875,667.575,777.75,35941.8307
1000,-10,2,4337,904521.5572,8824.94,14465.48,34.69,0,34.16,14.826,4.249,0.7506,992.111,927.36,94865.7198
1000,0,0,1754,150484.9100,1603.42,27.68,73.52,0,38.87,17.534,2.978,0.2143,423.748,577.09,15376.3837
1000,0,1,1814,297271.1130,3398.91,896.69,40.77,0,38.57,17.314,3.023,0.3689,748.071,636.05,30857.1439
1000,0,2,4799,981089.5531,10172.73,13776.87,37.96,0,35.21,15.591,4.112,0.6867,1020.530,1093.15,102811.2685
1000,10,0,3053,260676.1271,3213.59,51.38,74.28,0,37.72,16.751,3.212,0.2438,421.958,909.12,26722.5936
1000,10,1,2791,456461.8114,5756.88,1398.45,44.96,0,37.03,16.327,3.388,0.4162,701.095,943.98,47413.7024
1000,10,2,3601,720088.3429,7987.41,8498.40,21.94,0,32.11,13.908,5.069,0.6931,823.096,874.29,75391.6751
1000,20,0,4021,251397.1714,3094.98,63.67,61.15,0,32.23,13.465,4.655,0.1966,202.695,912.97,25737.3025
1000,20,1,3366,547020.9005,6919.03,1595.66,36.60,0,32.22,13.435,4.611,0.4625,496.383,1111.08,56840.5998
1000,20,2,1058,203494.1472,2451.15,1719.79,8.08,0,29.37,12.178,5.716,0.6734,591.057,287.62,21266.3911
1000,30,0,6552,422087.4575,5133.98,79.89,37.95,0,26.29,9.826,6.108,0.2443,151.251,1568.49,43178.2276
1000,30,1,2515,402242.5153,5171.54,1062.69,40.78,0,29.43,11.184,4.803,0.5269,355.248,785.44,41827.8446
1000,30,2,207,38118.1736,436.47,224.34,71.66,0,26.69,9.609,5.572,0.6992,336.527,56.52,3981.0532
1000,40,0,6655,336808.9218,4089.88,64.38,28.35,0,19.84,6.100,7.813,0.2618,85.606,1337.35,34373.4596
1000,40,1,1295,205403.7264,2472.90,508.31,49.35,0,23.80,7.492,5.902,0.6883,225.645,378.48,21381.3816
1000,40,2,220,41003.4964,447.57,257.63,65.54,0,23.84,7.737,6.104,0.8102,274.926,56.89,4286.2429
1000,50,0,5138,108359.5946,1124.82,13.96,19.39,0,11.20,2.312,10.936,0.1882,26.657,631.22,10867.2310
1000,50,1,567,85979.7707,892.42,138.59,53.69,0,17.61,4.010,7.475,0.8436,135.741,159.92,8948.9092
1000,50,2,11,2147.2993,19.43,13.56,35.34,0,19.14,4.263,6.382,0.9458,172.595,2.54,224.8953
1000,60,0,3853,17021.3132,114.96,0.74,11.91,0,2.35,0.233,15.057,0.1138,5.121,163.60,1645.6343
1000,60,1,2,310.3589,2.30,0.32,20.07,0,9.32,0.587,10.123,0.9626,63.711,0.56,32.3182
1000,70,0,4656,4784.5527,11.22,0.13,8.42,0,-5.43,0.001,20.728,0.0813,0.899,49.90,458.8629
1000,80,0,3564,1514.5371,0.68,0.02,4.84,0,-11.91,0.000,26.913,0.0684,0.200,20.29,140.9629
2000,-60,0,5295,342.8253,4031.97,91.10,-15.57,0,-8.97,0.000,24.032,0.5271,9.971,1514.76,42.2721
2000,-60,1,2437,160.8397,3485.54,609.38,-19.23,0,-11.27,0.000,26.300,0.9589,11.700,743.33,19.9412
2000,-60,2,2,0.6914,3.79,2.39,-6.37,0,0.29,0.000,15.175,0.9955,29.038,0.49,0.0895
2000,-50,0,7100,1876.4030,6055.31,101.92,-9.12,0,0.96,0.121,15.947,0.4151,20.986,2033.61,221.9636
2000,-50,1,1594,864.4458,2825.83,492.58,-1.89,0,0.75,0.118,16.163,0.7878,36.780,499.82,103.2366
2000,-50,2,4,2.1121,8.09,6.58,-2.40,0,5.28,0.039,11.713,0.9537,43.806,0.90,0.2661
2000,-40,0,6239,2499.9092,5568.06,69.01,2.72,0,11.91,2.243,10.187,0.3660,52.913,1771.32,292.4269
2000,-40,1,1837,1526.0884,3469.97,665.06,7.44,0,11.23,2.127,10.663,0.6960,94.033,588.93,182.1109
2000,-40,2,5,4.9023,9.54,5.93,9.76,0,17.81,3.471,6.424,0.8536,231.065,1.25,0.5884
2000,-30,0,4451,2488.7016,4938.78,104.73,15.17,0,20.80,6.240,7.077,0.4031,137.006,1308.09,286.2336
2000,-30,1,3160,2816.6195,5789.88,1437.31,16.64,0,20.20,6.139,7.499,0.5863,183.323,1048.79,333.5774
2000,-30,2,566,586.6562,1141.62,793.55,21.94,0,22.82,7.335,6.527,0.7675,289.725,154.53,68.8181
2000,-20,0,1967,1114.3699,2144.96,42.91,16.33,0,28.05,10.396,5.165,0.3719,250.543,587.91,126.7841
2000,-20,1,2431,2318.7876,4593.98,1049.83,21.65,0,27.65,10.336,5.433,0.5306,349.342,838.05,265.8992
2000,-20,2,3821,3947.1986,8047.32,10498.80,32.34,0,27.33,10.222,5.622,0.8427,507.944,877.70,444.2692
2000,-10,0,1735,820.1479,1677.89,29.61,24.38,0,34.57,14.543,3.753,0.3095,382.574,544.46,91.7153
