step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
1000,-60,0,5237,1013.9586,592.44,88.85,1.83,446,2.52,0.215,14.848,0.5008,28.032,2226.52,421.4099
1000,-60,1,2495,1032.5707,678.32,643.46,0.93,257,0.37,0.101,16.332,0.9432,38.508,1345.92,346.8917
1000,-60,2,2,0.6064,0.02,2.35,22.54,0,9.05,0.490,9.940,0.9826,61.702,0.81,0.3704
1000,-50,0,7092,1389.0316,835.45,93.72,15.18,653,11.88,2.205,10.174,0.3830,52.876,3071.57,648.1305
1000,-50,1,1602,825.9847,445.83,500.15,13.61,275,10.49,1.942,11.010,0.7461,90.820,826.94,306.5999
1000,-50,2,4,2.3168,2.38,6.60,30.22,1,13.44,1.574,7.922,0.9540,89.380,1.68,0.8372
1000,-40,0,6203,1073.1859,567.77,63.96,26.06,660,21.24,6.351,6.849,0.3137,108.691,2844.63,569.6795
1000,-40,1,1874,829.9641,317.82,687.37,24.63,357,19.69,5.870,7.610,0.6151,187.889,1051.40,387.8625
1000,-40,2,4,1.7924,1.41,4.91,21.54,1,23.99,6.482,4.596,0.5400,211.334,1.92,0.6816
1000,-30,0,4594,956.9441,458.53,97.36,33.07,491,27.97,10.302,5.132,0.3298,226.370,2147.48,485.2268
1000,-30,1,3083,1227.2212,594.37,1369.53,29.44,554,27.13,10.060,5.588,0.4880,311.252,1765.01,567.7891
1000,-30,2,500,206.0194,85.77,692.30,38.30,118,28.94,10.989,4.988,0.6139,444.519,228.93,98.4951
1000,-20,0,2075,460.1363,250.95,39.58,51.17,70,33.29,13.757,4.038,0.3127,359.564,966.42,214.2314
1000,-20,1,2374,923.4903,407.55,1012.70,29.94,272,32.47,13.383,4.333,0.4438,493.033,1356.76,422.4735
1000,-20,2,3770,1889.9953,881.94,10215.58,34.06,1296,31.76,13.112,4.633,0.7357,746.904,1441.33,738.7303
1000,-10,0,1836,353.1241,289.34,25.56,64.76,27,36.95,16.266,3.367,0.2819,456.329,983.80,154.0254
1000,-10,1,2060,865.3557,532.62,903.77,35.28,46,36.84,16.205,3.386,0.3870,669.572,1220.39,334.7091
1000,-10,2,4328,2031.2667,931.52,14385.00,34.74,1377,34.15,14.822,4.252,0.7515,992.936,1448.23,776.1672
1000,0,0,1805,325.1436,246.74,24.73,72.80,11,38.84,17.515,2.987,0.2152,425.272,975.29,129.4047
1000,0,1,1791,826.5613,540.96,899.15,40.65,26,38.59,17.327,3.014,0.3734,758.740,1082.54,279.1385
1000,0,2,4771,2383.3194,1265.86,13687.69,37.91,1192,35.19,15.581,4.119,0.6881,1021.014,1761.70,834.2596
1000,10,0,3207,742.6119,349.59,60.76,70.89,69,37.67,16.706,3.212,0.2548,435.094,1748.14,287.6576
1000,10,1,2710,1414.0116,773.64,1345.55,46.98,203,37.01,16.334,3.409,0.4157,702.153,1564.67,453.2879
1000,10,2,3528,1809.9492,695.12,8307.90,21.71,1406,32.04,13.875,5.095,0.6968,825.051,1377.71,651.2784
1000,20,0,4535,832.2799,447.50,63.82,57.24,179,32.49,13.578,4.547,0.2312,250.617,1703.00,312.0502
1000,20,1,2915,1421.5085,560.34,1373.81,37.96,407,31.76,13.227,4.791,0.4574,472.624,1630.40,498.4746
1000,20,2,995,551.6372,179.74,1605.10,7.43,310,29.35,12.178,5.728,0.6811,599.953,447.36,200.8969
1000,30,0,6686,1144.5671,609.97,87.64,38.07,470,26.39,9.868,6.069,0.2513,157.506,2479.75,504.9507
1000,30,1,2369,1313.1397,725.22,995.34,40.47,379,29.36,11.151,4.834,0.5219,349.196,1218.01,435.1130
1000,30,2,219,124.9422,42.14,239.29,71.25,52,26.68,9.599,5.561,0.7016,336.889,89.33,44.7206
1000,40,0,6673,1055.5664,565.69,60.36,28.32,571,19.85,6.109,7.811,0.2615,85.979,1883.54,472.2896
1000,40,1,1279,691.9208,279.24,501.91,49.78,230,23.80,7.466,5.886,0.6959,225.736,576.16,270.2383
1000,40,2,218,119.0831,49.22,254.40,65.51,47,23.84,7.737,6.103,0.8103,274.981,80.88,46.0704
1000,50,0,5138,404.1584,284.51,13.49,19.39,306,11.20,2.312,10.936,0.1882,26.657,676.03,172.2626
1000,50,1,568,281.8309,155.99,139.13,53.60,83,17.61,4.009,7.474,0.8437,135.778,209.94,116.6983
1000,50,2,10,5.2984,2.73,12.33,38.88,4,19.26,4.322,6.355,0.9477,174.213,3.23,2.0956
1000,60,0,3853,73.8270,78.61,0.75,11.91,87,2.35,0.233,15.057,0.1138,5.121,216.72,34.3490
1000,60,1,2,0.7046,0.82,0.31,20.07,0,9.32,0.587,10.123,0.9626,63.711,0.91,0.3859
1000,70,0,4656,6.1471,12.51,0.10,8.42,3,-5.43,0.001,20.728,0.0813,0.899,104.79,6.0867
1000,80,0,3564,0.0288,0.65,0.04,4.84,0,-11.91,0.000,26.913,0.0684,0.200,41.74,0.1204
2000,-60,0,5295,60.7137,136.42,90.70,-15.57,225,-8.97,0.000,24.032,0.5271,9.971,610.04,53.7725
2000,-60,1,2437,37.0201,152.27,608.91,-19.23,128,-11.27,0.000,26.300,0.9589,11.700,530.95,28.5044
2000,-60,2,2,0.0174,0.01,2.28,-6.37,0,0.29,0.000,15.175,0.9955,29.038,0.15,0.0724
2000,-50,0,7123,401.2227,378.95,94.25,-9.07,489,1.01,0.125,15.913,0.4169,21.666,1119.58,251.6548
2000,-50,1,1571,235.7845,246.97,487.24,-1.99,167,0.52,0.103,16.322,0.7849,33.929,413.02,133.4773
2000,-50,2,4,0.5661,0.08,6.45,-2.40,1,5.28,0.039,11.713,0.9537,43.806,1.28,0.4249
2000,-40,0,6204,529.6440,391.94,63.06,2.58,643,11.93,2.242,10.164,0.3662,54.040,1364.82,354.3222
2000,-40,1,1873,350.0807,291.34,685.69,7.80,298,11.18,2.135,10.727,0.6892,89.662,613.95,261.8006
2000,-40,2,4,0.4239,0.04,4.89,7.00,1,16.99,3.132,6.712,0.8177,203.342,1.31,0.6638
2000,-30,0,4600,737.8413,542.49,97.59,14.76,481,20.73,6.209,7.103,0.4097,137.156,1337.66,380.1412
2000,-30,1,3070,749.6875,689.78,1366.19,17.49,410,20.31,6.201,7.470,0.5876,186.458,1175.83,455.2075
2000,-30,2,507,175.3953,145.85,704.72,21.58,85,22.89,7.349,6.478,0.7750,295.377,143.57,79.3323
2000,-20,0,2071,459.7683,336.62,39.37,15.99,122,27.96,10.363,5.189,0.3816,256.788,555.75,160.0951
2000,-20,1,2377,750.2041,645.87,1018.78,23.80,248,27.60,10.305,5.452,0.5377,347.736,957.61,361.3954
2000,-20,2,3771,1199.1288,933.53,10287.22,31.46,583,27.38,10.256,5.606,0.8415,510.354,904.75,560.6860
2000,-10,0,1836,488.8309,602.45,25.47,24.29,29,34.47,14.485,3.778,0.3182,389.136,861.81,147.4665
2000,-10,1,2061,930.2496,872.71,907.12,26.06,83,34.36,14.538,3.866,0.4435,573.247,922.26,294.4381
2000,-10,2,4327,1351.7599,1092.71,14461.69,40.72,628,32.25,13.420,4.592,0.8074,797.622,952.40,570.3689
2000,0,0,1805,405.1405,563.44,24.46,26.00,6,38.80,17.340,2.903,0.2190,430.387,952.77,117.7938
2000,0,1,1793,866.8738,1059.21,898.72,30.37,32,38.59,17.326,2.992,0.3754,750.081,1024.51,250.4697
2000,0,2,4769,1739.6580,1736.99,13733.08,44.52,483,35.91,15.882,3.884,0.6751,981.176,1365.60,611.3779
2000,10,0,3208,623.6765,827.41,60.30,25.60,17,40.16,18.272,2.655,0.2032,470.821,1677.91,210.3210
2000,10,1,2721,1052.2479,1408.02,1351.26,33.67,19,39.65,18.092,2.857,0.3543,783.566,1434.73,332.8904
2000,10,2,3516,1033.2616,887.11,8335.84,59.07,380,35.73,16.079,4.208,0.6160,894.704,890.73,414.3294
2000,20,0,4537,580.8991,709.24,63.51,34.10,41,38.05,17.036,3.268,0.1690,308.173,1569.62,211.1946
2000,20,1,2923,810.2063,924.40,1378.89,47.21,110,37.78,16.979,3.411,0.3584,625.788,1292.33,332.7504
2000,20,2,985,243.6247,194.93,1604.64,66.65,112,35.17,15.620,4.248,0.5482,735.865,281.34,124.9434
2000,30,0,6692,834.5316,914.45,87.68,42.79,97,35.04,14.951,3.834,0.1896,252.598,1971.53,320.9417
2000,30,1,2359,601.1313,697.51,988.52,43.16,47,37.25,16.045,3.025,0.3636,524.945,954.99,252.6481
2000,30,2,223,61.6246,59.31,244.94,19.21,10,35.18,14.618,3.403,0.5449,628.842,64.68,27.2806
2000,40,0,6669,696.6184,620.67,60.02,44.24,205,31.11,12.079,4.419,0.1952,164.611,1321.33,297.9249
2000,40,1,1278,347.7553,235.22,504.31,27.20,158,33.91,13.263,3.226,0.5243,458.677,421.46,169.1233
2000,40,2,223,59.7483,49.68,263.28,16.82,40,33.27,13.114,3.563,0.6623,587.952,55.65,30.2088
2000,50,0,5132,291.6208,250.45,13.08,41.77,65,24.99,8.038,5.644,0.1461,61.269,469.67,100.5334
2000,50,1,573,253.4311,176.41,142.83,18.66,87,29.84,10.179,3.702,0.7086,360.496,154.51,82.5191
2000,50,2,11,7.0150,2.65,13.73,26.53,8,28.47,9.094,3.678,0.9209,429.064,2.58,1.7767
2000,60,0,3853,110.2636,123.78,0.76,34.55,7,18.77,3.947,6.704,0.0913,14.815,167.68,27.6581
2000,60,1,2,2.3241,1.37,0.33,35.46,0,21.43,4.747,5.302,0.9202,167.863,0.67,0.3923
2000,70,0,4656,62.7554,74.29,0.10,26.53,0,15.11,1.227,6.292,0.0639,2.573,100.64,18.5308
2000,80,0,3564,13.7299,18.23,0.04,26.15,0,15.33,0.201,3.831,0.0540,0.033,38.17,6.6768
3000,-60,0,5356,0.9562,53.01,92.25,-15.88,10,-15.20,0.000,30.200,0.5392,5.360,389.05,0.6809
3000,-60,1,2376,0.1766,68.82,573.27,-18.05,7,-17.45,0.000,32.452,0.9640,5.559,362.97,0.1657
3000,-60,2,2,0.0023,0.01,2.18,-14.98,0,-5.04,0.000,20.042,0.9997,24.251,0.07,0.0038
