run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,kills
control 9,mixed / tooth / roams / land,grass,16836,0.14738,46.22,0.584,0.56092,0,0.41367,0,0.025414,0.49668
control 9,mixed / no tooth / stays / shore,grass,14241,0.12467,40,0.626,0.56644,0,0.0035027,0.00046317,0.4296,0.25706
control 9,mixed / tooth / stays / land,grass,9871,0.086411,57.34,0.525,0.84001,0,0.13568,0,0.024318,0.35839
control 9,mixed / no tooth / stays / bottom,litter,9640,0.084389,32,0.7,0.016515,0,9.143e-05,0,0.98339,0.19984
control 9,mixed / no tooth / roams / shore,litter,9109,0.079741,32,0.698,0.35257,0,0.0023696,0.016361,0.6287,0.42645
control 9,plant / no tooth / stays / shore,grass,8153,0.071372,42.73,0.605,0.54801,0,0.0031627,0.03373,0.4151,0.076399
control 9,plant / no tooth / roams / surface,algae,8075,0.070689,21,0.863,0.011812,0,5.6932e-06,0.9876,0.00057882,0.16523
control 9,plant / no tooth / stays / bottom,litter,7799,0.068273,32,0.704,0.013991,0,2.8048e-05,9.7624e-05,0.98588,0.083856
control 9,mixed / no tooth / roams / bottom,litter,6672,0.058407,32,0.698,0.022754,0,4.2374e-05,0,0.9772,0.37504
control 9,plant / no tooth / stays / land,grass,4403,0.038544,76.74,0.453,0.95729,0,0.0019538,0.00048105,0.040278,0.0607
control 9,flesh / no tooth / roams / shore,litter,3871,0.033887,32,0.698,0.44674,0,0.004951,0,0.54831,0.66552
control 9,mixed / tooth / roams / shore,litter,3017,0.026411,25.56,0.783,0.40455,0,0.1287,0,0.46675,0.45302
control 9,mixed / no tooth / stays / land,grass,2877,0.025185,68,0.48,0.96774,0,0.011658,0.00029334,0.020313,0.22928
control 9,mixed / tooth / stays / shore,grass,2357,0.020633,54.21,0.539,0.78421,0,0.073375,0,0.14242,0.34856
control 9,plant / no tooth / roams / shore,algae,1512,0.013236,30,0.722,0.23489,0,0.00033672,0.4193,0.34548,0.18236
control 9,plant / no tooth / roams / bottom,litter,1457,0.012755,32,0.703,0.018702,0,7.8664e-08,0,0.9813,0.15169
control 9,flesh / tooth / roams / land,grass,870,0.007616,42.095,0.612,0.49731,0,0.47406,0,0.028622,0.63977
