step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,pop_crown,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,density_crown,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,intake_crown,kills_land,kills_surface,kills_bottom,kills_crown,blocked_land,blocked_surface,blocked_bottom,blocked_crown,no_room_land,no_room_surface,no_room_bottom,no_room_crown,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,fill_crown,drinking_land,drinking_surface,drinking_bottom,drinking_crown,open_land,open_surface,open_bottom,open_crown,hard_land,hard_surface,hard_bottom,hard_crown,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,breath_crown,inhaling_land,inhaling_surface,inhaling_bottom,inhaling_crown,breed_land,breed_surface,breed_bottom,breed_crown,share_land,share_surface,share_bottom,share_crown,store_land,store_surface,store_bottom,store_crown,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,warm_crown,cool_land,cool_surface,cool_bottom,cool_crown,btemp_land,btemp_surface,btemp_bottom,btemp_crown,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_wet,seed_intake,fiber_in,fermented,dung,fiber_bodies,fruit,fruit_intake,climbs,leaf_mean,leaf_open,light_intake,leaf_led,open_mean,per_cell
1000,16600,11172,130188,682868,646171,546086,6594,49047,224,0,165302,4934490,174262.256,67900.471,1.1866,55641.000,0.169,0.288,0.206,0.337,0.622,0.348,336,0.0171,0.6771,0.100,10.4,45.0,89.8,43.80,2.67,4.73,2.81,27.34,8.08,1.074,0.095,0.048,0.049,23.860,0.485,0.0020,127,436,1962,8419,146,0,0.000,8449,4309,4491,7800,1329,4769,10502,0.00,0.58,23780,41.8659,66660,10820,546811,4873.2,-0.0,440502,52.075,2631065.686,1.63e-14,0.00093,30.00,209190,110.043,3.232,104.965,1.846,110.048,11089,2023,3488,0,0.3578,0.879,1.053,1.293,1.081,0.928,1.134,0.000,36849.888,14911.104,165570.893,40650.978,39335.221,0.000,7641.701,2317.118,2300.652,0.000,0.687,0.554,0.530,0.000,0.865,0.691,0.640,0.000,8287,58088,0.6862,0.5652,0.5883,0.0000,0.9999,0.0461,0.0515,0.0000,0.5578,0.9220,0.8758,0.0000,0.0735,0.0255,0.0227,0.0000,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18770,0.9997,0.7891,0.7368,0.0000,0.9990,0.0461,0.0515,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.8903,4.8953,4.8326,0.0000,0.1379,0.2239,0.2052,0.452,0.463,0.452,0.437,8436,0.1752,0.0105,0.0143,0.0000,0.00222,0.00142,0.00130,0.00000,23.49,26.89,27.30,0.00,63.6927,0.0223,79.4342,29.8641,22.2108,1074595,1528766,0.5998,0.0059,1724.0,63.6927,21.62,0,0,0,0,0,0,3666,12259.471,11300.597,0.9835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,6.25,4.76,250.4614,0.107,28.10,1.055
2000,16781,6687,67847,155372,143033,85968,1557,25188,132,0,201688,2967719,38135.374,31370.679,1.3368,14520.154,0.112,0.436,0.138,0.315,0.544,0.360,463,0.0380,0.6884,0.093,7.2,32.0,76.3,31.84,1.66,6.21,1.06,17.74,8.08,1.118,0.145,0.070,0.076,16.011,0.313,0.0022,103,909,1842,13913,305,0,0.000,8278,1713,5319,9749,830,2068,13883,0.00,2.34,20147,20.2235,66716,14936,511624,4205.4,-0.0,502858,26.640,2631065.686,6.02e-15,0.00070,25.34,50839,40.796,2.946,36.333,1.517,40.800,5209,4217,7355,0,0.3127,0.912,1.068,1.384,1.202,0.937,1.163,0.000,11685.579,12772.974,24084.489,17022.541,25420.190,0.000,10202.068,2141.710,4506.748,0.000,0.565,0.540,0.532,0.000,0.601,0.522,0.559,0.000,16627,28998,0.6505,0.5140,0.5499,0.0000,0.9999,0.0374,0.0444,0.0000,0.5917,1.1853,1.0008,0.0000,0.0821,0.0355,0.0223,0.0000,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,4899,0.9994,0.8952,0.7981,0.0000,0.9952,0.0374,0.0444,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.8640,5.1812,4.9804,0.0000,0.1510,0.1124,0.1024,0.202,0.172,0.189,0.203,2513,0.1145,0.0036,0.0032,0.0000,0.00211,0.00052,0.00056,0.00000,26.37,26.30,26.51,0.00,220.2267,0.0505,42.6090,16.8032,9.8364,1089545,1521945,1.2680,0.0544,2967.0,220.2267,26.00,0,0,0,0,0,0,5936,16850.525,15316.720,0.9665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.16,5.99,221.9471,0.333,26.82,1.180
3000,20476,7224,114510,266987,242334,149550,2927,35385,1065,1,453434,5182431,48356.537,53678.896,1.1615,20762.070,0.058,0.546,0.115,0.282,0.562,0.334,891,0.0550,0.7581,0.082,5.0,22.6,72.5,25.50,1.14,6.02,0.56,14.08,8.12,1.180,0.162,0.065,0.068,13.229,0.254,0.0023,72,366,2237,33791,932,0,0.000,9318,46,5378,15052,566,1953,17957,0.00,3.33,14650,18.4842,66627,14725,479741,4684.6,-0.0,549185,20.946,2631065.686,7.08e-15,0.00169,14.43,90123,48.377,2.826,43.394,2.157,48.381,4715,6519,9242,0,0.3448,0.932,1.067,1.612,1.407,0.946,1.229,0.000,14071.469,18520.853,25962.476,23813.534,40395.301,0.000,18889.803,3996.834,10030.190,0.000,0.489,0.595,0.582,0.000,0.553,0.528,0.599,0.000,19077,48468,0.6391,0.4063,0.4860,0.0000,0.9983,0.0261,0.0372,0.0000,0.6361,1.1448,1.1150,0.0000,0.0816,0.0312,0.0204,0.0000,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4166,0.9995,0.9293,0.9094,0.0000,0.9931,0.0261,0.0372,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.8447,5.2286,5.2017,0.0000,0.1892,0.0701,0.0657,0.115,0.110,0.132,0.132,2731,0.0997,0.0036,0.0036,0.0000,0.00232,0.00048,0.00064,0.00000,22.68,26.91,27.15,0.00,805.3806,0.1235,64.4670,7.6600,13.2861,1096409,1514340,1.8499,0.1085,3460.0,805.3806,22.38,0,0,0,0,0,0,18999,32916.827,29203.398,0.9536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,3.70,5.55,336.8433,0.486,24.30,1.284
4000,19252,7840,103931,225213,202466,118652,2630,32492,1365,0,344672,6193379,38380.961,42757.593,1.1887,17149.905,0.062,0.589,0.112,0.237,0.588,0.324,818,0.0564,0.7967,0.076,4.0,17.1,64.4,21.49,1.33,4.95,0.35,10.89,8.12,1.161,0.146,0.085,0.089,15.137,0.268,0.0021,74,392,3091,31030,1879,0,0.000,8212,55,6511,12686,389,1118,17745,0.00,2.99,16969,16.6329,66670,15667,451562,3867.8,0.0,581459,20.255,2631065.686,3.54e-16,0.00125,37.93,77993,43.849,2.830,39.224,1.795,43.853,3308,6240,9704,0,0.3466,0.940,1.050,1.642,1.377,0.954,1.221,0.000,12933.168,17351.473,13451.206,22911.527,41697.333,0.000,9941.861,5174.377,10491.450,0.000,0.482,0.621,0.602,0.000,0.428,0.498,0.587,0.000,20902,49820,0.7333,0.3187,0.4237,0.0000,0.9941,0.0176,0.0283,0.0000,0.5883,1.2172,1.2137,0.0000,0.1462,0.0358,0.0191,0.0000,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,3186,0.9990,0.9291,0.9260,0.0000,0.9962,0.0176,0.0283,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.6553,5.2740,5.1719,0.0000,0.2452,0.0506,0.0488,0.069,0.075,0.086,0.072,1336,0.0616,0.0037,0.0031,0.0000,0.00236,0.00045,0.00060,0.00000,26.95,26.70,27.33,0.00,1432.0314,0.1026,64.9136,4.6127,15.6418,1100044,1510044,1.9925,0.1268,3324.7,1432.0314,25.42,0,0,0,0,0,0,16956,25607.688,22031.812,0.9502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,3.97,6.51,360.4672,0.572,22.06,1.428
5000,20268,7647,114766,236485,209709,118862,2857,36317,2300,2,380173,8274393,37781.368,50125.120,1.3056,19102.926,0.060,0.673,0.106,0.161,0.613,0.316,760,0.0538,0.8142,0.069,4.3,22.6,63.5,21.62,1.66,5.48,0.29,11.03,7.57,1.246,0.161,0.128,0.132,11.893,0.283,0.0021,76,427,4041,36201,2101,24,0.336,9613,115,7307,12846,629,2418,17221,0.00,3.13,20039,20.8889,66664,18144,430101,4056.5,-0.0,606767,21.085,2631065.686,2.55e-14,0.00049,12.68,80601,46.889,2.848,41.282,2.760,46.894,5456,4611,10201,0,0.2794,0.954,1.089,1.909,1.348,0.963,1.320,0.000,10920.612,16463.273,15765.738,17776.478,43086.930,0.000,10622.304,7344.137,13055.754,0.000,0.518,0.616,0.642,0.000,0.454,0.398,0.589,0.000,26247,46626,0.6041,0.2560,0.3492,0.0000,0.9960,0.0159,0.0245,0.0000,0.5950,1.2620,1.2191,0.0000,0.1408,0.0378,0.0195,0.0000,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2577,0.9990,0.9336,0.9344,0.0000,0.9967,0.0159,0.0246,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.8011,5.2474,5.1540,0.0000,0.1953,0.0509,0.0469,0.057,0.084,0.070,0.066,1077,0.0473,0.0036,0.0024,0.0000,0.00247,0.00032,0.00044,0.00000,24.82,26.05,27.22,0.00,2051.9353,0.0986,61.3064,4.7941,16.2912,1101426,1511530,1.4138,0.0911,2717.9,2051.9353,23.03,0,0,0,0,0,0,24851,31022.194,25796.996,0.9388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,3.16,4.70,315.9176,0.471,20.52,1.303
6000,15583,5534,102672,191080,164054,86832,1576,36310,1525,0,445273,6327026,35740.445,48748.499,1.1595,16479.833,0.064,0.724,0.069,0.143,0.540,0.368,643,0.0809,0.7809,0.065,5.9,28.9,68.7,23.57,2.52,6.26,0.32,11.82,7.31,1.303,0.173,0.210,0.217,10.400,0.297,0.0025,77,439,2880,29027,1320,25,0.292,8358,410,4378,10795,943,2177,12463,0.00,4.06,17334,20.4998,66676,22083,412503,3082.3,-0.0,641200,19.772,2631065.686,8.67e-15,0.00013,23.20,74846,44.196,2.851,39.396,1.948,44.200,5324,3329,6930,0,0.2714,0.964,1.120,1.959,1.335,0.967,1.438,0.000,7368.956,12318.622,23229.696,12445.460,28688.646,0.000,14911.256,4153.820,13203.590,0.000,0.492,0.561,0.551,0.000,0.499,0.343,0.479,0.000,37793,42343,0.5160,0.2529,0.2583,0.0000,0.9981,0.0193,0.0286,0.0000,0.5428,1.2256,1.1757,0.0000,0.1654,0.0623,0.0267,0.0000,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2122,0.9993,0.9376,0.9197,0.0000,0.9980,0.0194,0.0286,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.7978,5.3358,5.1202,0.0000,0.1435,0.0571,0.0534,0.060,0.085,0.069,0.073,1497,0.0512,0.0029,0.0030,0.0000,0.00221,0.00024,0.00038,0.00000,23.61,25.91,26.44,0.00,2045.8761,0.1300,41.4567,6.8682,12.9042,1103660,1514861,0.7573,0.0294,2241.6,2045.8761,19.40,0,0,0,0,0,0,23560,32268.666,27193.559,0.9353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,2.64,3.93,194.2964,0.392,19.84,1.204
7000,14148,3967,82366,142566,121808,59352,848,31430,672,0,378693,4484260,30921.665,37694.440,1.1084,11460.830,0.053,0.769,0.057,0.122,0.490,0.411,376,0.0749,0.7554,0.063,7.9,31.4,66.1,26.13,2.63,6.91,0.37,14.09,7.26,1.300,0.184,0.211,0.220,8.361,0.322,0.0029,81,414,2474,21575,1111,33,0.304,7705,1141,3006,10001,1408,1447,11293,0.00,5.29,19198,21.1819,66747,23034,395363,2949.8,-0.0,670244,16.326,2631065.686,1.72e-14,0.00032,24.47,56983,35.886,2.866,31.492,1.528,35.890,4687,3346,6115,0,0.3055,0.935,1.120,1.993,1.275,0.955,1.507,0.000,7171.516,11915.829,16714.631,10870.351,21448.282,0.000,13128.002,3101.624,10003.983,0.000,0.454,0.504,0.504,0.000,0.402,0.391,0.441,0.000,49137,29412,0.5544,0.2828,0.2936,0.0000,0.9988,0.0248,0.0350,0.0000,0.5484,1.1399,1.0744,0.0000,0.1591,0.0709,0.0289,0.0000,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,3030,0.9994,0.9108,0.9034,0.0000,0.9978,0.0248,0.0350,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0289,5.3502,5.5302,0.0000,0.0906,0.0527,0.0485,0.074,0.083,0.063,0.079,1643,0.0678,0.0028,0.0037,0.0000,0.00222,0.00019,0.00025,0.00000,26.34,26.54,26.60,0.00,1767.2472,0.1248,32.7222,6.5265,9.7995,1105974,1515323,0.5913,0.0152,2105.6,1767.2472,21.78,0,0,0,0,0,0,17614,26233.610,22475.511,0.9364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,2.14,3.05,106.4123,0.369,21.59,1.137
8000,12376,3206,101878,209773,185453,106461,1434,33008,487,0,424520,4652370,49332.994,43567.276,1.0239,16399.842,0.044,0.797,0.048,0.110,0.486,0.400,413,0.1021,0.7285,0.064,10.5,32.0,83.3,31.28,2.34,7.56,0.54,19.15,7.16,1.326,0.201,0.203,0.212,7.919,0.296,0.0031,70,329,2161,26917,1012,22,0.180,6773,662,2039,9675,904,935,10537,0.00,7.10,17705,19.7014,66650,19137,366658,3267.9,0.0,698574,15.741,2631065.686,3.72e-15,0.00165,7.77,80772,42.185,2.787,38.051,1.346,42.189,3498,3452,5426,0,0.3472,0.923,1.103,1.996,1.292,0.949,1.588,0.000,12036.793,23201.905,19802.053,14986.277,35403.477,0.000,11641.532,4132.532,11393.370,0.000,0.455,0.511,0.489,0.000,0.463,0.479,0.544,0.000,44200,44783,0.5785,0.2115,0.2349,0.0000,0.9985,0.0261,0.0346,0.0000,0.5310,0.8596,0.8422,0.0000,0.1573,0.0400,0.0224,0.0000,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,4411,0.9991,0.8147,0.8494,0.0000,0.9972,0.0261,0.0346,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.5876,5.1180,4.7026,0.0000,0.0728,0.0756,0.0652,0.073,0.136,0.100,0.101,1830,0.0730,0.0024,0.0035,0.0000,0.00218,0.00044,0.00065,0.00000,23.90,26.85,27.02,0.00,1585.2948,0.1230,50.9117,6.0298,9.7108,1108526,1514000,1.0617,0.1099,2147.1,1585.2948,16.84,0,0,0,0,0,0,19131,27167.434,23526.248,0.9428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,1.69,2.25,71.3436,0.263,23.03,1.112
9000,10969,2703,73817,146298,126600,71682,799,23247,426,0,318623,3276155,36703.938,30981.991,1.0466,10141.006,0.042,0.794,0.044,0.120,0.486,0.383,572,0.0947,0.7189,0.074,10.8,32.0,76.1,31.03,2.55,6.71,1.05,18.44,7.04,1.290,0.200,0.182,0.189,7.725,0.227,0.0031,68,327,1371,23600,417,17,0.202,5535,23,1913,9033,579,1498,8892,0.25,7.92,19985,20.7947,66646,18378,348113,3056.7,-0.0,714848,11.275,2631065.686,1.36e-14,0.00023,30.68,56883,31.312,2.792,27.556,0.964,31.315,3342,3307,4320,0,0.3617,0.922,1.089,2.000,1.287,0.956,1.549,0.000,10166.551,15797.192,14787.618,13163.359,23123.462,0.000,9503.214,2954.536,8383.236,0.000,0.435,0.578,0.447,0.000,0.474,0.483,0.509,0.000,42999,32534,0.4750,0.1776,0.2438,0.0000,0.9984,0.0213,0.0446,0.0000,0.5600,0.9746,0.8286,0.0000,0.1337,0.0512,0.0461,0.0000,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,4153,0.9987,0.8557,0.8523,0.0000,0.9964,0.0213,0.0446,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.6251,5.3111,4.4967,0.0000,0.0738,0.1005,0.0954,0.165,0.216,0.220,0.153,1215,0.0601,0.0021,0.0040,0.0000,0.00270,0.00043,0.00069,0.00000,26.64,27.00,27.26,0.00,1636.7484,0.1045,36.6163,4.1045,7.1706,1110173,1513315,1.9496,0.1948,2148.5,1636.7484,18.95,0,0,0,0,0,0,13649,20840.986,18190.581,0.9445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,2.27,2.84,67.6719,0.301,23.50,1.116
10000,12734,3285,82289,165863,145526,82824,750,25617,254,0,312953,3697408,43778.400,31805.151,1.0511,11246.130,0.042,0.759,0.066,0.132,0.513,0.362,280,0.0836,0.7095,0.076,14.0,36.3,82.7,35.30,2.41,7.75,0.57,22.14,7.09,1.282,0.195,0.204,0.210,8.394,0.284,0.0030,70,316,1272,20859,339,19,0.371,6738,47,2034,10653,491,1721,10522,0.25,7.53,23009,22.7744,66660,16291,327882,4221.0,-0.0,727368,12.785,2631065.686,2.83e-14,0.00294,11.37,62484,36.090,2.807,31.904,1.379,36.094,3924,3610,5200,0,0.3555,0.916,1.080,2.000,1.268,0.948,1.524,0.000,12509.904,20729.344,14195.890,15866.616,29919.776,0.000,8031.156,3135.500,9392.364,0.000,0.448,0.563,0.508,0.000,0.427,0.473,0.544,0.000,37263,37995,0.5748,0.1553,0.2175,0.0000,0.9983,0.0195,0.0425,0.0000,0.5297,0.9104,0.8439,0.0000,0.1216,0.0423,0.0269,0.0000,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,2806,0.9981,0.8133,0.8230,0.0000,0.9969,0.0195,0.0425,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.4866,5.1156,4.1896,0.0000,0.0727,0.0767,0.0652,0.077,0.127,0.084,0.116,1232,0.0810,0.0014,0.0025,0.0000,0.00249,0.00058,0.00085,0.00000,25.78,27.66,28.21,0.00,1706.2101,0.0955,46.2418,4.1898,8.5955,1111248,1510342,2.3876,0.1996,2086.8,1706.2101,19.36,0,0,0,0,0,0,12620,20559.020,17929.941,0.9483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,2.43,2.84,79.3240,0.245,25.95,1.113
