step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,pop_crown,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,density_crown,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,intake_crown,kills_land,kills_surface,kills_bottom,kills_crown,blocked_land,blocked_surface,blocked_bottom,blocked_crown,no_room_land,no_room_surface,no_room_bottom,no_room_crown,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,fill_crown,drinking_land,drinking_surface,drinking_bottom,drinking_crown,open_land,open_surface,open_bottom,open_crown,hard_land,hard_surface,hard_bottom,hard_crown,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,breath_crown,inhaling_land,inhaling_surface,inhaling_bottom,inhaling_crown,breed_land,breed_surface,breed_bottom,breed_crown,share_land,share_surface,share_bottom,share_crown,store_land,store_surface,store_bottom,store_crown,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,warm_crown,cool_land,cool_surface,cool_bottom,cool_crown,btemp_land,btemp_surface,btemp_bottom,btemp_crown,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_wet,seed_intake,fiber_in,fermented,dung,fiber_bodies,fruit,fruit_intake,climbs,leaf_mean,leaf_open,light_intake,leaf_led,open_mean,per_cell,leg_mean,leg_open,leg_led,spike_mean,spiked,sharp_share,sharp_broke
1000,15365,7921,138124,757300,723692,610578,8598,59969,500,1,274131,5174742,184523.332,84199.377,1.1045,65275.297,0.229,0.299,0.248,0.225,0.669,0.251,385,0.0571,0.6583,0.100,12.0,43.2,80.7,39.68,2.57,4.91,1.58,26.79,7.41,1.124,0.487,0.037,0.038,17.134,0.489,0.0026,128,426,1790,12940,50,0,0.000,6810,4257,4109,6999,1003,4121,10241,0.00,3.01,14459,37.3030,66706,7702,539655,4258.4,-0.0,460052,53.048,2631181.733,1.42e-14,0.00093,30.00,222651,120.167,3.312,115.279,1.576,120.172,10614,1540,3211,0,0.3148,0.889,1.082,1.461,1.149,0.929,1.137,0.000,38758.316,14385.401,173593.502,39327.429,36877.697,0.000,13899.010,1903.157,3121.913,0.000,0.711,0.637,0.608,0.000,0.868,0.710,0.615,0.000,5024,51996,0.6835,0.5187,0.5461,0.0000,0.9999,0.0517,0.0507,0.0000,0.5931,0.8456,0.9155,0.0000,0.0802,0.0155,0.0236,0.0000,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,19537,0.9998,0.6863,0.7658,0.0000,0.9991,0.0517,0.0507,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.1358,4.9360,5.1201,0.0000,0.0824,0.1276,0.1035,0.198,0.248,0.240,0.225,7811,0.1561,0.0100,0.0116,0.0000,0.00234,0.00154,0.00142,0.00000,23.96,27.35,27.58,0.00,59.0332,0.0590,75.4894,30.2942,22.7542,1081100,1531162,0.7125,0.0068,1740.2,59.0332,21.62,0,0,0,0,0,0,7380,18924.080,17253.388,0.9704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,26.63,1.048,3.83,3.02,0.246,0.04,0.038,0.000,0.000
2000,6873,1822,72300,118976,99562,45094,1582,30145,403,0,249137,3272729,31479.647,28794.255,1.1597,10737.207,0.088,0.713,0.101,0.098,0.543,0.260,444,0.2477,0.6698,0.082,18.8,39.6,75.3,36.69,1.95,7.14,0.67,22.61,7.30,1.180,0.584,0.042,0.044,8.714,0.359,0.0038,82,515,826,19427,44,0,0.000,3405,705,1951,4217,429,1171,5273,1.25,17.67,12272,13.8374,66808,8185,495580,1459.6,-0.0,525092,21.972,2631181.733,9.73e-15,0.00070,25.34,40248,34.574,3.263,30.969,0.343,34.578,2610,1918,2345,0,0.3776,0.892,1.061,1.604,1.290,0.920,1.271,0.000,12355.952,9061.640,16162.277,12359.484,13695.093,0.000,14201.854,784.372,3070.823,0.000,0.487,0.632,0.542,0.000,0.436,0.335,0.335,0.000,7887,32401,0.5637,0.4082,0.4861,0.0000,1.0000,0.0510,0.0621,0.0000,0.6175,0.8724,0.8726,0.0000,0.1062,0.0090,0.0167,0.0000,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,3185,0.9994,0.7132,0.7490,0.0000,0.9971,0.0510,0.0621,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.9896,5.0867,5.0954,0.0000,0.0424,0.0610,0.0556,0.071,0.119,0.117,0.097,3081,0.1374,0.0058,0.0041,0.0000,0.00270,0.00108,0.00106,0.00000,26.35,26.46,27.04,0.00,197.0595,0.1278,26.1620,12.7041,9.2678,1095665,1530524,1.5063,0.0508,3021.5,197.0595,26.00,0,0,0,0,0,0,11577,18057.049,16110.316,0.9727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,27.99,1.039,4.32,3.80,0.364,0.04,0.052,0.000,0.000
3000,9042,1462,59044,103484,89383,43508,932,20132,76,0,164185,2351936,31255.878,17430.190,0.9453,7729.584,0.072,0.743,0.078,0.107,0.546,0.264,117,0.1284,0.6560,0.073,21.0,39.1,70.4,33.77,1.51,6.44,0.42,21.72,6.98,1.258,0.560,0.052,0.055,6.349,0.271,0.0037,76,307,452,8013,42,0,0.000,4114,37,1377,7628,318,1367,7357,3.00,13.64,12437,14.8133,66733,10273,461634,2594.7,-0.0,561711,11.692,2631181.733,1.24e-15,0.00166,14.43,36344,25.772,3.266,21.979,0.527,25.777,3235,2016,3791,0,0.2686,0.923,1.151,1.690,1.432,0.934,1.282,0.000,11633.093,10885.189,11774.722,11531.226,15679.514,0.000,4808.771,702.945,4188.890,0.000,0.468,0.618,0.549,0.000,0.397,0.424,0.442,0.000,9945,29181,0.6597,0.2481,0.2730,0.0000,0.9998,0.0485,0.0593,0.0000,0.6424,0.8605,0.8665,0.0000,0.0759,0.0247,0.0227,0.0000,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,2177,0.9989,0.7599,0.7856,0.0000,0.9992,0.0485,0.0593,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.9335,5.2780,5.1871,0.0000,0.0330,0.0498,0.0464,0.077,0.089,0.117,0.050,1197,0.0875,0.0048,0.0054,0.0000,0.00205,0.00108,0.00118,0.00000,22.62,27.44,28.04,0.00,296.2215,0.1108,27.5420,4.5266,7.1654,1097455,1528262,2.0039,0.1066,3980.0,296.2215,22.38,0,0,0,0,0,0,4112,9700.606,8700.128,0.9721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,26.16,1.044,3.68,3.64,0.314,0.06,0.079,0.000,0.000
4000,8583,1721,64950,122219,106022,56264,1005,23080,100,0,230353,2891957,33824.476,24045.153,0.9929,9749.703,0.091,0.781,0.051,0.077,0.556,0.280,162,0.1341,0.6525,0.062,14.2,38.3,70.9,30.04,1.35,6.76,0.23,19.28,6.97,1.368,0.449,0.074,0.081,5.893,0.280,0.0037,78,322,509,7539,29,0,0.000,4257,54,1264,7265,319,1207,7057,3.50,13.49,12646,15.1215,66774,12813,434652,2284.1,0.0,593565,11.923,2631181.733,5.49e-15,0.00124,37.93,43951,29.269,3.253,25.417,0.599,29.274,3122,1870,3591,0,0.2412,0.942,1.382,1.810,1.582,0.945,1.401,0.000,10922.725,13456.219,13408.695,10795.233,19370.251,0.000,8702.952,754.529,4837.969,0.000,0.517,0.613,0.554,0.000,0.456,0.442,0.483,0.000,13166,32224,0.6794,0.3240,0.3772,0.0000,0.9995,0.0454,0.0607,0.0000,0.6508,0.9287,0.9811,0.0000,0.0810,0.0189,0.0166,0.0000,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2653,0.9992,0.7766,0.8213,0.0000,0.9981,0.0454,0.0607,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.6611,5.1663,5.2921,0.0000,0.0356,0.0400,0.0364,0.029,0.069,0.058,0.026,1162,0.0655,0.0043,0.0035,0.0000,0.00222,0.00096,0.00114,0.00000,26.35,27.41,27.77,0.00,843.6621,0.1439,30.6272,4.7701,7.1528,1099839,1526491,2.0665,0.1288,4283.9,843.6621,25.42,0,0,0,0,0,0,6190,14295.450,12734.122,0.9582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,24.81,1.063,2.42,2.45,0.321,0.05,0.070,0.000,0.000
5000,9055,1745,71943,133389,115205,59859,1587,23710,134,0,186085,3276167,35994.660,22122.629,1.0710,9666.257,0.082,0.784,0.036,0.098,0.567,0.277,221,0.1366,0.6863,0.058,19.8,37.6,69.5,32.22,1.54,5.00,0.34,22.20,6.95,1.298,0.520,0.125,0.137,5.923,0.291,0.0035,74,303,478,6611,66,6,0.311,4477,114,1871,7070,337,1184,7534,4.25,14.43,13464,15.4413,66766,12229,410102,3564.0,-0.0,623697,12.703,2631181.733,2.48e-15,0.00049,12.68,52529,35.032,3.555,30.762,0.716,35.037,3316,2483,3256,0,0.3295,0.887,1.077,1.860,1.559,0.930,1.313,0.000,13792.479,12725.702,13007.468,13664.179,18989.271,0.000,7791.415,707.544,3957.413,0.000,0.479,0.655,0.571,0.000,0.431,0.453,0.469,0.000,17293,38994,0.6721,0.1455,0.2319,0.0000,0.9995,0.0430,0.0550,0.0000,0.6753,0.8842,0.8665,0.0000,0.0954,0.0232,0.0151,0.0000,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,1768,0.9990,0.8293,0.7955,0.0000,0.9982,0.0430,0.0550,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.6721,5.4243,5.1298,0.0000,0.0339,0.0509,0.0475,0.049,0.085,0.097,0.038,1316,0.0827,0.0037,0.0029,0.0000,0.00219,0.00111,0.00109,0.00000,25.41,27.17,27.31,0.00,1249.6541,0.1452,33.0834,4.8881,7.8146,1101830,1524181,1.4624,0.0951,4192.8,1249.6541,23.03,0,0,0,0,0,0,5549,12456.372,11007.261,0.9651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,25.75,1.057,3.15,3.36,0.317,0.08,0.082,0.000,0.000
6000,7973,1695,70155,132026,114855,60622,1249,22159,76,1,179820,3011755,35565.597,21242.845,1.0593,9337.783,0.063,0.796,0.063,0.078,0.565,0.277,64,0.1441,0.6678,0.061,20.3,40.4,77.3,31.53,1.90,6.56,0.50,19.96,6.65,1.411,0.435,0.151,0.163,6.162,0.293,0.0036,67,292,387,4610,37,8,0.143,4271,205,1110,6658,895,1400,5678,4.25,14.75,13973,17.7432,66776,13237,384378,3433.8,-0.0,654166,11.854,2631181.733,1.13e-14,0.00013,23.20,49371,33.527,3.553,29.255,0.719,33.532,4061,1382,2530,0,0.2187,0.964,1.268,1.944,1.609,0.956,1.341,0.000,11880.857,12008.156,15465.056,11754.473,17683.851,0.000,8478.293,408.313,3018.455,0.000,0.501,0.665,0.560,0.000,0.413,0.456,0.507,0.000,21458,41032,0.5368,0.1619,0.2633,0.0000,0.9997,0.0458,0.0597,0.0000,0.6481,1.0409,0.9554,0.0000,0.0887,0.0212,0.0243,0.0000,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1766,0.9986,0.8805,0.8142,0.0000,0.9976,0.0459,0.0597,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.5044,5.1287,4.9575,0.0000,0.0338,0.0710,0.0630,0.055,0.131,0.117,0.056,1035,0.0601,0.0034,0.0034,0.0000,0.00241,0.00116,0.00117,0.00000,22.91,26.92,27.94,0.00,1506.7759,0.1459,29.8286,5.1960,6.6581,1103014,1523474,0.7718,0.0306,3936.8,1506.7759,19.40,0,0,0,0,0,0,5168,11905.062,10518.709,0.9554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,25.03,1.040,2.61,2.54,0.294,0.12,0.122,0.000,0.000
7000,7330,1829,70093,122613,103802,51639,881,21290,109,0,180699,2859929,35667.080,20821.637,1.0668,8773.894,0.060,0.822,0.051,0.067,0.545,0.280,144,0.1753,0.6465,0.051,20.3,46.3,81.0,32.84,1.76,6.57,0.40,20.58,6.58,1.424,0.498,0.145,0.154,6.939,0.303,0.0036,61,296,466,4373,31,10,0.089,4062,738,908,5684,1056,1286,4988,4.25,14.24,13440,18.1417,66845,13828,358668,3250.1,-0.0,685324,11.944,2631181.733,5.49e-15,0.00058,24.47,49208,39.038,4.020,34.256,0.762,39.043,3906,1154,2270,0,0.1993,0.961,1.476,1.954,1.590,0.946,1.380,0.000,11080.969,11793.045,16760.301,10960.414,16720.258,0.000,8056.737,522.215,3468.791,0.000,0.524,0.590,0.539,0.000,0.420,0.383,0.456,0.000,25245,40969,0.5379,0.2200,0.2473,0.0000,0.9994,0.0462,0.0587,0.0000,0.6435,0.9767,0.9247,0.0000,0.0821,0.0115,0.0151,0.0000,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1728,0.9988,0.8548,0.7939,0.0000,0.9981,0.0462,0.0587,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.4904,5.0338,4.9082,0.0000,0.0377,0.0655,0.0580,0.050,0.111,0.105,0.054,1265,0.0705,0.0046,0.0036,0.0000,0.00221,0.00086,0.00093,0.00000,27.13,27.55,27.55,0.00,1084.9270,0.1532,28.0617,5.9922,5.9516,1104532,1521903,0.5924,0.0143,4078.7,1084.9270,21.78,0,0,0,0,0,0,5375,12047.743,10640.824,0.9619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,25.22,1.031,3.53,3.65,0.387,0.12,0.106,0.000,0.000
8000,9438,1923,77867,156750,138790,77396,1487,20996,52,0,176632,3588547,44081.008,23523.951,1.1214,11143.739,0.045,0.844,0.053,0.057,0.602,0.237,82,0.1457,0.6415,0.050,17.8,42.2,72.4,32.09,1.50,5.78,0.40,21.01,6.82,1.370,0.496,0.146,0.153,5.905,0.256,0.0032,62,302,465,6995,42,11,0.125,5101,405,540,8493,1026,1090,7322,4.25,13.54,13590,17.3512,66746,11839,329966,3740.3,-0.0,711930,12.802,2631181.733,5.84e-15,0.00060,7.77,55307,36.511,3.533,32.025,0.952,36.515,3709,1892,3837,0,0.2344,0.936,1.268,1.962,1.603,0.938,1.359,0.000,13623.805,18365.515,16388.465,13484.712,25351.569,0.000,8132.450,710.583,3537.179,0.000,0.547,0.650,0.627,0.000,0.437,0.442,0.558,0.000,20434,47608,0.5981,0.2342,0.2777,0.0000,0.9996,0.0421,0.0466,0.0000,0.6805,0.8520,0.8759,0.0000,0.0997,0.0076,0.0151,0.0000,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1559,0.9988,0.6751,0.7129,0.0000,0.9981,0.0421,0.0466,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.5848,4.6877,4.6150,0.0000,0.0344,0.0539,0.0486,0.031,0.114,0.090,0.037,1278,0.0680,0.0035,0.0027,0.0000,0.00216,0.00117,0.00139,0.00000,24.65,28.56,28.82,0.00,1565.7728,0.1453,39.2241,5.3170,7.4848,1106647,1519019,1.0369,0.1014,3774.5,1565.7728,16.84,0,0,0,0,0,0,4266,12380.213,11073.292,0.9590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,25.47,1.060,3.41,3.71,0.416,0.10,0.142,0.000,0.000
9000,7288,1657,66374,129479,112764,62045,1060,20249,144,0,191887,3030973,36739.383,23179.992,1.0814,10211.055,0.062,0.828,0.061,0.049,0.578,0.251,76,0.1759,0.6360,0.061,20.3,47.8,80.3,33.21,1.98,5.38,0.32,21.81,6.74,1.447,0.465,0.175,0.185,6.639,0.272,0.0034,68,309,376,6916,27,14,0.128,3833,12,1031,6245,515,1319,5454,4.25,13.30,14055,17.1208,66739,13076,308771,2428.2,0.0,732525,11.569,2631181.733,5.31e-16,0.00198,30.68,50387,35.286,3.736,30.931,0.619,35.290,3517,1383,2388,0,0.2103,0.955,1.536,1.964,1.673,0.944,1.404,0.000,9975.945,15476.435,15514.897,9862.124,21573.416,0.000,7574.886,336.377,5057.674,0.000,0.556,0.625,0.573,0.000,0.435,0.414,0.541,0.000,18490,39507,0.6151,0.1327,0.1868,0.0000,0.9999,0.0454,0.0501,0.0000,0.6556,0.9728,0.8275,0.0000,0.1035,0.0231,0.0165,0.0000,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1431,0.9990,0.8406,0.7702,0.0000,0.9981,0.0454,0.0501,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.6683,5.0759,4.9572,0.0000,0.0335,0.0475,0.0439,0.049,0.092,0.073,0.049,1324,0.0779,0.0039,0.0027,0.0000,0.00233,0.00092,0.00150,0.00000,26.08,27.59,28.62,0.00,1474.2581,0.1395,31.8982,5.2298,6.3393,1108251,1518183,1.9059,0.1867,3632.3,1474.2581,18.95,0,0,0,0,0,0,5869,12968.937,11442.568,0.9638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,25.62,1.038,3.72,3.78,0.334,0.16,0.153,0.000,0.000
10000,7705,1807,53782,101580,89883,47260,538,14105,38,0,125069,2261912,33774.681,16291.645,1.0643,7972.021,0.065,0.822,0.058,0.055,0.565,0.286,37,0.1069,0.6052,0.072,21.7,44.9,83.0,32.73,2.17,5.72,0.36,21.47,6.79,1.414,0.394,0.189,0.196,6.735,0.250,0.0030,65,308,357,3170,19,12,0.188,4151,32,1273,6400,371,1648,5686,4.25,12.05,15826,18.0286,66757,14565,296246,2394.4,-0.0,748089,9.042,2631181.733,1.17e-14,0.00249,11.37,38682,26.674,3.476,22.543,0.655,26.678,3708,1669,2328,0,0.2432,0.919,1.506,1.924,1.685,0.928,1.332,0.000,9858.839,13929.263,13124.713,9760.971,18861.019,0.000,5766.570,268.458,2284.596,0.000,0.536,0.610,0.577,0.000,0.410,0.456,0.508,0.000,22273,33945,0.5873,0.1020,0.1960,0.0000,0.9995,0.0447,0.0613,0.0000,0.6442,0.9187,0.8746,0.0000,0.1165,0.0162,0.0205,0.0000,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1465,0.9979,0.8232,0.7728,0.0000,0.9980,0.0447,0.0613,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.5711,4.6242,4.8332,0.0000,0.0343,0.0554,0.0487,0.032,0.101,0.056,0.052,925,0.0708,0.0020,0.0026,0.0000,0.00223,0.00078,0.00134,0.00000,26.35,27.25,28.02,0.00,1240.3209,0.1092,29.0848,4.3952,4.6467,1109470,1516683,2.3443,0.1931,3716.2,1240.3209,19.36,0,0,0,0,0,0,2887,8319.624,7429.386,0.9659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,0.00,-0.00,0.0000,0.000,25.28,1.041,3.01,3.03,0.300,0.15,0.165,0.000,0.000
