step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,pop_crown,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,density_crown,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,intake_crown,kills_land,kills_surface,kills_bottom,kills_crown,blocked_land,blocked_surface,blocked_bottom,blocked_crown,no_room_land,no_room_surface,no_room_bottom,no_room_crown,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,fill_crown,drinking_land,drinking_surface,drinking_bottom,drinking_crown,open_land,open_surface,open_bottom,open_crown,hard_land,hard_surface,hard_bottom,hard_crown,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,breath_crown,inhaling_land,inhaling_surface,inhaling_bottom,inhaling_crown,breed_land,breed_surface,breed_bottom,breed_crown,share_land,share_surface,share_bottom,share_crown,store_land,store_surface,store_bottom,store_crown,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,warm_crown,cool_land,cool_surface,cool_bottom,cool_crown,btemp_land,btemp_surface,btemp_bottom,btemp_crown,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_wet,seed_intake,fiber_in,fermented,dung,fiber_bodies,fruit,fruit_intake,climbs,leaf_mean,leaf_open,light_intake,leaf_led,open_mean,per_cell,blocks_cell,shaded,grass_under,grass_free
1000,27221,12648,147330,738433,706174,579260,11843,51154,399,0,216738,5298244,144555.957,68685.643,1.0179,54897.064,0.248,0.282,0.250,0.220,0.627,0.339,568,0.0121,0.6940,0.099,4.9,23.0,70.8,29.18,1.79,3.20,0.98,13.18,7.75,1.041,0.099,0.027,0.028,16.659,0.269,0.0020,127,428,1909,8739,92,0,0.000,9510,5871,8851,12499,2196,4680,20345,0.00,0.42,17237,16.5909,66694,7797,542576,6011.7,-0.0,452197,52.411,2631098.115,1.40e-14,0.00093,30.00,215847,108.792,3.247,102.556,2.989,108.797,12590,7015,7616,0,0.4471,0.845,1.018,1.266,1.057,0.913,1.132,0.000,27082.446,10054.799,169730.236,40787.948,37733.104,0.000,8227.127,2542.329,3019.123,0.000,0.686,0.574,0.553,0.000,0.854,0.678,0.628,0.000,7621,62209,0.6559,0.6854,0.6721,0.0000,0.9997,0.0442,0.0491,0.0000,0.5926,1.1769,1.0949,0.0000,0.0811,0.0209,0.0215,0.0000,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,16096,0.9998,0.9323,0.9093,0.0000,0.9964,0.0442,0.0491,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.1049,4.9487,4.9259,0.0000,0.1683,0.0923,0.0794,0.151,0.162,0.146,0.154,8437,0.1675,0.0124,0.0144,0.0000,0.00229,0.00130,0.00123,0.00000,23.80,25.14,25.81,0.00,64.3501,0.0277,77.7827,31.6431,20.7679,1076320,1522365,0.6823,0.0071,1727.7,64.3501,21.62,0,0,0,0,0,0,6084,13788.580,12484.481,0.9826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,10.03,10.18,780.7723,0.426,22.51,1.242,11.20,0.673,0.1917,0.1283
2000,44918,13904,231442,610732,560700,358042,21248,56359,8138,1,718270,10243467,25681.391,83351.117,1.2008,29443.287,0.188,0.444,0.202,0.167,0.628,0.261,6981,0.0483,0.8492,0.064,2.8,9.5,49.5,16.14,0.59,3.04,0.23,6.07,7.22,1.124,0.163,0.023,0.023,12.297,0.181,0.0018,63,380,2082,70532,258,0,0.000,13028,4375,18026,22517,1568,2626,40724,0.00,1.25,15114,12.8203,66751,7899,500853,11332.5,0.0,511206,32.857,2631098.115,1.79e-14,0.00070,25.34,164710,86.744,3.163,76.600,6.981,86.750,8887,13271,22760,0,0.3489,0.918,1.062,1.446,1.169,0.947,1.210,0.000,8469.733,9878.920,45210.142,40186.008,68081.882,0.000,17861.994,17211.823,18834.012,0.000,0.569,0.606,0.677,0.000,0.599,0.538,0.661,0.000,11431,71739,0.5279,0.5371,0.5555,0.0000,0.9990,0.0214,0.0241,0.0000,0.7083,1.2756,1.2030,0.0000,0.0767,0.0176,0.0129,0.0000,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,4690,0.9989,0.9481,0.9186,0.0000,0.9828,0.0214,0.0241,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0465,4.7971,4.7589,0.0000,0.2395,0.0325,0.0290,0.048,0.043,0.048,0.045,4725,0.1066,0.0232,0.0207,0.0000,0.00251,0.00043,0.00044,0.00000,25.89,25.65,25.61,0.00,324.7100,0.0884,108.3045,15.4010,17.4561,1089713,1501311,1.3899,0.0530,2869.6,324.7100,26.00,0,0,0,0,0,0,68093,53907.829,42664.618,0.9490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,6.22,7.97,1573.6537,0.780,16.89,1.611,11.35,0.651,0.1421,0.1354
3000,48826,9460,447918,919645,828230,432565,39162,94650,28842,5,1197122,17538564,24643.567,140281.510,1.3141,41963.724,0.142,0.557,0.182,0.119,0.612,0.272,12010,0.0812,0.9157,0.056,2.9,6.9,38.4,10.25,0.44,2.60,0.07,3.22,6.93,1.262,0.162,0.025,0.026,6.602,0.193,0.0021,53,261,2191,126561,432,0,0.000,11847,1437,21749,25640,867,2609,45350,0.00,2.76,14354,14.0611,66653,9248,466475,8601.0,-0.0,561227,37.084,2631098.115,9.03e-15,0.00181,14.43,270663,112.414,3.143,99.563,9.707,112.425,6857,15886,26083,0,0.3570,0.931,1.103,1.742,1.322,0.951,1.435,0.000,6380.540,9693.628,34462.857,46745.309,85385.302,0.000,22607.547,20566.331,55143.908,0.000,0.510,0.543,0.660,0.000,0.446,0.476,0.513,0.000,12463,118058,0.6214,0.5535,0.4034,0.0000,0.9983,0.0163,0.0147,0.0000,0.8114,1.5753,1.4746,0.0000,0.1033,0.0104,0.0234,0.0000,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,5303,0.9988,0.9908,0.9519,0.0000,0.9795,0.0163,0.0147,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.1255,4.7471,4.7370,0.0000,0.1887,0.0133,0.0120,0.015,0.021,0.017,0.017,6590,0.0980,0.0292,0.0219,0.0000,0.00293,0.00038,0.00033,0.00000,23.64,24.86,24.68,0.00,1033.2930,0.1334,132.1735,8.0222,29.0618,1101842,1503972,1.9352,0.0984,3192.1,1033.2930,22.38,0,0,0,0,0,0,190562,98317.786,68269.958,0.9250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,3.94,6.60,1599.7788,0.685,13.48,1.955,10.57,0.609,0.0891,0.1374
4000,56492,14060,429413,858541,762782,386227,42901,94227,25239,10,999975,18912046,18460.611,116229.873,1.2759,36486.606,0.154,0.539,0.188,0.118,0.616,0.282,8099,0.0658,0.9400,0.044,2.5,6.2,38.3,10.34,0.41,2.18,0.12,4.03,6.86,1.316,0.139,0.033,0.035,7.702,0.203,0.0019,57,283,2086,115000,658,0,0.000,12414,3126,28555,24811,835,2760,52897,0.00,1.61,18180,16.6371,66699,12236,444275,9240.8,0.0,591248,38.457,2631098.115,9.38e-15,0.00142,37.93,263949,123.692,3.354,105.822,14.515,123.698,7700,16564,32228,0,0.3319,0.931,1.088,1.919,1.254,0.949,1.519,0.000,4539.333,7772.334,27381.590,53520.036,81984.347,0.000,12470.215,22221.839,45051.213,0.000,0.515,0.529,0.664,0.000,0.420,0.480,0.483,0.000,19122,116377,0.6585,0.5196,0.3496,0.0000,0.9949,0.0131,0.0120,0.0000,0.8298,1.3635,1.4789,0.0000,0.1052,0.0126,0.0189,0.0000,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,3279,0.9996,0.9707,0.9644,0.0000,0.9648,0.0131,0.0120,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.8650,4.8443,5.1749,0.0000,0.2298,0.0180,0.0119,0.016,0.023,0.016,0.018,6093,0.0956,0.0303,0.0264,0.0000,0.00284,0.00029,0.00027,0.00000,27.07,24.83,24.34,0.00,1470.5946,0.1156,135.5206,7.1647,31.2919,1106851,1491578,2.0672,0.1167,3105.6,1470.5946,25.42,0,0,0,0,0,0,176522,79743.267,51019.399,0.9162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,3.60,6.41,1727.0201,0.751,13.16,2.067,11.31,0.635,0.1197,0.1729
5000,56462,21143,393334,811827,726934,383445,35048,92214,22679,8,930151,17123273,24573.605,110085.647,1.2300,38578.667,0.187,0.477,0.187,0.149,0.589,0.313,5712,0.0575,0.9337,0.041,2.7,6.9,37.8,10.04,0.50,2.04,0.08,3.09,7.04,1.283,0.107,0.041,0.045,11.227,0.236,0.0017,61,294,4586,109040,2110,26,0.321,13146,3190,28321,24951,767,3963,51732,0.00,1.16,18424,18.2181,66679,14121,422400,7863.5,0.0,619494,47.224,2631098.115,5.31e-16,0.00045,12.68,263394,132.422,3.249,113.233,15.940,132.432,10893,21733,23836,0,0.4388,0.904,1.034,1.976,1.264,0.946,1.598,0.000,5065.074,9390.272,39877.836,70416.123,70822.337,0.000,15534.987,11433.307,44538.686,0.000,0.552,0.544,0.610,0.000,0.533,0.585,0.413,0.000,23595,112950,0.6110,0.5378,0.3100,0.0000,0.9963,0.0104,0.0121,0.0000,0.8857,1.7107,1.5320,0.0000,0.1054,0.0090,0.0317,0.0000,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,3128,0.9996,0.9933,0.9656,0.0000,0.9634,0.0104,0.0121,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.9598,4.8819,5.3285,0.0000,0.3227,0.0195,0.0148,0.021,0.020,0.015,0.025,6047,0.1148,0.0238,0.0203,0.0000,0.00248,0.00028,0.00024,0.00000,23.32,25.83,24.57,0.00,1437.2318,0.1186,141.3538,10.1990,37.0254,1109497,1476880,1.4544,0.0838,3106.7,1437.2318,23.03,0,0,0,0,0,0,156338,71506.980,46172.066,0.9266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,4.33,7.79,1887.4244,0.817,13.74,1.954,10.86,0.627,0.0713,0.1903
6000,44450,15398,373947,769942,690255,364153,31842,105423,18558,19,956634,16574415,25077.182,122946.911,1.3486,42316.165,0.168,0.488,0.183,0.161,0.575,0.325,7954,0.0754,0.9211,0.036,2.8,7.3,46.7,11.35,0.72,2.64,0.12,3.60,6.85,1.261,0.135,0.074,0.081,10.325,0.191,0.0020,69,346,7651,114143,3749,26,0.276,12419,1580,15930,26940,1674,3222,39554,0.00,1.78,18177,17.8189,66684,15681,399792,7804.8,-0.0,652825,53.251,2631098.115,1.42e-14,0.00061,23.20,255740,127.301,3.153,113.748,10.401,127.307,10866,18043,15541,0,0.4587,0.877,1.028,1.986,1.347,0.930,1.587,0.000,5173.814,9330.882,47298.978,68701.159,57187.787,0.000,23752.390,18516.138,38362.217,0.000,0.545,0.651,0.556,0.000,0.558,0.578,0.388,0.000,30090,104737,0.5307,0.4085,0.3086,0.0000,0.9975,0.0087,0.0128,0.0000,0.8591,1.7067,1.3604,0.0000,0.1123,0.0107,0.0530,0.0000,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,5012,0.9996,0.9887,0.9378,0.0000,0.9678,0.0088,0.0128,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0866,4.8778,4.9977,0.0000,0.2816,0.0258,0.0231,0.029,0.030,0.019,0.038,6888,0.1183,0.0153,0.0109,0.0000,0.00240,0.00025,0.00027,0.00000,24.56,25.76,25.70,0.00,1506.8332,0.1386,125.9952,12.9980,40.2527,1113399,1484034,0.7518,0.0279,3043.8,1506.8332,19.40,0,0,0,0,0,0,145322,80630.746,55380.635,0.9304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,4.28,7.38,1692.7132,0.806,14.40,1.676,10.05,0.590,0.0733,0.1888
7000,34146,14598,241662,547349,494849,287443,18244,68655,7778,15,745809,10393930,28246.480,87055.307,1.1332,34234.497,0.119,0.480,0.205,0.196,0.533,0.363,3086,0.0674,0.8869,0.039,2.8,8.8,43.4,12.19,0.67,2.54,0.09,4.15,7.07,1.249,0.100,0.057,0.059,13.314,0.242,0.0020,67,356,6606,70656,3460,34,0.300,10568,1932,10728,21486,1284,1830,31032,0.00,1.46,13039,15.9205,66755,17482,376697,6034.0,-0.0,694406,38.188,2631098.115,3.54e-15,0.00005,24.47,191122,91.173,3.138,81.215,6.819,91.179,6844,16726,10576,0,0.5323,0.826,1.000,1.995,1.402,0.908,1.688,0.000,3275.844,9590.341,41691.504,57096.345,39311.854,0.000,22119.914,6693.742,24007.155,0.000,0.488,0.642,0.503,0.000,0.551,0.643,0.448,0.000,36888,85677,0.5669,0.3776,0.2724,0.0000,0.9978,0.0099,0.0214,0.0000,0.7672,1.7597,1.2801,0.0000,0.1245,0.0058,0.0266,0.0000,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1810,0.9993,0.9924,0.9537,0.0000,0.9718,0.0099,0.0214,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.2568,4.9772,5.3084,0.0000,0.3496,0.0175,0.0139,0.019,0.023,0.019,0.021,5731,0.1078,0.0082,0.0082,0.0000,0.00246,0.00028,0.00034,0.00000,27.15,27.30,26.36,0.00,1525.0993,0.1529,96.5542,10.7365,27.4514,1118796,1480435,0.5880,0.0175,2977.4,1525.0993,21.78,0,0,0,0,0,0,82300,52820.811,39239.255,0.9406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,4.74,8.26,1209.8996,0.835,15.33,1.664,10.30,0.596,0.0493,0.1315
8000,33103,11530,219248,493802,435116,258304,16250,48574,6385,1,712090,8331866,23210.892,78319.755,1.0661,30873.662,0.122,0.462,0.237,0.179,0.518,0.379,2695,0.0560,0.8969,0.044,2.6,9.7,40.5,12.90,0.65,2.79,0.10,5.11,6.87,1.229,0.118,0.055,0.057,10.912,0.172,0.0017,57,360,8020,54925,4199,39,0.215,10408,1335,9877,21891,1021,1196,30886,0.00,1.71,16055,16.8514,66656,18006,358019,6899.4,-0.0,719125,32.195,2631098.115,1.59e-14,0.00051,7.77,187553,85.308,3.075,75.349,6.885,85.313,5521,15857,11725,0,0.5237,0.807,1.000,1.999,1.253,0.892,1.674,0.000,4266.625,11094.371,24220.584,55335.306,41088.681,0.000,11083.117,9790.055,26572.921,0.000,0.429,0.608,0.497,0.000,0.480,0.616,0.502,0.000,42222,86119,0.5623,0.3274,0.2812,0.0000,0.9968,0.0097,0.0218,0.0000,0.7943,1.6105,1.1675,0.0000,0.1549,0.0072,0.0179,0.0000,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,864,0.9995,0.9876,0.9405,0.0000,0.9759,0.0097,0.0218,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.1300,5.1704,5.8811,0.0000,0.2895,0.0193,0.0158,0.026,0.027,0.025,0.021,3640,0.1245,0.0059,0.0063,0.0000,0.00256,0.00028,0.00035,0.00000,23.21,26.81,27.12,0.00,1346.8416,0.1087,96.5494,7.1791,25.0163,1122220,1482489,1.0875,0.1334,3083.5,1346.8416,16.84,0,0,0,0,0,0,74708,47446.093,35422.369,0.9364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,4.24,7.44,1064.9603,0.832,15.77,1.571,10.11,0.583,0.0505,0.1584
9000,30792,11106,220784,471393,410832,235279,15330,49530,5008,4,750969,7627254,24564.292,74434.789,0.9834,28277.577,0.116,0.443,0.270,0.170,0.518,0.369,2224,0.0599,0.8900,0.051,2.3,8.5,38.4,12.17,0.68,2.77,0.10,4.23,7.00,1.193,0.113,0.074,0.079,10.806,0.189,0.0019,55,313,7717,59681,3857,35,0.211,9519,41,10258,20493,351,1985,28456,0.00,1.72,21909,20.6378,66602,17503,340722,6384.2,-0.0,732376,29.031,2631098.115,5.31e-16,0.00108,30.68,183788,86.116,3.099,77.076,5.940,86.121,5803,15751,9238,0,0.5421,0.805,1.000,2.000,1.266,0.890,1.662,0.000,3664.640,14425.557,22497.850,52930.035,41823.350,0.000,10357.664,8753.824,27045.725,0.000,0.479,0.626,0.470,0.000,0.488,0.574,0.477,0.000,41723,88285,0.6076,0.3277,0.2957,0.0000,0.9969,0.0104,0.0221,0.0000,0.7764,1.7361,1.1692,0.0000,0.1378,0.0070,0.0284,0.0000,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1982,0.9998,0.9924,0.9659,0.0000,0.9738,0.0104,0.0221,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.2389,5.2116,5.8512,0.0000,0.2984,0.0176,0.0170,0.028,0.031,0.030,0.028,3100,0.1126,0.0046,0.0050,0.0000,0.00287,0.00024,0.00052,0.00000,26.06,27.28,26.32,0.00,1405.5153,0.0930,94.9530,6.0570,22.9743,1124896,1481992,1.9736,0.2321,3125.4,1405.5153,18.95,0,0,0,0,0,0,75186,46157.212,35054.901,0.9355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,4.40,7.88,1030.5499,0.825,15.15,1.678,10.51,0.605,0.0738,0.2157
10000,32492,11506,189939,413479,362350,209569,13971,42123,5386,4,562559,7048357,19639.597,65462.168,1.1215,26029.646,0.114,0.402,0.275,0.209,0.554,0.341,3216,0.0468,0.8981,0.056,2.7,8.4,39.9,12.14,0.81,2.60,0.06,4.25,7.11,1.192,0.117,0.077,0.083,10.381,0.212,0.0016,60,364,6239,53539,2879,32,0.133,9764,30,9294,23168,306,2531,29655,0.00,2.02,24812,22.0276,66618,18983,333329,5909.3,0.0,743425,26.652,2631098.115,3.19e-15,0.00238,11.37,155940,78.698,3.112,69.345,6.241,78.703,7887,13687,10918,0,0.4602,0.826,1.022,2.000,1.220,0.903,1.535,0.000,3210.200,7457.039,27449.221,46393.664,33317.136,0.000,11107.816,10690.009,17634.698,0.000,0.509,0.605,0.544,0.000,0.523,0.534,0.516,0.000,47647,75071,0.5946,0.3380,0.3083,0.0000,0.9988,0.0110,0.0259,0.0000,0.8238,1.7432,1.2592,0.0000,0.1434,0.0112,0.0280,0.0000,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1222,0.9995,0.9923,0.9542,0.0000,0.9773,0.0110,0.0259,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.9515,5.3105,5.4695,0.0000,0.2765,0.0122,0.0112,0.017,0.018,0.015,0.017,3153,0.1103,0.0022,0.0029,0.0000,0.00274,0.00025,0.00046,0.00000,26.23,27.68,26.92,0.00,1546.4250,0.0957,79.7916,7.0274,19.6251,1125908,1480808,2.3976,0.2337,3045.3,1546.4250,19.36,0,0,0,0,0,0,61280,39432.522,29215.439,0.9378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,4.43,7.82,983.8524,0.743,15.05,1.688,10.40,0.605,0.0981,0.2470
