step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
1000,-60,0,5237,897.5033,188.19,88.00,1.83,40,2.52,0.215,14.848,0.5008,28.032,0.00,0.0000
1000,-60,1,2495,999.5805,204.98,644.03,0.93,51,0.37,0.101,16.332,0.9432,38.508,0.00,0.0000
1000,-60,2,2,0.8244,0.00,2.51,22.54,0,9.05,0.490,9.940,0.9826,61.702,0.00,0.0000
1000,-50,0,7092,1082.3659,158.87,95.54,15.06,123,11.86,2.200,10.184,0.3831,52.782,0.00,0.0000
1000,-50,1,1601,693.5494,100.20,498.83,14.14,32,10.58,1.967,10.966,0.7454,91.245,0.00,0.0000
1000,-50,2,5,2.0151,0.00,7.80,29.42,0,12.87,1.481,8.306,0.9488,86.788,0.00,0.0000
1000,-40,0,6338,769.2920,119.31,63.06,26.41,266,21.32,6.386,6.819,0.3172,111.036,0.00,0.0000
1000,-40,1,1741,703.4173,88.78,635.55,23.27,91,19.29,5.709,7.777,0.6257,185.623,0.00,0.0000
1000,-40,2,2,1.0013,0.47,2.39,13.17,0,21.68,5.175,5.171,0.4576,120.834,0.00,0.0000
1000,-30,0,4324,618.7828,94.14,88.12,33.46,301,27.92,10.260,5.138,0.3251,219.603,0.00,0.0000
1000,-30,1,3254,1064.3886,139.39,1520.41,29.60,336,27.20,10.103,5.560,0.4805,310.830,0.00,0.0000
1000,-30,2,599,183.4598,15.15,844.86,34.76,62,28.97,11.020,4.986,0.5966,435.377,0.00,0.0000
1000,-20,0,1820,267.4263,20.71,41.42,55.87,72,33.35,13.796,4.023,0.2970,341.886,0.00,0.0000
1000,-20,1,2521,802.8773,65.37,1071.22,30.03,203,32.56,13.429,4.305,0.4403,492.341,0.00,0.0000
1000,-20,2,3878,1359.2555,124.29,11057.47,33.07,873,31.74,13.095,4.630,0.7286,739.804,0.00,0.0000
1000,-10,0,1808,237.2514,38.06,24.36,65.26,50,36.98,16.284,3.358,0.2791,453.839,0.00,0.0000
1000,-10,1,2073,723.2647,108.72,921.15,35.06,36,36.81,16.186,3.393,0.3882,669.096,0.00,0.0000
1000,-10,2,4343,1672.9399,199.62,15834.40,34.84,1144,34.16,14.829,4.250,0.7502,991.709,0.00,0.0000
1000,0,0,1825,261.0933,54.76,31.22,72.11,15,38.85,17.518,2.984,0.2176,429.821,0.00,0.0000
1000,0,1,1739,628.8559,75.82,841.82,40.68,46,38.58,17.318,3.015,0.3683,748.718,0.00,0.0000
1000,0,2,4803,1928.6120,219.82,15262.01,38.05,899,35.21,15.594,4.113,0.6876,1022.555,0.00,0.0000
1000,10,0,3014,578.2172,63.76,51.75,74.60,109,37.73,16.756,3.207,0.2426,419.276,0.00,0.0000
1000,10,1,2709,1255.3393,185.88,1338.73,44.81,195,37.15,16.386,3.346,0.4104,699.023,0.00,0.0000
1000,10,2,3722,1652.5424,195.61,9757.34,22.85,647,32.18,13.944,5.047,0.6875,819.885,0.00,0.0000
1000,20,0,3994,485.9890,51.96,62.13,62.26,112,32.28,13.502,4.650,0.1906,197.678,0.00,0.0000
1000,20,1,3278,1334.7739,131.48,1560.85,36.39,293,32.29,13.454,4.575,0.4621,499.613,0.00,0.0000
1000,20,2,1173,569.3695,63.80,2055.87,8.26,188,29.29,12.121,5.726,0.6682,583.073,0.00,0.0000
1000,30,0,6744,825.5631,139.19,85.11,37.43,245,26.43,9.892,6.055,0.2481,156.504,0.00,0.0000
1000,30,1,2310,978.7735,95.94,1004.22,42.41,255,29.31,11.117,4.844,0.5376,357.032,0.00,0.0000
1000,30,2,220,122.2434,33.56,242.93,71.00,19,26.62,9.556,5.569,0.7052,335.901,0.00,0.0000
1000,40,0,6695,628.3349,138.50,63.83,28.38,119,19.87,6.114,7.799,0.2641,86.650,0.00,0.0000
1000,40,1,1252,494.6207,61.04,492.05,49.77,133,23.75,7.459,5.916,0.6896,224.322,0.00,0.0000
1000,40,2,223,94.7423,8.36,262.08,65.79,41,23.86,7.756,6.108,0.8089,275.454,0.00,0.0000
1000,50,0,5138,236.9011,129.38,13.83,19.39,22,11.20,2.312,10.936,0.1882,26.657,0.00,0.0000
1000,50,1,567,167.3741,32.80,138.70,53.69,64,17.61,4.010,7.475,0.8436,135.741,0.00,0.0000
1000,50,2,11,3.8699,1.35,13.68,35.34,0,19.14,4.263,6.382,0.9458,172.595,0.00,0.0000
1000,60,0,3853,70.6273,68.16,0.77,11.91,0,2.35,0.233,15.057,0.1138,5.121,0.00,0.0000
1000,60,1,2,1.1379,0.83,0.32,20.07,0,9.32,0.587,10.123,0.9626,63.711,0.00,0.0000
1000,70,0,4656,3.7675,4.75,0.16,8.42,1,-5.43,0.001,20.728,0.0813,0.899,0.00,0.0000
1000,80,0,3564,0.0236,0.45,0.06,4.84,0,-11.91,0.000,26.913,0.0684,0.200,0.00,0.0000
