run,kind,share,held,side,cells,bodies,born_size,hard,open_born,travel,wood,kills,land,surface,bottom,cold
control,mixed / tooth / roams / land,0.14738298039970937,True,6,111111122221224422244442244442222222,16836,36.0,0.23675679664322716,0.45161290322580644,14.25,0.18313465416474597,0.4966752723537946,0.9594915656925636,0.0,0.04050843430743645,0.05203136136849608
control,mixed / no tooth / stays / shore,0.12466625230887747,False,4,2222222244444444,14241,25,0.07134643828426929,0.8,1.5,0.0019366440749942883,0.2570639104033749,0.5342321466189172,0.00035109893968120215,0.46541675444140157,0.06102099571659294
control,mixed / tooth / stays / land,0.08641110712316055,False,7,1110000122000022441002444110244411124441112444111,9871,36,0.3594297665822904,0.35294117647058826,4.25,0.07655894466219478,0.358393979425107,0.9695066355992301,0.0,0.030493364400769933,0.06858474318711377
control,mixed / no tooth / stays / bottom,0.08438892439137552,False,4,4444444442244224,9640,16.0,0.013259538147460425,1.125,1.5,5.26424492947948e-05,0.1998364970574943,0.024066390041493777,0.0,0.9759336099585062,0.006431535269709543
control,mixed / no tooth / roams / shore,0.07974053031960993,False,4,2222222244444444,9109,16,0.011195103149126136,1.0,15.25,0.0010872371755347814,0.42644858061728097,0.3562410802503019,0.01185640575255242,0.6319025139971457,0.05862333955428697
control,plant / no tooth / stays / shore,0.07137167018287185,False,4,4444444444444444,8153,31,0.07593843671148137,0.7586206896551724,0.0,0.002245348544762296,0.0763991112661244,0.4729547405862873,0.03520176622102294,0.49184349319268983,0.03740954249969337
control,plant / no tooth / roams / surface,0.0706888552344769,False,6,000022000044000004000004000044000044,8075,22,0.009346346186773415,1.1428571428571428,21.0,4.736742507501303e-06,0.16523143315275501,0.02563467492260062,0.9732507739938081,0.0011145510835913312,0.013622291021671827
control,plant / no tooth / stays / bottom,0.06827274080169478,False,4,4444444444444444,7799,16,0.02143996182870632,1.0,0.0,2.0743754270619634e-05,0.0838562096478199,0.017951019361456596,0.00012822156686754713,0.9819207590716759,0.0037184254391588664
control,mixed / no tooth / roams / bottom,0.05840694020116779,False,4,2222222244424444,6672,16.0,0.012316598155589427,1.0,14.25,2.1815666452763663e-05,0.37504299305083183,0.02802757793764988,0.0,0.9719724220623501,0.010641486810551559
control,plant / no tooth / stays / land,0.038544028433114774,False,9,444444444444444444444444444444444444444444444444444444444444444444444444444444444,4403,49,0.17834165526952553,0.4897959183673469,0.0,0.0014890547959856245,0.06069995475746396,0.9718373836020895,0.0004542357483533954,0.02770838064955712,0.051101521689756985
control,flesh / no tooth / roams / shore,0.03388688032354924,False,4,2222222222224444,3871,16,0.009043587990956413,1.0,16.5,0.001220836789974104,0.6655205788646952,0.4443296305864118,0.0,0.5556703694135883,0.03513304055799535
control,mixed / tooth / roams / shore,0.02641093204240456,False,7,1100000020000022000002440000244000024400002440000,3017,17,0.1355990624569144,1.0,15.0,0.05695453147095391,0.45302336570562873,0.44348690752403047,0.0,0.5565130924759695,0.08650977792509115
control,mixed / no tooth / stays / land,0.025185366750413628,False,7,4444444444444444444444444444444444444444444444444,2877,36,0.24240223605211825,0.5555555555555556,0.0,0.006885687399826767,0.22928377851744458,0.9867917970107751,0.0,0.013208202989224887,0.07229753215154675
control,mixed / tooth / stays / shore,0.020633267094447315,False,6,111111222110224111244411244411244411,2357,36,0.19748389895551774,0.5588235294117647,3.75,0.03922962846551616,0.3485601260347329,0.810776410691557,0.0,0.18922358930844294,0.09970301230377598
control,plant / no tooth / roams / shore,0.013236105153502053,False,4,2222422244444444,1512,19.0,0.013531531020396583,1.1764705882352942,16.5,0.00025421790341629457,0.1823553590410121,0.22883597883597884,0.42857142857142855,0.3425925925925926,0.03968253968253968
control,plant / no tooth / roams / bottom,0.012754633074505617,False,4,2222422244444444,1457,16,0.018114810419139232,1.25,14.25,5.950216472594158e-08,0.15169159075987906,0.02608098833218943,0.0,0.9739190116678106,0.00549073438572409
control,flesh / tooth / roams / land,0.0076160128859436415,False,6,111111122221224422224422224422222222,870,36.0,0.2364163822525597,0.5185185185185185,17.25,0.1506847971813424,0.6397717536361627,0.9482758620689655,0.0,0.05172413793103448,0.022988505747126436
control,flesh / no tooth / roams / bottom,0.0037467281783722744,False,4,2244222222222222,428,16.0,0.04499771585198721,1.0,19.875,0.0,0.6805477559608282,0.028037383177570093,0.0,0.9719626168224299,0.014018691588785047
control,flesh / no tooth / stays / shore,0.0036416797247730516,False,4,4444444444444444,416,24.0,0.07213312250583541,1.1428571428571428,3.25,2.745837957978556e-05,0.5889525300781934,0.31490384615384615,0.0,0.6850961538461539,0.026442307692307692
control,plant / no tooth / stays / surface,0.0026437194155804365,False,7,2222222222022222000022400000444000044400004444000,302,28.0,0.013713331743381827,1.2857142857142858,3.25,0.0,0.1404375920781561,0.016556291390728478,0.9834437086092715,0.0,0.0
control,flesh / no tooth / stays / bottom,0.00239860635718225,False,4,2222222222224444,274,16.0,0.04251671524087091,1.0,1.75,0.0,0.4349214399213942,0.01824817518248175,0.0,0.9817518248175182,0.0
control,flesh / tooth / roams / shore,0.0022935579035830277,False,6,222222222222224422224422224422222222,262,25.0,0.08149117069980379,0.8695652173913043,11.375,0.031452631110524,0.6529156318615041,0.6641221374045801,0.0,0.33587786259541985,0.03435114503816794
control,mixed / no tooth / roams / land,0.0021359852231841937,False,5,4444444444442442222422224,244,25.0,0.010248901903367495,0.8,12.375,1.644080236174234e-05,0.3403125241957321,0.9508196721311475,0.0,0.04918032786885246,0.1598360655737705
control,plant / tooth / roams / surface,0.0021272311853842586,False,8,4444444444444444222022112000002100000022000000020000000200000002,243,31,0.1075296881117056,1.096774193548387,20.5,0.00011232845648668732,0.223249601646758,0.012345679012345678,0.9876543209876543,0.0,0.0
