reading,run,from,to,items,thresholds
room,c1225_life9_probe,20000,39998,14800,failed births measured; body lengths 1 2 4 8; searched out to 8 body lengths
ladder-kinds,c1225_life9_s0g0,20000,40000,21,kinds by birth form (e068); a place is not `shore`
ladder-kinds,c1225_life9_probe,20000,40000,3,kinds by birth form (e068); a place is not `shore`
ladder-kinds,c1225_life9_ring1,20000,40000,21,kinds by birth form (e068); a place is not `shore`
ladder-kinds,c1225_life9_r2,20000,40000,21,kinds by birth form (e068); a place is not `shore`
ladder-kinds,c1225_life9_ring2,20000,40000,21,kinds by birth form (e068); a place is not `shore`
ladder-kinds,c1225_life9_r4,20000,40000,21,kinds by birth form (e068); a place is not `shore`
ladder-log,c1225_life9_s0g0,20000,40000,21,"the run's second half, a row every 1,000 steps"
ladder-log,c1225_life9_probe,20000,40000,21,"the run's second half, a row every 1,000 steps"
ladder-log,c1225_life9_ring1,20000,40000,21,"the run's second half, a row every 1,000 steps"
ladder-log,c1225_life9_r2,20000,40000,21,"the run's second half, a row every 1,000 steps"
ladder-log,c1225_life9_ring2,20000,40000,21,"the run's second half, a row every 1,000 steps"
ladder-log,c1225_life9_r4,20000,40000,21,"the run's second half, a row every 1,000 steps"
