step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
1000,-60,0,2483,256.4352,208.61,48.43,-0.77,48,2.77,0.220,14.647,0.2933,55.255,0.00,0.0000
1000,-60,1,2581,510.4887,304.58,1010.74,4.44,155,2.07,0.045,14.238,0.4378,79.201,0.00,0.0000
1000,-60,2,2670,562.6215,260.56,4988.49,0.89,229,0.93,0.000,14.137,0.5541,38.388,0.00,0.0000
1000,-50,0,4560,660.0522,449.44,77.12,16.83,185,12.22,2.262,9.937,0.2499,76.160,0.00,0.0000
1000,-50,1,2300,601.1105,260.38,996.11,13.34,287,11.63,1.077,8.573,0.3804,112.725,0.00,0.0000
1000,-50,2,1838,501.7226,209.09,4236.83,12.04,328,9.91,0.019,6.253,0.4470,61.602,0.00,0.0000
1000,-40,0,4878,982.3833,525.50,77.17,27.14,218,21.34,6.305,6.727,0.2534,125.600,0.00,0.0000
1000,-40,1,1586,430.2438,136.92,582.90,23.97,201,21.00,4.561,5.237,0.3571,188.876,0.00,0.0000
1000,-40,2,1617,465.4436,191.37,4031.73,23.21,321,18.93,0.363,1.498,0.4224,125.035,0.00,0.0000
1000,-30,0,2497,733.6074,482.08,43.69,43.66,67,28.05,10.192,4.984,0.3002,245.127,0.00,0.0000
1000,-30,1,2085,861.0449,517.97,830.02,31.07,134,28.16,8.186,3.217,0.3665,299.811,0.00,0.0000
1000,-30,2,3595,1003.5763,309.89,12132.42,24.49,741,26.80,1.470,0.206,0.4798,258.500,0.00,0.0000
1000,-20,0,1121,415.3308,602.02,16.91,67.28,4,33.70,13.909,3.853,0.2149,261.699,0.00,0.0000
1000,-20,1,1324,825.0990,969.77,620.31,38.92,0,32.92,10.868,2.135,0.3471,383.878,0.00,0.0000
1000,-20,2,5774,1667.2454,381.77,24868.48,30.95,1225,31.48,3.601,0.085,0.5813,418.982,0.00,0.0000
