step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,pop_crown,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,density_crown,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,intake_crown,kills_land,kills_surface,kills_bottom,kills_crown,blocked_land,blocked_surface,blocked_bottom,blocked_crown,no_room_land,no_room_surface,no_room_bottom,no_room_crown,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,fill_crown,drinking_land,drinking_surface,drinking_bottom,drinking_crown,open_land,open_surface,open_bottom,open_crown,hard_land,hard_surface,hard_bottom,hard_crown,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,breath_crown,inhaling_land,inhaling_surface,inhaling_bottom,inhaling_crown,breed_land,breed_surface,breed_bottom,breed_crown,share_land,share_surface,share_bottom,share_crown,store_land,store_surface,store_bottom,store_crown,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,warm_crown,cool_land,cool_surface,cool_bottom,cool_crown,btemp_land,btemp_surface,btemp_bottom,btemp_crown,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err,seed,seed_set,sprouted,seed_wet,seed_intake,fiber_in,fermented,dung,fiber_bodies,fruit,fruit_intake,climbs,place_k,probed,cells_held,land_bare
1000,8958,5062,166068,624235,595966,453123,5044,49501,214,0,175535,2850120,155366.445,66075.111,0.9121,56068.518,0.253,0.257,0.267,0.224,0.580,0.358,410,0.0431,0.6510,0.098,13.9,48.3,92.6,44.46,5.10,5.79,2.24,31.33,7.67,1.099,0.145,0.065,0.066,17.837,0.527,0.0029,60,315,1349,7997,72,0,0.000,4315,1970,2529,4459,599,2242,6117,0.00,1.39,37329,41.8680,66307,9637,557013,2645.6,-0.0,430833,39.521,2630888.346,3.08e-14,0.00054,30.00,195686,83.173,2.768,79.868,0.537,83.177,6013,970,1975,0,0.3142,0.901,1.068,1.355,1.109,0.937,1.147,0.000,37715.841,11717.128,139020.385,38574.891,33839.687,0.000,5029.574,3066.928,1910.092,0.000,0.618,0.576,0.526,0.000,0.767,0.682,0.619,0.000,7042,104603,0.2945,0.6856,0.6286,0.0000,0.9997,0.0470,0.0526,0.0000,0.5081,0.8191,0.8410,0.0000,0.1445,0.0399,0.0244,0.0000,0.0000,0.7091,0.9588,0.1956,0.6718,0.9567,0.00232,17674,0.9997,0.7853,0.7669,0.0000,0.9985,0.0470,0.0527,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0354,5.1125,5.0472,0.0000,0.0747,0.1975,0.1691,0.388,0.327,0.364,0.302,5202,0.1899,0.0103,0.0127,0.0000,0.00182,0.00158,0.00141,0.00000,21.51,27.40,27.33,0.00,59.9653,0.0243,71.0792,17.8507,21.6706,1088399,1530911,0.7914,0.0183,1755.7,59.9653,21.62,0,0,0,0,0,0,4218,10006.593,9142.062,0.9774,6185.2650,3214.7973,9692.3179,18214.1934,18572.8129,800.4848,14843,1302934.6,2.23e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,6.46,0,0.1479,0.7492
2000,11066,2207,83892,142169,126023,56483,1794,30151,471,0,234523,2837316,35034.076,23327.094,0.8796,10433.466,0.111,0.655,0.120,0.115,0.508,0.335,1976,0.1022,0.7124,0.089,10.2,31.7,74.3,32.09,2.59,7.89,0.68,20.94,7.63,1.119,0.258,0.065,0.067,6.802,0.308,0.0039,64,328,637,16889,47,0,0.000,5487,548,2254,8264,582,1112,9372,0.00,8.82,37761,29.1867,66232,10859,529720,3640.9,-0.0,471734,17.770,2630888.346,1.22e-14,0.00009,25.34,47821,33.138,2.821,29.738,0.580,33.142,2514,3559,4993,0,0.3633,0.917,1.055,1.422,1.208,0.942,1.201,0.000,13635.025,11253.436,13987.439,13661.414,17818.689,0.000,5316.362,3594.789,3982.478,0.000,0.440,0.511,0.548,0.000,0.379,0.374,0.450,0.000,13476,32447,0.2803,0.3942,0.4355,0.0000,0.9997,0.0318,0.0424,0.0000,0.5343,0.8904,0.9633,0.0000,0.2016,0.0307,0.0212,0.0000,0.0000,0.3794,0.9297,0.2196,0.6869,0.9771,0.00251,5674,0.9985,0.8084,0.7942,0.0000,0.9976,0.0319,0.0425,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.8599,5.2404,5.0632,0.0000,0.0419,0.0652,0.0585,0.120,0.140,0.121,0.156,1966,0.1273,0.0033,0.0027,0.0000,0.00230,0.00096,0.00082,0.00000,25.75,28.11,27.53,0.00,173.6537,0.0386,31.5374,8.8916,8.8779,1096290,1527908,2.2615,0.0427,3061.1,173.6537,26.00,0,0,0,0,0,0,11075,12893.629,11225.555,0.9616,1927.4148,823.3638,2418.3129,5465.0392,7589.7801,940.8113,4100,1172602.2,1.92e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.61,0,0.1419,0.8936
3000,8139,1519,78977,132034,115827,51264,1793,27535,367,0,239036,2629783,31642.318,23626.924,0.9035,10129.484,0.082,0.739,0.096,0.083,0.470,0.371,582,0.1372,0.7305,0.077,11.3,27.5,69.4,27.52,2.39,7.04,0.74,17.35,7.61,1.216,0.245,0.119,0.126,6.275,0.297,0.0040,59,277,507,18884,32,0,0.000,4534,22,1768,6349,262,1103,6774,0.00,11.79,38262,29.1720,66007,13735,509756,1996.7,-0.0,498734,12.899,2630888.346,1.84e-14,0.00099,14.43,46186,29.573,2.858,26.339,0.377,29.577,2937,2116,3086,0,0.2875,0.945,1.195,1.534,1.352,0.946,1.270,0.000,10747.151,10240.314,14366.175,10727.680,16677.947,0.000,5491.081,3031.052,4975.307,0.000,0.408,0.488,0.493,0.000,0.389,0.355,0.428,0.000,18875,38596,0.3476,0.3988,0.2952,0.0000,0.9992,0.0336,0.0481,0.0000,0.6599,0.9700,0.9627,0.0000,0.1577,0.0407,0.0246,0.0000,0.0000,0.0000,0.9007,0.0628,0.6557,0.9888,0.00260,2743,0.9995,0.8712,0.8776,0.0000,0.9973,0.0338,0.0482,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.7476,5.5524,5.1719,0.0000,0.0412,0.0848,0.0753,0.168,0.131,0.156,0.146,1832,0.1331,0.0049,0.0034,0.0000,0.00206,0.00077,0.00084,0.00000,20.87,26.68,27.03,0.00,1057.3574,0.0552,27.6183,4.7398,8.1592,1098324,1528038,2.8969,0.1027,3330.8,1057.3574,22.38,0,0,0,0,0,0,10831,13497.440,11729.213,0.9473,1397.2781,620.4592,1776.7803,3273.5840,4507.6423,718.8046,6067,687894.4,9.31e-15,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.59,0,0.0981,0.8955
4000,9660,1475,82166,131853,113410,47858,1829,25739,304,0,276751,2649730,32157.300,23928.356,0.8945,8455.438,0.059,0.815,0.067,0.059,0.449,0.387,457,0.1236,0.7448,0.077,13.8,30.2,65.8,28.84,1.70,7.46,0.54,19.15,7.37,1.216,0.232,0.109,0.114,5.724,0.283,0.0039,57,242,442,22486,39,0,0.000,4958,63,2186,7411,290,1162,8208,3.75,13.00,40366,29.2127,65910,14841,495179,2645.4,-0.0,520003,10.944,2630888.346,1.29e-14,0.00008,37.93,47169,28.002,2.763,24.745,0.494,28.006,2310,3056,4294,0,0.3404,0.930,1.115,1.595,1.385,0.953,1.312,0.000,11810.075,11688.327,11775.892,11757.414,17079.432,0.000,6477.288,3466.149,5529.480,0.000,0.359,0.489,0.474,0.000,0.327,0.353,0.407,0.000,25103,39510,0.3301,0.2903,0.2446,0.0000,0.9994,0.0317,0.0489,0.0000,0.6596,0.8974,0.9310,0.0000,0.1199,0.0325,0.0337,0.0000,0.0000,0.8273,0.9645,0.1158,0.6836,0.9926,0.00255,1253,0.9992,0.8394,0.8445,0.0000,0.9969,0.0319,0.0490,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0344,5.6215,5.2914,0.0000,0.0389,0.0651,0.0583,0.109,0.089,0.089,0.114,1968,0.1480,0.0050,0.0036,0.0000,0.00223,0.00084,0.00096,0.00000,25.70,27.44,26.90,0.00,1212.0986,0.0761,29.0937,4.2710,6.6728,1100727,1524999,3.0056,0.1236,3458.7,1212.0986,25.42,0,0,0,0,0,0,11871,15472.918,13457.433,0.9548,1287.4082,559.1973,1844.8897,2502.6790,4312.3660,674.3141,6121,706588.6,3.04e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.49,0,0.1101,0.9101
5000,9350,1849,66981,113869,99205,45540,1348,23839,191,0,225629,2330614,30268.378,22073.673,0.9866,8161.501,0.065,0.775,0.076,0.084,0.444,0.405,244,0.1019,0.7073,0.080,13.6,32.2,69.8,28.33,1.95,7.68,0.68,18.03,7.46,1.304,0.226,0.145,0.148,6.152,0.246,0.0039,66,298,456,19379,72,9,0.255,4926,114,2331,6905,416,1683,7251,1.75,10.06,40875,30.0892,65737,18240,482619,2186.1,-0.0,540634,10.640,2630888.346,2.12e-15,0.00034,12.68,40334,26.779,2.744,23.554,0.481,26.782,3351,1984,4015,0,0.2414,0.964,1.366,1.662,1.421,0.958,1.377,0.000,9074.288,10491.298,14044.672,9022.156,15363.052,0.000,6455.866,2439.262,5017.044,0.000,0.386,0.474,0.464,0.000,0.414,0.353,0.431,0.000,32835,30732,0.2382,0.3034,0.2712,0.0000,0.9994,0.0392,0.0586,0.0000,0.6640,0.9782,0.9281,0.0000,0.1114,0.0297,0.0371,0.0000,0.0000,0.0000,0.7580,0.1985,0.6645,0.9665,0.00252,2311,0.9997,0.8999,0.8589,0.0000,0.9974,0.0394,0.0586,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.9511,5.6178,5.4770,0.0000,0.0386,0.0713,0.0660,0.147,0.118,0.150,0.098,1484,0.1094,0.0044,0.0031,0.0000,0.00220,0.00069,0.00067,0.00000,25.28,27.05,27.25,0.00,1712.0392,0.0777,24.6196,3.8817,6.7588,1101563,1523910,2.3293,0.0972,3152.6,1712.0392,23.03,0,0,0,0,0,0,8734,13912.172,12212.217,0.9525,1451.7759,599.4988,1738.4342,2296.2168,3657.8053,551.3646,5924,630655.4,1.65e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.66,0,0.1115,0.8768
6000,10502,2473,84683,166984,151125,80686,1615,23216,269,0,230172,2920575,45981.026,29049.908,1.0722,13625.460,0.092,0.777,0.057,0.074,0.475,0.394,304,0.0910,0.6871,0.077,11.2,36.0,104.7,33.75,2.79,6.50,0.70,23.76,7.58,1.372,0.187,0.127,0.131,7.108,0.255,0.0032,59,284,484,20699,32,11,0.159,5187,378,1834,8290,1341,2063,7098,0.00,8.78,33335,30.0127,65614,18148,461181,3191.4,-0.0,571441,11.100,2630888.346,3.54e-16,0.00013,23.20,59970,33.226,2.724,29.819,0.683,33.230,4820,1744,3938,0,0.1896,0.980,1.436,1.736,1.434,0.960,1.478,0.000,11654.811,14606.791,26020.962,11603.016,21982.508,0.000,7770.503,1569.453,6084.491,0.000,0.419,0.522,0.483,0.000,0.524,0.440,0.483,0.000,36018,44000,0.1786,0.2121,0.1960,0.0000,0.9997,0.0312,0.0511,0.0000,0.5350,0.9611,1.0153,0.0000,0.1058,0.0420,0.0342,0.0000,0.0000,0.5257,0.9422,0.1117,0.6468,0.9518,0.00248,4828,0.9998,0.8895,0.8916,0.0000,0.9988,0.0313,0.0511,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0794,4.9386,4.8912,0.0000,0.0404,0.0689,0.0565,0.132,0.089,0.069,0.130,1131,0.0664,0.0032,0.0033,0.0000,0.00188,0.00085,0.00080,0.00000,22.94,27.07,26.76,0.00,1404.4372,0.0753,33.8181,4.0549,7.0449,1100783,1522952,1.5559,0.0489,3188.1,1404.4372,19.40,0,0,0,0,0,0,10087,15424.448,13511.080,0.9557,1887.5066,840.8965,2317.0686,2205.5994,3838.9821,447.9570,4310,545622.9,2.66e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.87,0,0.1369,0.7966
7000,9220,1965,67719,123368,109176,53981,1668,21295,313,0,203476,2362769,34171.891,23979.370,1.0580,10524.690,0.100,0.793,0.049,0.058,0.444,0.425,226,0.0893,0.6675,0.074,13.4,42.2,100.4,38.79,2.54,6.75,0.90,28.59,7.59,1.311,0.170,0.113,0.118,7.234,0.291,0.0035,62,308,449,12879,29,14,0.230,4517,567,1105,7548,922,1209,7089,0.50,11.42,31731,27.4375,65553,19467,440904,2749.1,-0.0,604160,11.110,2630888.346,3.29e-14,0.00042,24.47,47435,31.482,3.092,27.869,0.521,31.486,3109,2203,3908,0,0.2555,0.941,1.253,1.785,1.475,0.937,1.392,0.000,8604.208,11053.733,19756.338,8566.777,16373.465,0.000,7585.146,1261.279,4608.255,0.000,0.412,0.463,0.455,0.000,0.454,0.429,0.443,0.000,43039,35893,0.2683,0.1965,0.2377,0.0000,0.9996,0.0307,0.0451,0.0000,0.5324,0.7352,0.7646,0.0000,0.1291,0.0209,0.0213,0.0000,0.0000,0.4774,0.9141,0.3110,0.7000,0.9477,0.00236,1480,0.9961,0.6776,0.7326,0.0000,0.9991,0.0308,0.0452,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.1836,4.7598,4.9101,0.0000,0.0381,0.0800,0.0713,0.190,0.089,0.082,0.191,1334,0.0632,0.0035,0.0046,0.0000,0.00154,0.00064,0.00053,0.00000,26.79,28.08,27.35,0.00,1194.1622,0.0808,25.2375,5.6893,5.4206,1103979,1520621,1.3859,0.0242,3395.1,1194.1622,21.78,0,0,0,0,0,0,8686,13454.680,11757.395,0.9645,1947.9574,897.0572,1584.0579,1442.6829,2495.6565,350.4366,4010,715002.1,3.36e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.80,0,0.1243,0.8621
8000,7942,1854,84347,170938,153701,84268,2323,22374,296,0,223888,2856180,43056.133,28400.931,1.0309,13974.902,0.068,0.819,0.059,0.054,0.466,0.407,295,0.1146,0.6999,0.087,11.4,33.3,78.4,29.65,2.11,7.06,0.48,19.99,7.17,1.406,0.198,0.134,0.136,6.987,0.273,0.0033,54,268,415,15315,16,17,0.085,4250,192,1318,6432,843,851,6248,0.25,9.45,32207,28.4711,65327,17730,416112,2811.5,-0.0,627695,10.550,2630888.346,2.99e-14,0.00012,7.77,66001,32.801,2.696,29.579,0.527,32.805,2519,1570,3853,0,0.2346,0.917,1.441,1.863,1.422,0.919,1.594,0.000,11034.547,18682.016,17802.376,11034.563,28194.096,0.000,6347.483,1402.756,6675.791,0.000,0.383,0.475,0.498,0.000,0.489,0.470,0.516,0.000,39941,47693,0.2989,0.1376,0.1703,0.0000,0.9995,0.0385,0.0366,0.0000,0.5525,0.9302,1.0169,0.0000,0.1132,0.0444,0.0224,0.0000,0.0000,0.0000,0.8840,0.1309,0.6447,0.9418,0.00237,3625,0.9986,0.7706,0.8866,0.0000,0.9982,0.0385,0.0367,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0249,4.6414,4.9874,0.0000,0.0490,0.0614,0.0577,0.115,0.069,0.068,0.136,1662,0.0966,0.0032,0.0041,0.0000,0.00167,0.00087,0.00072,0.00000,24.17,27.06,26.75,0.00,1197.0363,0.0754,39.5297,4.3294,6.2204,1106007,1519815,2.0450,0.0794,3562.9,1197.0363,16.84,0,0,0,0,0,0,9975,14426.029,12533.579,0.9545,1549.8547,630.9207,1879.9064,2075.4139,3200.1377,461.3498,5099,417403.8,2.79e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.86,0,0.0942,0.8897
9000,7277,1176,52651,88945,76993,35351,943,17282,165,0,164875,2004708,23248.442,17235.209,1.0453,6463.249,0.077,0.836,0.054,0.033,0.448,0.421,266,0.0954,0.7144,0.082,12.9,31.6,66.3,26.55,1.98,8.31,0.42,15.85,6.87,1.383,0.234,0.183,0.186,5.147,0.255,0.0035,64,316,305,9726,13,15,0.135,3923,18,1387,5872,76,941,6260,6.00,14.69,41079,32.2891,65160,20033,405073,1489.1,-0.0,638046,8.402,2630888.346,1.84e-14,0.00411,30.68,36019,22.040,2.733,18.925,0.383,22.044,2151,1572,3554,0,0.2277,0.971,1.382,1.919,1.488,0.955,1.509,0.000,6556.963,10179.353,8618.020,6559.705,14533.965,0.000,4784.691,1454.251,4533.018,0.000,0.358,0.474,0.478,0.000,0.323,0.400,0.438,0.000,45697,26619,0.3919,0.1544,0.1838,0.0000,0.9997,0.0252,0.0361,0.0000,0.6483,0.9980,0.9862,0.0000,0.1423,0.0409,0.0304,0.0000,0.0000,0.7558,0.9496,0.1268,0.7204,0.9564,0.00241,1431,0.9991,0.8563,0.8817,0.0000,0.9982,0.0254,0.0361,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,4.9829,4.7550,4.9703,0.0000,0.0394,0.0562,0.0470,0.075,0.049,0.041,0.117,1136,0.1034,0.0031,0.0037,0.0000,0.00185,0.00042,0.00055,0.00000,23.58,27.04,27.53,0.00,1343.0668,0.0684,21.3575,3.3718,5.0300,1107958,1519215,2.9180,0.1666,3570.7,1343.0668,18.95,0,0,0,0,0,0,6683,10771.960,9358.761,0.9509,1131.3091,373.4200,1109.9082,1259.9117,1960.3236,318.2637,4108,447532.9,2.08e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.59,0,0.0859,0.9185
10000,7815,1480,74116,131890,116668,56708,1066,20425,207,0,218467,2345517,32780.640,22074.107,0.9779,8722.359,0.073,0.848,0.039,0.040,0.434,0.425,250,0.1158,0.7165,0.071,13.5,32.3,66.2,25.90,2.16,7.07,0.46,16.21,6.80,1.383,0.202,0.182,0.187,5.761,0.285,0.0035,56,245,304,14559,25,14,0.115,4232,85,1687,6043,201,1200,6414,5.25,14.89,46556,35.1927,64980,18590,393414,2299.3,0.0,645347,8.894,2630888.346,1.49e-14,0.00606,11.37,52360,27.161,2.726,23.974,0.462,27.164,2751,1742,3322,0,0.2445,0.956,1.382,1.888,1.463,0.938,1.550,0.000,9457.265,14369.269,11890.168,9398.777,20214.053,0.000,6180.466,1362.232,5809.050,0.000,0.374,0.480,0.445,0.000,0.362,0.412,0.478,0.000,46008,39591,0.3414,0.1416,0.2432,0.0000,0.9997,0.0295,0.0405,0.0000,0.6657,0.9773,0.9882,0.0000,0.1602,0.0390,0.0215,0.0000,0.0000,0.0000,0.7500,0.1996,0.6873,0.9489,0.00236,2334,0.9990,0.8112,0.8358,0.0000,0.9972,0.0296,0.0405,0.0000,0.1000,0.1000,0.1000,0.0000,0.5000,0.5000,0.5000,0.0000,5.0215,4.6635,4.9869,0.0000,0.0420,0.0527,0.0504,0.082,0.100,0.098,0.099,1546,0.1265,0.0025,0.0049,0.0000,0.00213,0.00064,0.00091,0.00000,25.87,27.39,27.44,0.00,1408.5646,0.0815,29.8905,3.4253,5.4691,1108828,1517816,3.3718,0.1793,3519.2,1408.5646,19.36,0,0,0,0,0,0,9475,13351.748,11535.194,0.9534,1275.1276,437.5858,1624.6932,1542.3390,2804.9049,457.0304,5470,465917.1,2.64e-14,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0,5.44,0,0.0870,0.9041
